created virtual environment CPython3.7.9.final.0-64 in 5131ms
  creator CPython3Posix(dest=/localscratch/fabdolla.28934885.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: pygame in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: pandas in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: numpy in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.28934885.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 2.39 	steps: 4.00
Episode 2	Average Score: 10.89 	steps: 32.00
Episode 3	Average Score: 14.84 	steps: 65.00
Episode 4	Average Score: 13.69 	steps: 78.00
Episode 5	Average Score: 11.58 	steps: 84.00
Episode 6	Average Score: 12.15 	steps: 102.00
Episode 7	Average Score: 16.80 	steps: 152.00
Episode 8	Average Score: 15.31 	steps: 158.00
Episode 9	Average Score: 14.54 	steps: 169.00
Episode 10	Average Score: 13.47 	steps: 175.00
Episode 11	Average Score: 13.51 	steps: 195.00
Episode 12	Average Score: 12.97 	steps: 203.00
Episode 13	Average Score: 14.54 	steps: 245.00
Episode 14	Average Score: 14.00 	steps: 256.00
Episode 15	Average Score: 13.41 	steps: 262.00
Episode 16	Average Score: 12.87 	steps: 268.00
Episode 17	Average Score: 12.18 	steps: 271.00
Episode 18	Average Score: 12.26 	steps: 290.00
Episode 19	Average Score: 11.79 	steps: 294.00
Episode 20	Average Score: 11.45 	steps: 303.00
Episode 21	Average Score: 11.46 	steps: 319.00
Episode 22	Average Score: 11.05 	steps: 323.00
Episode 23	Average Score: 10.82 	steps: 330.00
Episode 24	Average Score: 11.91 	steps: 372.00
Episode 25	Average Score: 13.05 	steps: 422.00
Episode 26	Average Score: 13.41 	steps: 458.00
Episode 27	Average Score: 13.07 	steps: 463.00
Episode 28	Average Score: 12.71 	steps: 468.00
Episode 29	Average Score: 12.51 	steps: 480.00
Episode 30	Average Score: 12.21 	steps: 485.00
Episode 31	Average Score: 12.11 	steps: 499.00
Episode 32	Average Score: 12.94 	steps: 549.00
Episode 33	Average Score: 12.58 	steps: 552.00
Episode 34	Average Score: 12.67 	steps: 569.00
Episode 35	Average Score: 12.39 	steps: 574.00
Episode 36	Average Score: 12.11 	steps: 578.00
Episode 37	Average Score: 11.84 	steps: 581.00
Episode 38	Average Score: 11.95 	steps: 599.00
Episode 39	Average Score: 11.77 	steps: 605.00
Episode 40	Average Score: 11.54 	steps: 610.00
Episode 41	Average Score: 11.52 	steps: 624.00
Episode 42	Average Score: 11.96 	steps: 665.00
Episode 43	Average Score: 11.74 	steps: 669.00
Episode 44	Average Score: 11.59 	steps: 677.00
Episode 45	Average Score: 11.48 	steps: 686.00
Episode 46	Average Score: 11.26 	steps: 689.00
Episode 47	Average Score: 11.05 	steps: 692.00
Episode 48	Average Score: 11.02 	steps: 705.00
Episode 49	Average Score: 10.83 	steps: 708.00
Episode 50	Average Score: 10.78 	steps: 719.00
Episode 51	Average Score: 10.70 	steps: 728.00
Episode 52	Average Score: 10.68 	steps: 739.00
Episode 53	Average Score: 10.56 	steps: 746.00
Episode 54	Average Score: 10.38 	steps: 748.00
Episode 55	Average Score: 10.23 	steps: 752.00
Episode 56	Average Score: 10.21 	steps: 766.00
Episode 57	Average Score: 10.06 	steps: 768.00
Episode 58	Average Score: 10.13 	steps: 788.00
Episode 59	Average Score: 10.00 	steps: 793.00
Episode 60	Average Score: 9.91 	steps: 798.00
Episode 61	Average Score: 9.83 	steps: 804.00
Episode 62	Average Score: 9.73 	steps: 810.00
Episode 63	Average Score: 9.60 	steps: 813.00
Episode 64	Average Score: 9.63 	steps: 827.00
Episode 65	Average Score: 9.68 	steps: 844.00
Episode 66	Average Score: 9.79 	steps: 865.00
Episode 67	Average Score: 9.69 	steps: 869.00
Episode 68	Average Score: 9.63 	steps: 876.00
Episode 69	Average Score: 9.58 	steps: 885.00
Episode 70	Average Score: 9.48 	steps: 890.00
Episode 71	Average Score: 9.39 	steps: 894.00
Episode 72	Average Score: 9.83 	steps: 944.00
Episode 73	Average Score: 9.88 	steps: 960.00
Episode 74	Average Score: 9.87 	steps: 972.00
Episode 75	Average Score: 9.75 	steps: 974.00
Episode 76	Average Score: 9.66 	steps: 978.00
Episode 77	Average Score: 9.56 	steps: 981.00
Episode 78	Average Score: 9.51 	steps: 989.00
Episode 79	Average Score: 9.44 	steps: 995.00
Episode 80	Average Score: 9.42 	steps: 1005.00
Episode 81	Average Score: 9.37 	steps: 1014.00
Episode 82	Average Score: 9.31 	steps: 1022.00
Episode 83	Average Score: 9.26 	steps: 1028.00
Episode 84	Average Score: 9.48 	steps: 1067.00
Episode 85	Average Score: 9.47 	steps: 1077.00
Episode 86	Average Score: 9.39 	steps: 1081.00
Episode 87	Average Score: 9.36 	steps: 1091.00
Episode 88	Average Score: 9.26 	steps: 1093.00
Episode 89	Average Score: 9.32 	steps: 1109.00
Episode 90	Average Score: 9.66 	steps: 1159.00
Episode 91	Average Score: 9.71 	steps: 1177.00
Episode 92	Average Score: 9.70 	steps: 1188.00
Episode 93	Average Score: 9.67 	steps: 1198.00
Episode 94	Average Score: 9.89 	steps: 1239.00
Episode 95	Average Score: 9.86 	steps: 1251.00
Episode 96	Average Score: 9.77 	steps: 1255.00
Episode 97	Average Score: 9.70 	steps: 1259.00
Episode 98	Average Score: 9.70 	steps: 1275.00
Episode 99	Average Score: 9.67 	steps: 1287.00
Episode 100	Average Score: 9.60 	steps: 1290.00
Episode 100	Average Score: 9.60 	steps: 1290.00

Episode 101	Average Score: 9.65 	steps: 1301.00
Episode 102	Average Score: 9.47 	steps: 1304.00
Episode 103	Average Score: 9.28 	steps: 1309.00
Episode 104	Average Score: 9.21 	steps: 1314.00
Episode 105	Average Score: 9.33 	steps: 1332.00
Episode 106	Average Score: 9.33 	steps: 1354.00
Episode 107	Average Score: 8.89 	steps: 1356.00
Episode 108	Average Score: 9.00 	steps: 1377.00
Episode 109	Average Score: 9.21 	steps: 1421.00
Episode 110	Average Score: 9.22 	steps: 1428.00
Episode 111	Average Score: 9.14 	steps: 1437.00
Episode 112	Average Score: 9.07 	steps: 1439.00
Episode 113	Average Score: 8.95 	steps: 1471.00
Episode 114	Average Score: 9.08 	steps: 1493.00
Episode 115	Average Score: 9.12 	steps: 1509.00
Episode 116	Average Score: 9.11 	steps: 1514.00
Episode 117	Average Score: 9.14 	steps: 1521.00
Episode 118	Average Score: 9.05 	steps: 1527.00
Episode 119	Average Score: 9.05 	steps: 1531.00
Episode 120	Average Score: 9.06 	steps: 1539.00
Episode 121	Average Score: 9.10 	steps: 1557.00
Episode 122	Average Score: 9.17 	steps: 1568.00
Episode 123	Average Score: 9.14 	steps: 1572.00
Episode 124	Average Score: 8.83 	steps: 1582.00
Episode 125	Average Score: 8.48 	steps: 1592.00
Episode 126	Average Score: 8.33 	steps: 1600.00
Episode 127	Average Score: 8.32 	steps: 1605.00
Episode 128	Average Score: 8.34 	steps: 1613.00
Episode 129	Average Score: 8.40 	steps: 1629.00
Episode 130	Average Score: 8.51 	steps: 1647.00
Episode 131	Average Score: 8.54 	steps: 1664.00
Episode 132	Average Score: 8.19 	steps: 1668.00
Episode 133	Average Score: 8.36 	steps: 1696.00
Episode 134	Average Score: 8.22 	steps: 1699.00
Episode 135	Average Score: 8.21 	steps: 1703.00
Episode 136	Average Score: 8.24 	steps: 1711.00
Episode 137	Average Score: 8.27 	steps: 1720.00
Episode 138	Average Score: 8.23 	steps: 1735.00
Episode 139	Average Score: 8.20 	steps: 1738.00
Episode 140	Average Score: 8.19 	steps: 1741.00
Episode 141	Average Score: 8.16 	steps: 1751.00
Episode 142	Average Score: 7.89 	steps: 1755.00
Episode 143	Average Score: 8.18 	steps: 1805.00
Episode 144	Average Score: 8.17 	steps: 1811.00
Episode 145	Average Score: 8.15 	steps: 1818.00
Episode 146	Average Score: 8.29 	steps: 1839.00
Episode 147	Average Score: 8.45 	steps: 1859.00
Episode 148	Average Score: 8.38 	steps: 1862.00
Episode 149	Average Score: 8.74 	steps: 1912.00
Episode 150	Average Score: 8.72 	steps: 1920.00
Episode 151	Average Score: 8.69 	steps: 1926.00
Episode 152	Average Score: 8.65 	steps: 1934.00
Episode 153	Average Score: 8.70 	steps: 1944.00
Episode 154	Average Score: 9.13 	steps: 1994.00
Episode 155	Average Score: 9.15 	steps: 2000.00
Episode 156	Average Score: 9.07 	steps: 2003.00
Episode 157	Average Score: 9.14 	steps: 2013.00
Episode 158	Average Score: 9.05 	steps: 2021.00
Episode 159	Average Score: 9.09 	steps: 2033.00
Episode 160	Average Score: 9.09 	steps: 2041.00
Episode 161	Average Score: 9.36 	steps: 2081.00
Episode 162	Average Score: 9.40 	steps: 2090.00
Episode 163	Average Score: 9.42 	steps: 2097.00
Episode 164	Average Score: 9.62 	steps: 2141.00
Episode 165	Average Score: 9.81 	steps: 2191.00
Episode 166	Average Score: 10.02 	steps: 2241.00
Episode 167	Average Score: 10.13 	steps: 2259.00
Episode 168	Average Score: 10.28 	steps: 2282.00
Episode 169	Average Score: 10.38 	steps: 2304.00
Episode 170	Average Score: 10.41 	steps: 2311.00
Episode 171	Average Score: 10.41 	steps: 2316.00
Episode 172	Average Score: 10.03 	steps: 2321.00
Episode 173	Average Score: 10.00 	steps: 2337.00
Episode 174	Average Score: 9.93 	steps: 2340.00
Episode 175	Average Score: 9.98 	steps: 2348.00
Episode 176	Average Score: 10.08 	steps: 2366.00
Episode 177	Average Score: 10.17 	steps: 2379.00
Episode 178	Average Score: 10.47 	steps: 2429.00
Episode 179	Average Score: 10.45 	steps: 2434.00
Episode 180	Average Score: 10.39 	steps: 2437.00
Episode 181	Average Score: 10.39 	steps: 2445.00
Episode 182	Average Score: 10.46 	steps: 2462.00
Episode 183	Average Score: 10.54 	steps: 2477.00
Episode 184	Average Score: 10.54 	steps: 2509.00
Episode 185	Average Score: 10.48 	steps: 2513.00
Episode 186	Average Score: 10.51 	steps: 2520.00
Episode 187	Average Score: 10.47 	steps: 2523.00
Episode 188	Average Score: 10.55 	steps: 2539.00
Episode 189	Average Score: 10.55 	steps: 2560.00
Episode 190	Average Score: 10.30 	steps: 2581.00
Episode 191	Average Score: 10.19 	steps: 2586.00
Episode 192	Average Score: 10.32 	steps: 2621.00
Episode 193	Average Score: 10.28 	steps: 2624.00
Episode 194	Average Score: 10.35 	steps: 2674.00
Episode 195	Average Score: 10.38 	steps: 2685.00
Episode 196	Average Score: 10.56 	steps: 2710.00
Episode 197	Average Score: 10.66 	steps: 2727.00
Episode 198	Average Score: 10.76 	steps: 2750.00
Episode 199	Average Score: 10.71 	steps: 2753.00
Episode 200	Average Score: 10.83 	steps: 2771.00
Episode 200	Average Score: 10.83 	steps: 2771.00

Episode 201	Average Score: 10.96 	steps: 2796.00
Episode 202	Average Score: 10.97 	steps: 2802.00
Episode 203	Average Score: 11.10 	steps: 2830.00
Episode 204	Average Score: 11.33 	steps: 2860.00
Episode 205	Average Score: 11.21 	steps: 2864.00
Episode 206	Average Score: 11.29 	steps: 2893.00
Episode 207	Average Score: 11.42 	steps: 2907.00
Episode 208	Average Score: 11.62 	steps: 2952.00
Episode 209	Average Score: 11.38 	steps: 2962.00
Episode 210	Average Score: 11.36 	steps: 2967.00
Episode 211	Average Score: 11.38 	steps: 2976.00
Episode 212	Average Score: 11.40 	steps: 2980.00
Episode 213	Average Score: 11.54 	steps: 3030.00
Episode 214	Average Score: 11.36 	steps: 3033.00
Episode 215	Average Score: 11.31 	steps: 3039.00
Episode 216	Average Score: 11.38 	steps: 3053.00
Episode 217	Average Score: 11.60 	steps: 3089.00
Episode 218	Average Score: 11.63 	steps: 3101.00
Episode 219	Average Score: 11.94 	steps: 3151.00
Episode 220	Average Score: 11.94 	steps: 3162.00
Episode 221	Average Score: 12.22 	steps: 3212.00
Episode 222	Average Score: 12.28 	steps: 3231.00
Episode 223	Average Score: 12.63 	steps: 3281.00
Episode 224	Average Score: 12.65 	steps: 3292.00
Episode 225	Average Score: 12.80 	steps: 3316.00
Episode 226	Average Score: 12.91 	steps: 3340.00
Episode 227	Average Score: 12.96 	steps: 3350.00
Episode 228	Average Score: 13.10 	steps: 3377.00
Episode 229	Average Score: 13.03 	steps: 3384.00
Episode 230	Average Score: 12.93 	steps: 3392.00
Episode 231	Average Score: 12.88 	steps: 3401.00
Episode 232	Average Score: 13.03 	steps: 3431.00
Episode 233	Average Score: 13.13 	steps: 3481.00
Episode 234	Average Score: 13.27 	steps: 3498.00
Episode 235	Average Score: 13.32 	steps: 3509.00
Episode 236	Average Score: 13.31 	steps: 3515.00
Episode 237	Average Score: 13.40 	steps: 3530.00
Episode 238	Average Score: 13.68 	steps: 3580.00
Episode 239	Average Score: 14.10 	steps: 3630.00
Episode 240	Average Score: 14.16 	steps: 3639.00
Episode 241	Average Score: 14.11 	steps: 3644.00
Episode 242	Average Score: 14.21 	steps: 3667.00
Episode 243	Average Score: 14.23 	steps: 3706.00
Episode 244	Average Score: 14.42 	steps: 3732.00
Episode 245	Average Score: 14.68 	steps: 3772.00
Episode 246	Average Score: 14.54 	steps: 3776.00
Episode 247	Average Score: 14.65 	steps: 3816.00
Episode 248	Average Score: 14.69 	steps: 3824.00
Episode 249	Average Score: 14.67 	steps: 3865.00
Episode 250	Average Score: 14.87 	steps: 3896.00
Episode 251	Average Score: 14.89 	steps: 3906.00
Episode 252	Average Score: 14.94 	steps: 3923.00
Episode 253	Average Score: 14.92 	steps: 3931.00
Episode 254	Average Score: 14.89 	steps: 3981.00
Episode 255	Average Score: 15.27 	steps: 4031.00
Episode 256	Average Score: 15.42 	steps: 4053.00
Episode 257	Average Score: 15.39 	steps: 4060.00
Episode 258	Average Score: 15.57 	steps: 4091.00
Episode 259	Average Score: 15.60 	steps: 4103.00
Episode 260	Average Score: 15.90 	steps: 4152.00
Episode 261	Average Score: 15.75 	steps: 4171.00
Episode 262	Average Score: 15.89 	steps: 4197.00
Episode 263	Average Score: 16.17 	steps: 4235.00
Episode 264	Average Score: 16.20 	steps: 4279.00
Episode 265	Average Score: 16.26 	steps: 4329.00
Episode 266	Average Score: 16.05 	steps: 4349.00
Episode 267	Average Score: 16.16 	steps: 4384.00
Episode 268	Average Score: 15.98 	steps: 4387.00
Episode 269	Average Score: 15.94 	steps: 4402.00
Episode 270	Average Score: 15.95 	steps: 4411.00
Episode 271	Average Score: 16.04 	steps: 4427.00
Episode 272	Average Score: 16.42 	steps: 4477.00
Episode 273	Average Score: 16.75 	steps: 4527.00
Episode 274	Average Score: 16.79 	steps: 4536.00
Episode 275	Average Score: 17.16 	steps: 4586.00
Episode 276	Average Score: 17.06 	steps: 4591.00
Episode 277	Average Score: 17.39 	steps: 4641.00
Episode 278	Average Score: 17.30 	steps: 4682.00
Episode 279	Average Score: 17.29 	steps: 4685.00
Episode 280	Average Score: 17.47 	steps: 4712.00
Episode 281	Average Score: 17.50 	steps: 4721.00
Episode 282	Average Score: 17.79 	steps: 4771.00
