created virtual environment CPython3.7.9.final.0-64 in 2076ms
  creator CPython3Posix(dest=/localscratch/fabdolla.29154353.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: pygame in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: pandas in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: numpy in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.29154353.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
Directory  10  already exists
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 11.15 	steps: 13.00
Episode 2	Average Score: 8.42 	steps: 23.00
Episode 3	Average Score: 6.39 	steps: 28.00
Episode 4	Average Score: 6.38 	steps: 37.00
Episode 5	Average Score: 8.42 	steps: 61.00
Episode 6	Average Score: 7.40 	steps: 65.00
Episode 7	Average Score: 6.60 	steps: 68.00
Episode 8	Average Score: 6.25 	steps: 75.00
Episode 9	Average Score: 8.05 	steps: 100.00
Episode 10	Average Score: 8.25 	steps: 112.00
Episode 11	Average Score: 8.08 	steps: 121.00
Episode 12	Average Score: 8.04 	steps: 133.00
Episode 13	Average Score: 7.58 	steps: 136.00
Episode 14	Average Score: 7.50 	steps: 145.00
Episode 15	Average Score: 7.50 	steps: 155.00
Episode 16	Average Score: 7.16 	steps: 158.00
Episode 17	Average Score: 7.06 	steps: 165.00
Episode 18	Average Score: 7.16 	steps: 177.00
Episode 19	Average Score: 7.12 	steps: 185.00
Episode 20	Average Score: 6.87 	steps: 188.00
Episode 21	Average Score: 7.66 	steps: 216.00
Episode 22	Average Score: 7.89 	steps: 236.00
Episode 23	Average Score: 7.66 	steps: 240.00
Episode 24	Average Score: 7.80 	steps: 253.00
Episode 25	Average Score: 7.71 	steps: 260.00
Episode 26	Average Score: 7.94 	steps: 279.00
Episode 27	Average Score: 7.72 	steps: 282.00
Episode 28	Average Score: 7.74 	steps: 292.00
Episode 29	Average Score: 7.59 	steps: 298.00
Episode 30	Average Score: 7.40 	steps: 301.00
Episode 31	Average Score: 7.32 	steps: 307.00
Episode 32	Average Score: 7.22 	steps: 313.00
Episode 33	Average Score: 7.06 	steps: 316.00
Episode 34	Average Score: 7.08 	steps: 328.00
Episode 35	Average Score: 6.99 	steps: 335.00
Episode 36	Average Score: 7.02 	steps: 345.00
Episode 37	Average Score: 6.91 	steps: 350.00
Episode 38	Average Score: 6.93 	steps: 362.00
Episode 39	Average Score: 6.89 	steps: 372.00
Episode 40	Average Score: 7.20 	steps: 394.00
Episode 41	Average Score: 7.08 	steps: 397.00
Episode 42	Average Score: 6.99 	steps: 401.00
Episode 43	Average Score: 7.00 	steps: 413.00
Episode 44	Average Score: 7.05 	steps: 426.00
Episode 45	Average Score: 6.98 	steps: 432.00
Episode 46	Average Score: 6.94 	steps: 439.00
Episode 47	Average Score: 6.88 	steps: 444.00
Episode 48	Average Score: 6.82 	steps: 450.00
Episode 49	Average Score: 6.86 	steps: 461.00
Episode 50	Average Score: 6.86 	steps: 470.00
Episode 51	Average Score: 7.45 	steps: 520.00
Episode 52	Average Score: 7.57 	steps: 539.00
Episode 53	Average Score: 7.47 	steps: 542.00
Episode 54	Average Score: 7.46 	steps: 553.00
Episode 55	Average Score: 7.36 	steps: 557.00
Episode 56	Average Score: 7.27 	steps: 562.00
Episode 57	Average Score: 7.78 	steps: 609.00
Episode 58	Average Score: 7.72 	steps: 615.00
Episode 59	Average Score: 7.66 	steps: 620.00
Episode 60	Average Score: 7.56 	steps: 623.00
Episode 61	Average Score: 7.47 	steps: 627.00
Episode 62	Average Score: 7.38 	steps: 630.00
Episode 63	Average Score: 7.30 	steps: 635.00
Episode 64	Average Score: 7.80 	steps: 685.00
Episode 65	Average Score: 7.78 	steps: 692.00
Episode 66	Average Score: 7.74 	steps: 700.00
Episode 67	Average Score: 7.78 	steps: 714.00
Episode 68	Average Score: 7.79 	steps: 727.00
Episode 69	Average Score: 7.77 	steps: 737.00
Episode 70	Average Score: 7.72 	steps: 742.00
Episode 71	Average Score: 7.69 	steps: 752.00
Episode 72	Average Score: 7.69 	steps: 761.00
Episode 73	Average Score: 7.68 	steps: 773.00
Episode 74	Average Score: 7.60 	steps: 776.00
Episode 75	Average Score: 7.56 	steps: 782.00
Episode 76	Average Score: 7.53 	steps: 788.00
Episode 77	Average Score: 7.57 	steps: 806.00
Episode 78	Average Score: 7.64 	steps: 825.00
Episode 79	Average Score: 8.01 	steps: 875.00
Episode 80	Average Score: 7.96 	steps: 880.00
Episode 81	Average Score: 7.92 	steps: 887.00
Episode 82	Average Score: 7.86 	steps: 891.00
Episode 83	Average Score: 7.93 	steps: 907.00
Episode 84	Average Score: 7.99 	steps: 927.00
Episode 85	Average Score: 7.96 	steps: 933.00
Episode 86	Average Score: 7.96 	steps: 943.00
Episode 87	Average Score: 7.89 	steps: 948.00
Episode 88	Average Score: 7.84 	steps: 953.00
Episode 89	Average Score: 7.78 	steps: 957.00
Episode 90	Average Score: 7.90 	steps: 979.00
Episode 91	Average Score: 7.83 	steps: 982.00
Episode 92	Average Score: 7.85 	steps: 997.00
Episode 93	Average Score: 8.07 	steps: 1032.00
Episode 94	Average Score: 8.02 	steps: 1037.00
Episode 95	Average Score: 7.96 	steps: 1040.00
Episode 96	Average Score: 8.00 	steps: 1055.00
Episode 97	Average Score: 7.96 	steps: 1061.00
Episode 98	Average Score: 7.98 	steps: 1073.00
Episode 99	Average Score: 7.98 	steps: 1084.00
Episode 100	Average Score: 8.17 	steps: 1119.00
Episode 100	Average Score: 8.17 	steps: 1119.00

Episode 101	Average Score: 8.11 	steps: 1127.00
Episode 102	Average Score: 8.08 	steps: 1132.00
Episode 103	Average Score: 8.14 	steps: 1146.00
Episode 104	Average Score: 8.15 	steps: 1155.00
Episode 105	Average Score: 8.17 	steps: 1177.00
Episode 106	Average Score: 8.22 	steps: 1186.00
Episode 107	Average Score: 8.22 	steps: 1189.00
Episode 108	Average Score: 8.20 	steps: 1193.00
Episode 109	Average Score: 8.10 	steps: 1212.00
Episode 110	Average Score: 8.06 	steps: 1220.00
Episode 111	Average Score: 8.02 	steps: 1223.00
Episode 112	Average Score: 8.25 	steps: 1270.00
Episode 113	Average Score: 8.29 	steps: 1277.00
Episode 114	Average Score: 8.30 	steps: 1286.00
Episode 115	Average Score: 8.24 	steps: 1289.00
Episode 116	Average Score: 8.27 	steps: 1297.00
Episode 117	Average Score: 8.26 	steps: 1305.00
Episode 118	Average Score: 8.20 	steps: 1309.00
Episode 119	Average Score: 8.19 	steps: 1315.00
Episode 120	Average Score: 8.30 	steps: 1335.00
Episode 121	Average Score: 8.08 	steps: 1338.00
Episode 122	Average Score: 8.00 	steps: 1345.00
Episode 123	Average Score: 8.11 	steps: 1362.00
Episode 124	Average Score: 8.13 	steps: 1379.00
Episode 125	Average Score: 8.10 	steps: 1383.00
Episode 126	Average Score: 8.37 	steps: 1433.00
Episode 127	Average Score: 8.38 	steps: 1438.00
Episode 128	Average Score: 8.33 	steps: 1443.00
Episode 129	Average Score: 8.34 	steps: 1449.00
Episode 130	Average Score: 8.53 	steps: 1482.00
Episode 131	Average Score: 8.50 	steps: 1485.00
Episode 132	Average Score: 8.66 	steps: 1516.00
Episode 133	Average Score: 8.83 	steps: 1545.00
Episode 134	Average Score: 8.97 	steps: 1575.00
Episode 135	Average Score: 9.23 	steps: 1622.00
Episode 136	Average Score: 9.18 	steps: 1626.00
Episode 137	Average Score: 9.29 	steps: 1648.00
Episode 138	Average Score: 9.23 	steps: 1651.00
Episode 139	Average Score: 9.25 	steps: 1659.00
Episode 140	Average Score: 9.10 	steps: 1664.00
Episode 141	Average Score: 9.12 	steps: 1672.00
Episode 142	Average Score: 9.26 	steps: 1698.00
Episode 143	Average Score: 9.29 	steps: 1716.00
Episode 144	Average Score: 9.22 	steps: 1719.00
Episode 145	Average Score: 9.27 	steps: 1729.00
Episode 146	Average Score: 9.36 	steps: 1748.00
Episode 147	Average Score: 9.38 	steps: 1755.00
Episode 148	Average Score: 9.44 	steps: 1768.00
Episode 149	Average Score: 9.38 	steps: 1772.00
Episode 150	Average Score: 9.40 	steps: 1786.00
Episode 151	Average Score: 9.05 	steps: 1789.00
Episode 152	Average Score: 8.94 	steps: 1793.00
Episode 153	Average Score: 8.97 	steps: 1800.00
Episode 154	Average Score: 8.93 	steps: 1804.00
Episode 155	Average Score: 8.98 	steps: 1812.00
Episode 156	Average Score: 9.08 	steps: 1831.00
Episode 157	Average Score: 8.77 	steps: 1840.00
Episode 158	Average Score: 9.06 	steps: 1884.00
Episode 159	Average Score: 9.11 	steps: 1897.00
Episode 160	Average Score: 9.11 	steps: 1900.00
Episode 161	Average Score: 9.12 	steps: 1904.00
Episode 162	Average Score: 9.22 	steps: 1919.00
Episode 163	Average Score: 9.21 	steps: 1922.00
Episode 164	Average Score: 8.84 	steps: 1925.00
Episode 165	Average Score: 9.10 	steps: 1969.00
Episode 166	Average Score: 9.13 	steps: 1980.00
Episode 167	Average Score: 9.09 	steps: 1987.00
Episode 168	Average Score: 9.07 	steps: 1997.00
Episode 169	Average Score: 9.02 	steps: 2000.00
Episode 170	Average Score: 9.39 	steps: 2050.00
Episode 171	Average Score: 9.50 	steps: 2072.00
Episode 172	Average Score: 9.45 	steps: 2076.00
Episode 173	Average Score: 9.45 	steps: 2084.00
Episode 174	Average Score: 9.47 	steps: 2091.00
Episode 175	Average Score: 9.53 	steps: 2103.00
Episode 176	Average Score: 9.54 	steps: 2110.00
Episode 177	Average Score: 9.62 	steps: 2134.00
Episode 178	Average Score: 9.87 	steps: 2184.00
Episode 179	Average Score: 9.52 	steps: 2187.00
Episode 180	Average Score: 9.52 	steps: 2194.00
Episode 181	Average Score: 9.75 	steps: 2240.00
Episode 182	Average Score: 9.85 	steps: 2255.00
Episode 183	Average Score: 9.74 	steps: 2260.00
Episode 184	Average Score: 9.69 	steps: 2272.00
Episode 185	Average Score: 9.67 	steps: 2277.00
Episode 186	Average Score: 9.93 	steps: 2318.00
Episode 187	Average Score: 10.36 	steps: 2368.00
Episode 188	Average Score: 10.37 	steps: 2373.00
Episode 189	Average Score: 10.49 	steps: 2393.00
Episode 190	Average Score: 10.35 	steps: 2398.00
Episode 191	Average Score: 10.39 	steps: 2405.00
Episode 192	Average Score: 10.44 	steps: 2430.00
Episode 193	Average Score: 10.45 	steps: 2472.00
Episode 194	Average Score: 10.52 	steps: 2483.00
Episode 195	Average Score: 10.52 	steps: 2487.00
Episode 196	Average Score: 10.77 	steps: 2537.00
Episode 197	Average Score: 11.15 	steps: 2587.00
Episode 198	Average Score: 11.10 	steps: 2593.00
Episode 199	Average Score: 11.04 	steps: 2598.00
Episode 200	Average Score: 10.89 	steps: 2612.00
Episode 200	Average Score: 10.89 	steps: 2612.00

Episode 201	Average Score: 10.98 	steps: 2628.00
Episode 202	Average Score: 11.27 	steps: 2670.00
Episode 203	Average Score: 11.61 	steps: 2720.00
Episode 204	Average Score: 11.64 	steps: 2735.00
Episode 205	Average Score: 11.54 	steps: 2745.00
Episode 206	Average Score: 11.62 	steps: 2764.00
Episode 207	Average Score: 11.74 	steps: 2781.00
Episode 208	Average Score: 11.76 	steps: 2787.00
Episode 209	Average Score: 12.04 	steps: 2837.00
Episode 210	Average Score: 12.07 	steps: 2849.00
Episode 211	Average Score: 12.11 	steps: 2858.00
Episode 212	Average Score: 12.20 	steps: 2908.00
Episode 213	Average Score: 12.22 	steps: 2920.00
Episode 214	Average Score: 12.20 	steps: 2926.00
Episode 215	Average Score: 12.49 	steps: 2973.00
Episode 216	Average Score: 12.65 	steps: 2998.00
Episode 217	Average Score: 12.65 	steps: 3007.00
Episode 218	Average Score: 12.84 	steps: 3039.00
Episode 219	Average Score: 13.00 	steps: 3064.00
Episode 220	Average Score: 12.99 	steps: 3080.00
Episode 221	Average Score: 13.38 	steps: 3130.00
Episode 222	Average Score: 13.36 	steps: 3134.00
Episode 223	Average Score: 13.24 	steps: 3137.00
Episode 224	Average Score: 13.17 	steps: 3145.00
Episode 225	Average Score: 13.41 	steps: 3179.00
Episode 226	Average Score: 13.16 	steps: 3203.00
Episode 227	Average Score: 13.46 	steps: 3253.00
Episode 228	Average Score: 13.46 	steps: 3258.00
Episode 229	Average Score: 13.49 	steps: 3269.00
Episode 230	Average Score: 13.30 	steps: 3273.00
Episode 231	Average Score: 13.68 	steps: 3322.00
Episode 232	Average Score: 13.62 	steps: 3338.00
Episode 233	Average Score: 13.71 	steps: 3377.00
Episode 234	Average Score: 13.66 	steps: 3398.00
Episode 235	Average Score: 13.78 	steps: 3448.00
Episode 236	Average Score: 13.84 	steps: 3459.00
Episode 237	Average Score: 13.77 	steps: 3467.00
Episode 238	Average Score: 13.85 	steps: 3479.00
Episode 239	Average Score: 13.79 	steps: 3481.00
Episode 240	Average Score: 13.84 	steps: 3493.00
Episode 241	Average Score: 13.94 	steps: 3512.00
Episode 242	Average Score: 13.79 	steps: 3515.00
Episode 243	Average Score: 13.71 	steps: 3520.00
Episode 244	Average Score: 13.84 	steps: 3546.00
Episode 245	Average Score: 13.84 	steps: 3562.00
Episode 246	Average Score: 13.74 	steps: 3568.00
Episode 247	Average Score: 13.84 	steps: 3588.00
Episode 248	Average Score: 13.77 	steps: 3592.00
Episode 249	Average Score: 13.85 	steps: 3608.00
Episode 250	Average Score: 13.89 	steps: 3629.00
Episode 251	Average Score: 13.89 	steps: 3633.00
Episode 252	Average Score: 14.02 	steps: 3655.00
Episode 253	Average Score: 14.11 	steps: 3679.00
Episode 254	Average Score: 14.17 	steps: 3689.00
Episode 255	Average Score: 14.43 	steps: 3726.00
Episode 256	Average Score: 14.40 	steps: 3738.00
Episode 257	Average Score: 14.70 	steps: 3788.00
Episode 258	Average Score: 14.57 	steps: 3815.00
Episode 259	Average Score: 14.87 	steps: 3865.00
Episode 260	Average Score: 14.90 	steps: 3871.00
Episode 261	Average Score: 14.93 	steps: 3883.00
Episode 262	Average Score: 15.25 	steps: 3933.00
Episode 263	Average Score: 15.58 	steps: 3977.00
Episode 264	Average Score: 15.61 	steps: 3984.00
Episode 265	Average Score: 15.52 	steps: 4017.00
Episode 266	Average Score: 15.85 	steps: 4067.00
Episode 267	Average Score: 15.98 	steps: 4089.00
Episode 268	Average Score: 15.92 	steps: 4091.00
Episode 269	Average Score: 15.93 	steps: 4095.00
Episode 270	Average Score: 15.88 	steps: 4145.00
Episode 271	Average Score: 16.10 	steps: 4195.00
Episode 272	Average Score: 16.15 	steps: 4205.00
Episode 273	Average Score: 16.13 	steps: 4211.00
Episode 274	Average Score: 16.42 	steps: 4261.00
Episode 275	Average Score: 16.70 	steps: 4311.00
Episode 276	Average Score: 16.98 	steps: 4361.00
Episode 277	Average Score: 17.05 	steps: 4397.00
Episode 278	Average Score: 16.78 	steps: 4411.00
Episode 279	Average Score: 17.19 	steps: 4461.00
Episode 280	Average Score: 17.46 	steps: 4496.00
Episode 281	Average Score: 17.61 	steps: 4546.00
Episode 282	Average Score: 17.60 	steps: 4561.00
Episode 283	Average Score: 17.88 	steps: 4611.00
Episode 284	Average Score: 17.91 	steps: 4624.00
Episode 285	Average Score: 17.96 	steps: 4633.00
