created virtual environment CPython3.7.9.final.0-64 in 3980ms
  creator CPython3Posix(dest=/localscratch/fabdolla.28934886.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: gym in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: pygame in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: numpy in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: pandas in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.28934886.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 2.12 	steps: 3.00
Episode 2	Average Score: 3.17 	steps: 9.00
Episode 3	Average Score: 2.83 	steps: 12.00
Episode 4	Average Score: 2.59 	steps: 15.00
Episode 5	Average Score: 2.70 	steps: 20.00
Episode 6	Average Score: 3.09 	steps: 26.00
Episode 7	Average Score: 3.71 	steps: 39.00
Episode 8	Average Score: 3.94 	steps: 46.00
Episode 9	Average Score: 4.19 	steps: 54.00
Episode 10	Average Score: 5.20 	steps: 76.00
Episode 11	Average Score: 5.03 	steps: 81.00
Episode 12	Average Score: 5.26 	steps: 92.00
Episode 13	Average Score: 5.01 	steps: 96.00
Episode 14	Average Score: 4.95 	steps: 101.00
Episode 15	Average Score: 4.73 	steps: 104.00
Episode 16	Average Score: 5.31 	steps: 125.00
Episode 17	Average Score: 5.93 	steps: 144.00
Episode 18	Average Score: 6.78 	steps: 171.00
Episode 19	Average Score: 6.61 	steps: 176.00
Episode 20	Average Score: 6.58 	steps: 185.00
Episode 21	Average Score: 6.78 	steps: 203.00
Episode 22	Average Score: 6.66 	steps: 208.00
Episode 23	Average Score: 6.54 	steps: 213.00
Episode 24	Average Score: 6.44 	steps: 218.00
Episode 25	Average Score: 6.42 	steps: 225.00
Episode 26	Average Score: 6.71 	steps: 245.00
Episode 27	Average Score: 6.54 	steps: 248.00
Episode 28	Average Score: 6.48 	steps: 254.00
Episode 29	Average Score: 6.44 	steps: 263.00
Episode 30	Average Score: 6.50 	steps: 273.00
Episode 31	Average Score: 6.35 	steps: 277.00
Episode 32	Average Score: 6.19 	steps: 280.00
Episode 33	Average Score: 6.06 	steps: 283.00
Episode 34	Average Score: 6.01 	steps: 289.00
Episode 35	Average Score: 6.36 	steps: 310.00
Episode 36	Average Score: 6.92 	steps: 343.00
Episode 37	Average Score: 6.97 	steps: 353.00
Episode 38	Average Score: 6.88 	steps: 359.00
Episode 39	Average Score: 6.77 	steps: 364.00
Episode 40	Average Score: 6.95 	steps: 381.00
Episode 41	Average Score: 6.80 	steps: 383.00
Episode 42	Average Score: 6.72 	steps: 389.00
Episode 43	Average Score: 6.94 	steps: 411.00
Episode 44	Average Score: 6.88 	steps: 416.00
Episode 45	Average Score: 6.84 	steps: 422.00
Episode 46	Average Score: 6.76 	steps: 428.00
Episode 47	Average Score: 6.68 	steps: 433.00
Episode 48	Average Score: 6.59 	steps: 437.00
Episode 49	Average Score: 6.58 	steps: 444.00
Episode 50	Average Score: 6.48 	steps: 447.00
Episode 51	Average Score: 6.49 	steps: 456.00
Episode 52	Average Score: 6.46 	steps: 462.00
Episode 53	Average Score: 6.38 	steps: 465.00
Episode 54	Average Score: 6.33 	steps: 471.00
Episode 55	Average Score: 6.92 	steps: 521.00
Episode 56	Average Score: 6.82 	steps: 524.00
Episode 57	Average Score: 7.37 	steps: 574.00
Episode 58	Average Score: 7.48 	steps: 591.00
Episode 59	Average Score: 7.38 	steps: 594.00
Episode 60	Average Score: 7.79 	steps: 644.00
Episode 61	Average Score: 7.90 	steps: 661.00
Episode 62	Average Score: 7.80 	steps: 664.00
Episode 63	Average Score: 8.32 	steps: 713.00
Episode 64	Average Score: 8.28 	steps: 723.00
Episode 65	Average Score: 8.20 	steps: 729.00
Episode 66	Average Score: 8.10 	steps: 732.00
Episode 67	Average Score: 8.04 	steps: 737.00
Episode 68	Average Score: 8.04 	steps: 748.00
Episode 69	Average Score: 7.98 	steps: 753.00
Episode 70	Average Score: 7.95 	steps: 763.00
Episode 71	Average Score: 7.94 	steps: 774.00
Episode 72	Average Score: 7.90 	steps: 782.00
Episode 73	Average Score: 7.83 	steps: 787.00
Episode 74	Average Score: 7.74 	steps: 789.00
Episode 75	Average Score: 7.98 	steps: 820.00
Episode 76	Average Score: 7.96 	steps: 830.00
Episode 77	Average Score: 8.04 	steps: 851.00
Episode 78	Average Score: 7.95 	steps: 854.00
Episode 79	Average Score: 8.17 	steps: 888.00
Episode 80	Average Score: 8.09 	steps: 891.00
Episode 81	Average Score: 8.25 	steps: 917.00
Episode 82	Average Score: 8.23 	steps: 927.00
Episode 83	Average Score: 8.38 	steps: 953.00
Episode 84	Average Score: 8.32 	steps: 959.00
Episode 85	Average Score: 8.42 	steps: 983.00
Episode 86	Average Score: 8.34 	steps: 986.00
Episode 87	Average Score: 8.43 	steps: 1005.00
Episode 88	Average Score: 8.41 	steps: 1015.00
Episode 89	Average Score: 8.48 	steps: 1035.00
Episode 90	Average Score: 8.44 	steps: 1044.00
Episode 91	Average Score: 8.40 	steps: 1051.00
Episode 92	Average Score: 8.42 	steps: 1064.00
Episode 93	Average Score: 8.39 	steps: 1074.00
Episode 94	Average Score: 8.34 	steps: 1079.00
Episode 95	Average Score: 8.40 	steps: 1097.00
Episode 96	Average Score: 8.38 	steps: 1108.00
Episode 97	Average Score: 8.35 	steps: 1114.00
Episode 98	Average Score: 8.31 	steps: 1121.00
Episode 99	Average Score: 8.27 	steps: 1129.00
Episode 100	Average Score: 8.38 	steps: 1152.00
Episode 100	Average Score: 8.38 	steps: 1152.00

Episode 101	Average Score: 8.39 	steps: 1157.00
Episode 102	Average Score: 8.41 	steps: 1168.00
Episode 103	Average Score: 8.51 	steps: 1187.00
Episode 104	Average Score: 8.54 	steps: 1193.00
Episode 105	Average Score: 8.58 	steps: 1202.00
Episode 106	Average Score: 8.57 	steps: 1208.00
Episode 107	Average Score: 8.82 	steps: 1246.00
Episode 108	Average Score: 8.83 	steps: 1257.00
Episode 109	Average Score: 8.83 	steps: 1266.00
Episode 110	Average Score: 9.09 	steps: 1316.00
Episode 111	Average Score: 9.14 	steps: 1329.00
Episode 112	Average Score: 9.12 	steps: 1337.00
Episode 113	Average Score: 9.44 	steps: 1381.00
Episode 114	Average Score: 9.49 	steps: 1392.00
Episode 115	Average Score: 9.56 	steps: 1405.00
Episode 116	Average Score: 9.56 	steps: 1424.00
Episode 117	Average Score: 9.42 	steps: 1427.00
Episode 118	Average Score: 9.24 	steps: 1431.00
Episode 119	Average Score: 9.25 	steps: 1437.00
Episode 120	Average Score: 9.25 	steps: 1446.00
Episode 121	Average Score: 9.16 	steps: 1450.00
Episode 122	Average Score: 9.19 	steps: 1460.00
Episode 123	Average Score: 9.22 	steps: 1469.00
Episode 124	Average Score: 9.28 	steps: 1481.00
Episode 125	Average Score: 9.65 	steps: 1531.00
Episode 126	Average Score: 9.59 	steps: 1542.00
Episode 127	Average Score: 9.67 	steps: 1554.00
Episode 128	Average Score: 9.64 	steps: 1557.00
Episode 129	Average Score: 9.81 	steps: 1584.00
Episode 130	Average Score: 9.84 	steps: 1600.00
Episode 131	Average Score: 10.13 	steps: 1636.00
Episode 132	Average Score: 10.14 	steps: 1641.00
Episode 133	Average Score: 10.19 	steps: 1652.00
Episode 134	Average Score: 10.21 	steps: 1660.00
Episode 135	Average Score: 10.06 	steps: 1664.00
Episode 136	Average Score: 9.82 	steps: 1668.00
Episode 137	Average Score: 9.82 	steps: 1682.00
Episode 138	Average Score: 9.88 	steps: 1694.00
Episode 139	Average Score: 10.25 	steps: 1744.00
Episode 140	Average Score: 10.13 	steps: 1748.00
Episode 141	Average Score: 10.30 	steps: 1768.00
Episode 142	Average Score: 10.30 	steps: 1772.00
Episode 143	Average Score: 10.18 	steps: 1781.00
Episode 144	Average Score: 10.25 	steps: 1795.00
Episode 145	Average Score: 10.33 	steps: 1812.00
Episode 146	Average Score: 10.44 	steps: 1828.00
Episode 147	Average Score: 10.42 	steps: 1831.00
Episode 148	Average Score: 10.45 	steps: 1837.00
Episode 149	Average Score: 10.68 	steps: 1875.00
Episode 150	Average Score: 10.72 	steps: 1883.00
Episode 151	Average Score: 10.78 	steps: 1898.00
Episode 152	Average Score: 10.76 	steps: 1903.00
Episode 153	Average Score: 10.79 	steps: 1912.00
Episode 154	Average Score: 10.82 	steps: 1920.00
Episode 155	Average Score: 10.51 	steps: 1930.00
Episode 156	Average Score: 10.91 	steps: 1980.00
Episode 157	Average Score: 10.60 	steps: 1992.00
Episode 158	Average Score: 10.51 	steps: 1998.00
Episode 159	Average Score: 10.52 	steps: 2001.00
Episode 160	Average Score: 10.31 	steps: 2017.00
Episode 161	Average Score: 10.26 	steps: 2028.00
Episode 162	Average Score: 10.34 	steps: 2043.00
Episode 163	Average Score: 10.38 	steps: 2093.00
Episode 164	Average Score: 10.41 	steps: 2105.00
Episode 165	Average Score: 10.41 	steps: 2110.00
Episode 166	Average Score: 10.44 	steps: 2116.00
Episode 167	Average Score: 10.43 	steps: 2121.00
Episode 168	Average Score: 10.47 	steps: 2136.00
Episode 169	Average Score: 10.46 	steps: 2142.00
Episode 170	Average Score: 10.46 	steps: 2153.00
Episode 171	Average Score: 10.41 	steps: 2156.00
Episode 172	Average Score: 10.42 	steps: 2165.00
Episode 173	Average Score: 10.58 	steps: 2187.00
Episode 174	Average Score: 10.61 	steps: 2195.00
Episode 175	Average Score: 10.37 	steps: 2197.00
Episode 176	Average Score: 10.42 	steps: 2216.00
Episode 177	Average Score: 10.43 	steps: 2237.00
Episode 178	Average Score: 10.51 	steps: 2251.00
Episode 179	Average Score: 10.28 	steps: 2255.00
Episode 180	Average Score: 10.30 	steps: 2259.00
Episode 181	Average Score: 10.17 	steps: 2270.00
Episode 182	Average Score: 10.12 	steps: 2275.00
Episode 183	Average Score: 10.09 	steps: 2295.00
Episode 184	Average Score: 10.46 	steps: 2342.00
Episode 185	Average Score: 10.36 	steps: 2352.00
Episode 186	Average Score: 10.37 	steps: 2356.00
Episode 187	Average Score: 10.30 	steps: 2367.00
Episode 188	Average Score: 10.26 	steps: 2372.00
Episode 189	Average Score: 10.49 	steps: 2422.00
Episode 190	Average Score: 10.50 	steps: 2430.00
Episode 191	Average Score: 10.70 	steps: 2460.00
Episode 192	Average Score: 10.74 	steps: 2479.00
Episode 193	Average Score: 11.04 	steps: 2524.00
Episode 194	Average Score: 11.15 	steps: 2547.00
Episode 195	Average Score: 11.18 	steps: 2569.00
Episode 196	Average Score: 11.56 	steps: 2619.00
Episode 197	Average Score: 11.55 	steps: 2626.00
Episode 198	Average Score: 11.57 	steps: 2638.00
Episode 199	Average Score: 11.56 	steps: 2643.00
Episode 200	Average Score: 11.39 	steps: 2645.00
Episode 200	Average Score: 11.39 	steps: 2645.00

Episode 201	Average Score: 11.40 	steps: 2652.00
Episode 202	Average Score: 11.40 	steps: 2660.00
Episode 203	Average Score: 11.30 	steps: 2663.00
Episode 204	Average Score: 11.40 	steps: 2684.00
Episode 205	Average Score: 11.50 	steps: 2704.00
Episode 206	Average Score: 11.53 	steps: 2712.00
Episode 207	Average Score: 11.24 	steps: 2719.00
Episode 208	Average Score: 11.25 	steps: 2731.00
Episode 209	Average Score: 11.34 	steps: 2752.00
Episode 210	Average Score: 10.98 	steps: 2759.00
Episode 211	Average Score: 10.95 	steps: 2768.00
Episode 212	Average Score: 11.32 	steps: 2817.00
Episode 213	Average Score: 11.04 	steps: 2826.00
Episode 214	Average Score: 11.03 	steps: 2835.00
Episode 215	Average Score: 11.12 	steps: 2854.00
Episode 216	Average Score: 10.99 	steps: 2858.00
Episode 217	Average Score: 11.01 	steps: 2864.00
Episode 218	Average Score: 11.06 	steps: 2875.00
Episode 219	Average Score: 11.18 	steps: 2900.00
Episode 220	Average Score: 11.21 	steps: 2914.00
Episode 221	Average Score: 11.63 	steps: 2964.00
Episode 222	Average Score: 11.71 	steps: 2982.00
Episode 223	Average Score: 11.89 	steps: 3024.00
Episode 224	Average Score: 11.87 	steps: 3033.00
Episode 225	Average Score: 11.46 	steps: 3036.00
Episode 226	Average Score: 11.46 	steps: 3051.00
Episode 227	Average Score: 11.39 	steps: 3055.00
Episode 228	Average Score: 11.51 	steps: 3075.00
Episode 229	Average Score: 11.64 	steps: 3125.00
Episode 230	Average Score: 11.55 	steps: 3129.00
Episode 231	Average Score: 11.31 	steps: 3139.00
Episode 232	Average Score: 11.49 	steps: 3170.00
Episode 233	Average Score: 11.65 	steps: 3205.00
Episode 234	Average Score: 11.94 	steps: 3255.00
Episode 235	Average Score: 12.31 	steps: 3301.00
Episode 236	Average Score: 12.63 	steps: 3351.00
Episode 237	Average Score: 12.95 	steps: 3401.00
Episode 238	Average Score: 13.08 	steps: 3430.00
Episode 239	Average Score: 13.00 	steps: 3480.00
Episode 240	Average Score: 13.05 	steps: 3493.00
Episode 241	Average Score: 13.00 	steps: 3507.00
Episode 242	Average Score: 13.28 	steps: 3557.00
Episode 243	Average Score: 13.35 	steps: 3574.00
Episode 244	Average Score: 13.27 	steps: 3578.00
Episode 245	Average Score: 13.22 	steps: 3588.00
Episode 246	Average Score: 13.11 	steps: 3592.00
Episode 247	Average Score: 13.20 	steps: 3607.00
Episode 248	Average Score: 13.45 	steps: 3657.00
Episode 249	Average Score: 13.31 	steps: 3682.00
Episode 250	Average Score: 13.53 	steps: 3724.00
Episode 251	Average Score: 13.56 	steps: 3741.00
Episode 252	Average Score: 13.97 	steps: 3791.00
Episode 253	Average Score: 14.08 	steps: 3816.00
Episode 254	Average Score: 14.12 	steps: 3835.00
Episode 255	Average Score: 14.46 	steps: 3885.00
Episode 256	Average Score: 14.18 	steps: 3900.00
Episode 257	Average Score: 14.16 	steps: 3908.00
Episode 258	Average Score: 14.21 	steps: 3926.00
Episode 259	Average Score: 14.22 	steps: 3929.00
Episode 260	Average Score: 14.35 	steps: 3962.00
Episode 261	Average Score: 14.55 	steps: 4001.00
Episode 262	Average Score: 14.50 	steps: 4006.00
Episode 263	Average Score: 14.27 	steps: 4037.00
Episode 264	Average Score: 14.59 	steps: 4087.00
Episode 265	Average Score: 14.70 	steps: 4110.00
Episode 266	Average Score: 15.08 	steps: 4160.00
Episode 267	Average Score: 15.49 	steps: 4210.00
Episode 268	Average Score: 15.80 	steps: 4260.00
Episode 269	Average Score: 15.95 	steps: 4283.00
Episode 270	Average Score: 15.98 	steps: 4294.00
Episode 271	Average Score: 15.98 	steps: 4297.00
Episode 272	Average Score: 15.99 	steps: 4309.00
Episode 273	Average Score: 15.86 	steps: 4317.00
Episode 274	Average Score: 15.90 	steps: 4331.00
Episode 275	Average Score: 16.01 	steps: 4345.00
Episode 276	Average Score: 16.26 	steps: 4387.00
Episode 277	Average Score: 16.49 	steps: 4437.00
Episode 278	Average Score: 16.65 	steps: 4472.00
Episode 279	Average Score: 16.65 	steps: 4475.00
Episode 280	Average Score: 16.70 	steps: 4485.00
Episode 281	Average Score: 16.76 	steps: 4504.00
Episode 282	Average Score: 16.85 	steps: 4522.00
Episode 283	Average Score: 16.96 	steps: 4555.00
