created virtual environment CPython3.7.9.final.0-64 in 24103ms
  creator CPython3Posix(dest=/localscratch/fabdolla.29154370.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: pandas in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: numpy in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: pygame in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.29154370.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
Directory  14  already exists
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 1.27 	steps: 3.00
Episode 2	Average Score: 2.45 	steps: 8.00
Episode 3	Average Score: 2.42 	steps: 12.00
Episode 4	Average Score: 4.69 	steps: 25.00
Episode 5	Average Score: 5.14 	steps: 37.00
Episode 6	Average Score: 5.09 	steps: 44.00
Episode 7	Average Score: 4.53 	steps: 46.00
Episode 8	Average Score: 8.39 	steps: 92.00
Episode 9	Average Score: 7.75 	steps: 97.00
Episode 10	Average Score: 7.21 	steps: 100.00
Episode 11	Average Score: 7.39 	steps: 112.00
Episode 12	Average Score: 7.19 	steps: 119.00
Episode 13	Average Score: 6.94 	steps: 125.00
Episode 14	Average Score: 7.18 	steps: 137.00
Episode 15	Average Score: 8.87 	steps: 187.00
Episode 16	Average Score: 8.81 	steps: 198.00
Episode 17	Average Score: 8.69 	steps: 207.00
Episode 18	Average Score: 8.72 	steps: 217.00
Episode 19	Average Score: 8.34 	steps: 220.00
Episode 20	Average Score: 8.32 	steps: 231.00
Episode 21	Average Score: 7.99 	steps: 234.00
Episode 22	Average Score: 9.28 	steps: 284.00
Episode 23	Average Score: 9.00 	steps: 288.00
Episode 24	Average Score: 8.70 	steps: 291.00
Episode 25	Average Score: 9.06 	steps: 314.00
Episode 26	Average Score: 9.05 	steps: 328.00
Episode 27	Average Score: 8.79 	steps: 332.00
Episode 28	Average Score: 8.91 	steps: 349.00
Episode 29	Average Score: 9.08 	steps: 365.00
Episode 30	Average Score: 8.89 	steps: 372.00
Episode 31	Average Score: 8.77 	steps: 379.00
Episode 32	Average Score: 8.56 	steps: 382.00
Episode 33	Average Score: 8.45 	steps: 388.00
Episode 34	Average Score: 8.29 	steps: 393.00
Episode 35	Average Score: 8.11 	steps: 396.00
Episode 36	Average Score: 8.05 	steps: 406.00
Episode 37	Average Score: 8.12 	steps: 419.00
Episode 38	Average Score: 8.21 	steps: 436.00
Episode 39	Average Score: 8.39 	steps: 455.00
Episode 40	Average Score: 8.26 	steps: 460.00
Episode 41	Average Score: 8.11 	steps: 464.00
Episode 42	Average Score: 8.00 	steps: 469.00
Episode 43	Average Score: 7.87 	steps: 472.00
Episode 44	Average Score: 7.80 	steps: 479.00
Episode 45	Average Score: 7.71 	steps: 485.00
Episode 46	Average Score: 7.62 	steps: 490.00
Episode 47	Average Score: 7.54 	steps: 495.00
Episode 48	Average Score: 7.53 	steps: 504.00
Episode 49	Average Score: 7.44 	steps: 509.00
Episode 50	Average Score: 7.35 	steps: 513.00
Episode 51	Average Score: 7.24 	steps: 516.00
Episode 52	Average Score: 7.32 	steps: 534.00
Episode 53	Average Score: 7.24 	steps: 538.00
Episode 54	Average Score: 7.15 	steps: 543.00
Episode 55	Average Score: 7.12 	steps: 550.00
Episode 56	Average Score: 7.05 	steps: 555.00
Episode 57	Average Score: 6.98 	steps: 559.00
Episode 58	Average Score: 7.13 	steps: 583.00
Episode 59	Average Score: 7.04 	steps: 586.00
Episode 60	Average Score: 7.01 	steps: 595.00
Episode 61	Average Score: 7.11 	steps: 613.00
Episode 62	Average Score: 7.19 	steps: 629.00
Episode 63	Average Score: 7.12 	steps: 634.00
Episode 64	Average Score: 7.13 	steps: 643.00
Episode 65	Average Score: 7.28 	steps: 669.00
Episode 66	Average Score: 7.24 	steps: 676.00
Episode 67	Average Score: 7.25 	steps: 689.00
Episode 68	Average Score: 7.29 	steps: 701.00
Episode 69	Average Score: 7.23 	steps: 705.00
Episode 70	Average Score: 7.15 	steps: 709.00
Episode 71	Average Score: 7.12 	steps: 715.00
Episode 72	Average Score: 7.07 	steps: 719.00
Episode 73	Average Score: 7.02 	steps: 726.00
Episode 74	Average Score: 6.95 	steps: 730.00
Episode 75	Average Score: 6.92 	steps: 738.00
Episode 76	Average Score: 7.14 	steps: 767.00
Episode 77	Average Score: 7.11 	steps: 775.00
Episode 78	Average Score: 7.05 	steps: 780.00
Episode 79	Average Score: 7.30 	steps: 813.00
Episode 80	Average Score: 7.36 	steps: 829.00
Episode 81	Average Score: 7.41 	steps: 844.00
Episode 82	Average Score: 7.55 	steps: 870.00
Episode 83	Average Score: 7.88 	steps: 920.00
Episode 84	Average Score: 7.83 	steps: 925.00
Episode 85	Average Score: 7.90 	steps: 943.00
Episode 86	Average Score: 8.21 	steps: 993.00
Episode 87	Average Score: 8.19 	steps: 1000.00
Episode 88	Average Score: 8.19 	steps: 1010.00
Episode 89	Average Score: 8.35 	steps: 1041.00
Episode 90	Average Score: 8.29 	steps: 1045.00
Episode 91	Average Score: 8.27 	steps: 1057.00
Episode 92	Average Score: 8.24 	steps: 1063.00
Episode 93	Average Score: 8.26 	steps: 1077.00
Episode 94	Average Score: 8.37 	steps: 1100.00
Episode 95	Average Score: 8.32 	steps: 1104.00
Episode 96	Average Score: 8.26 	steps: 1109.00
Episode 97	Average Score: 8.25 	steps: 1117.00
Episode 98	Average Score: 8.19 	steps: 1120.00
Episode 99	Average Score: 8.15 	steps: 1126.00
Episode 100	Average Score: 8.11 	steps: 1131.00
Episode 100	Average Score: 8.11 	steps: 1131.00

Episode 101	Average Score: 8.11 	steps: 1134.00
Episode 102	Average Score: 8.11 	steps: 1139.00
Episode 103	Average Score: 8.11 	steps: 1143.00
Episode 104	Average Score: 8.07 	steps: 1155.00
Episode 105	Average Score: 8.06 	steps: 1164.00
Episode 106	Average Score: 8.41 	steps: 1214.00
Episode 107	Average Score: 8.47 	steps: 1222.00
Episode 108	Average Score: 8.25 	steps: 1242.00
Episode 109	Average Score: 8.35 	steps: 1257.00
Episode 110	Average Score: 8.76 	steps: 1307.00
Episode 111	Average Score: 8.80 	steps: 1322.00
Episode 112	Average Score: 8.79 	steps: 1328.00
Episode 113	Average Score: 8.91 	steps: 1346.00
Episode 114	Average Score: 9.16 	steps: 1396.00
Episode 115	Average Score: 9.06 	steps: 1433.00
Episode 116	Average Score: 9.12 	steps: 1450.00
Episode 117	Average Score: 9.10 	steps: 1456.00
Episode 118	Average Score: 9.42 	steps: 1506.00
Episode 119	Average Score: 9.57 	steps: 1530.00
Episode 120	Average Score: 9.56 	steps: 1539.00
Episode 121	Average Score: 9.59 	steps: 1547.00
Episode 122	Average Score: 9.27 	steps: 1554.00
Episode 123	Average Score: 9.30 	steps: 1561.00
Episode 124	Average Score: 9.29 	steps: 1564.00
Episode 125	Average Score: 9.20 	steps: 1575.00
Episode 126	Average Score: 9.38 	steps: 1604.00
Episode 127	Average Score: 9.44 	steps: 1618.00
Episode 128	Average Score: 9.34 	steps: 1621.00
Episode 129	Average Score: 9.37 	steps: 1641.00
Episode 130	Average Score: 9.38 	steps: 1650.00
Episode 131	Average Score: 9.67 	steps: 1700.00
Episode 132	Average Score: 9.67 	steps: 1704.00
Episode 133	Average Score: 9.64 	steps: 1708.00
Episode 134	Average Score: 9.66 	steps: 1715.00
Episode 135	Average Score: 9.81 	steps: 1739.00
Episode 136	Average Score: 10.18 	steps: 1789.00
Episode 137	Average Score: 10.44 	steps: 1839.00
Episode 138	Average Score: 10.40 	steps: 1849.00
Episode 139	Average Score: 10.49 	steps: 1886.00
Episode 140	Average Score: 10.50 	steps: 1891.00
Episode 141	Average Score: 10.51 	steps: 1895.00
Episode 142	Average Score: 10.54 	steps: 1903.00
Episode 143	Average Score: 10.55 	steps: 1909.00
Episode 144	Average Score: 10.58 	steps: 1923.00
Episode 145	Average Score: 10.57 	steps: 1928.00
Episode 146	Average Score: 10.61 	steps: 1939.00
Episode 147	Average Score: 10.60 	steps: 1944.00
Episode 148	Average Score: 10.59 	steps: 1953.00
Episode 149	Average Score: 10.86 	steps: 1999.00
Episode 150	Average Score: 10.91 	steps: 2008.00
Episode 151	Average Score: 11.02 	steps: 2027.00
Episode 152	Average Score: 10.93 	steps: 2030.00
Episode 153	Average Score: 10.91 	steps: 2032.00
Episode 154	Average Score: 10.96 	steps: 2041.00
Episode 155	Average Score: 11.33 	steps: 2091.00
Episode 156	Average Score: 11.31 	steps: 2093.00
Episode 157	Average Score: 11.30 	steps: 2098.00
Episode 158	Average Score: 11.16 	steps: 2101.00
Episode 159	Average Score: 11.30 	steps: 2120.00
Episode 160	Average Score: 11.40 	steps: 2137.00
Episode 161	Average Score: 11.29 	steps: 2140.00
Episode 162	Average Score: 11.54 	steps: 2190.00
Episode 163	Average Score: 11.53 	steps: 2193.00
Episode 164	Average Score: 11.55 	steps: 2205.00
Episode 165	Average Score: 11.41 	steps: 2212.00
Episode 166	Average Score: 11.38 	steps: 2215.00
Episode 167	Average Score: 11.64 	steps: 2265.00
Episode 168	Average Score: 11.63 	steps: 2277.00
Episode 169	Average Score: 11.66 	steps: 2284.00
Episode 170	Average Score: 11.66 	steps: 2288.00
Episode 171	Average Score: 11.67 	steps: 2298.00
Episode 172	Average Score: 11.68 	steps: 2305.00
Episode 173	Average Score: 11.71 	steps: 2317.00
Episode 174	Average Score: 11.93 	steps: 2344.00
Episode 175	Average Score: 12.06 	steps: 2363.00
Episode 176	Average Score: 11.91 	steps: 2378.00
Episode 177	Average Score: 12.20 	steps: 2422.00
Episode 178	Average Score: 12.20 	steps: 2426.00
Episode 179	Average Score: 12.08 	steps: 2448.00
Episode 180	Average Score: 12.07 	steps: 2463.00
Episode 181	Average Score: 11.98 	steps: 2467.00
Episode 182	Average Score: 11.83 	steps: 2473.00
Episode 183	Average Score: 11.58 	steps: 2487.00
Episode 184	Average Score: 11.90 	steps: 2537.00
Episode 185	Average Score: 11.79 	steps: 2542.00
Episode 186	Average Score: 11.58 	steps: 2559.00
Episode 187	Average Score: 11.55 	steps: 2565.00
Episode 188	Average Score: 11.50 	steps: 2570.00
Episode 189	Average Score: 11.34 	steps: 2577.00
Episode 190	Average Score: 11.33 	steps: 2582.00
Episode 191	Average Score: 11.62 	steps: 2632.00
Episode 192	Average Score: 11.59 	steps: 2635.00
Episode 193	Average Score: 11.53 	steps: 2641.00
Episode 194	Average Score: 11.37 	steps: 2644.00
Episode 195	Average Score: 11.46 	steps: 2658.00
Episode 196	Average Score: 11.54 	steps: 2674.00
Episode 197	Average Score: 11.50 	steps: 2679.00
Episode 198	Average Score: 11.50 	steps: 2682.00
Episode 199	Average Score: 11.57 	steps: 2703.00
Episode 200	Average Score: 11.54 	steps: 2705.00
Episode 200	Average Score: 11.54 	steps: 2705.00

Episode 201	Average Score: 11.55 	steps: 2708.00
Episode 202	Average Score: 11.56 	steps: 2714.00
Episode 203	Average Score: 11.82 	steps: 2749.00
Episode 204	Average Score: 11.86 	steps: 2767.00
Episode 205	Average Score: 12.22 	steps: 2817.00
Episode 206	Average Score: 11.89 	steps: 2825.00
Episode 207	Average Score: 11.84 	steps: 2829.00
Episode 208	Average Score: 11.73 	steps: 2831.00
Episode 209	Average Score: 11.71 	steps: 2846.00
Episode 210	Average Score: 11.29 	steps: 2850.00
Episode 211	Average Score: 11.61 	steps: 2900.00
Episode 212	Average Score: 11.66 	steps: 2912.00
Episode 213	Average Score: 11.59 	steps: 2922.00
Episode 214	Average Score: 11.26 	steps: 2925.00
Episode 215	Average Score: 11.36 	steps: 2970.00
Episode 216	Average Score: 11.64 	steps: 3020.00
Episode 217	Average Score: 12.00 	steps: 3070.00
Episode 218	Average Score: 11.61 	steps: 3074.00
Episode 219	Average Score: 11.52 	steps: 3087.00
Episode 220	Average Score: 11.50 	steps: 3093.00
Episode 221	Average Score: 11.65 	steps: 3125.00
Episode 222	Average Score: 12.02 	steps: 3175.00
Episode 223	Average Score: 12.00 	steps: 3181.00
Episode 224	Average Score: 12.08 	steps: 3192.00
Episode 225	Average Score: 12.09 	steps: 3205.00
Episode 226	Average Score: 11.84 	steps: 3208.00
Episode 227	Average Score: 11.83 	steps: 3216.00
Episode 228	Average Score: 11.87 	steps: 3223.00
Episode 229	Average Score: 11.91 	steps: 3247.00
Episode 230	Average Score: 11.89 	steps: 3251.00
Episode 231	Average Score: 11.63 	steps: 3262.00
Episode 232	Average Score: 12.02 	steps: 3312.00
Episode 233	Average Score: 12.23 	steps: 3343.00
Episode 234	Average Score: 12.20 	steps: 3347.00
Episode 235	Average Score: 12.26 	steps: 3380.00
Episode 236	Average Score: 12.18 	steps: 3430.00
Episode 237	Average Score: 11.86 	steps: 3436.00
Episode 238	Average Score: 11.84 	steps: 3442.00
Episode 239	Average Score: 11.65 	steps: 3451.00
Episode 240	Average Score: 12.05 	steps: 3501.00
Episode 241	Average Score: 12.40 	steps: 3551.00
Episode 242	Average Score: 12.72 	steps: 3601.00
Episode 243	Average Score: 12.71 	steps: 3604.00
Episode 244	Average Score: 12.73 	steps: 3619.00
Episode 245	Average Score: 13.00 	steps: 3656.00
Episode 246	Average Score: 13.12 	steps: 3679.00
Episode 247	Average Score: 13.51 	steps: 3729.00
Episode 248	Average Score: 13.69 	steps: 3757.00
Episode 249	Average Score: 13.46 	steps: 3765.00
Episode 250	Average Score: 13.39 	steps: 3767.00
Episode 251	Average Score: 13.32 	steps: 3774.00
Episode 252	Average Score: 13.40 	steps: 3791.00
Episode 253	Average Score: 13.81 	steps: 3841.00
Episode 254	Average Score: 13.76 	steps: 3845.00
Episode 255	Average Score: 13.76 	steps: 3895.00
Episode 256	Average Score: 13.85 	steps: 3907.00
Episode 257	Average Score: 13.88 	steps: 3915.00
Episode 258	Average Score: 14.19 	steps: 3965.00
Episode 259	Average Score: 14.40 	steps: 4015.00
Episode 260	Average Score: 14.36 	steps: 4029.00
Episode 261	Average Score: 14.71 	steps: 4079.00
Episode 262	Average Score: 14.58 	steps: 4111.00
Episode 263	Average Score: 14.59 	steps: 4115.00
Episode 264	Average Score: 14.52 	steps: 4119.00
Episode 265	Average Score: 14.51 	steps: 4122.00
Episode 266	Average Score: 14.51 	steps: 4126.00
Episode 267	Average Score: 14.61 	steps: 4176.00
Episode 268	Average Score: 14.54 	steps: 4180.00
Episode 269	Average Score: 14.51 	steps: 4183.00
Episode 270	Average Score: 14.52 	steps: 4187.00
Episode 271	Average Score: 14.52 	steps: 4198.00
Episode 272	Average Score: 14.89 	steps: 4248.00
Episode 273	Average Score: 15.01 	steps: 4270.00
Episode 274	Average Score: 15.17 	steps: 4320.00
Episode 275	Average Score: 15.05 	steps: 4329.00
Episode 276	Average Score: 15.19 	steps: 4368.00
Episode 277	Average Score: 14.89 	steps: 4372.00
Episode 278	Average Score: 15.13 	steps: 4417.00
Episode 279	Average Score: 15.36 	steps: 4467.00
Episode 280	Average Score: 15.29 	steps: 4472.00
Episode 281	Average Score: 15.30 	steps: 4477.00
Episode 282	Average Score: 15.70 	steps: 4527.00
Episode 283	Average Score: 15.62 	steps: 4531.00
Episode 284	Average Score: 15.31 	steps: 4536.00
Episode 285	Average Score: 15.40 	steps: 4551.00
