created virtual environment CPython3.7.9.final.0-64 in 3162ms
  creator CPython3Posix(dest=/localscratch/fabdolla.28934895.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: pygame in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: gym in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: numpy in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: pandas in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.28934895.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 20.20 	steps: 24.00
Episode 2	Average Score: 20.68 	steps: 51.00
Episode 3	Average Score: 15.14 	steps: 57.00
Episode 4	Average Score: 15.17 	steps: 80.00
Episode 5	Average Score: 12.78 	steps: 84.00
Episode 6	Average Score: 12.34 	steps: 96.00
Episode 7	Average Score: 11.11 	steps: 102.00
Episode 8	Average Score: 11.25 	steps: 118.00
Episode 9	Average Score: 10.18 	steps: 121.00
Episode 10	Average Score: 9.35 	steps: 124.00
Episode 11	Average Score: 8.74 	steps: 128.00
Episode 12	Average Score: 8.24 	steps: 133.00
Episode 13	Average Score: 7.74 	steps: 136.00
Episode 14	Average Score: 8.01 	steps: 149.00
Episode 15	Average Score: 7.61 	steps: 153.00
Episode 16	Average Score: 7.42 	steps: 160.00
Episode 17	Average Score: 7.92 	steps: 178.00
Episode 18	Average Score: 7.80 	steps: 187.00
Episode 19	Average Score: 7.98 	steps: 200.00
Episode 20	Average Score: 8.24 	steps: 216.00
Episode 21	Average Score: 8.32 	steps: 227.00
Episode 22	Average Score: 8.23 	steps: 235.00
Episode 23	Average Score: 8.12 	steps: 243.00
Episode 24	Average Score: 8.00 	steps: 250.00
Episode 25	Average Score: 7.80 	steps: 255.00
Episode 26	Average Score: 7.93 	steps: 269.00
Episode 27	Average Score: 7.90 	steps: 277.00
Episode 28	Average Score: 7.76 	steps: 283.00
Episode 29	Average Score: 7.69 	steps: 291.00
Episode 30	Average Score: 7.68 	steps: 300.00
Episode 31	Average Score: 7.96 	steps: 318.00
Episode 32	Average Score: 7.90 	steps: 327.00
Episode 33	Average Score: 7.72 	steps: 330.00
Episode 34	Average Score: 7.54 	steps: 333.00
Episode 35	Average Score: 7.48 	steps: 342.00
Episode 36	Average Score: 7.36 	steps: 346.00
Episode 37	Average Score: 7.46 	steps: 359.00
Episode 38	Average Score: 7.32 	steps: 362.00
Episode 39	Average Score: 7.27 	steps: 368.00
Episode 40	Average Score: 7.65 	steps: 402.00
Episode 41	Average Score: 7.55 	steps: 408.00
Episode 42	Average Score: 7.41 	steps: 411.00
Episode 43	Average Score: 7.76 	steps: 442.00
Episode 44	Average Score: 7.62 	steps: 445.00
Episode 45	Average Score: 7.68 	steps: 458.00
Episode 46	Average Score: 7.60 	steps: 463.00
Episode 47	Average Score: 7.56 	steps: 470.00
Episode 48	Average Score: 7.55 	steps: 480.00
Episode 49	Average Score: 7.46 	steps: 485.00
Episode 50	Average Score: 7.39 	steps: 490.00
Episode 51	Average Score: 7.74 	steps: 520.00
Episode 52	Average Score: 8.11 	steps: 554.00
Episode 53	Average Score: 8.02 	steps: 558.00
Episode 54	Average Score: 7.98 	steps: 566.00
Episode 55	Average Score: 7.95 	steps: 576.00
Episode 56	Average Score: 7.93 	steps: 588.00
Episode 57	Average Score: 7.82 	steps: 591.00
Episode 58	Average Score: 7.73 	steps: 595.00
Episode 59	Average Score: 7.72 	steps: 604.00
Episode 60	Average Score: 7.94 	steps: 630.00
Episode 61	Average Score: 7.85 	steps: 634.00
Episode 62	Average Score: 8.34 	steps: 682.00
Episode 63	Average Score: 8.31 	steps: 693.00
Episode 64	Average Score: 8.27 	steps: 703.00
Episode 65	Average Score: 8.18 	steps: 706.00
Episode 66	Average Score: 8.11 	steps: 711.00
Episode 67	Average Score: 8.56 	steps: 761.00
Episode 68	Average Score: 8.54 	steps: 771.00
Episode 69	Average Score: 8.49 	steps: 779.00
Episode 70	Average Score: 8.41 	steps: 784.00
Episode 71	Average Score: 8.83 	steps: 834.00
Episode 72	Average Score: 8.94 	steps: 854.00
Episode 73	Average Score: 8.89 	steps: 860.00
Episode 74	Average Score: 8.80 	steps: 863.00
Episode 75	Average Score: 8.73 	steps: 868.00
Episode 76	Average Score: 8.68 	steps: 875.00
Episode 77	Average Score: 8.67 	steps: 886.00
Episode 78	Average Score: 8.66 	steps: 895.00
Episode 79	Average Score: 8.61 	steps: 902.00
Episode 80	Average Score: 9.01 	steps: 952.00
Episode 81	Average Score: 9.15 	steps: 980.00
Episode 82	Average Score: 9.10 	steps: 988.00
Episode 83	Average Score: 9.23 	steps: 1019.00
Episode 84	Average Score: 9.25 	steps: 1033.00
Episode 85	Average Score: 9.18 	steps: 1037.00
Episode 86	Average Score: 9.11 	steps: 1041.00
Episode 87	Average Score: 9.07 	steps: 1050.00
Episode 88	Average Score: 9.01 	steps: 1057.00
Episode 89	Average Score: 8.94 	steps: 1062.00
Episode 90	Average Score: 8.98 	steps: 1078.00
Episode 91	Average Score: 8.90 	steps: 1080.00
Episode 92	Average Score: 8.83 	steps: 1083.00
Episode 93	Average Score: 8.76 	steps: 1086.00
Episode 94	Average Score: 8.69 	steps: 1091.00
Episode 95	Average Score: 8.69 	steps: 1104.00
Episode 96	Average Score: 8.61 	steps: 1107.00
Episode 97	Average Score: 8.66 	steps: 1126.00
Episode 98	Average Score: 8.89 	steps: 1164.00
Episode 99	Average Score: 8.82 	steps: 1167.00
Episode 100	Average Score: 8.93 	steps: 1189.00
Episode 100	Average Score: 8.93 	steps: 1189.00

Episode 101	Average Score: 8.76 	steps: 1193.00
Episode 102	Average Score: 8.57 	steps: 1197.00
Episode 103	Average Score: 8.64 	steps: 1210.00
Episode 104	Average Score: 8.51 	steps: 1213.00
Episode 105	Average Score: 8.51 	steps: 1218.00
Episode 106	Average Score: 8.48 	steps: 1228.00
Episode 107	Average Score: 8.67 	steps: 1254.00
Episode 108	Average Score: 8.58 	steps: 1258.00
Episode 109	Average Score: 8.59 	steps: 1261.00
Episode 110	Average Score: 8.66 	steps: 1275.00
Episode 111	Average Score: 8.71 	steps: 1287.00
Episode 112	Average Score: 8.75 	steps: 1294.00
Episode 113	Average Score: 9.00 	steps: 1327.00
Episode 114	Average Score: 9.20 	steps: 1377.00
Episode 115	Average Score: 9.20 	steps: 1380.00
Episode 116	Average Score: 9.57 	steps: 1430.00
Episode 117	Average Score: 9.47 	steps: 1439.00
Episode 118	Average Score: 9.81 	steps: 1485.00
Episode 119	Average Score: 9.81 	steps: 1499.00
Episode 120	Average Score: 10.02 	steps: 1545.00
Episode 121	Average Score: 10.10 	steps: 1567.00
Episode 122	Average Score: 10.10 	steps: 1576.00
Episode 123	Average Score: 10.36 	steps: 1626.00
Episode 124	Average Score: 10.39 	steps: 1638.00
Episode 125	Average Score: 10.39 	steps: 1643.00
Episode 126	Average Score: 10.34 	steps: 1651.00
Episode 127	Average Score: 10.27 	steps: 1653.00
Episode 128	Average Score: 10.30 	steps: 1663.00
Episode 129	Average Score: 10.29 	steps: 1669.00
Episode 130	Average Score: 10.26 	steps: 1674.00
Episode 131	Average Score: 10.22 	steps: 1690.00
Episode 132	Average Score: 10.19 	steps: 1694.00
Episode 133	Average Score: 10.23 	steps: 1702.00
Episode 134	Average Score: 10.26 	steps: 1708.00
Episode 135	Average Score: 10.28 	steps: 1721.00
Episode 136	Average Score: 10.31 	steps: 1729.00
Episode 137	Average Score: 10.23 	steps: 1734.00
Episode 138	Average Score: 10.27 	steps: 1741.00
Episode 139	Average Score: 10.25 	steps: 1745.00
Episode 140	Average Score: 10.04 	steps: 1748.00
Episode 141	Average Score: 10.07 	steps: 1759.00
Episode 142	Average Score: 10.06 	steps: 1762.00
Episode 143	Average Score: 9.86 	steps: 1765.00
Episode 144	Average Score: 9.87 	steps: 1768.00
Episode 145	Average Score: 9.80 	steps: 1774.00
Episode 146	Average Score: 10.11 	steps: 1813.00
Episode 147	Average Score: 10.08 	steps: 1817.00
Episode 148	Average Score: 10.08 	steps: 1826.00
Episode 149	Average Score: 10.15 	steps: 1836.00
Episode 150	Average Score: 10.20 	steps: 1848.00
Episode 151	Average Score: 10.03 	steps: 1861.00
Episode 152	Average Score: 9.81 	steps: 1867.00
Episode 153	Average Score: 9.81 	steps: 1872.00
Episode 154	Average Score: 9.77 	steps: 1876.00
Episode 155	Average Score: 10.16 	steps: 1926.00
Episode 156	Average Score: 10.14 	steps: 1932.00
Episode 157	Average Score: 10.16 	steps: 1937.00
Episode 158	Average Score: 10.17 	steps: 1942.00
Episode 159	Average Score: 10.19 	steps: 1953.00
Episode 160	Average Score: 9.99 	steps: 1956.00
Episode 161	Average Score: 9.98 	steps: 1958.00
Episode 162	Average Score: 9.61 	steps: 1961.00
Episode 163	Average Score: 9.96 	steps: 2011.00
Episode 164	Average Score: 9.96 	steps: 2018.00
Episode 165	Average Score: 10.32 	steps: 2068.00
Episode 166	Average Score: 10.41 	steps: 2082.00
Episode 167	Average Score: 10.07 	steps: 2087.00
Episode 168	Average Score: 10.08 	steps: 2098.00
Episode 169	Average Score: 10.09 	steps: 2105.00
Episode 170	Average Score: 10.09 	steps: 2111.00
Episode 171	Average Score: 9.76 	steps: 2119.00
Episode 172	Average Score: 9.75 	steps: 2143.00
Episode 173	Average Score: 9.73 	steps: 2147.00
Episode 174	Average Score: 9.91 	steps: 2170.00
Episode 175	Average Score: 9.88 	steps: 2172.00
Episode 176	Average Score: 10.06 	steps: 2198.00
Episode 177	Average Score: 10.36 	steps: 2248.00
Episode 178	Average Score: 10.37 	steps: 2262.00
Episode 179	Average Score: 10.40 	steps: 2270.00
Episode 180	Average Score: 10.10 	steps: 2288.00
Episode 181	Average Score: 9.91 	steps: 2291.00
Episode 182	Average Score: 9.94 	steps: 2300.00
Episode 183	Average Score: 9.82 	steps: 2309.00
Episode 184	Average Score: 9.76 	steps: 2318.00
Episode 185	Average Score: 10.04 	steps: 2360.00
Episode 186	Average Score: 10.11 	steps: 2372.00
Episode 187	Average Score: 10.11 	steps: 2378.00
Episode 188	Average Score: 10.23 	steps: 2398.00
Episode 189	Average Score: 10.22 	steps: 2400.00
Episode 190	Average Score: 10.32 	steps: 2431.00
Episode 191	Average Score: 10.45 	steps: 2452.00
Episode 192	Average Score: 10.46 	steps: 2458.00
Episode 193	Average Score: 10.47 	steps: 2464.00
Episode 194	Average Score: 10.85 	steps: 2511.00
Episode 195	Average Score: 10.79 	steps: 2515.00
Episode 196	Average Score: 10.91 	steps: 2531.00
Episode 197	Average Score: 10.84 	steps: 2539.00
Episode 198	Average Score: 10.58 	steps: 2546.00
Episode 199	Average Score: 10.63 	steps: 2555.00
Episode 200	Average Score: 10.45 	steps: 2558.00
Episode 200	Average Score: 10.45 	steps: 2558.00

Episode 201	Average Score: 10.49 	steps: 2566.00
Episode 202	Average Score: 10.49 	steps: 2569.00
Episode 203	Average Score: 10.43 	steps: 2579.00
Episode 204	Average Score: 10.43 	steps: 2582.00
Episode 205	Average Score: 10.42 	steps: 2585.00
Episode 206	Average Score: 10.36 	steps: 2589.00
Episode 207	Average Score: 10.15 	steps: 2592.00
Episode 208	Average Score: 10.50 	steps: 2642.00
Episode 209	Average Score: 10.58 	steps: 2653.00
Episode 210	Average Score: 10.55 	steps: 2659.00
Episode 211	Average Score: 10.53 	steps: 2668.00
Episode 212	Average Score: 10.49 	steps: 2671.00
Episode 213	Average Score: 10.39 	steps: 2690.00
Episode 214	Average Score: 10.20 	steps: 2705.00
Episode 215	Average Score: 10.22 	steps: 2710.00
Episode 216	Average Score: 9.90 	steps: 2720.00
Episode 217	Average Score: 9.91 	steps: 2728.00
Episode 218	Average Score: 9.57 	steps: 2737.00
Episode 219	Average Score: 9.66 	steps: 2759.00
Episode 220	Average Score: 9.44 	steps: 2776.00
Episode 221	Average Score: 9.31 	steps: 2784.00
Episode 222	Average Score: 9.33 	steps: 2795.00
Episode 223	Average Score: 9.05 	steps: 2801.00
Episode 224	Average Score: 9.13 	steps: 2821.00
Episode 225	Average Score: 9.15 	steps: 2828.00
Episode 226	Average Score: 9.37 	steps: 2865.00
Episode 227	Average Score: 9.38 	steps: 2870.00
Episode 228	Average Score: 9.50 	steps: 2891.00
Episode 229	Average Score: 9.47 	steps: 2895.00
Episode 230	Average Score: 9.45 	steps: 2898.00
Episode 231	Average Score: 9.48 	steps: 2917.00
Episode 232	Average Score: 9.61 	steps: 2939.00
Episode 233	Average Score: 9.64 	steps: 2949.00
Episode 234	Average Score: 9.62 	steps: 2954.00
Episode 235	Average Score: 9.62 	steps: 2963.00
Episode 236	Average Score: 9.56 	steps: 2966.00
Episode 237	Average Score: 9.99 	steps: 3016.00
Episode 238	Average Score: 10.00 	steps: 3025.00
Episode 239	Average Score: 10.00 	steps: 3029.00
Episode 240	Average Score: 10.06 	steps: 3038.00
Episode 241	Average Score: 10.31 	steps: 3075.00
Episode 242	Average Score: 10.66 	steps: 3125.00
Episode 243	Average Score: 10.98 	steps: 3171.00
Episode 244	Average Score: 11.38 	steps: 3221.00
Episode 245	Average Score: 11.35 	steps: 3224.00
Episode 246	Average Score: 11.12 	steps: 3243.00
Episode 247	Average Score: 11.22 	steps: 3263.00
Episode 248	Average Score: 11.18 	steps: 3268.00
Episode 249	Average Score: 11.31 	steps: 3293.00
Episode 250	Average Score: 11.23 	steps: 3296.00
Episode 251	Average Score: 11.35 	steps: 3319.00
Episode 252	Average Score: 11.35 	steps: 3325.00
Episode 253	Average Score: 11.58 	steps: 3355.00
Episode 254	Average Score: 11.64 	steps: 3367.00
Episode 255	Average Score: 11.61 	steps: 3417.00
Episode 256	Average Score: 11.65 	steps: 3427.00
Episode 257	Average Score: 11.80 	steps: 3456.00
Episode 258	Average Score: 12.12 	steps: 3506.00
Episode 259	Average Score: 12.05 	steps: 3510.00
Episode 260	Average Score: 12.10 	steps: 3519.00
Episode 261	Average Score: 12.20 	steps: 3534.00
Episode 262	Average Score: 12.22 	steps: 3539.00
Episode 263	Average Score: 11.84 	steps: 3544.00
Episode 264	Average Score: 12.10 	steps: 3594.00
Episode 265	Average Score: 11.75 	steps: 3598.00
Episode 266	Average Score: 11.66 	steps: 3602.00
Episode 267	Average Score: 11.69 	steps: 3610.00
Episode 268	Average Score: 11.69 	steps: 3622.00
Episode 269	Average Score: 11.67 	steps: 3627.00
Episode 270	Average Score: 11.97 	steps: 3677.00
Episode 271	Average Score: 11.95 	steps: 3681.00
Episode 272	Average Score: 12.19 	steps: 3731.00
Episode 273	Average Score: 12.19 	steps: 3735.00
Episode 274	Average Score: 12.06 	steps: 3742.00
Episode 275	Average Score: 12.29 	steps: 3776.00
Episode 276	Average Score: 12.12 	steps: 3782.00
Episode 277	Average Score: 11.92 	steps: 3804.00
Episode 278	Average Score: 11.87 	steps: 3809.00
Episode 279	Average Score: 11.82 	steps: 3812.00
Episode 280	Average Score: 11.77 	steps: 3821.00
Episode 281	Average Score: 11.92 	steps: 3840.00
Episode 282	Average Score: 12.17 	steps: 3883.00
Episode 283	Average Score: 12.33 	steps: 3912.00
