created virtual environment CPython3.7.9.final.0-64 in 26771ms
  creator CPython3Posix(dest=/localscratch/fabdolla.28934899.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: numpy in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: pandas in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: pygame in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.28934899.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 16.47 	steps: 22.00
Episode 2	Average Score: 15.25 	steps: 38.00
Episode 3	Average Score: 16.07 	steps: 63.00
Episode 4	Average Score: 13.46 	steps: 70.00
Episode 5	Average Score: 11.35 	steps: 74.00
Episode 6	Average Score: 9.79 	steps: 77.00
Episode 7	Average Score: 9.15 	steps: 86.00
Episode 8	Average Score: 8.53 	steps: 93.00
Episode 9	Average Score: 8.34 	steps: 102.00
Episode 10	Average Score: 8.78 	steps: 119.00
Episode 11	Average Score: 8.44 	steps: 126.00
Episode 12	Average Score: 8.91 	steps: 141.00
Episode 13	Average Score: 8.40 	steps: 144.00
Episode 14	Average Score: 7.99 	steps: 148.00
Episode 15	Average Score: 8.17 	steps: 164.00
Episode 16	Average Score: 7.97 	steps: 171.00
Episode 17	Average Score: 7.62 	steps: 174.00
Episode 18	Average Score: 7.47 	steps: 182.00
Episode 19	Average Score: 7.46 	steps: 193.00
Episode 20	Average Score: 7.13 	steps: 195.00
Episode 21	Average Score: 7.32 	steps: 211.00
Episode 22	Average Score: 7.46 	steps: 229.00
Episode 23	Average Score: 7.48 	steps: 239.00
Episode 24	Average Score: 7.25 	steps: 243.00
Episode 25	Average Score: 7.25 	steps: 252.00
Episode 26	Average Score: 7.49 	steps: 269.00
Episode 27	Average Score: 7.32 	steps: 273.00
Episode 28	Average Score: 7.27 	steps: 282.00
Episode 29	Average Score: 7.35 	steps: 296.00
Episode 30	Average Score: 7.27 	steps: 302.00
Episode 31	Average Score: 7.20 	steps: 310.00
Episode 32	Average Score: 7.09 	steps: 315.00
Episode 33	Average Score: 6.99 	steps: 320.00
Episode 34	Average Score: 6.85 	steps: 324.00
Episode 35	Average Score: 6.69 	steps: 327.00
Episode 36	Average Score: 6.60 	steps: 331.00
Episode 37	Average Score: 6.62 	steps: 344.00
Episode 38	Average Score: 6.52 	steps: 349.00
Episode 39	Average Score: 6.42 	steps: 352.00
Episode 40	Average Score: 6.62 	steps: 371.00
Episode 41	Average Score: 6.52 	steps: 374.00
Episode 42	Average Score: 6.49 	steps: 381.00
Episode 43	Average Score: 6.50 	steps: 392.00
Episode 44	Average Score: 6.42 	steps: 396.00
Episode 45	Average Score: 6.58 	steps: 414.00
Episode 46	Average Score: 6.59 	steps: 425.00
Episode 47	Average Score: 6.47 	steps: 428.00
Episode 48	Average Score: 6.38 	steps: 432.00
Episode 49	Average Score: 6.43 	steps: 446.00
Episode 50	Average Score: 6.37 	steps: 452.00
Episode 51	Average Score: 6.55 	steps: 470.00
Episode 52	Average Score: 6.55 	steps: 481.00
Episode 53	Average Score: 6.47 	steps: 485.00
Episode 54	Average Score: 6.41 	steps: 490.00
Episode 55	Average Score: 6.34 	steps: 494.00
Episode 56	Average Score: 6.33 	steps: 504.00
Episode 57	Average Score: 6.26 	steps: 508.00
Episode 58	Average Score: 6.23 	steps: 515.00
Episode 59	Average Score: 6.17 	steps: 520.00
Episode 60	Average Score: 6.37 	steps: 542.00
Episode 61	Average Score: 6.30 	steps: 546.00
Episode 62	Average Score: 6.34 	steps: 560.00
Episode 63	Average Score: 6.38 	steps: 575.00
Episode 64	Average Score: 6.32 	steps: 579.00
Episode 65	Average Score: 6.28 	steps: 584.00
Episode 66	Average Score: 6.22 	steps: 587.00
Episode 67	Average Score: 6.33 	steps: 608.00
Episode 68	Average Score: 6.40 	steps: 623.00
Episode 69	Average Score: 6.35 	steps: 627.00
Episode 70	Average Score: 6.30 	steps: 631.00
Episode 71	Average Score: 6.31 	steps: 642.00
Episode 72	Average Score: 6.64 	steps: 692.00
Episode 73	Average Score: 6.60 	steps: 697.00
Episode 74	Average Score: 6.57 	steps: 705.00
Episode 75	Average Score: 6.62 	steps: 718.00
Episode 76	Average Score: 6.86 	steps: 751.00
Episode 77	Average Score: 6.81 	steps: 755.00
Episode 78	Average Score: 6.74 	steps: 758.00
Episode 79	Average Score: 6.68 	steps: 761.00
Episode 80	Average Score: 6.64 	steps: 767.00
Episode 81	Average Score: 6.78 	steps: 789.00
Episode 82	Average Score: 7.17 	steps: 839.00
Episode 83	Average Score: 7.25 	steps: 861.00
Episode 84	Average Score: 7.24 	steps: 870.00
Episode 85	Average Score: 7.39 	steps: 901.00
Episode 86	Average Score: 7.36 	steps: 908.00
Episode 87	Average Score: 7.29 	steps: 912.00
Episode 88	Average Score: 7.65 	steps: 960.00
Episode 89	Average Score: 7.62 	steps: 966.00
Episode 90	Average Score: 7.55 	steps: 968.00
Episode 91	Average Score: 7.49 	steps: 972.00
Episode 92	Average Score: 7.44 	steps: 978.00
Episode 93	Average Score: 7.43 	steps: 987.00
Episode 94	Average Score: 7.36 	steps: 990.00
Episode 95	Average Score: 7.38 	steps: 1005.00
Episode 96	Average Score: 7.39 	steps: 1020.00
Episode 97	Average Score: 7.34 	steps: 1023.00
Episode 98	Average Score: 7.28 	steps: 1025.00
Episode 99	Average Score: 7.30 	steps: 1039.00
Episode 100	Average Score: 7.25 	steps: 1043.00
Episode 100	Average Score: 7.25 	steps: 1043.00

Episode 101	Average Score: 7.09 	steps: 1046.00
Episode 102	Average Score: 7.27 	steps: 1085.00
Episode 103	Average Score: 7.14 	steps: 1094.00
Episode 104	Average Score: 7.25 	steps: 1118.00
Episode 105	Average Score: 7.45 	steps: 1147.00
Episode 106	Average Score: 7.58 	steps: 1167.00
Episode 107	Average Score: 7.61 	steps: 1180.00
Episode 108	Average Score: 7.90 	steps: 1230.00
Episode 109	Average Score: 7.85 	steps: 1233.00
Episode 110	Average Score: 7.84 	steps: 1248.00
Episode 111	Average Score: 7.83 	steps: 1254.00
Episode 112	Average Score: 7.75 	steps: 1263.00
Episode 113	Average Score: 7.86 	steps: 1282.00
Episode 114	Average Score: 7.97 	steps: 1303.00
Episode 115	Average Score: 7.88 	steps: 1306.00
Episode 116	Average Score: 7.94 	steps: 1325.00
Episode 117	Average Score: 7.99 	steps: 1335.00
Episode 118	Average Score: 8.20 	steps: 1372.00
Episode 119	Average Score: 8.22 	steps: 1387.00
Episode 120	Average Score: 8.26 	steps: 1394.00
Episode 121	Average Score: 8.21 	steps: 1404.00
Episode 122	Average Score: 8.14 	steps: 1408.00
Episode 123	Average Score: 8.11 	steps: 1415.00
Episode 124	Average Score: 8.16 	steps: 1424.00
Episode 125	Average Score: 8.10 	steps: 1427.00
Episode 126	Average Score: 7.98 	steps: 1431.00
Episode 127	Average Score: 8.00 	steps: 1438.00
Episode 128	Average Score: 8.29 	steps: 1488.00
Episode 129	Average Score: 8.24 	steps: 1495.00
Episode 130	Average Score: 8.22 	steps: 1499.00
Episode 131	Average Score: 8.18 	steps: 1502.00
Episode 132	Average Score: 8.38 	steps: 1535.00
Episode 133	Average Score: 8.40 	steps: 1544.00
Episode 134	Average Score: 8.61 	steps: 1581.00
Episode 135	Average Score: 8.62 	steps: 1585.00
Episode 136	Average Score: 8.68 	steps: 1600.00
Episode 137	Average Score: 8.78 	steps: 1626.00
Episode 138	Average Score: 8.87 	steps: 1644.00
Episode 139	Average Score: 8.90 	steps: 1653.00
Episode 140	Average Score: 8.78 	steps: 1657.00
Episode 141	Average Score: 8.81 	steps: 1667.00
Episode 142	Average Score: 8.80 	steps: 1676.00
Episode 143	Average Score: 8.99 	steps: 1713.00
Episode 144	Average Score: 9.05 	steps: 1729.00
Episode 145	Average Score: 9.26 	steps: 1768.00
Episode 146	Average Score: 9.23 	steps: 1773.00
Episode 147	Average Score: 9.27 	steps: 1781.00
Episode 148	Average Score: 9.34 	steps: 1792.00
Episode 149	Average Score: 9.35 	steps: 1806.00
Episode 150	Average Score: 9.43 	steps: 1821.00
Episode 151	Average Score: 9.32 	steps: 1826.00
Episode 152	Average Score: 9.49 	steps: 1856.00
Episode 153	Average Score: 9.49 	steps: 1861.00
Episode 154	Average Score: 9.58 	steps: 1878.00
Episode 155	Average Score: 9.82 	steps: 1915.00
Episode 156	Average Score: 9.78 	steps: 1918.00
Episode 157	Average Score: 9.90 	steps: 1939.00
Episode 158	Average Score: 10.00 	steps: 1960.00
Episode 159	Average Score: 9.99 	steps: 1963.00
Episode 160	Average Score: 9.85 	steps: 1968.00
Episode 161	Average Score: 10.03 	steps: 1995.00
Episode 162	Average Score: 10.02 	steps: 2005.00
Episode 163	Average Score: 10.06 	steps: 2025.00
Episode 164	Average Score: 10.24 	steps: 2052.00
Episode 165	Average Score: 10.26 	steps: 2058.00
Episode 166	Average Score: 10.36 	steps: 2077.00
Episode 167	Average Score: 10.26 	steps: 2085.00
Episode 168	Average Score: 10.43 	steps: 2125.00
Episode 169	Average Score: 10.63 	steps: 2160.00
Episode 170	Average Score: 10.76 	steps: 2183.00
Episode 171	Average Score: 10.78 	steps: 2196.00
Episode 172	Average Score: 10.53 	steps: 2203.00
Episode 173	Average Score: 10.52 	steps: 2207.00
Episode 174	Average Score: 10.55 	steps: 2220.00
Episode 175	Average Score: 10.55 	steps: 2234.00
Episode 176	Average Score: 10.62 	steps: 2280.00
Episode 177	Average Score: 10.79 	steps: 2311.00
Episode 178	Average Score: 10.88 	steps: 2327.00
Episode 179	Average Score: 10.88 	steps: 2331.00
Episode 180	Average Score: 11.19 	steps: 2381.00
Episode 181	Average Score: 11.26 	steps: 2415.00
Episode 182	Average Score: 11.18 	steps: 2465.00
Episode 183	Average Score: 11.08 	steps: 2470.00
Episode 184	Average Score: 11.41 	steps: 2520.00
Episode 185	Average Score: 11.24 	steps: 2525.00
Episode 186	Average Score: 11.40 	steps: 2550.00
Episode 187	Average Score: 11.50 	steps: 2569.00
Episode 188	Average Score: 11.16 	steps: 2576.00
Episode 189	Average Score: 11.15 	steps: 2584.00
Episode 190	Average Score: 11.56 	steps: 2634.00
Episode 191	Average Score: 11.78 	steps: 2663.00
Episode 192	Average Score: 11.80 	steps: 2671.00
Episode 193	Average Score: 11.78 	steps: 2679.00
Episode 194	Average Score: 12.10 	steps: 2719.00
Episode 195	Average Score: 12.07 	steps: 2727.00
Episode 196	Average Score: 12.16 	steps: 2756.00
Episode 197	Average Score: 12.16 	steps: 2759.00
Episode 198	Average Score: 12.53 	steps: 2805.00
Episode 199	Average Score: 12.60 	steps: 2831.00
Episode 200	Average Score: 12.69 	steps: 2845.00
Episode 200	Average Score: 12.69 	steps: 2845.00

Episode 201	Average Score: 12.79 	steps: 2862.00
Episode 202	Average Score: 12.72 	steps: 2899.00
Episode 203	Average Score: 12.83 	steps: 2926.00
Episode 204	Average Score: 12.71 	steps: 2934.00
Episode 205	Average Score: 12.80 	steps: 2977.00
Episode 206	Average Score: 12.70 	steps: 2986.00
Episode 207	Average Score: 12.73 	steps: 3004.00
Episode 208	Average Score: 12.48 	steps: 3015.00
Episode 209	Average Score: 12.59 	steps: 3035.00
Episode 210	Average Score: 12.85 	steps: 3084.00
Episode 211	Average Score: 13.05 	steps: 3116.00
Episode 212	Average Score: 13.09 	steps: 3135.00
Episode 213	Average Score: 12.98 	steps: 3138.00
Episode 214	Average Score: 12.96 	steps: 3152.00
Episode 215	Average Score: 13.27 	steps: 3193.00
Episode 216	Average Score: 13.35 	steps: 3222.00
Episode 217	Average Score: 13.33 	steps: 3228.00
Episode 218	Average Score: 13.17 	steps: 3244.00
Episode 219	Average Score: 13.15 	steps: 3257.00
Episode 220	Average Score: 13.49 	steps: 3307.00
Episode 221	Average Score: 13.57 	steps: 3322.00
Episode 222	Average Score: 13.59 	steps: 3332.00
Episode 223	Average Score: 13.59 	steps: 3339.00
Episode 224	Average Score: 13.59 	steps: 3350.00
Episode 225	Average Score: 13.62 	steps: 3356.00
Episode 226	Average Score: 13.60 	steps: 3358.00
Episode 227	Average Score: 13.66 	steps: 3374.00
Episode 228	Average Score: 13.37 	steps: 3382.00
Episode 229	Average Score: 13.52 	steps: 3410.00
Episode 230	Average Score: 13.57 	steps: 3421.00
Episode 231	Average Score: 13.60 	steps: 3431.00
Episode 232	Average Score: 13.42 	steps: 3437.00
Episode 233	Average Score: 13.37 	steps: 3440.00
Episode 234	Average Score: 13.49 	steps: 3490.00
Episode 235	Average Score: 13.49 	steps: 3494.00
Episode 236	Average Score: 13.45 	steps: 3501.00
Episode 237	Average Score: 13.44 	steps: 3522.00
Episode 238	Average Score: 13.68 	steps: 3572.00
Episode 239	Average Score: 13.66 	steps: 3579.00
Episode 240	Average Score: 13.96 	steps: 3623.00
Episode 241	Average Score: 13.96 	steps: 3629.00
Episode 242	Average Score: 13.95 	steps: 3634.00
Episode 243	Average Score: 13.71 	steps: 3637.00
Episode 244	Average Score: 13.78 	steps: 3660.00
Episode 245	Average Score: 13.62 	steps: 3691.00
Episode 246	Average Score: 13.92 	steps: 3741.00
Episode 247	Average Score: 13.91 	steps: 3747.00
Episode 248	Average Score: 14.13 	steps: 3797.00
Episode 249	Average Score: 14.25 	steps: 3826.00
Episode 250	Average Score: 14.20 	steps: 3835.00
Episode 251	Average Score: 14.26 	steps: 3851.00
Episode 252	Average Score: 14.07 	steps: 3859.00
Episode 253	Average Score: 14.38 	steps: 3902.00
Episode 254	Average Score: 14.26 	steps: 3905.00
Episode 255	Average Score: 14.30 	steps: 3939.00
Episode 256	Average Score: 14.39 	steps: 3957.00
Episode 257	Average Score: 14.63 	steps: 4007.00
Episode 258	Average Score: 14.52 	steps: 4012.00
Episode 259	Average Score: 14.86 	steps: 4062.00
Episode 260	Average Score: 15.22 	steps: 4112.00
Episode 261	Average Score: 15.16 	steps: 4130.00
Episode 262	Average Score: 15.21 	steps: 4151.00
Episode 263	Average Score: 15.22 	steps: 4170.00
Episode 264	Average Score: 15.17 	steps: 4190.00
Episode 265	Average Score: 15.14 	steps: 4194.00
Episode 266	Average Score: 15.37 	steps: 4244.00
Episode 267	Average Score: 15.49 	steps: 4270.00
Episode 268	Average Score: 15.25 	steps: 4275.00
Episode 269	Average Score: 15.21 	steps: 4300.00
Episode 270	Average Score: 15.10 	steps: 4309.00
Episode 271	Average Score: 15.10 	steps: 4319.00
Episode 272	Average Score: 15.11 	steps: 4330.00
Episode 273	Average Score: 15.20 	steps: 4343.00
Episode 274	Average Score: 15.13 	steps: 4346.00
Episode 275	Average Score: 15.06 	steps: 4349.00
Episode 276	Average Score: 14.76 	steps: 4354.00
Episode 277	Average Score: 14.96 	steps: 4404.00
Episode 278	Average Score: 14.88 	steps: 4408.00
Episode 279	Average Score: 14.93 	steps: 4420.00
Episode 280	Average Score: 14.78 	steps: 4445.00
Episode 281	Average Score: 14.88 	steps: 4486.00
Episode 282	Average Score: 14.60 	steps: 4492.00
Episode 283	Average Score: 14.69 	steps: 4512.00
