created virtual environment CPython3.7.9.final.0-64 in 11016ms
  creator CPython3Posix(dest=/localscratch/fabdolla.28934902.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: pandas in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: pygame in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: numpy in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.28934902.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 6.10 	steps: 8.00
Episode 2	Average Score: 10.69 	steps: 31.00
Episode 3	Average Score: 8.35 	steps: 37.00
Episode 4	Average Score: 11.42 	steps: 64.00
Episode 5	Average Score: 10.02 	steps: 71.00
Episode 6	Average Score: 9.97 	steps: 83.00
Episode 7	Average Score: 9.09 	steps: 89.00
Episode 8	Average Score: 8.98 	steps: 102.00
Episode 9	Average Score: 8.10 	steps: 104.00
Episode 10	Average Score: 7.64 	steps: 109.00
Episode 11	Average Score: 7.23 	steps: 113.00
Episode 12	Average Score: 6.76 	steps: 116.00
Episode 13	Average Score: 6.55 	steps: 121.00
Episode 14	Average Score: 7.00 	steps: 140.00
Episode 15	Average Score: 7.21 	steps: 155.00
Episode 16	Average Score: 7.49 	steps: 172.00
Episode 17	Average Score: 7.30 	steps: 178.00
Episode 18	Average Score: 9.20 	steps: 228.00
Episode 19	Average Score: 8.78 	steps: 230.00
Episode 20	Average Score: 8.51 	steps: 236.00
Episode 21	Average Score: 8.39 	steps: 246.00
Episode 22	Average Score: 8.29 	steps: 256.00
Episode 23	Average Score: 8.38 	steps: 271.00
Episode 24	Average Score: 8.16 	steps: 275.00
Episode 25	Average Score: 8.30 	steps: 289.00
Episode 26	Average Score: 8.14 	steps: 296.00
Episode 27	Average Score: 8.01 	steps: 304.00
Episode 28	Average Score: 7.83 	steps: 309.00
Episode 29	Average Score: 7.63 	steps: 312.00
Episode 30	Average Score: 7.55 	steps: 320.00
Episode 31	Average Score: 7.74 	steps: 338.00
Episode 32	Average Score: 8.59 	steps: 388.00
Episode 33	Average Score: 8.48 	steps: 396.00
Episode 34	Average Score: 8.87 	steps: 428.00
Episode 35	Average Score: 8.64 	steps: 430.00
Episode 36	Average Score: 8.46 	steps: 434.00
Episode 37	Average Score: 8.36 	steps: 441.00
Episode 38	Average Score: 8.60 	steps: 464.00
Episode 39	Average Score: 8.70 	steps: 480.00
Episode 40	Average Score: 8.80 	steps: 497.00
Episode 41	Average Score: 8.68 	steps: 502.00
Episode 42	Average Score: 8.56 	steps: 508.00
Episode 43	Average Score: 8.87 	steps: 533.00
Episode 44	Average Score: 8.97 	steps: 553.00
Episode 45	Average Score: 8.81 	steps: 557.00
Episode 46	Average Score: 8.66 	steps: 560.00
Episode 47	Average Score: 8.56 	steps: 566.00
Episode 48	Average Score: 8.75 	steps: 589.00
Episode 49	Average Score: 9.09 	steps: 628.00
Episode 50	Average Score: 8.95 	steps: 631.00
Episode 51	Average Score: 8.99 	steps: 649.00
Episode 52	Average Score: 8.89 	steps: 656.00
Episode 53	Average Score: 8.98 	steps: 676.00
Episode 54	Average Score: 8.96 	steps: 689.00
Episode 55	Average Score: 8.87 	steps: 695.00
Episode 56	Average Score: 8.91 	steps: 709.00
Episode 57	Average Score: 9.04 	steps: 730.00
Episode 58	Average Score: 8.96 	steps: 737.00
Episode 59	Average Score: 9.14 	steps: 761.00
Episode 60	Average Score: 9.50 	steps: 804.00
Episode 61	Average Score: 9.40 	steps: 809.00
Episode 62	Average Score: 9.32 	steps: 816.00
Episode 63	Average Score: 9.66 	steps: 850.00
Episode 64	Average Score: 9.69 	steps: 865.00
Episode 65	Average Score: 10.09 	steps: 909.00
Episode 66	Average Score: 9.99 	steps: 914.00
Episode 67	Average Score: 9.96 	steps: 924.00
Episode 68	Average Score: 9.88 	steps: 930.00
Episode 69	Average Score: 9.77 	steps: 933.00
Episode 70	Average Score: 10.08 	steps: 975.00
Episode 71	Average Score: 9.98 	steps: 980.00
Episode 72	Average Score: 10.10 	steps: 1003.00
Episode 73	Average Score: 10.02 	steps: 1010.00
Episode 74	Average Score: 9.91 	steps: 1013.00
Episode 75	Average Score: 10.06 	steps: 1038.00
Episode 76	Average Score: 9.98 	steps: 1043.00
Episode 77	Average Score: 9.92 	steps: 1049.00
Episode 78	Average Score: 10.07 	steps: 1079.00
Episode 79	Average Score: 9.98 	steps: 1084.00
Episode 80	Average Score: 9.97 	steps: 1095.00
Episode 81	Average Score: 9.88 	steps: 1098.00
Episode 82	Average Score: 9.84 	steps: 1108.00
Episode 83	Average Score: 9.75 	steps: 1112.00
Episode 84	Average Score: 9.72 	steps: 1121.00
Episode 85	Average Score: 9.91 	steps: 1158.00
Episode 86	Average Score: 9.86 	steps: 1166.00
Episode 87	Average Score: 9.86 	steps: 1178.00
Episode 88	Average Score: 9.89 	steps: 1191.00
Episode 89	Average Score: 9.92 	steps: 1209.00
Episode 90	Average Score: 9.83 	steps: 1212.00
Episode 91	Average Score: 9.75 	steps: 1215.00
Episode 92	Average Score: 9.66 	steps: 1218.00
Episode 93	Average Score: 9.72 	steps: 1240.00
Episode 94	Average Score: 9.67 	steps: 1249.00
Episode 95	Average Score: 9.61 	steps: 1255.00
Episode 96	Average Score: 9.53 	steps: 1258.00
Episode 97	Average Score: 9.45 	steps: 1262.00
Episode 98	Average Score: 9.45 	steps: 1273.00
Episode 99	Average Score: 9.40 	steps: 1279.00
Episode 100	Average Score: 9.32 	steps: 1281.00
Episode 100	Average Score: 9.32 	steps: 1281.00

Episode 101	Average Score: 9.29 	steps: 1286.00
Episode 102	Average Score: 9.26 	steps: 1301.00
Episode 103	Average Score: 9.28 	steps: 1309.00
Episode 104	Average Score: 9.10 	steps: 1314.00
Episode 105	Average Score: 9.17 	steps: 1329.00
Episode 106	Average Score: 9.12 	steps: 1336.00
Episode 107	Average Score: 9.18 	steps: 1349.00
Episode 108	Average Score: 9.13 	steps: 1355.00
Episode 109	Average Score: 9.15 	steps: 1359.00
Episode 110	Average Score: 9.14 	steps: 1364.00
Episode 111	Average Score: 9.14 	steps: 1368.00
Episode 112	Average Score: 9.18 	steps: 1374.00
Episode 113	Average Score: 9.20 	steps: 1386.00
Episode 114	Average Score: 9.09 	steps: 1389.00
Episode 115	Average Score: 9.17 	steps: 1410.00
Episode 116	Average Score: 9.11 	steps: 1418.00
Episode 117	Average Score: 9.20 	steps: 1436.00
Episode 118	Average Score: 8.81 	steps: 1439.00
Episode 119	Average Score: 8.83 	steps: 1443.00
Episode 120	Average Score: 8.81 	steps: 1446.00
Episode 121	Average Score: 8.81 	steps: 1453.00
Episode 122	Average Score: 8.78 	steps: 1457.00
Episode 123	Average Score: 8.70 	steps: 1462.00
Episode 124	Average Score: 9.03 	steps: 1512.00
Episode 125	Average Score: 9.06 	steps: 1531.00
Episode 126	Average Score: 9.04 	steps: 1535.00
Episode 127	Average Score: 9.07 	steps: 1543.00
Episode 128	Average Score: 9.05 	steps: 1547.00
Episode 129	Average Score: 9.06 	steps: 1552.00
Episode 130	Average Score: 9.10 	steps: 1562.00
Episode 131	Average Score: 9.09 	steps: 1576.00
Episode 132	Average Score: 8.85 	steps: 1589.00
Episode 133	Average Score: 8.84 	steps: 1594.00
Episode 134	Average Score: 8.81 	steps: 1623.00
Episode 135	Average Score: 8.95 	steps: 1644.00
Episode 136	Average Score: 8.94 	steps: 1646.00
Episode 137	Average Score: 8.92 	steps: 1650.00
Episode 138	Average Score: 8.80 	steps: 1656.00
Episode 139	Average Score: 8.71 	steps: 1662.00
Episode 140	Average Score: 8.80 	steps: 1690.00
Episode 141	Average Score: 8.84 	steps: 1701.00
Episode 142	Average Score: 8.83 	steps: 1705.00
Episode 143	Average Score: 8.64 	steps: 1710.00
Episode 144	Average Score: 8.53 	steps: 1715.00
Episode 145	Average Score: 8.66 	steps: 1734.00
Episode 146	Average Score: 8.97 	steps: 1784.00
Episode 147	Average Score: 9.07 	steps: 1804.00
Episode 148	Average Score: 8.99 	steps: 1815.00
Episode 149	Average Score: 8.83 	steps: 1830.00
Episode 150	Average Score: 8.82 	steps: 1832.00
Episode 151	Average Score: 8.76 	steps: 1839.00
Episode 152	Average Score: 8.80 	steps: 1849.00
Episode 153	Average Score: 8.81 	steps: 1866.00
Episode 154	Average Score: 8.79 	steps: 1873.00
Episode 155	Average Score: 8.77 	steps: 1876.00
Episode 156	Average Score: 8.73 	steps: 1885.00
Episode 157	Average Score: 8.73 	steps: 1904.00
Episode 158	Average Score: 8.77 	steps: 1913.00
Episode 159	Average Score: 8.60 	steps: 1917.00
Episode 160	Average Score: 8.46 	steps: 1943.00
Episode 161	Average Score: 8.69 	steps: 1982.00
Episode 162	Average Score: 8.66 	steps: 1985.00
Episode 163	Average Score: 8.39 	steps: 1991.00
Episode 164	Average Score: 8.37 	steps: 2007.00
Episode 165	Average Score: 8.16 	steps: 2024.00
Episode 166	Average Score: 8.22 	steps: 2035.00
Episode 167	Average Score: 8.38 	steps: 2065.00
Episode 168	Average Score: 8.36 	steps: 2069.00
Episode 169	Average Score: 8.40 	steps: 2078.00
Episode 170	Average Score: 8.24 	steps: 2098.00
Episode 171	Average Score: 8.23 	steps: 2102.00
Episode 172	Average Score: 8.07 	steps: 2106.00
Episode 173	Average Score: 8.06 	steps: 2110.00
Episode 174	Average Score: 8.42 	steps: 2160.00
Episode 175	Average Score: 8.25 	steps: 2165.00
Episode 176	Average Score: 8.24 	steps: 2169.00
Episode 177	Average Score: 8.21 	steps: 2172.00
Episode 178	Average Score: 8.05 	steps: 2181.00
Episode 179	Average Score: 8.04 	steps: 2184.00
Episode 180	Average Score: 8.38 	steps: 2234.00
Episode 181	Average Score: 8.76 	steps: 2284.00
Episode 182	Average Score: 8.74 	steps: 2291.00
Episode 183	Average Score: 8.76 	steps: 2298.00
Episode 184	Average Score: 8.71 	steps: 2300.00
Episode 185	Average Score: 8.54 	steps: 2314.00
Episode 186	Average Score: 8.51 	steps: 2318.00
Episode 187	Average Score: 8.58 	steps: 2341.00
Episode 188	Average Score: 8.80 	steps: 2391.00
Episode 189	Average Score: 8.70 	steps: 2395.00
Episode 190	Average Score: 8.70 	steps: 2398.00
Episode 191	Average Score: 8.70 	steps: 2401.00
Episode 192	Average Score: 8.74 	steps: 2408.00
Episode 193	Average Score: 8.62 	steps: 2413.00
Episode 194	Average Score: 8.68 	steps: 2432.00
Episode 195	Average Score: 8.69 	steps: 2439.00
Episode 196	Average Score: 8.72 	steps: 2444.00
Episode 197	Average Score: 8.73 	steps: 2449.00
Episode 198	Average Score: 8.67 	steps: 2453.00
Episode 199	Average Score: 8.64 	steps: 2456.00
Episode 200	Average Score: 9.01 	steps: 2506.00
Episode 200	Average Score: 9.01 	steps: 2506.00

Episode 201	Average Score: 9.20 	steps: 2534.00
Episode 202	Average Score: 9.13 	steps: 2543.00
Episode 203	Average Score: 9.15 	steps: 2553.00
Episode 204	Average Score: 9.14 	steps: 2558.00
Episode 205	Average Score: 9.05 	steps: 2560.00
Episode 206	Average Score: 9.01 	steps: 2563.00
Episode 207	Average Score: 8.94 	steps: 2566.00
Episode 208	Average Score: 9.26 	steps: 2616.00
Episode 209	Average Score: 9.31 	steps: 2625.00
Episode 210	Average Score: 9.30 	steps: 2629.00
Episode 211	Average Score: 9.29 	steps: 2632.00
Episode 212	Average Score: 9.30 	steps: 2640.00
Episode 213	Average Score: 9.25 	steps: 2644.00
Episode 214	Average Score: 9.31 	steps: 2652.00
Episode 215	Average Score: 9.16 	steps: 2657.00
Episode 216	Average Score: 9.12 	steps: 2660.00
Episode 217	Average Score: 9.10 	steps: 2673.00
Episode 218	Average Score: 9.16 	steps: 2684.00
Episode 219	Average Score: 9.15 	steps: 2687.00
Episode 220	Average Score: 9.17 	steps: 2692.00
Episode 221	Average Score: 9.16 	steps: 2699.00
Episode 222	Average Score: 9.20 	steps: 2708.00
Episode 223	Average Score: 9.25 	steps: 2721.00
Episode 224	Average Score: 8.91 	steps: 2724.00
Episode 225	Average Score: 8.80 	steps: 2730.00
Episode 226	Average Score: 8.81 	steps: 2736.00
Episode 227	Average Score: 8.75 	steps: 2738.00
Episode 228	Average Score: 8.75 	steps: 2742.00
Episode 229	Average Score: 8.74 	steps: 2744.00
Episode 230	Average Score: 8.67 	steps: 2748.00
Episode 231	Average Score: 8.60 	steps: 2755.00
Episode 232	Average Score: 8.91 	steps: 2805.00
Episode 233	Average Score: 8.94 	steps: 2814.00
Episode 234	Average Score: 9.11 	steps: 2864.00
Episode 235	Average Score: 8.98 	steps: 2867.00
Episode 236	Average Score: 9.37 	steps: 2917.00
Episode 237	Average Score: 9.54 	steps: 2939.00
Episode 238	Average Score: 9.52 	steps: 2945.00
Episode 239	Average Score: 9.51 	steps: 2949.00
Episode 240	Average Score: 9.49 	steps: 2977.00
Episode 241	Average Score: 9.57 	steps: 3003.00
Episode 242	Average Score: 9.56 	steps: 3006.00
Episode 243	Average Score: 9.78 	steps: 3043.00
Episode 244	Average Score: 9.85 	steps: 3057.00
Episode 245	Average Score: 9.76 	steps: 3063.00
Episode 246	Average Score: 9.53 	steps: 3076.00
Episode 247	Average Score: 9.62 	steps: 3107.00
Episode 248	Average Score: 9.60 	steps: 3115.00
Episode 249	Average Score: 9.54 	steps: 3121.00
Episode 250	Average Score: 9.55 	steps: 3126.00
Episode 251	Average Score: 9.55 	steps: 3137.00
Episode 252	Average Score: 9.51 	steps: 3142.00
Episode 253	Average Score: 9.51 	steps: 3164.00
Episode 254	Average Score: 9.75 	steps: 3199.00
Episode 255	Average Score: 9.80 	steps: 3209.00
Episode 256	Average Score: 9.99 	steps: 3242.00
Episode 257	Average Score: 9.86 	steps: 3247.00
Episode 258	Average Score: 10.21 	steps: 3297.00
Episode 259	Average Score: 10.35 	steps: 3321.00
Episode 260	Average Score: 10.49 	steps: 3371.00
Episode 261	Average Score: 10.25 	steps: 3374.00
Episode 262	Average Score: 10.35 	steps: 3393.00
Episode 263	Average Score: 10.48 	steps: 3420.00
Episode 264	Average Score: 10.41 	steps: 3424.00
Episode 265	Average Score: 10.28 	steps: 3428.00
Episode 266	Average Score: 10.30 	steps: 3444.00
Episode 267	Average Score: 10.36 	steps: 3494.00
Episode 268	Average Score: 10.43 	steps: 3507.00
Episode 269	Average Score: 10.76 	steps: 3557.00
Episode 270	Average Score: 10.98 	steps: 3607.00
Episode 271	Average Score: 11.01 	steps: 3615.00
Episode 272	Average Score: 11.01 	steps: 3619.00
Episode 273	Average Score: 11.41 	steps: 3669.00
Episode 274	Average Score: 11.05 	steps: 3672.00
Episode 275	Average Score: 11.09 	steps: 3685.00
Episode 276	Average Score: 11.08 	steps: 3688.00
Episode 277	Average Score: 11.11 	steps: 3697.00
Episode 278	Average Score: 11.13 	steps: 3706.00
Episode 279	Average Score: 11.18 	steps: 3717.00
Episode 280	Average Score: 10.96 	steps: 3742.00
Episode 281	Average Score: 10.87 	steps: 3792.00
Episode 282	Average Score: 10.97 	steps: 3817.00
