created virtual environment CPython3.7.9.final.0-64 in 38467ms
  creator CPython3Posix(dest=/localscratch/fabdolla.29154415.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: pandas in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: numpy in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: pygame in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.29154415.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
Directory  25  already exists
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 24.08 	steps: 33.00
Episode 2	Average Score: 16.84 	steps: 46.00
Episode 3	Average Score: 15.08 	steps: 60.00
Episode 4	Average Score: 13.70 	steps: 73.00
Episode 5	Average Score: 14.65 	steps: 96.00
Episode 6	Average Score: 12.43 	steps: 98.00
Episode 7	Average Score: 10.87 	steps: 101.00
Episode 8	Average Score: 11.93 	steps: 124.00
Episode 9	Average Score: 11.04 	steps: 131.00
Episode 10	Average Score: 11.46 	steps: 154.00
Episode 11	Average Score: 10.94 	steps: 162.00
Episode 12	Average Score: 10.19 	steps: 165.00
Episode 13	Average Score: 9.73 	steps: 172.00
Episode 14	Average Score: 9.60 	steps: 183.00
Episode 15	Average Score: 9.29 	steps: 190.00
Episode 16	Average Score: 9.87 	steps: 220.00
Episode 17	Average Score: 9.41 	steps: 223.00
Episode 18	Average Score: 8.98 	steps: 226.00
Episode 19	Average Score: 8.98 	steps: 240.00
Episode 20	Average Score: 8.60 	steps: 243.00
Episode 21	Average Score: 8.24 	steps: 245.00
Episode 22	Average Score: 8.98 	steps: 275.00
Episode 23	Average Score: 8.99 	steps: 287.00
Episode 24	Average Score: 8.97 	steps: 301.00
Episode 25	Average Score: 8.74 	steps: 305.00
Episode 26	Average Score: 8.68 	steps: 313.00
Episode 27	Average Score: 8.46 	steps: 317.00
Episode 28	Average Score: 8.22 	steps: 320.00
Episode 29	Average Score: 8.04 	steps: 324.00
Episode 30	Average Score: 8.05 	steps: 335.00
Episode 31	Average Score: 7.89 	steps: 339.00
Episode 32	Average Score: 8.01 	steps: 356.00
Episode 33	Average Score: 7.95 	steps: 364.00
Episode 34	Average Score: 7.91 	steps: 375.00
Episode 35	Average Score: 7.95 	steps: 388.00
Episode 36	Average Score: 7.79 	steps: 392.00
Episode 37	Average Score: 7.72 	steps: 401.00
Episode 38	Average Score: 7.56 	steps: 404.00
Episode 39	Average Score: 7.45 	steps: 409.00
Episode 40	Average Score: 7.38 	steps: 415.00
Episode 41	Average Score: 7.27 	steps: 420.00
Episode 42	Average Score: 7.19 	steps: 427.00
Episode 43	Average Score: 7.21 	steps: 436.00
Episode 44	Average Score: 7.16 	steps: 444.00
Episode 45	Average Score: 7.04 	steps: 448.00
Episode 46	Average Score: 7.10 	steps: 464.00
Episode 47	Average Score: 7.05 	steps: 470.00
Episode 48	Average Score: 7.05 	steps: 480.00
Episode 49	Average Score: 7.01 	steps: 489.00
Episode 50	Average Score: 7.06 	steps: 504.00
Episode 51	Average Score: 6.94 	steps: 506.00
Episode 52	Average Score: 6.87 	steps: 512.00
Episode 53	Average Score: 6.90 	steps: 526.00
Episode 54	Average Score: 6.85 	steps: 533.00
Episode 55	Average Score: 7.33 	steps: 583.00
Episode 56	Average Score: 7.31 	steps: 593.00
Episode 57	Average Score: 7.20 	steps: 595.00
Episode 58	Average Score: 7.17 	steps: 602.00
Episode 59	Average Score: 7.24 	steps: 619.00
Episode 60	Average Score: 7.17 	steps: 623.00
Episode 61	Average Score: 7.12 	steps: 629.00
Episode 62	Average Score: 7.60 	steps: 679.00
Episode 63	Average Score: 8.10 	steps: 729.00
Episode 64	Average Score: 8.01 	steps: 734.00
Episode 65	Average Score: 7.99 	steps: 743.00
Episode 66	Average Score: 7.90 	steps: 747.00
Episode 67	Average Score: 8.09 	steps: 780.00
Episode 68	Average Score: 8.01 	steps: 783.00
Episode 69	Average Score: 7.93 	steps: 786.00
Episode 70	Average Score: 7.87 	steps: 791.00
Episode 71	Average Score: 7.81 	steps: 796.00
Episode 72	Average Score: 8.05 	steps: 828.00
Episode 73	Average Score: 7.96 	steps: 832.00
Episode 74	Average Score: 7.89 	steps: 837.00
Episode 75	Average Score: 7.88 	steps: 846.00
Episode 76	Average Score: 7.81 	steps: 850.00
Episode 77	Average Score: 7.80 	steps: 859.00
Episode 78	Average Score: 7.77 	steps: 866.00
Episode 79	Average Score: 7.86 	steps: 885.00
Episode 80	Average Score: 7.83 	steps: 891.00
Episode 81	Average Score: 8.16 	steps: 941.00
Episode 82	Average Score: 8.10 	steps: 945.00
Episode 83	Average Score: 8.33 	steps: 976.00
Episode 84	Average Score: 8.61 	steps: 1019.00
Episode 85	Average Score: 8.93 	steps: 1069.00
Episode 86	Average Score: 9.02 	steps: 1095.00
Episode 87	Average Score: 8.97 	steps: 1100.00
Episode 88	Average Score: 8.90 	steps: 1105.00
Episode 89	Average Score: 8.84 	steps: 1110.00
Episode 90	Average Score: 8.76 	steps: 1113.00
Episode 91	Average Score: 9.08 	steps: 1163.00
Episode 92	Average Score: 8.99 	steps: 1166.00
Episode 93	Average Score: 9.00 	steps: 1182.00
Episode 94	Average Score: 8.96 	steps: 1188.00
Episode 95	Average Score: 9.10 	steps: 1213.00
Episode 96	Average Score: 9.15 	steps: 1231.00
Episode 97	Average Score: 9.08 	steps: 1235.00
Episode 98	Average Score: 9.28 	steps: 1270.00
Episode 99	Average Score: 9.20 	steps: 1273.00
Episode 100	Average Score: 9.20 	steps: 1285.00
Episode 100	Average Score: 9.20 	steps: 1285.00

Episode 101	Average Score: 9.07 	steps: 1298.00
Episode 102	Average Score: 9.09 	steps: 1317.00
Episode 103	Average Score: 9.01 	steps: 1323.00
Episode 104	Average Score: 8.95 	steps: 1329.00
Episode 105	Average Score: 8.81 	steps: 1335.00
Episode 106	Average Score: 8.84 	steps: 1341.00
Episode 107	Average Score: 8.86 	steps: 1346.00
Episode 108	Average Score: 8.99 	steps: 1385.00
Episode 109	Average Score: 9.07 	steps: 1400.00
Episode 110	Average Score: 8.94 	steps: 1403.00
Episode 111	Average Score: 8.89 	steps: 1406.00
Episode 112	Average Score: 8.90 	steps: 1410.00
Episode 113	Average Score: 8.87 	steps: 1413.00
Episode 114	Average Score: 9.13 	steps: 1463.00
Episode 115	Average Score: 9.16 	steps: 1475.00
Episode 116	Average Score: 9.02 	steps: 1480.00
Episode 117	Average Score: 9.02 	steps: 1483.00
Episode 118	Average Score: 9.02 	steps: 1485.00
Episode 119	Average Score: 9.00 	steps: 1497.00
Episode 120	Average Score: 9.06 	steps: 1509.00
Episode 121	Average Score: 9.08 	steps: 1514.00
Episode 122	Average Score: 8.97 	steps: 1531.00
Episode 123	Average Score: 9.01 	steps: 1549.00
Episode 124	Average Score: 9.28 	steps: 1599.00
Episode 125	Average Score: 9.39 	steps: 1616.00
Episode 126	Average Score: 9.41 	steps: 1627.00
Episode 127	Average Score: 9.41 	steps: 1631.00
Episode 128	Average Score: 9.50 	steps: 1647.00
Episode 129	Average Score: 9.48 	steps: 1649.00
Episode 130	Average Score: 9.80 	steps: 1699.00
Episode 131	Average Score: 9.86 	steps: 1712.00
Episode 132	Average Score: 9.88 	steps: 1729.00
Episode 133	Average Score: 10.13 	steps: 1766.00
Episode 134	Average Score: 10.19 	steps: 1780.00
Episode 135	Average Score: 10.11 	steps: 1783.00
Episode 136	Average Score: 10.20 	steps: 1796.00
Episode 137	Average Score: 10.21 	steps: 1806.00
Episode 138	Average Score: 10.23 	steps: 1812.00
Episode 139	Average Score: 10.41 	steps: 1842.00
Episode 140	Average Score: 10.53 	steps: 1862.00
Episode 141	Average Score: 10.57 	steps: 1872.00
Episode 142	Average Score: 10.60 	steps: 1882.00
Episode 143	Average Score: 10.70 	steps: 1908.00
Episode 144	Average Score: 11.00 	steps: 1958.00
Episode 145	Average Score: 10.98 	steps: 1960.00
Episode 146	Average Score: 10.92 	steps: 1964.00
Episode 147	Average Score: 11.24 	steps: 2014.00
Episode 148	Average Score: 11.22 	steps: 2020.00
Episode 149	Average Score: 11.19 	steps: 2024.00
Episode 150	Average Score: 11.12 	steps: 2028.00
Episode 151	Average Score: 11.50 	steps: 2078.00
Episode 152	Average Score: 11.66 	steps: 2105.00
Episode 153	Average Score: 11.64 	steps: 2114.00
Episode 154	Average Score: 11.62 	steps: 2119.00
Episode 155	Average Score: 11.32 	steps: 2124.00
Episode 156	Average Score: 11.51 	steps: 2158.00
Episode 157	Average Score: 11.54 	steps: 2164.00
Episode 158	Average Score: 11.51 	steps: 2168.00
Episode 159	Average Score: 11.45 	steps: 2175.00
Episode 160	Average Score: 11.52 	steps: 2189.00
Episode 161	Average Score: 11.49 	steps: 2192.00
Episode 162	Average Score: 11.16 	steps: 2197.00
Episode 163	Average Score: 10.81 	steps: 2202.00
Episode 164	Average Score: 10.82 	steps: 2207.00
Episode 165	Average Score: 10.83 	steps: 2216.00
Episode 166	Average Score: 10.84 	steps: 2221.00
Episode 167	Average Score: 11.00 	steps: 2265.00
Episode 168	Average Score: 11.08 	steps: 2278.00
Episode 169	Average Score: 11.45 	steps: 2327.00
Episode 170	Average Score: 11.77 	steps: 2377.00
Episode 171	Average Score: 11.94 	steps: 2407.00
Episode 172	Average Score: 12.00 	steps: 2457.00
Episode 173	Average Score: 12.22 	steps: 2492.00
Episode 174	Average Score: 12.38 	steps: 2515.00
Episode 175	Average Score: 12.75 	steps: 2565.00
Episode 176	Average Score: 12.74 	steps: 2569.00
Episode 177	Average Score: 12.78 	steps: 2586.00
Episode 178	Average Score: 12.78 	steps: 2592.00
Episode 179	Average Score: 12.93 	steps: 2633.00
Episode 180	Average Score: 13.00 	steps: 2652.00
Episode 181	Average Score: 12.86 	steps: 2678.00
Episode 182	Average Score: 12.84 	steps: 2681.00
Episode 183	Average Score: 12.82 	steps: 2713.00
Episode 184	Average Score: 12.58 	steps: 2721.00
Episode 185	Average Score: 12.26 	steps: 2727.00
Episode 186	Average Score: 12.45 	steps: 2777.00
Episode 187	Average Score: 12.76 	steps: 2816.00
Episode 188	Average Score: 12.91 	steps: 2837.00
Episode 189	Average Score: 12.92 	steps: 2844.00
Episode 190	Average Score: 12.97 	steps: 2856.00
Episode 191	Average Score: 12.93 	steps: 2906.00
Episode 192	Average Score: 12.93 	steps: 2909.00
Episode 193	Average Score: 13.02 	steps: 2933.00
Episode 194	Average Score: 13.37 	steps: 2983.00
Episode 195	Average Score: 13.25 	steps: 2995.00
Episode 196	Average Score: 13.16 	steps: 3002.00
Episode 197	Average Score: 13.44 	steps: 3052.00
Episode 198	Average Score: 13.18 	steps: 3059.00
Episode 199	Average Score: 13.47 	steps: 3094.00
Episode 200	Average Score: 13.63 	steps: 3124.00
Episode 200	Average Score: 13.63 	steps: 3124.00

Episode 201	Average Score: 13.55 	steps: 3129.00
Episode 202	Average Score: 13.48 	steps: 3136.00
Episode 203	Average Score: 13.50 	steps: 3144.00
Episode 204	Average Score: 13.84 	steps: 3194.00
Episode 205	Average Score: 13.89 	steps: 3208.00
Episode 206	Average Score: 14.25 	steps: 3257.00
Episode 207	Average Score: 14.40 	steps: 3288.00
Episode 208	Average Score: 14.11 	steps: 3293.00
Episode 209	Average Score: 14.39 	steps: 3343.00
Episode 210	Average Score: 14.74 	steps: 3387.00
Episode 211	Average Score: 14.81 	steps: 3402.00
Episode 212	Average Score: 15.15 	steps: 3452.00
Episode 213	Average Score: 15.52 	steps: 3502.00
Episode 214	Average Score: 15.24 	steps: 3513.00
Episode 215	Average Score: 15.18 	steps: 3517.00
Episode 216	Average Score: 15.20 	steps: 3524.00
Episode 217	Average Score: 15.20 	steps: 3527.00
Episode 218	Average Score: 15.20 	steps: 3530.00
Episode 219	Average Score: 15.15 	steps: 3533.00
Episode 220	Average Score: 15.31 	steps: 3559.00
Episode 221	Average Score: 15.41 	steps: 3578.00
Episode 222	Average Score: 15.63 	steps: 3628.00
Episode 223	Average Score: 15.53 	steps: 3632.00
Episode 224	Average Score: 15.48 	steps: 3682.00
Episode 225	Average Score: 15.61 	steps: 3727.00
Episode 226	Average Score: 15.81 	steps: 3777.00
Episode 227	Average Score: 16.18 	steps: 3827.00
Episode 228	Average Score: 16.18 	steps: 3846.00
Episode 229	Average Score: 16.52 	steps: 3896.00
Episode 230	Average Score: 16.46 	steps: 3946.00
Episode 231	Average Score: 16.46 	steps: 3959.00
Episode 232	Average Score: 16.40 	steps: 3969.00
Episode 233	Average Score: 16.11 	steps: 3973.00
Episode 234	Average Score: 16.31 	steps: 4014.00
Episode 235	Average Score: 16.31 	steps: 4017.00
Episode 236	Average Score: 16.32 	steps: 4037.00
Episode 237	Average Score: 16.28 	steps: 4039.00
Episode 238	Average Score: 16.67 	steps: 4089.00
Episode 239	Average Score: 16.55 	steps: 4104.00
Episode 240	Average Score: 16.46 	steps: 4115.00
Episode 241	Average Score: 16.64 	steps: 4146.00
Episode 242	Average Score: 16.65 	steps: 4157.00
Episode 243	Average Score: 16.56 	steps: 4167.00
Episode 244	Average Score: 16.55 	steps: 4217.00
Episode 245	Average Score: 16.58 	steps: 4223.00
Episode 246	Average Score: 16.57 	steps: 4226.00
Episode 247	Average Score: 16.26 	steps: 4234.00
Episode 248	Average Score: 16.31 	steps: 4247.00
Episode 249	Average Score: 16.67 	steps: 4297.00
Episode 250	Average Score: 16.75 	steps: 4317.00
Episode 251	Average Score: 16.44 	steps: 4329.00
Episode 252	Average Score: 16.28 	steps: 4336.00
Episode 253	Average Score: 16.41 	steps: 4360.00
Episode 254	Average Score: 16.61 	steps: 4392.00
Episode 255	Average Score: 16.96 	steps: 4442.00
Episode 256	Average Score: 17.14 	steps: 4492.00
Episode 257	Average Score: 17.13 	steps: 4497.00
Episode 258	Average Score: 17.41 	steps: 4543.00
Episode 259	Average Score: 17.37 	steps: 4546.00
Episode 260	Average Score: 17.67 	steps: 4596.00
Episode 261	Average Score: 17.95 	steps: 4646.00
Episode 262	Average Score: 17.95 	steps: 4651.00
Episode 263	Average Score: 18.25 	steps: 4701.00
Episode 264	Average Score: 18.33 	steps: 4715.00
Episode 265	Average Score: 18.56 	steps: 4765.00
Episode 266	Average Score: 18.76 	steps: 4803.00
Episode 267	Average Score: 18.69 	steps: 4853.00
Episode 268	Average Score: 18.67 	steps: 4863.00
Episode 269	Average Score: 18.29 	steps: 4866.00
Episode 270	Average Score: 18.01 	steps: 4879.00
Episode 271	Average Score: 17.85 	steps: 4885.00
Episode 272	Average Score: 17.92 	steps: 4935.00
Episode 273	Average Score: 17.87 	steps: 4960.00
Episode 274	Average Score: 17.77 	steps: 4972.00
Episode 275	Average Score: 17.65 	steps: 5022.00
Episode 276	Average Score: 17.69 	steps: 5030.00
Episode 277	Average Score: 18.00 	steps: 5080.00
Episode 278	Average Score: 18.01 	steps: 5088.00
Episode 279	Average Score: 17.73 	steps: 5091.00
Episode 280	Average Score: 17.94 	steps: 5141.00
Episode 281	Average Score: 17.79 	steps: 5149.00
Episode 282	Average Score: 18.20 	steps: 5199.00
Episode 283	Average Score: 17.96 	steps: 5201.00
Episode 284	Average Score: 18.04 	steps: 5218.00
Episode 285	Average Score: 18.08 	steps: 5232.00
