created virtual environment CPython3.7.9.final.0-64 in 34041ms
  creator CPython3Posix(dest=/localscratch/fabdolla.29154421.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: pygame in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: pandas in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: numpy in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.29154421.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
Directory  27  already exists
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 5.15 	steps: 9.00
Episode 2	Average Score: 7.98 	steps: 22.00
Episode 3	Average Score: 12.03 	steps: 47.00
Episode 4	Average Score: 12.97 	steps: 67.00
Episode 5	Average Score: 10.66 	steps: 70.00
Episode 6	Average Score: 9.05 	steps: 72.00
Episode 7	Average Score: 8.30 	steps: 79.00
Episode 8	Average Score: 9.24 	steps: 98.00
Episode 9	Average Score: 8.49 	steps: 102.00
Episode 10	Average Score: 9.11 	steps: 120.00
Episode 11	Average Score: 8.55 	steps: 125.00
Episode 12	Average Score: 8.30 	steps: 133.00
Episode 13	Average Score: 8.07 	steps: 143.00
Episode 14	Average Score: 8.76 	steps: 164.00
Episode 15	Average Score: 8.33 	steps: 167.00
Episode 16	Average Score: 8.52 	steps: 184.00
Episode 17	Average Score: 8.34 	steps: 191.00
Episode 18	Average Score: 7.99 	steps: 195.00
Episode 19	Average Score: 7.76 	steps: 202.00
Episode 20	Average Score: 7.48 	steps: 205.00
Episode 21	Average Score: 7.21 	steps: 208.00
Episode 22	Average Score: 7.11 	steps: 215.00
Episode 23	Average Score: 7.09 	steps: 224.00
Episode 24	Average Score: 7.43 	steps: 243.00
Episode 25	Average Score: 7.27 	steps: 249.00
Episode 26	Average Score: 7.31 	steps: 261.00
Episode 27	Average Score: 7.35 	steps: 272.00
Episode 28	Average Score: 7.19 	steps: 276.00
Episode 29	Average Score: 7.13 	steps: 283.00
Episode 30	Average Score: 7.06 	steps: 289.00
Episode 31	Average Score: 6.93 	steps: 294.00
Episode 32	Average Score: 6.89 	steps: 301.00
Episode 33	Average Score: 7.03 	steps: 318.00
Episode 34	Average Score: 7.74 	steps: 355.00
Episode 35	Average Score: 7.60 	steps: 359.00
Episode 36	Average Score: 8.08 	steps: 394.00
Episode 37	Average Score: 7.95 	steps: 398.00
Episode 38	Average Score: 7.86 	steps: 404.00
Episode 39	Average Score: 7.75 	steps: 409.00
Episode 40	Average Score: 7.98 	steps: 436.00
Episode 41	Average Score: 8.12 	steps: 453.00
Episode 42	Average Score: 7.97 	steps: 456.00
Episode 43	Average Score: 8.32 	steps: 486.00
Episode 44	Average Score: 8.45 	steps: 503.00
Episode 45	Average Score: 8.37 	steps: 511.00
Episode 46	Average Score: 8.55 	steps: 531.00
Episode 47	Average Score: 8.42 	steps: 535.00
Episode 48	Average Score: 8.27 	steps: 538.00
Episode 49	Average Score: 8.30 	steps: 550.00
Episode 50	Average Score: 8.19 	steps: 554.00
Episode 51	Average Score: 8.09 	steps: 559.00
Episode 52	Average Score: 7.97 	steps: 562.00
Episode 53	Average Score: 8.04 	steps: 577.00
Episode 54	Average Score: 8.05 	steps: 590.00
Episode 55	Average Score: 7.96 	steps: 594.00
Episode 56	Average Score: 8.04 	steps: 612.00
Episode 57	Average Score: 8.05 	steps: 623.00
Episode 58	Average Score: 7.99 	steps: 629.00
Episode 59	Average Score: 8.07 	steps: 647.00
Episode 60	Average Score: 7.97 	steps: 652.00
Episode 61	Average Score: 7.86 	steps: 654.00
Episode 62	Average Score: 7.80 	steps: 660.00
Episode 63	Average Score: 7.95 	steps: 683.00
Episode 64	Average Score: 8.28 	steps: 720.00
Episode 65	Average Score: 8.18 	steps: 723.00
Episode 66	Average Score: 8.10 	steps: 728.00
Episode 67	Average Score: 8.23 	steps: 749.00
Episode 68	Average Score: 8.18 	steps: 756.00
Episode 69	Average Score: 8.13 	steps: 765.00
Episode 70	Average Score: 8.05 	steps: 768.00
Episode 71	Average Score: 8.22 	steps: 794.00
Episode 72	Average Score: 8.67 	steps: 844.00
Episode 73	Average Score: 8.60 	steps: 848.00
Episode 74	Average Score: 8.69 	steps: 870.00
Episode 75	Average Score: 8.59 	steps: 873.00
Episode 76	Average Score: 8.55 	steps: 880.00
Episode 77	Average Score: 8.49 	steps: 886.00
Episode 78	Average Score: 8.64 	steps: 914.00
Episode 79	Average Score: 8.86 	steps: 947.00
Episode 80	Average Score: 8.95 	steps: 967.00
Episode 81	Average Score: 9.33 	steps: 1017.00
Episode 82	Average Score: 9.23 	steps: 1020.00
Episode 83	Average Score: 9.17 	steps: 1026.00
Episode 84	Average Score: 9.09 	steps: 1031.00
Episode 85	Average Score: 9.04 	steps: 1038.00
Episode 86	Average Score: 8.95 	steps: 1041.00
Episode 87	Average Score: 8.96 	steps: 1053.00
Episode 88	Average Score: 8.98 	steps: 1068.00
Episode 89	Average Score: 9.01 	steps: 1086.00
Episode 90	Average Score: 8.93 	steps: 1089.00
Episode 91	Average Score: 8.94 	steps: 1103.00
Episode 92	Average Score: 9.00 	steps: 1120.00
Episode 93	Average Score: 8.98 	steps: 1131.00
Episode 94	Average Score: 9.12 	steps: 1166.00
Episode 95	Average Score: 9.08 	steps: 1174.00
Episode 96	Average Score: 9.06 	steps: 1182.00
Episode 97	Average Score: 9.00 	steps: 1188.00
Episode 98	Average Score: 9.02 	steps: 1203.00
Episode 99	Average Score: 9.03 	steps: 1214.00
Episode 100	Average Score: 9.01 	steps: 1226.00
Episode 100	Average Score: 9.01 	steps: 1226.00

Episode 101	Average Score: 9.13 	steps: 1249.00
Episode 102	Average Score: 9.07 	steps: 1257.00
Episode 103	Average Score: 9.03 	steps: 1277.00
Episode 104	Average Score: 8.89 	steps: 1280.00
Episode 105	Average Score: 8.96 	steps: 1290.00
Episode 106	Average Score: 8.97 	steps: 1293.00
Episode 107	Average Score: 9.10 	steps: 1315.00
Episode 108	Average Score: 8.98 	steps: 1321.00
Episode 109	Average Score: 9.00 	steps: 1328.00
Episode 110	Average Score: 8.92 	steps: 1336.00
Episode 111	Average Score: 8.96 	steps: 1347.00
Episode 112	Average Score: 8.94 	steps: 1351.00
Episode 113	Average Score: 9.00 	steps: 1364.00
Episode 114	Average Score: 8.87 	steps: 1370.00
Episode 115	Average Score: 8.89 	steps: 1377.00
Episode 116	Average Score: 8.81 	steps: 1383.00
Episode 117	Average Score: 8.80 	steps: 1388.00
Episode 118	Average Score: 8.80 	steps: 1392.00
Episode 119	Average Score: 8.78 	steps: 1395.00
Episode 120	Average Score: 8.78 	steps: 1398.00
Episode 121	Average Score: 8.78 	steps: 1402.00
Episode 122	Average Score: 8.77 	steps: 1406.00
Episode 123	Average Score: 8.76 	steps: 1414.00
Episode 124	Average Score: 8.75 	steps: 1431.00
Episode 125	Average Score: 8.75 	steps: 1437.00
Episode 126	Average Score: 8.71 	steps: 1444.00
Episode 127	Average Score: 8.82 	steps: 1465.00
Episode 128	Average Score: 8.87 	steps: 1479.00
Episode 129	Average Score: 8.95 	steps: 1500.00
Episode 130	Average Score: 9.01 	steps: 1513.00
Episode 131	Average Score: 9.10 	steps: 1530.00
Episode 132	Average Score: 9.10 	steps: 1539.00
Episode 133	Average Score: 9.00 	steps: 1542.00
Episode 134	Average Score: 8.71 	steps: 1545.00
Episode 135	Average Score: 8.96 	steps: 1581.00
Episode 136	Average Score: 8.77 	steps: 1588.00
Episode 137	Average Score: 8.76 	steps: 1592.00
Episode 138	Average Score: 8.75 	steps: 1598.00
Episode 139	Average Score: 8.75 	steps: 1603.00
Episode 140	Average Score: 9.00 	steps: 1653.00
Episode 141	Average Score: 8.91 	steps: 1661.00
Episode 142	Average Score: 8.92 	steps: 1665.00
Episode 143	Average Score: 8.70 	steps: 1668.00
Episode 144	Average Score: 8.68 	steps: 1684.00
Episode 145	Average Score: 8.66 	steps: 1689.00
Episode 146	Average Score: 8.50 	steps: 1691.00
Episode 147	Average Score: 8.49 	steps: 1695.00
Episode 148	Average Score: 8.52 	steps: 1700.00
Episode 149	Average Score: 8.56 	steps: 1719.00
Episode 150	Average Score: 8.62 	steps: 1731.00
Episode 151	Average Score: 8.95 	steps: 1777.00
Episode 152	Average Score: 8.95 	steps: 1781.00
Episode 153	Average Score: 9.07 	steps: 1810.00
Episode 154	Average Score: 9.02 	steps: 1816.00
Episode 155	Average Score: 9.07 	steps: 1827.00
Episode 156	Average Score: 9.00 	steps: 1836.00
Episode 157	Average Score: 9.04 	steps: 1850.00
Episode 158	Average Score: 9.08 	steps: 1865.00
Episode 159	Average Score: 8.97 	steps: 1868.00
Episode 160	Average Score: 9.09 	steps: 1887.00
Episode 161	Average Score: 9.10 	steps: 1891.00
Episode 162	Average Score: 9.38 	steps: 1930.00
Episode 163	Average Score: 9.36 	steps: 1949.00
Episode 164	Average Score: 9.10 	steps: 1955.00
Episode 165	Average Score: 9.27 	steps: 1985.00
Episode 166	Average Score: 9.52 	steps: 2019.00
Episode 167	Average Score: 9.43 	steps: 2032.00
Episode 168	Average Score: 9.42 	steps: 2036.00
Episode 169	Average Score: 9.38 	steps: 2039.00
Episode 170	Average Score: 9.37 	steps: 2041.00
Episode 171	Average Score: 9.20 	steps: 2046.00
Episode 172	Average Score: 8.95 	steps: 2063.00
Episode 173	Average Score: 8.93 	steps: 2066.00
Episode 174	Average Score: 8.83 	steps: 2073.00
Episode 175	Average Score: 8.86 	steps: 2079.00
Episode 176	Average Score: 8.86 	steps: 2086.00
Episode 177	Average Score: 9.11 	steps: 2124.00
Episode 178	Average Score: 9.28 	steps: 2171.00
Episode 179	Average Score: 9.14 	steps: 2192.00
Episode 180	Average Score: 9.13 	steps: 2210.00
Episode 181	Average Score: 8.79 	steps: 2218.00
Episode 182	Average Score: 8.79 	steps: 2221.00
Episode 183	Average Score: 8.83 	steps: 2231.00
Episode 184	Average Score: 8.84 	steps: 2237.00
Episode 185	Average Score: 9.18 	steps: 2287.00
Episode 186	Average Score: 9.19 	steps: 2290.00
Episode 187	Average Score: 9.13 	steps: 2295.00
Episode 188	Average Score: 9.21 	steps: 2320.00
Episode 189	Average Score: 9.13 	steps: 2328.00
Episode 190	Average Score: 9.38 	steps: 2360.00
Episode 191	Average Score: 9.43 	steps: 2381.00
Episode 192	Average Score: 9.32 	steps: 2384.00
Episode 193	Average Score: 9.39 	steps: 2403.00
Episode 194	Average Score: 9.24 	steps: 2412.00
Episode 195	Average Score: 9.27 	steps: 2423.00
Episode 196	Average Score: 9.22 	steps: 2426.00
Episode 197	Average Score: 9.54 	steps: 2476.00
Episode 198	Average Score: 9.46 	steps: 2479.00
Episode 199	Average Score: 9.45 	steps: 2491.00
Episode 200	Average Score: 9.43 	steps: 2500.00
Episode 200	Average Score: 9.43 	steps: 2500.00

Episode 201	Average Score: 9.39 	steps: 2515.00
Episode 202	Average Score: 9.41 	steps: 2526.00
Episode 203	Average Score: 9.58 	steps: 2575.00
Episode 204	Average Score: 9.79 	steps: 2610.00
Episode 205	Average Score: 10.13 	steps: 2660.00
Episode 206	Average Score: 10.17 	steps: 2667.00
Episode 207	Average Score: 10.16 	steps: 2687.00
Episode 208	Average Score: 10.50 	steps: 2737.00
Episode 209	Average Score: 10.53 	steps: 2746.00
Episode 210	Average Score: 10.65 	steps: 2768.00
Episode 211	Average Score: 10.66 	steps: 2779.00
Episode 212	Average Score: 10.69 	steps: 2786.00
Episode 213	Average Score: 10.93 	steps: 2836.00
Episode 214	Average Score: 10.99 	steps: 2847.00
Episode 215	Average Score: 10.99 	steps: 2853.00
Episode 216	Average Score: 10.98 	steps: 2857.00
Episode 217	Average Score: 11.02 	steps: 2868.00
Episode 218	Average Score: 11.39 	steps: 2918.00
Episode 219	Average Score: 11.44 	steps: 2925.00
Episode 220	Average Score: 11.58 	steps: 2948.00
Episode 221	Average Score: 11.85 	steps: 2986.00
Episode 222	Average Score: 12.18 	steps: 3036.00
Episode 223	Average Score: 12.33 	steps: 3064.00
Episode 224	Average Score: 12.21 	steps: 3068.00
Episode 225	Average Score: 12.41 	steps: 3101.00
Episode 226	Average Score: 12.38 	steps: 3104.00
Episode 227	Average Score: 12.26 	steps: 3116.00
Episode 228	Average Score: 12.19 	steps: 3119.00
Episode 229	Average Score: 12.42 	steps: 3169.00
Episode 230	Average Score: 12.34 	steps: 3173.00
Episode 231	Average Score: 12.63 	steps: 3223.00
Episode 232	Average Score: 12.60 	steps: 3227.00
Episode 233	Average Score: 12.63 	steps: 3234.00
Episode 234	Average Score: 12.64 	steps: 3238.00
Episode 235	Average Score: 12.46 	steps: 3250.00
Episode 236	Average Score: 12.57 	steps: 3270.00
Episode 237	Average Score: 12.69 	steps: 3284.00
Episode 238	Average Score: 12.67 	steps: 3288.00
Episode 239	Average Score: 13.03 	steps: 3338.00
Episode 240	Average Score: 12.77 	steps: 3361.00
Episode 241	Average Score: 12.80 	steps: 3373.00
Episode 242	Average Score: 12.82 	steps: 3378.00
Episode 243	Average Score: 13.25 	steps: 3428.00
Episode 244	Average Score: 13.27 	steps: 3445.00
Episode 245	Average Score: 13.45 	steps: 3469.00
Episode 246	Average Score: 13.45 	steps: 3471.00
Episode 247	Average Score: 13.47 	steps: 3477.00
Episode 248	Average Score: 13.46 	steps: 3481.00
Episode 249	Average Score: 13.40 	steps: 3491.00
Episode 250	Average Score: 13.40 	steps: 3502.00
Episode 251	Average Score: 13.08 	steps: 3507.00
Episode 252	Average Score: 13.43 	steps: 3557.00
Episode 253	Average Score: 13.32 	steps: 3573.00
Episode 254	Average Score: 13.47 	steps: 3600.00
Episode 255	Average Score: 13.52 	steps: 3615.00
Episode 256	Average Score: 13.49 	steps: 3618.00
Episode 257	Average Score: 13.51 	steps: 3635.00
Episode 258	Average Score: 13.45 	steps: 3639.00
Episode 259	Average Score: 13.52 	steps: 3650.00
Episode 260	Average Score: 13.42 	steps: 3655.00
Episode 261	Average Score: 13.81 	steps: 3705.00
Episode 262	Average Score: 13.59 	steps: 3717.00
Episode 263	Average Score: 13.51 	steps: 3728.00
Episode 264	Average Score: 13.53 	steps: 3736.00
Episode 265	Average Score: 13.48 	steps: 3751.00
Episode 266	Average Score: 13.23 	steps: 3756.00
Episode 267	Average Score: 13.57 	steps: 3806.00
Episode 268	Average Score: 13.61 	steps: 3815.00
Episode 269	Average Score: 13.64 	steps: 3821.00
Episode 270	Average Score: 14.06 	steps: 3871.00
Episode 271	Average Score: 14.24 	steps: 3897.00
Episode 272	Average Score: 14.50 	steps: 3947.00
Episode 273	Average Score: 14.74 	steps: 3980.00
Episode 274	Average Score: 14.72 	steps: 3984.00
Episode 275	Average Score: 15.04 	steps: 4034.00
Episode 276	Average Score: 15.07 	steps: 4044.00
Episode 277	Average Score: 14.83 	steps: 4050.00
Episode 278	Average Score: 14.79 	steps: 4100.00
Episode 279	Average Score: 14.68 	steps: 4103.00
Episode 280	Average Score: 14.55 	steps: 4106.00
Episode 281	Average Score: 14.65 	steps: 4125.00
Episode 282	Average Score: 14.67 	steps: 4130.00
Episode 283	Average Score: 14.62 	steps: 4133.00
Episode 284	Average Score: 15.01 	steps: 4183.00
Episode 285	Average Score: 14.93 	steps: 4233.00
