created virtual environment CPython3.7.9.final.0-64 in 30922ms
  creator CPython3Posix(dest=/localscratch/fabdolla.29154425.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: pygame in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: gym in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: numpy in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: pandas in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.29154425.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
Directory  28  already exists
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 7.15 	steps: 11.00
Episode 2	Average Score: 6.99 	steps: 19.00
Episode 3	Average Score: 5.24 	steps: 22.00
Episode 4	Average Score: 5.25 	steps: 31.00
Episode 5	Average Score: 4.68 	steps: 35.00
Episode 6	Average Score: 5.54 	steps: 46.00
Episode 7	Average Score: 5.80 	steps: 57.00
Episode 8	Average Score: 5.58 	steps: 62.00
Episode 9	Average Score: 5.55 	steps: 69.00
Episode 10	Average Score: 5.38 	steps: 76.00
Episode 11	Average Score: 5.32 	steps: 84.00
Episode 12	Average Score: 5.33 	steps: 92.00
Episode 13	Average Score: 6.28 	steps: 120.00
Episode 14	Average Score: 6.73 	steps: 141.00
Episode 15	Average Score: 6.47 	steps: 146.00
Episode 16	Average Score: 8.49 	steps: 196.00
Episode 17	Average Score: 8.10 	steps: 199.00
Episode 18	Average Score: 7.84 	steps: 205.00
Episode 19	Average Score: 7.67 	steps: 213.00
Episode 20	Average Score: 7.40 	steps: 216.00
Episode 21	Average Score: 7.10 	steps: 219.00
Episode 22	Average Score: 6.87 	steps: 223.00
Episode 23	Average Score: 7.53 	steps: 249.00
Episode 24	Average Score: 7.30 	steps: 252.00
Episode 25	Average Score: 7.09 	steps: 256.00
Episode 26	Average Score: 7.03 	steps: 263.00
Episode 27	Average Score: 6.84 	steps: 266.00
Episode 28	Average Score: 7.39 	steps: 292.00
Episode 29	Average Score: 7.29 	steps: 298.00
Episode 30	Average Score: 7.37 	steps: 312.00
Episode 31	Average Score: 7.34 	steps: 320.00
Episode 32	Average Score: 7.18 	steps: 324.00
Episode 33	Average Score: 7.05 	steps: 329.00
Episode 34	Average Score: 7.04 	steps: 337.00
Episode 35	Average Score: 6.88 	steps: 340.00
Episode 36	Average Score: 6.95 	steps: 352.00
Episode 37	Average Score: 6.81 	steps: 355.00
Episode 38	Average Score: 7.01 	steps: 375.00
Episode 39	Average Score: 6.91 	steps: 380.00
Episode 40	Average Score: 6.85 	steps: 385.00
Episode 41	Average Score: 6.83 	steps: 392.00
Episode 42	Average Score: 6.81 	steps: 400.00
Episode 43	Average Score: 6.72 	steps: 404.00
Episode 44	Average Score: 6.68 	steps: 411.00
Episode 45	Average Score: 6.64 	steps: 418.00
Episode 46	Average Score: 6.55 	steps: 422.00
Episode 47	Average Score: 6.48 	steps: 428.00
Episode 48	Average Score: 6.51 	steps: 438.00
Episode 49	Average Score: 6.40 	steps: 440.00
Episode 50	Average Score: 6.34 	steps: 446.00
Episode 51	Average Score: 6.27 	steps: 450.00
Episode 52	Average Score: 6.25 	steps: 456.00
Episode 53	Average Score: 6.22 	steps: 463.00
Episode 54	Average Score: 6.23 	steps: 472.00
Episode 55	Average Score: 6.18 	steps: 478.00
Episode 56	Average Score: 6.31 	steps: 494.00
Episode 57	Average Score: 6.31 	steps: 503.00
Episode 58	Average Score: 6.23 	steps: 506.00
Episode 59	Average Score: 6.15 	steps: 508.00
Episode 60	Average Score: 6.25 	steps: 523.00
Episode 61	Average Score: 6.49 	steps: 549.00
Episode 62	Average Score: 6.57 	steps: 567.00
Episode 63	Average Score: 6.48 	steps: 570.00
Episode 64	Average Score: 6.47 	steps: 577.00
Episode 65	Average Score: 6.41 	steps: 582.00
Episode 66	Average Score: 6.48 	steps: 596.00
Episode 67	Average Score: 6.46 	steps: 603.00
Episode 68	Average Score: 6.43 	steps: 610.00
Episode 69	Average Score: 6.42 	steps: 617.00
Episode 70	Average Score: 6.61 	steps: 648.00
Episode 71	Average Score: 6.59 	steps: 656.00
Episode 72	Average Score: 6.52 	steps: 658.00
Episode 73	Average Score: 6.47 	steps: 662.00
Episode 74	Average Score: 6.47 	steps: 670.00
Episode 75	Average Score: 6.49 	steps: 679.00
Episode 76	Average Score: 6.47 	steps: 688.00
Episode 77	Average Score: 6.41 	steps: 691.00
Episode 78	Average Score: 6.37 	steps: 695.00
Episode 79	Average Score: 6.49 	steps: 717.00
Episode 80	Average Score: 6.55 	steps: 731.00
Episode 81	Average Score: 6.50 	steps: 735.00
Episode 82	Average Score: 6.44 	steps: 738.00
Episode 83	Average Score: 6.43 	steps: 745.00
Episode 84	Average Score: 6.38 	steps: 748.00
Episode 85	Average Score: 6.32 	steps: 751.00
Episode 86	Average Score: 6.29 	steps: 755.00
Episode 87	Average Score: 6.27 	steps: 762.00
Episode 88	Average Score: 6.26 	steps: 768.00
Episode 89	Average Score: 6.23 	steps: 773.00
Episode 90	Average Score: 6.26 	steps: 784.00
Episode 91	Average Score: 6.34 	steps: 801.00
Episode 92	Average Score: 6.32 	steps: 806.00
Episode 93	Average Score: 6.32 	steps: 813.00
Episode 94	Average Score: 6.33 	steps: 826.00
Episode 95	Average Score: 6.29 	steps: 830.00
Episode 96	Average Score: 6.25 	steps: 833.00
Episode 97	Average Score: 6.24 	steps: 839.00
Episode 98	Average Score: 6.20 	steps: 843.00
Episode 99	Average Score: 6.27 	steps: 861.00
Episode 100	Average Score: 6.23 	steps: 865.00
Episode 100	Average Score: 6.23 	steps: 865.00

Episode 101	Average Score: 6.22 	steps: 873.00
Episode 102	Average Score: 6.19 	steps: 879.00
Episode 103	Average Score: 6.22 	steps: 884.00
Episode 104	Average Score: 6.26 	steps: 894.00
Episode 105	Average Score: 6.33 	steps: 907.00
Episode 106	Average Score: 6.25 	steps: 910.00
Episode 107	Average Score: 6.20 	steps: 914.00
Episode 108	Average Score: 6.19 	steps: 919.00
Episode 109	Average Score: 6.17 	steps: 923.00
Episode 110	Average Score: 6.20 	steps: 933.00
Episode 111	Average Score: 6.25 	steps: 944.00
Episode 112	Average Score: 6.50 	steps: 980.00
Episode 113	Average Score: 6.36 	steps: 986.00
Episode 114	Average Score: 6.25 	steps: 988.00
Episode 115	Average Score: 6.24 	steps: 991.00
Episode 116	Average Score: 5.91 	steps: 999.00
Episode 117	Average Score: 5.95 	steps: 1009.00
Episode 118	Average Score: 5.93 	steps: 1012.00
Episode 119	Average Score: 5.96 	steps: 1023.00
Episode 120	Average Score: 6.01 	steps: 1033.00
Episode 121	Average Score: 6.19 	steps: 1056.00
Episode 122	Average Score: 6.19 	steps: 1059.00
Episode 123	Average Score: 5.99 	steps: 1064.00
Episode 124	Average Score: 6.07 	steps: 1079.00
Episode 125	Average Score: 6.38 	steps: 1118.00
Episode 126	Average Score: 6.53 	steps: 1143.00
Episode 127	Average Score: 6.54 	steps: 1147.00
Episode 128	Average Score: 6.39 	steps: 1155.00
Episode 129	Average Score: 6.39 	steps: 1163.00
Episode 130	Average Score: 6.40 	steps: 1175.00
Episode 131	Average Score: 6.35 	steps: 1178.00
Episode 132	Average Score: 6.42 	steps: 1188.00
Episode 133	Average Score: 6.40 	steps: 1190.00
Episode 134	Average Score: 6.35 	steps: 1192.00
Episode 135	Average Score: 6.38 	steps: 1198.00
Episode 136	Average Score: 6.31 	steps: 1201.00
Episode 137	Average Score: 6.31 	steps: 1205.00
Episode 138	Average Score: 6.19 	steps: 1208.00
Episode 139	Average Score: 6.19 	steps: 1212.00
Episode 140	Average Score: 6.18 	steps: 1217.00
Episode 141	Average Score: 6.20 	steps: 1227.00
Episode 142	Average Score: 6.18 	steps: 1234.00
Episode 143	Average Score: 6.19 	steps: 1239.00
Episode 144	Average Score: 6.56 	steps: 1289.00
Episode 145	Average Score: 6.54 	steps: 1293.00
Episode 146	Average Score: 6.53 	steps: 1296.00
Episode 147	Average Score: 6.52 	steps: 1300.00
Episode 148	Average Score: 6.54 	steps: 1311.00
Episode 149	Average Score: 6.71 	steps: 1335.00
Episode 150	Average Score: 6.70 	steps: 1339.00
Episode 151	Average Score: 6.71 	steps: 1346.00
Episode 152	Average Score: 6.71 	steps: 1353.00
Episode 153	Average Score: 6.80 	steps: 1369.00
Episode 154	Average Score: 6.86 	steps: 1384.00
Episode 155	Average Score: 6.83 	steps: 1386.00
Episode 156	Average Score: 6.81 	steps: 1400.00
Episode 157	Average Score: 6.81 	steps: 1410.00
Episode 158	Average Score: 6.94 	steps: 1434.00
Episode 159	Average Score: 7.03 	steps: 1447.00
Episode 160	Average Score: 6.97 	steps: 1454.00
Episode 161	Average Score: 6.78 	steps: 1458.00
Episode 162	Average Score: 6.73 	steps: 1468.00
Episode 163	Average Score: 6.75 	steps: 1472.00
Episode 164	Average Score: 6.73 	steps: 1477.00
Episode 165	Average Score: 7.01 	steps: 1521.00
Episode 166	Average Score: 7.10 	steps: 1543.00
Episode 167	Average Score: 7.07 	steps: 1546.00
Episode 168	Average Score: 7.08 	steps: 1552.00
Episode 169	Average Score: 7.08 	steps: 1561.00
Episode 170	Average Score: 6.96 	steps: 1570.00
Episode 171	Average Score: 6.94 	steps: 1575.00
Episode 172	Average Score: 6.99 	steps: 1582.00
Episode 173	Average Score: 7.00 	steps: 1588.00
Episode 174	Average Score: 6.97 	steps: 1592.00
Episode 175	Average Score: 6.95 	steps: 1601.00
Episode 176	Average Score: 6.93 	steps: 1606.00
Episode 177	Average Score: 6.95 	steps: 1611.00
Episode 178	Average Score: 6.94 	steps: 1615.00
Episode 179	Average Score: 6.83 	steps: 1621.00
Episode 180	Average Score: 6.75 	steps: 1625.00
Episode 181	Average Score: 6.80 	steps: 1634.00
Episode 182	Average Score: 6.80 	steps: 1637.00
Episode 183	Average Score: 6.75 	steps: 1639.00
Episode 184	Average Score: 6.76 	steps: 1643.00
Episode 185	Average Score: 6.77 	steps: 1647.00
Episode 186	Average Score: 6.78 	steps: 1653.00
Episode 187	Average Score: 6.76 	steps: 1657.00
Episode 188	Average Score: 6.77 	steps: 1667.00
Episode 189	Average Score: 6.75 	steps: 1670.00
Episode 190	Average Score: 6.73 	steps: 1679.00
Episode 191	Average Score: 6.64 	steps: 1686.00
Episode 192	Average Score: 6.68 	steps: 1700.00
Episode 193	Average Score: 6.68 	steps: 1709.00
Episode 194	Average Score: 6.63 	steps: 1713.00
Episode 195	Average Score: 6.64 	steps: 1719.00
Episode 196	Average Score: 6.76 	steps: 1736.00
Episode 197	Average Score: 6.82 	steps: 1754.00
Episode 198	Average Score: 6.82 	steps: 1757.00
Episode 199	Average Score: 6.75 	steps: 1764.00
Episode 200	Average Score: 6.78 	steps: 1770.00
Episode 200	Average Score: 6.78 	steps: 1770.00

Episode 201	Average Score: 6.75 	steps: 1775.00
Episode 202	Average Score: 7.05 	steps: 1814.00
Episode 203	Average Score: 7.02 	steps: 1817.00
Episode 204	Average Score: 7.05 	steps: 1832.00
Episode 205	Average Score: 6.97 	steps: 1834.00
Episode 206	Average Score: 6.99 	steps: 1841.00
Episode 207	Average Score: 7.09 	steps: 1859.00
Episode 208	Average Score: 7.09 	steps: 1863.00
Episode 209	Average Score: 7.14 	steps: 1877.00
Episode 210	Average Score: 7.11 	steps: 1881.00
Episode 211	Average Score: 7.39 	steps: 1931.00
Episode 212	Average Score: 7.13 	steps: 1937.00
Episode 213	Average Score: 7.17 	steps: 1946.00
Episode 214	Average Score: 7.34 	steps: 1968.00
Episode 215	Average Score: 7.36 	steps: 1973.00
Episode 216	Average Score: 7.36 	steps: 1981.00
Episode 217	Average Score: 7.43 	steps: 1996.00
Episode 218	Average Score: 7.54 	steps: 2015.00
Episode 219	Average Score: 7.53 	steps: 2022.00
Episode 220	Average Score: 7.47 	steps: 2026.00
Episode 221	Average Score: 7.33 	steps: 2033.00
Episode 222	Average Score: 7.36 	steps: 2039.00
Episode 223	Average Score: 7.35 	steps: 2042.00
Episode 224	Average Score: 7.33 	steps: 2051.00
Episode 225	Average Score: 7.04 	steps: 2056.00
Episode 226	Average Score: 6.99 	steps: 2073.00
Episode 227	Average Score: 6.97 	steps: 2076.00
Episode 228	Average Score: 6.96 	steps: 2082.00
Episode 229	Average Score: 7.01 	steps: 2096.00
Episode 230	Average Score: 7.03 	steps: 2115.00
Episode 231	Average Score: 7.05 	steps: 2120.00
Episode 232	Average Score: 6.99 	steps: 2124.00
Episode 233	Average Score: 7.05 	steps: 2133.00
Episode 234	Average Score: 7.10 	steps: 2140.00
Episode 235	Average Score: 7.06 	steps: 2143.00
Episode 236	Average Score: 7.08 	steps: 2148.00
Episode 237	Average Score: 7.16 	steps: 2159.00
Episode 238	Average Score: 7.29 	steps: 2176.00
Episode 239	Average Score: 7.27 	steps: 2179.00
Episode 240	Average Score: 7.29 	steps: 2187.00
Episode 241	Average Score: 7.23 	steps: 2190.00
Episode 242	Average Score: 7.23 	steps: 2196.00
Episode 243	Average Score: 7.25 	steps: 2202.00
Episode 244	Average Score: 7.19 	steps: 2249.00
Episode 245	Average Score: 7.22 	steps: 2256.00
Episode 246	Average Score: 7.40 	steps: 2278.00
Episode 247	Average Score: 7.50 	steps: 2293.00
Episode 248	Average Score: 7.48 	steps: 2304.00
Episode 249	Average Score: 7.41 	steps: 2315.00
Episode 250	Average Score: 7.43 	steps: 2322.00
Episode 251	Average Score: 7.51 	steps: 2338.00
Episode 252	Average Score: 7.50 	steps: 2344.00
Episode 253	Average Score: 7.46 	steps: 2359.00
Episode 254	Average Score: 7.36 	steps: 2363.00
Episode 255	Average Score: 7.38 	steps: 2367.00
Episode 256	Average Score: 7.31 	steps: 2372.00
Episode 257	Average Score: 7.33 	steps: 2381.00
Episode 258	Average Score: 7.45 	steps: 2424.00
Episode 259	Average Score: 7.37 	steps: 2427.00
Episode 260	Average Score: 7.41 	steps: 2439.00
Episode 261	Average Score: 7.55 	steps: 2458.00
Episode 262	Average Score: 7.65 	steps: 2477.00
Episode 263	Average Score: 7.65 	steps: 2482.00
Episode 264	Average Score: 7.74 	steps: 2499.00
Episode 265	Average Score: 7.58 	steps: 2519.00
Episode 266	Average Score: 7.76 	steps: 2569.00
Episode 267	Average Score: 8.01 	steps: 2604.00
Episode 268	Average Score: 7.98 	steps: 2607.00
Episode 269	Average Score: 7.94 	steps: 2611.00
Episode 270	Average Score: 7.90 	steps: 2615.00
Episode 271	Average Score: 7.87 	steps: 2617.00
Episode 272	Average Score: 8.03 	steps: 2646.00
Episode 273	Average Score: 8.00 	steps: 2649.00
Episode 274	Average Score: 7.98 	steps: 2652.00
Episode 275	Average Score: 7.92 	steps: 2654.00
Episode 276	Average Score: 7.92 	steps: 2658.00
Episode 277	Average Score: 7.89 	steps: 2660.00
Episode 278	Average Score: 7.94 	steps: 2669.00
Episode 279	Average Score: 7.91 	steps: 2673.00
Episode 280	Average Score: 8.03 	steps: 2699.00
Episode 281	Average Score: 8.09 	steps: 2716.00
Episode 282	Average Score: 8.10 	steps: 2719.00
Episode 283	Average Score: 8.21 	steps: 2739.00
Episode 284	Average Score: 8.25 	steps: 2749.00
Episode 285	Average Score: 8.39 	steps: 2768.00
Episode 286	Average Score: 8.46 	steps: 2781.00
