created virtual environment CPython3.7.9.final.0-64 in 24825ms
  creator CPython3Posix(dest=/localscratch/fabdolla.28934914.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: pygame in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: numpy in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: pandas in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.28934914.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 20.05 	steps: 22.00
Episode 2	Average Score: 10.68 	steps: 24.00
Episode 3	Average Score: 8.51 	steps: 30.00
Episode 4	Average Score: 7.03 	steps: 34.00
Episode 5	Average Score: 6.14 	steps: 38.00
Episode 6	Average Score: 5.57 	steps: 43.00
Episode 7	Average Score: 5.05 	steps: 46.00
Episode 8	Average Score: 4.90 	steps: 51.00
Episode 9	Average Score: 5.11 	steps: 61.00
Episode 10	Average Score: 5.52 	steps: 75.00
Episode 11	Average Score: 5.78 	steps: 89.00
Episode 12	Average Score: 5.75 	steps: 97.00
Episode 13	Average Score: 5.58 	steps: 102.00
Episode 14	Average Score: 5.58 	steps: 111.00
Episode 15	Average Score: 5.33 	steps: 114.00
Episode 16	Average Score: 5.55 	steps: 124.00
Episode 17	Average Score: 5.42 	steps: 129.00
Episode 18	Average Score: 6.16 	steps: 151.00
Episode 19	Average Score: 6.50 	steps: 173.00
Episode 20	Average Score: 6.90 	steps: 195.00
Episode 21	Average Score: 7.44 	steps: 219.00
Episode 22	Average Score: 7.52 	steps: 234.00
Episode 23	Average Score: 7.77 	steps: 253.00
Episode 24	Average Score: 7.57 	steps: 259.00
Episode 25	Average Score: 7.78 	steps: 277.00
Episode 26	Average Score: 7.92 	steps: 293.00
Episode 27	Average Score: 8.21 	steps: 318.00
Episode 28	Average Score: 8.64 	steps: 344.00
Episode 29	Average Score: 9.13 	steps: 371.00
Episode 30	Average Score: 10.08 	steps: 421.00
Episode 31	Average Score: 9.92 	steps: 430.00
Episode 32	Average Score: 10.24 	steps: 458.00
Episode 33	Average Score: 10.25 	steps: 473.00
Episode 34	Average Score: 10.04 	steps: 478.00
Episode 35	Average Score: 10.74 	steps: 528.00
Episode 36	Average Score: 10.48 	steps: 531.00
Episode 37	Average Score: 10.41 	steps: 542.00
Episode 38	Average Score: 10.63 	steps: 573.00
Episode 39	Average Score: 10.60 	steps: 585.00
Episode 40	Average Score: 10.48 	steps: 594.00
Episode 41	Average Score: 10.41 	steps: 603.00
Episode 42	Average Score: 10.20 	steps: 606.00
Episode 43	Average Score: 10.21 	steps: 623.00
Episode 44	Average Score: 10.74 	steps: 662.00
Episode 45	Average Score: 10.84 	steps: 682.00
Episode 46	Average Score: 10.65 	steps: 685.00
Episode 47	Average Score: 10.59 	steps: 697.00
Episode 48	Average Score: 10.89 	steps: 730.00
Episode 49	Average Score: 10.82 	steps: 741.00
Episode 50	Average Score: 10.99 	steps: 770.00
Episode 51	Average Score: 11.14 	steps: 797.00
Episode 52	Average Score: 11.56 	steps: 837.00
Episode 53	Average Score: 11.39 	steps: 841.00
Episode 54	Average Score: 11.22 	steps: 845.00
Episode 55	Average Score: 11.17 	steps: 858.00
Episode 56	Average Score: 11.41 	steps: 887.00
Episode 57	Average Score: 11.32 	steps: 895.00
Episode 58	Average Score: 11.36 	steps: 913.00
Episode 59	Average Score: 11.43 	steps: 932.00
Episode 60	Average Score: 11.32 	steps: 940.00
Episode 61	Average Score: 11.16 	steps: 944.00
Episode 62	Average Score: 11.07 	steps: 953.00
Episode 63	Average Score: 10.97 	steps: 959.00
Episode 64	Average Score: 11.12 	steps: 988.00
Episode 65	Average Score: 11.01 	steps: 995.00
Episode 66	Average Score: 10.96 	steps: 1006.00
Episode 67	Average Score: 10.83 	steps: 1011.00
Episode 68	Average Score: 10.82 	steps: 1025.00
Episode 69	Average Score: 10.75 	steps: 1033.00
Episode 70	Average Score: 10.84 	steps: 1056.00
Episode 71	Average Score: 10.71 	steps: 1060.00
Episode 72	Average Score: 10.58 	steps: 1062.00
Episode 73	Average Score: 10.46 	steps: 1065.00
Episode 74	Average Score: 10.43 	steps: 1079.00
Episode 75	Average Score: 10.73 	steps: 1126.00
Episode 76	Average Score: 10.65 	steps: 1132.00
Episode 77	Average Score: 10.65 	steps: 1148.00
Episode 78	Average Score: 10.56 	steps: 1153.00
Episode 79	Average Score: 10.51 	steps: 1161.00
Episode 80	Average Score: 10.53 	steps: 1176.00
Episode 81	Average Score: 10.46 	steps: 1184.00
Episode 82	Average Score: 10.57 	steps: 1207.00
Episode 83	Average Score: 10.71 	steps: 1234.00
Episode 84	Average Score: 10.62 	steps: 1240.00
Episode 85	Average Score: 10.55 	steps: 1246.00
Episode 86	Average Score: 10.53 	steps: 1259.00
Episode 87	Average Score: 10.45 	steps: 1264.00
Episode 88	Average Score: 10.40 	steps: 1276.00
Episode 89	Average Score: 10.37 	steps: 1285.00
Episode 90	Average Score: 10.29 	steps: 1289.00
Episode 91	Average Score: 10.38 	steps: 1313.00
Episode 92	Average Score: 10.41 	steps: 1330.00
Episode 93	Average Score: 10.46 	steps: 1351.00
Episode 94	Average Score: 10.37 	steps: 1354.00
Episode 95	Average Score: 10.43 	steps: 1381.00
Episode 96	Average Score: 10.35 	steps: 1386.00
Episode 97	Average Score: 10.57 	steps: 1425.00
Episode 98	Average Score: 10.54 	steps: 1434.00
Episode 99	Average Score: 10.44 	steps: 1436.00
Episode 100	Average Score: 10.51 	steps: 1465.00
Episode 100	Average Score: 10.51 	steps: 1465.00

Episode 101	Average Score: 10.36 	steps: 1470.00
Episode 102	Average Score: 10.36 	steps: 1473.00
Episode 103	Average Score: 10.43 	steps: 1487.00
Episode 104	Average Score: 10.46 	steps: 1494.00
Episode 105	Average Score: 10.62 	steps: 1519.00
Episode 106	Average Score: 10.63 	steps: 1524.00
Episode 107	Average Score: 10.63 	steps: 1528.00
Episode 108	Average Score: 10.68 	steps: 1541.00
Episode 109	Average Score: 10.66 	steps: 1548.00
Episode 110	Average Score: 10.60 	steps: 1553.00
Episode 111	Average Score: 10.57 	steps: 1560.00
Episode 112	Average Score: 10.57 	steps: 1568.00
Episode 113	Average Score: 10.64 	steps: 1581.00
Episode 114	Average Score: 10.60 	steps: 1584.00
Episode 115	Average Score: 10.62 	steps: 1590.00
Episode 116	Average Score: 10.68 	steps: 1614.00
Episode 117	Average Score: 10.97 	steps: 1663.00
Episode 118	Average Score: 10.88 	steps: 1676.00
Episode 119	Average Score: 10.79 	steps: 1681.00
Episode 120	Average Score: 10.70 	steps: 1691.00
Episode 121	Average Score: 10.55 	steps: 1696.00
Episode 122	Average Score: 10.60 	steps: 1712.00
Episode 123	Average Score: 10.76 	steps: 1746.00
Episode 124	Average Score: 10.74 	steps: 1749.00
Episode 125	Average Score: 10.99 	steps: 1799.00
Episode 126	Average Score: 10.89 	steps: 1802.00
Episode 127	Average Score: 10.77 	steps: 1809.00
Episode 128	Average Score: 10.60 	steps: 1814.00
Episode 129	Average Score: 10.49 	steps: 1830.00
Episode 130	Average Score: 10.13 	steps: 1833.00
Episode 131	Average Score: 10.45 	steps: 1883.00
Episode 132	Average Score: 10.47 	steps: 1908.00
Episode 133	Average Score: 10.43 	steps: 1917.00
Episode 134	Average Score: 10.53 	steps: 1937.00
Episode 135	Average Score: 10.26 	steps: 1947.00
Episode 136	Average Score: 10.27 	steps: 1952.00
Episode 137	Average Score: 10.32 	steps: 1969.00
Episode 138	Average Score: 10.15 	steps: 1972.00
Episode 139	Average Score: 10.08 	steps: 1976.00
Episode 140	Average Score: 10.33 	steps: 2016.00
Episode 141	Average Score: 10.29 	steps: 2021.00
Episode 142	Average Score: 10.31 	steps: 2027.00
Episode 143	Average Score: 10.26 	steps: 2034.00
Episode 144	Average Score: 10.04 	steps: 2052.00
Episode 145	Average Score: 9.97 	steps: 2062.00
Episode 146	Average Score: 9.99 	steps: 2070.00
Episode 147	Average Score: 9.94 	steps: 2075.00
Episode 148	Average Score: 9.70 	steps: 2078.00
Episode 149	Average Score: 10.05 	steps: 2128.00
Episode 150	Average Score: 9.93 	steps: 2140.00
Episode 151	Average Score: 9.87 	steps: 2155.00
Episode 152	Average Score: 9.65 	steps: 2167.00
Episode 153	Average Score: 9.70 	steps: 2176.00
Episode 154	Average Score: 9.72 	steps: 2181.00
Episode 155	Average Score: 9.68 	steps: 2187.00
Episode 156	Average Score: 9.46 	steps: 2190.00
Episode 157	Average Score: 9.41 	steps: 2193.00
Episode 158	Average Score: 9.67 	steps: 2243.00
Episode 159	Average Score: 9.65 	steps: 2261.00
Episode 160	Average Score: 9.64 	steps: 2267.00
Episode 161	Average Score: 10.06 	steps: 2317.00
Episode 162	Average Score: 10.12 	steps: 2336.00
Episode 163	Average Score: 10.09 	steps: 2339.00
Episode 164	Average Score: 10.01 	steps: 2358.00
Episode 165	Average Score: 10.15 	steps: 2382.00
Episode 166	Average Score: 10.44 	steps: 2432.00
Episode 167	Average Score: 10.47 	steps: 2440.00
Episode 168	Average Score: 10.50 	steps: 2455.00
Episode 169	Average Score: 10.53 	steps: 2469.00
Episode 170	Average Score: 10.38 	steps: 2472.00
Episode 171	Average Score: 10.41 	steps: 2480.00
Episode 172	Average Score: 10.48 	steps: 2496.00
Episode 173	Average Score: 10.49 	steps: 2499.00
Episode 174	Average Score: 10.83 	steps: 2549.00
Episode 175	Average Score: 10.64 	steps: 2567.00
Episode 176	Average Score: 10.65 	steps: 2575.00
Episode 177	Average Score: 10.56 	steps: 2579.00
Episode 178	Average Score: 10.55 	steps: 2583.00
Episode 179	Average Score: 10.53 	steps: 2589.00
Episode 180	Average Score: 10.51 	steps: 2603.00
Episode 181	Average Score: 10.68 	steps: 2639.00
Episode 182	Average Score: 10.93 	steps: 2689.00
Episode 183	Average Score: 10.85 	steps: 2709.00
Episode 184	Average Score: 11.06 	steps: 2741.00
Episode 185	Average Score: 11.32 	steps: 2779.00
Episode 186	Average Score: 11.39 	steps: 2801.00
Episode 187	Average Score: 11.71 	steps: 2847.00
Episode 188	Average Score: 11.68 	steps: 2854.00
Episode 189	Average Score: 11.96 	steps: 2904.00
Episode 190	Average Score: 12.32 	steps: 2954.00
Episode 191	Average Score: 12.27 	steps: 2971.00
Episode 192	Average Score: 12.18 	steps: 2975.00
Episode 193	Average Score: 12.05 	steps: 2978.00
Episode 194	Average Score: 12.19 	steps: 2997.00
Episode 195	Average Score: 12.18 	steps: 3023.00
Episode 196	Average Score: 12.16 	steps: 3026.00
Episode 197	Average Score: 12.11 	steps: 3068.00
Episode 198	Average Score: 12.28 	steps: 3094.00
Episode 199	Average Score: 12.30 	steps: 3098.00
Episode 200	Average Score: 12.20 	steps: 3109.00
Episode 200	Average Score: 12.20 	steps: 3109.00

Episode 201	Average Score: 12.21 	steps: 3115.00
Episode 202	Average Score: 12.21 	steps: 3119.00
Episode 203	Average Score: 12.40 	steps: 3160.00
Episode 204	Average Score: 12.76 	steps: 3210.00
Episode 205	Average Score: 12.61 	steps: 3215.00
Episode 206	Average Score: 12.85 	steps: 3254.00
Episode 207	Average Score: 13.22 	steps: 3301.00
Episode 208	Average Score: 13.22 	steps: 3311.00
Episode 209	Average Score: 13.20 	steps: 3314.00
Episode 210	Average Score: 13.52 	steps: 3364.00
Episode 211	Average Score: 13.48 	steps: 3367.00
Episode 212	Average Score: 13.48 	steps: 3374.00
Episode 213	Average Score: 13.45 	steps: 3385.00
Episode 214	Average Score: 13.53 	steps: 3403.00
Episode 215	Average Score: 13.53 	steps: 3407.00
Episode 216	Average Score: 13.51 	steps: 3425.00
Episode 217	Average Score: 13.27 	steps: 3435.00
Episode 218	Average Score: 13.35 	steps: 3457.00
Episode 219	Average Score: 13.57 	steps: 3497.00
Episode 220	Average Score: 13.63 	steps: 3514.00
Episode 221	Average Score: 13.60 	steps: 3516.00
Episode 222	Average Score: 13.47 	steps: 3518.00
Episode 223	Average Score: 13.21 	steps: 3523.00
Episode 224	Average Score: 13.37 	steps: 3552.00
Episode 225	Average Score: 13.08 	steps: 3561.00
Episode 226	Average Score: 13.17 	steps: 3574.00
Episode 227	Average Score: 13.16 	steps: 3578.00
Episode 228	Average Score: 13.21 	steps: 3587.00
Episode 229	Average Score: 13.10 	steps: 3589.00
Episode 230	Average Score: 13.11 	steps: 3594.00
Episode 231	Average Score: 12.77 	steps: 3598.00
Episode 232	Average Score: 12.96 	steps: 3648.00
Episode 233	Average Score: 13.19 	steps: 3684.00
Episode 234	Average Score: 13.08 	steps: 3688.00
Episode 235	Average Score: 13.03 	steps: 3690.00
Episode 236	Average Score: 13.08 	steps: 3699.00
Episode 237	Average Score: 13.04 	steps: 3711.00
Episode 238	Average Score: 13.04 	steps: 3714.00
Episode 239	Average Score: 13.05 	steps: 3718.00
Episode 240	Average Score: 12.78 	steps: 3722.00
Episode 241	Average Score: 12.75 	steps: 3724.00
Episode 242	Average Score: 12.88 	steps: 3746.00
Episode 243	Average Score: 13.25 	steps: 3796.00
Episode 244	Average Score: 13.16 	steps: 3799.00
Episode 245	Average Score: 13.20 	steps: 3817.00
Episode 246	Average Score: 13.41 	steps: 3850.00
Episode 247	Average Score: 13.39 	steps: 3852.00
Episode 248	Average Score: 13.45 	steps: 3862.00
Episode 249	Average Score: 13.43 	steps: 3909.00
Episode 250	Average Score: 13.79 	steps: 3959.00
Episode 251	Average Score: 13.85 	steps: 3982.00
Episode 252	Average Score: 13.78 	steps: 3988.00
Episode 253	Average Score: 14.15 	steps: 4038.00
Episode 254	Average Score: 14.42 	steps: 4076.00
Episode 255	Average Score: 14.38 	steps: 4079.00
Episode 256	Average Score: 14.41 	steps: 4087.00
Episode 257	Average Score: 14.44 	steps: 4095.00
Episode 258	Average Score: 14.10 	steps: 4103.00
Episode 259	Average Score: 14.25 	steps: 4153.00
Episode 260	Average Score: 14.32 	steps: 4168.00
Episode 261	Average Score: 14.32 	steps: 4218.00
Episode 262	Average Score: 14.24 	steps: 4223.00
Episode 263	Average Score: 14.25 	steps: 4227.00
Episode 264	Average Score: 14.18 	steps: 4234.00
Episode 265	Average Score: 14.05 	steps: 4240.00
Episode 266	Average Score: 13.73 	steps: 4246.00
Episode 267	Average Score: 14.03 	steps: 4296.00
Episode 268	Average Score: 14.02 	steps: 4314.00
Episode 269	Average Score: 13.96 	steps: 4319.00
Episode 270	Average Score: 13.98 	steps: 4324.00
Episode 271	Average Score: 13.95 	steps: 4326.00
Episode 272	Average Score: 14.25 	steps: 4376.00
Episode 273	Average Score: 14.32 	steps: 4392.00
Episode 274	Average Score: 14.15 	steps: 4425.00
Episode 275	Average Score: 14.43 	steps: 4475.00
Episode 276	Average Score: 14.54 	steps: 4501.00
Episode 277	Average Score: 14.93 	steps: 4551.00
Episode 278	Average Score: 15.03 	steps: 4569.00
Episode 279	Average Score: 15.37 	steps: 4619.00
Episode 280	Average Score: 15.53 	steps: 4661.00
Episode 281	Average Score: 15.69 	steps: 4711.00
Episode 282	Average Score: 15.65 	steps: 4761.00
