created virtual environment CPython3.7.9.final.0-64 in 19573ms
  creator CPython3Posix(dest=/localscratch/fabdolla.29154436.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: gym in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: pandas in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: numpy in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: pygame in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.29154436.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
Directory  33  already exists
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 21.10 	steps: 30.00
Episode 2	Average Score: 11.83 	steps: 35.00
Episode 3	Average Score: 12.79 	steps: 55.00
Episode 4	Average Score: 10.34 	steps: 59.00
Episode 5	Average Score: 9.31 	steps: 66.00
Episode 6	Average Score: 8.41 	steps: 72.00
Episode 7	Average Score: 7.91 	steps: 80.00
Episode 8	Average Score: 7.45 	steps: 88.00
Episode 9	Average Score: 7.02 	steps: 93.00
Episode 10	Average Score: 6.45 	steps: 96.00
Episode 11	Average Score: 6.08 	steps: 100.00
Episode 12	Average Score: 6.13 	steps: 110.00
Episode 13	Average Score: 6.48 	steps: 123.00
Episode 14	Average Score: 6.18 	steps: 127.00
Episode 15	Average Score: 5.86 	steps: 129.00
Episode 16	Average Score: 5.84 	steps: 136.00
Episode 17	Average Score: 5.59 	steps: 139.00
Episode 18	Average Score: 5.83 	steps: 152.00
Episode 19	Average Score: 5.85 	steps: 159.00
Episode 20	Average Score: 5.80 	steps: 165.00
Episode 21	Average Score: 6.15 	steps: 187.00
Episode 22	Average Score: 6.18 	steps: 196.00
Episode 23	Average Score: 6.96 	steps: 233.00
Episode 24	Average Score: 6.76 	steps: 236.00
Episode 25	Average Score: 7.76 	steps: 282.00
Episode 26	Average Score: 7.57 	steps: 286.00
Episode 27	Average Score: 8.20 	steps: 319.00
Episode 28	Average Score: 8.12 	steps: 326.00
Episode 29	Average Score: 8.19 	steps: 342.00
Episode 30	Average Score: 7.98 	steps: 345.00
Episode 31	Average Score: 7.79 	steps: 348.00
Episode 32	Average Score: 7.78 	steps: 359.00
Episode 33	Average Score: 7.91 	steps: 379.00
Episode 34	Average Score: 8.23 	steps: 410.00
Episode 35	Average Score: 8.08 	steps: 415.00
Episode 36	Average Score: 8.69 	steps: 461.00
Episode 37	Average Score: 8.68 	steps: 473.00
Episode 38	Average Score: 8.76 	steps: 493.00
Episode 39	Average Score: 8.61 	steps: 498.00
Episode 40	Average Score: 8.44 	steps: 501.00
Episode 41	Average Score: 8.38 	steps: 510.00
Episode 42	Average Score: 8.23 	steps: 514.00
Episode 43	Average Score: 8.21 	steps: 527.00
Episode 44	Average Score: 8.28 	steps: 542.00
Episode 45	Average Score: 8.16 	steps: 547.00
Episode 46	Average Score: 8.05 	steps: 551.00
Episode 47	Average Score: 7.91 	steps: 554.00
Episode 48	Average Score: 8.00 	steps: 569.00
Episode 49	Average Score: 7.94 	steps: 576.00
Episode 50	Average Score: 7.90 	steps: 585.00
Episode 51	Average Score: 7.92 	steps: 595.00
Episode 52	Average Score: 8.20 	steps: 627.00
Episode 53	Average Score: 8.09 	steps: 631.00
Episode 54	Average Score: 8.00 	steps: 636.00
Episode 55	Average Score: 7.94 	steps: 642.00
Episode 56	Average Score: 7.81 	steps: 644.00
Episode 57	Average Score: 7.78 	steps: 653.00
Episode 58	Average Score: 7.68 	steps: 656.00
Episode 59	Average Score: 7.63 	steps: 664.00
Episode 60	Average Score: 7.58 	steps: 670.00
Episode 61	Average Score: 7.51 	steps: 674.00
Episode 62	Average Score: 7.53 	steps: 685.00
Episode 63	Average Score: 7.44 	steps: 689.00
Episode 64	Average Score: 7.59 	steps: 716.00
Episode 65	Average Score: 7.53 	steps: 721.00
Episode 66	Average Score: 7.50 	steps: 729.00
Episode 67	Average Score: 7.47 	steps: 735.00
Episode 68	Average Score: 7.44 	steps: 742.00
Episode 69	Average Score: 7.45 	steps: 751.00
Episode 70	Average Score: 7.92 	steps: 801.00
Episode 71	Average Score: 7.87 	steps: 807.00
Episode 72	Average Score: 7.84 	steps: 814.00
Episode 73	Average Score: 7.83 	steps: 827.00
Episode 74	Average Score: 7.77 	steps: 833.00
Episode 75	Average Score: 8.04 	steps: 871.00
Episode 76	Average Score: 8.09 	steps: 890.00
Episode 77	Average Score: 8.01 	steps: 893.00
Episode 78	Average Score: 7.96 	steps: 901.00
Episode 79	Average Score: 7.88 	steps: 904.00
Episode 80	Average Score: 7.82 	steps: 909.00
Episode 81	Average Score: 7.75 	steps: 913.00
Episode 82	Average Score: 7.72 	steps: 923.00
Episode 83	Average Score: 7.65 	steps: 926.00
Episode 84	Average Score: 7.66 	steps: 938.00
Episode 85	Average Score: 7.62 	steps: 944.00
Episode 86	Average Score: 7.60 	steps: 952.00
Episode 87	Average Score: 7.57 	steps: 958.00
Episode 88	Average Score: 7.54 	steps: 964.00
Episode 89	Average Score: 7.47 	steps: 967.00
Episode 90	Average Score: 7.44 	steps: 975.00
Episode 91	Average Score: 7.39 	steps: 979.00
Episode 92	Average Score: 7.57 	steps: 1007.00
Episode 93	Average Score: 7.57 	steps: 1018.00
Episode 94	Average Score: 7.56 	steps: 1027.00
Episode 95	Average Score: 7.68 	steps: 1054.00
Episode 96	Average Score: 7.63 	steps: 1059.00
Episode 97	Average Score: 7.62 	steps: 1070.00
Episode 98	Average Score: 7.57 	steps: 1075.00
Episode 99	Average Score: 7.52 	steps: 1079.00
Episode 100	Average Score: 7.49 	steps: 1088.00
Episode 100	Average Score: 7.49 	steps: 1088.00

Episode 101	Average Score: 7.39 	steps: 1105.00
Episode 102	Average Score: 7.49 	steps: 1123.00
Episode 103	Average Score: 7.39 	steps: 1131.00
Episode 104	Average Score: 7.37 	steps: 1134.00
Episode 105	Average Score: 7.47 	steps: 1156.00
Episode 106	Average Score: 7.44 	steps: 1159.00
Episode 107	Average Score: 7.42 	steps: 1165.00
Episode 108	Average Score: 7.40 	steps: 1168.00
Episode 109	Average Score: 7.39 	steps: 1171.00
Episode 110	Average Score: 7.43 	steps: 1180.00
Episode 111	Average Score: 7.42 	steps: 1182.00
Episode 112	Average Score: 7.37 	steps: 1186.00
Episode 113	Average Score: 7.32 	steps: 1193.00
Episode 114	Average Score: 7.39 	steps: 1204.00
Episode 115	Average Score: 7.45 	steps: 1212.00
Episode 116	Average Score: 7.41 	steps: 1216.00
Episode 117	Average Score: 7.44 	steps: 1224.00
Episode 118	Average Score: 7.37 	steps: 1228.00
Episode 119	Average Score: 7.36 	steps: 1237.00
Episode 120	Average Score: 7.51 	steps: 1268.00
Episode 121	Average Score: 7.39 	steps: 1271.00
Episode 122	Average Score: 7.34 	steps: 1274.00
Episode 123	Average Score: 7.48 	steps: 1324.00
Episode 124	Average Score: 7.51 	steps: 1333.00
Episode 125	Average Score: 7.29 	steps: 1346.00
Episode 126	Average Score: 7.64 	steps: 1396.00
Episode 127	Average Score: 7.43 	steps: 1402.00
Episode 128	Average Score: 7.41 	steps: 1407.00
Episode 129	Average Score: 7.48 	steps: 1431.00
Episode 130	Average Score: 7.48 	steps: 1434.00
Episode 131	Average Score: 7.52 	steps: 1443.00
Episode 132	Average Score: 7.47 	steps: 1446.00
Episode 133	Average Score: 7.36 	steps: 1449.00
Episode 134	Average Score: 7.25 	steps: 1460.00
Episode 135	Average Score: 7.62 	steps: 1510.00
Episode 136	Average Score: 7.38 	steps: 1521.00
Episode 137	Average Score: 7.32 	steps: 1524.00
Episode 138	Average Score: 7.33 	steps: 1539.00
Episode 139	Average Score: 7.40 	steps: 1550.00
Episode 140	Average Score: 7.47 	steps: 1561.00
Episode 141	Average Score: 7.42 	steps: 1563.00
Episode 142	Average Score: 7.51 	steps: 1575.00
Episode 143	Average Score: 7.49 	steps: 1582.00
Episode 144	Average Score: 7.75 	steps: 1632.00
Episode 145	Average Score: 7.78 	steps: 1641.00
Episode 146	Average Score: 7.80 	steps: 1647.00
Episode 147	Average Score: 7.81 	steps: 1651.00
Episode 148	Average Score: 7.74 	steps: 1657.00
Episode 149	Average Score: 8.09 	steps: 1707.00
Episode 150	Average Score: 8.05 	steps: 1710.00
Episode 151	Average Score: 8.34 	steps: 1760.00
Episode 152	Average Score: 8.14 	steps: 1764.00
Episode 153	Average Score: 8.19 	steps: 1774.00
Episode 154	Average Score: 8.20 	steps: 1781.00
Episode 155	Average Score: 8.20 	steps: 1790.00
Episode 156	Average Score: 8.29 	steps: 1804.00
Episode 157	Average Score: 8.33 	steps: 1816.00
Episode 158	Average Score: 8.46 	steps: 1832.00
Episode 159	Average Score: 8.57 	steps: 1852.00
Episode 160	Average Score: 8.54 	steps: 1856.00
Episode 161	Average Score: 8.67 	steps: 1877.00
Episode 162	Average Score: 9.00 	steps: 1927.00
Episode 163	Average Score: 9.35 	steps: 1977.00
Episode 164	Average Score: 9.22 	steps: 1982.00
Episode 165	Average Score: 9.20 	steps: 1986.00
Episode 166	Average Score: 9.18 	steps: 1991.00
Episode 167	Average Score: 9.15 	steps: 1995.00
Episode 168	Average Score: 9.19 	steps: 2006.00
Episode 169	Average Score: 9.13 	steps: 2010.00
Episode 170	Average Score: 8.94 	steps: 2036.00
Episode 171	Average Score: 9.00 	steps: 2053.00
Episode 172	Average Score: 9.06 	steps: 2068.00
Episode 173	Average Score: 9.03 	steps: 2073.00
Episode 174	Average Score: 9.07 	steps: 2086.00
Episode 175	Average Score: 8.81 	steps: 2089.00
Episode 176	Average Score: 8.77 	steps: 2099.00
Episode 177	Average Score: 8.81 	steps: 2105.00
Episode 178	Average Score: 8.80 	steps: 2111.00
Episode 179	Average Score: 9.13 	steps: 2161.00
Episode 180	Average Score: 9.14 	steps: 2166.00
Episode 181	Average Score: 9.19 	steps: 2175.00
Episode 182	Average Score: 9.18 	steps: 2181.00
Episode 183	Average Score: 9.32 	steps: 2202.00
Episode 184	Average Score: 9.24 	steps: 2204.00
Episode 185	Average Score: 9.31 	steps: 2221.00
Episode 186	Average Score: 9.32 	steps: 2231.00
Episode 187	Average Score: 9.64 	steps: 2281.00
Episode 188	Average Score: 9.64 	steps: 2290.00
Episode 189	Average Score: 9.73 	steps: 2306.00
Episode 190	Average Score: 9.72 	steps: 2314.00
Episode 191	Average Score: 9.84 	steps: 2333.00
Episode 192	Average Score: 9.68 	steps: 2342.00
Episode 193	Average Score: 9.68 	steps: 2353.00
Episode 194	Average Score: 9.75 	steps: 2374.00
Episode 195	Average Score: 9.71 	steps: 2394.00
Episode 196	Average Score: 9.73 	steps: 2401.00
Episode 197	Average Score: 9.71 	steps: 2407.00
Episode 198	Average Score: 9.85 	steps: 2427.00
Episode 199	Average Score: 9.84 	steps: 2430.00
Episode 200	Average Score: 9.81 	steps: 2433.00
Episode 200	Average Score: 9.81 	steps: 2433.00

Episode 201	Average Score: 9.75 	steps: 2438.00
Episode 202	Average Score: 9.75 	steps: 2454.00
Episode 203	Average Score: 9.98 	steps: 2484.00
Episode 204	Average Score: 9.99 	steps: 2487.00
Episode 205	Average Score: 9.92 	steps: 2500.00
Episode 206	Average Score: 9.97 	steps: 2508.00
Episode 207	Average Score: 9.99 	steps: 2516.00
Episode 208	Average Score: 10.34 	steps: 2566.00
Episode 209	Average Score: 10.35 	steps: 2570.00
Episode 210	Average Score: 10.37 	steps: 2581.00
Episode 211	Average Score: 10.41 	steps: 2587.00
Episode 212	Average Score: 10.41 	steps: 2591.00
Episode 213	Average Score: 10.68 	steps: 2641.00
Episode 214	Average Score: 10.65 	steps: 2649.00
Episode 215	Average Score: 10.61 	steps: 2653.00
Episode 216	Average Score: 10.62 	steps: 2658.00
Episode 217	Average Score: 10.60 	steps: 2662.00
Episode 218	Average Score: 10.60 	steps: 2665.00
Episode 219	Average Score: 10.58 	steps: 2669.00
Episode 220	Average Score: 10.40 	steps: 2673.00
Episode 221	Average Score: 10.41 	steps: 2677.00
Episode 222	Average Score: 10.44 	steps: 2684.00
Episode 223	Average Score: 10.11 	steps: 2692.00
Episode 224	Average Score: 10.09 	steps: 2699.00
Episode 225	Average Score: 10.42 	steps: 2749.00
Episode 226	Average Score: 10.07 	steps: 2753.00
Episode 227	Average Score: 10.08 	steps: 2759.00
Episode 228	Average Score: 10.15 	steps: 2771.00
Episode 229	Average Score: 10.00 	steps: 2774.00
Episode 230	Average Score: 10.01 	steps: 2778.00
Episode 231	Average Score: 9.96 	steps: 2781.00
Episode 232	Average Score: 10.00 	steps: 2788.00
Episode 233	Average Score: 10.25 	steps: 2817.00
Episode 234	Average Score: 10.26 	steps: 2829.00
Episode 235	Average Score: 9.90 	steps: 2834.00
Episode 236	Average Score: 9.91 	steps: 2848.00
Episode 237	Average Score: 9.91 	steps: 2851.00
Episode 238	Average Score: 9.81 	steps: 2854.00
Episode 239	Average Score: 9.74 	steps: 2859.00
Episode 240	Average Score: 9.71 	steps: 2867.00
Episode 241	Average Score: 9.76 	steps: 2877.00
Episode 242	Average Score: 9.69 	steps: 2882.00
Episode 243	Average Score: 9.70 	steps: 2891.00
Episode 244	Average Score: 9.48 	steps: 2914.00
Episode 245	Average Score: 9.43 	steps: 2917.00
Episode 246	Average Score: 9.46 	steps: 2927.00
Episode 247	Average Score: 9.54 	steps: 2941.00
Episode 248	Average Score: 9.51 	steps: 2944.00
Episode 249	Average Score: 9.12 	steps: 2947.00
Episode 250	Average Score: 9.11 	steps: 2950.00
Episode 251	Average Score: 8.87 	steps: 2969.00
Episode 252	Average Score: 8.85 	steps: 2972.00
Episode 253	Average Score: 9.14 	steps: 3022.00
Episode 254	Average Score: 9.13 	steps: 3026.00
Episode 255	Average Score: 9.26 	steps: 3051.00
Episode 256	Average Score: 9.18 	steps: 3054.00
Episode 257	Average Score: 9.12 	steps: 3061.00
Episode 258	Average Score: 9.06 	steps: 3071.00
Episode 259	Average Score: 8.95 	steps: 3077.00
Episode 260	Average Score: 8.97 	steps: 3082.00
Episode 261	Average Score: 8.84 	steps: 3087.00
Episode 262	Average Score: 8.44 	steps: 3090.00
Episode 263	Average Score: 8.14 	steps: 3102.00
Episode 264	Average Score: 8.19 	steps: 3113.00
Episode 265	Average Score: 8.20 	steps: 3117.00
Episode 266	Average Score: 8.20 	steps: 3121.00
Episode 267	Average Score: 8.27 	steps: 3136.00
Episode 268	Average Score: 8.20 	steps: 3139.00
Episode 269	Average Score: 8.34 	steps: 3165.00
Episode 270	Average Score: 8.17 	steps: 3170.00
Episode 271	Average Score: 8.20 	steps: 3191.00
Episode 272	Average Score: 8.43 	steps: 3241.00
Episode 273	Average Score: 8.43 	steps: 3246.00
Episode 274	Average Score: 8.41 	steps: 3254.00
Episode 275	Average Score: 8.54 	steps: 3273.00
Episode 276	Average Score: 8.54 	steps: 3282.00
Episode 277	Average Score: 8.90 	steps: 3332.00
Episode 278	Average Score: 8.90 	steps: 3337.00
Episode 279	Average Score: 8.60 	steps: 3344.00
Episode 280	Average Score: 8.59 	steps: 3348.00
Episode 281	Average Score: 8.53 	steps: 3351.00
Episode 282	Average Score: 8.61 	steps: 3370.00
Episode 283	Average Score: 8.55 	steps: 3384.00
Episode 284	Average Score: 8.63 	steps: 3395.00
Episode 285	Average Score: 8.55 	steps: 3398.00
