created virtual environment CPython3.7.9.final.0-64 in 14669ms
  creator CPython3Posix(dest=/localscratch/fabdolla.28934923.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: pandas in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: numpy in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: pygame in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.28934923.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 29.66 	steps: 43.00
Episode 2	Average Score: 16.20 	steps: 47.00
Episode 3	Average Score: 14.43 	steps: 64.00
Episode 4	Average Score: 11.79 	steps: 69.00
Episode 5	Average Score: 9.99 	steps: 74.00
Episode 6	Average Score: 8.82 	steps: 78.00
Episode 7	Average Score: 9.28 	steps: 92.00
Episode 8	Average Score: 8.74 	steps: 98.00
Episode 9	Average Score: 7.99 	steps: 102.00
Episode 10	Average Score: 8.07 	steps: 112.00
Episode 11	Average Score: 8.17 	steps: 123.00
Episode 12	Average Score: 7.82 	steps: 129.00
Episode 13	Average Score: 7.77 	steps: 138.00
Episode 14	Average Score: 7.69 	steps: 147.00
Episode 15	Average Score: 7.51 	steps: 154.00
Episode 16	Average Score: 7.91 	steps: 171.00
Episode 17	Average Score: 7.55 	steps: 174.00
Episode 18	Average Score: 7.29 	steps: 178.00
Episode 19	Average Score: 7.68 	steps: 195.00
Episode 20	Average Score: 7.77 	steps: 210.00
Episode 21	Average Score: 8.39 	steps: 239.00
Episode 22	Average Score: 9.43 	steps: 282.00
Episode 23	Average Score: 9.09 	steps: 285.00
Episode 24	Average Score: 8.77 	steps: 288.00
Episode 25	Average Score: 8.65 	steps: 296.00
Episode 26	Average Score: 8.69 	steps: 311.00
Episode 27	Average Score: 8.96 	steps: 330.00
Episode 28	Average Score: 8.79 	steps: 337.00
Episode 29	Average Score: 8.67 	steps: 346.00
Episode 30	Average Score: 8.56 	steps: 356.00
Episode 31	Average Score: 8.43 	steps: 362.00
Episode 32	Average Score: 8.28 	steps: 367.00
Episode 33	Average Score: 8.19 	steps: 375.00
Episode 34	Average Score: 8.10 	steps: 383.00
Episode 35	Average Score: 8.55 	steps: 417.00
Episode 36	Average Score: 8.54 	steps: 431.00
Episode 37	Average Score: 8.34 	steps: 433.00
Episode 38	Average Score: 8.73 	steps: 464.00
Episode 39	Average Score: 8.55 	steps: 467.00
Episode 40	Average Score: 8.61 	steps: 481.00
Episode 41	Average Score: 8.56 	steps: 490.00
Episode 42	Average Score: 8.46 	steps: 498.00
Episode 43	Average Score: 8.65 	steps: 519.00
Episode 44	Average Score: 8.49 	steps: 522.00
Episode 45	Average Score: 8.36 	steps: 526.00
Episode 46	Average Score: 8.25 	steps: 532.00
Episode 47	Average Score: 8.16 	steps: 538.00
Episode 48	Average Score: 8.06 	steps: 543.00
Episode 49	Average Score: 8.01 	steps: 552.00
Episode 50	Average Score: 7.97 	steps: 562.00
Episode 51	Average Score: 8.16 	steps: 582.00
Episode 52	Average Score: 8.04 	steps: 585.00
Episode 53	Average Score: 8.24 	steps: 611.00
Episode 54	Average Score: 8.19 	steps: 618.00
Episode 55	Average Score: 8.14 	steps: 626.00
Episode 56	Average Score: 8.08 	steps: 634.00
Episode 57	Average Score: 7.98 	steps: 637.00
Episode 58	Average Score: 7.88 	steps: 641.00
Episode 59	Average Score: 7.78 	steps: 644.00
Episode 60	Average Score: 7.73 	steps: 650.00
Episode 61	Average Score: 8.03 	steps: 688.00
Episode 62	Average Score: 7.99 	steps: 696.00
Episode 63	Average Score: 7.95 	steps: 703.00
Episode 64	Average Score: 8.43 	steps: 749.00
Episode 65	Average Score: 8.35 	steps: 754.00
Episode 66	Average Score: 8.34 	steps: 763.00
Episode 67	Average Score: 8.77 	steps: 813.00
Episode 68	Average Score: 8.75 	steps: 825.00
Episode 69	Average Score: 8.67 	steps: 831.00
Episode 70	Average Score: 8.61 	steps: 836.00
Episode 71	Average Score: 8.60 	steps: 846.00
Episode 72	Average Score: 8.57 	steps: 857.00
Episode 73	Average Score: 8.51 	steps: 863.00
Episode 74	Average Score: 8.66 	steps: 893.00
Episode 75	Average Score: 9.00 	steps: 943.00
Episode 76	Average Score: 8.99 	steps: 955.00
Episode 77	Average Score: 9.04 	steps: 970.00
Episode 78	Average Score: 8.94 	steps: 972.00
Episode 79	Average Score: 8.86 	steps: 976.00
Episode 80	Average Score: 9.01 	steps: 1001.00
Episode 81	Average Score: 8.94 	steps: 1007.00
Episode 82	Average Score: 8.85 	steps: 1010.00
Episode 83	Average Score: 8.83 	steps: 1018.00
Episode 84	Average Score: 8.74 	steps: 1021.00
Episode 85	Average Score: 9.05 	steps: 1071.00
Episode 86	Average Score: 9.44 	steps: 1121.00
Episode 87	Average Score: 9.68 	steps: 1156.00
Episode 88	Average Score: 9.64 	steps: 1167.00
Episode 89	Average Score: 9.56 	steps: 1172.00
Episode 90	Average Score: 9.67 	steps: 1199.00
Episode 91	Average Score: 9.90 	steps: 1236.00
Episode 92	Average Score: 9.84 	steps: 1245.00
Episode 93	Average Score: 9.90 	steps: 1265.00
Episode 94	Average Score: 9.86 	steps: 1273.00
Episode 95	Average Score: 9.87 	steps: 1292.00
Episode 96	Average Score: 9.92 	steps: 1312.00
Episode 97	Average Score: 9.94 	steps: 1326.00
Episode 98	Average Score: 9.87 	steps: 1331.00
Episode 99	Average Score: 10.04 	steps: 1367.00
Episode 100	Average Score: 10.10 	steps: 1386.00
Episode 100	Average Score: 10.10 	steps: 1386.00

Episode 101	Average Score: 9.84 	steps: 1390.00
Episode 102	Average Score: 9.85 	steps: 1397.00
Episode 103	Average Score: 9.84 	steps: 1408.00
Episode 104	Average Score: 10.21 	steps: 1458.00
Episode 105	Average Score: 10.23 	steps: 1466.00
Episode 106	Average Score: 10.42 	steps: 1502.00
Episode 107	Average Score: 10.34 	steps: 1508.00
Episode 108	Average Score: 10.49 	steps: 1532.00
Episode 109	Average Score: 10.59 	steps: 1545.00
Episode 110	Average Score: 10.55 	steps: 1551.00
Episode 111	Average Score: 10.49 	steps: 1556.00
Episode 112	Average Score: 10.47 	steps: 1561.00
Episode 113	Average Score: 10.52 	steps: 1579.00
Episode 114	Average Score: 10.47 	steps: 1582.00
Episode 115	Average Score: 10.44 	steps: 1585.00
Episode 116	Average Score: 10.37 	steps: 1596.00
Episode 117	Average Score: 10.46 	steps: 1609.00
Episode 118	Average Score: 10.62 	steps: 1635.00
Episode 119	Average Score: 10.54 	steps: 1645.00
Episode 120	Average Score: 10.49 	steps: 1652.00
Episode 121	Average Score: 10.61 	steps: 1702.00
Episode 122	Average Score: 10.32 	steps: 1706.00
Episode 123	Average Score: 10.35 	steps: 1714.00
Episode 124	Average Score: 10.50 	steps: 1734.00
Episode 125	Average Score: 10.51 	steps: 1743.00
Episode 126	Average Score: 10.43 	steps: 1746.00
Episode 127	Average Score: 10.44 	steps: 1769.00
Episode 128	Average Score: 10.41 	steps: 1771.00
Episode 129	Average Score: 10.57 	steps: 1798.00
Episode 130	Average Score: 10.66 	steps: 1822.00
Episode 131	Average Score: 10.63 	steps: 1825.00
Episode 132	Average Score: 10.63 	steps: 1831.00
Episode 133	Average Score: 10.63 	steps: 1837.00
Episode 134	Average Score: 10.74 	steps: 1862.00
Episode 135	Average Score: 10.56 	steps: 1868.00
Episode 136	Average Score: 10.49 	steps: 1871.00
Episode 137	Average Score: 10.66 	steps: 1895.00
Episode 138	Average Score: 10.67 	steps: 1929.00
Episode 139	Average Score: 10.86 	steps: 1957.00
Episode 140	Average Score: 10.92 	steps: 1980.00
Episode 141	Average Score: 10.88 	steps: 1986.00
Episode 142	Average Score: 10.99 	steps: 2010.00
Episode 143	Average Score: 10.86 	steps: 2016.00
Episode 144	Average Score: 10.91 	steps: 2023.00
Episode 145	Average Score: 10.94 	steps: 2030.00
Episode 146	Average Score: 10.94 	steps: 2035.00
Episode 147	Average Score: 10.93 	steps: 2039.00
Episode 148	Average Score: 11.08 	steps: 2069.00
Episode 149	Average Score: 11.07 	steps: 2074.00
Episode 150	Average Score: 11.33 	steps: 2116.00
Episode 151	Average Score: 11.21 	steps: 2123.00
Episode 152	Average Score: 11.22 	steps: 2127.00
Episode 153	Average Score: 11.13 	steps: 2141.00
Episode 154	Average Score: 11.15 	steps: 2152.00
Episode 155	Average Score: 11.16 	steps: 2160.00
Episode 156	Average Score: 11.14 	steps: 2163.00
Episode 157	Average Score: 11.23 	steps: 2180.00
Episode 158	Average Score: 11.38 	steps: 2206.00
Episode 159	Average Score: 11.77 	steps: 2256.00
Episode 160	Average Score: 11.75 	steps: 2260.00
Episode 161	Average Score: 11.76 	steps: 2295.00
Episode 162	Average Score: 11.86 	steps: 2317.00
Episode 163	Average Score: 11.87 	steps: 2326.00
Episode 164	Average Score: 11.56 	steps: 2336.00
Episode 165	Average Score: 11.58 	steps: 2343.00
Episode 166	Average Score: 11.71 	steps: 2365.00
Episode 167	Average Score: 11.60 	steps: 2404.00
Episode 168	Average Score: 11.83 	steps: 2454.00
Episode 169	Average Score: 11.89 	steps: 2468.00
Episode 170	Average Score: 12.02 	steps: 2496.00
Episode 171	Average Score: 12.17 	steps: 2530.00
Episode 172	Average Score: 12.15 	steps: 2537.00
Episode 173	Average Score: 12.22 	steps: 2550.00
Episode 174	Average Score: 12.16 	steps: 2567.00
Episode 175	Average Score: 11.88 	steps: 2577.00
Episode 176	Average Score: 11.82 	steps: 2581.00
Episode 177	Average Score: 11.74 	steps: 2588.00
Episode 178	Average Score: 11.75 	steps: 2592.00
Episode 179	Average Score: 11.75 	steps: 2597.00
Episode 180	Average Score: 11.63 	steps: 2612.00
Episode 181	Average Score: 11.61 	steps: 2616.00
Episode 182	Average Score: 11.64 	steps: 2624.00
Episode 183	Average Score: 11.65 	steps: 2632.00
Episode 184	Average Score: 11.66 	steps: 2636.00
Episode 185	Average Score: 11.34 	steps: 2642.00
Episode 186	Average Score: 11.25 	steps: 2692.00
Episode 187	Average Score: 10.95 	steps: 2694.00
Episode 188	Average Score: 10.97 	steps: 2707.00
Episode 189	Average Score: 11.02 	steps: 2717.00
Episode 190	Average Score: 10.88 	steps: 2725.00
Episode 191	Average Score: 10.94 	steps: 2774.00
Episode 192	Average Score: 11.26 	steps: 2824.00
Episode 193	Average Score: 11.47 	steps: 2866.00
Episode 194	Average Score: 11.46 	steps: 2874.00
Episode 195	Average Score: 11.39 	steps: 2880.00
Episode 196	Average Score: 11.28 	steps: 2886.00
Episode 197	Average Score: 11.44 	steps: 2922.00
Episode 198	Average Score: 11.72 	steps: 2972.00
Episode 199	Average Score: 11.47 	steps: 2975.00
Episode 200	Average Score: 11.54 	steps: 3002.00
Episode 200	Average Score: 11.54 	steps: 3002.00

Episode 201	Average Score: 11.56 	steps: 3008.00
Episode 202	Average Score: 11.61 	steps: 3020.00
Episode 203	Average Score: 11.58 	steps: 3028.00
Episode 204	Average Score: 11.58 	steps: 3078.00
Episode 205	Average Score: 11.62 	steps: 3093.00
Episode 206	Average Score: 11.45 	steps: 3101.00
Episode 207	Average Score: 11.50 	steps: 3113.00
Episode 208	Average Score: 11.71 	steps: 3163.00
Episode 209	Average Score: 11.65 	steps: 3170.00
Episode 210	Average Score: 11.68 	steps: 3184.00
Episode 211	Average Score: 11.69 	steps: 3189.00
Episode 212	Average Score: 11.77 	steps: 3203.00
Episode 213	Average Score: 11.71 	steps: 3210.00
Episode 214	Average Score: 11.75 	steps: 3216.00
Episode 215	Average Score: 11.75 	steps: 3221.00
Episode 216	Average Score: 11.99 	steps: 3271.00
Episode 217	Average Score: 11.99 	steps: 3289.00
Episode 218	Average Score: 11.82 	steps: 3294.00
Episode 219	Average Score: 12.21 	steps: 3344.00
Episode 220	Average Score: 12.25 	steps: 3354.00
Episode 221	Average Score: 11.96 	steps: 3359.00
Episode 222	Average Score: 11.97 	steps: 3365.00
Episode 223	Average Score: 12.24 	steps: 3407.00
Episode 224	Average Score: 12.31 	steps: 3433.00
Episode 225	Average Score: 12.66 	steps: 3483.00
Episode 226	Average Score: 12.68 	steps: 3489.00
Episode 227	Average Score: 12.54 	steps: 3491.00
Episode 228	Average Score: 12.65 	steps: 3510.00
Episode 229	Average Score: 12.48 	steps: 3516.00
Episode 230	Average Score: 12.45 	steps: 3528.00
Episode 231	Average Score: 12.63 	steps: 3556.00
Episode 232	Average Score: 12.64 	steps: 3563.00
Episode 233	Average Score: 12.63 	steps: 3568.00
Episode 234	Average Score: 12.82 	steps: 3618.00
Episode 235	Average Score: 12.98 	steps: 3646.00
Episode 236	Average Score: 13.04 	steps: 3656.00
Episode 237	Average Score: 13.04 	steps: 3679.00
Episode 238	Average Score: 12.99 	steps: 3701.00
Episode 239	Average Score: 12.97 	steps: 3731.00
Episode 240	Average Score: 12.90 	steps: 3743.00
Episode 241	Average Score: 12.88 	steps: 3746.00
Episode 242	Average Score: 13.07 	steps: 3796.00
Episode 243	Average Score: 13.11 	steps: 3806.00
Episode 244	Average Score: 13.40 	steps: 3856.00
Episode 245	Average Score: 13.71 	steps: 3906.00
Episode 246	Average Score: 13.77 	steps: 3917.00
Episode 247	Average Score: 13.80 	steps: 3923.00
Episode 248	Average Score: 13.70 	steps: 3933.00
Episode 249	Average Score: 13.90 	steps: 3970.00
Episode 250	Average Score: 13.59 	steps: 3972.00
Episode 251	Average Score: 13.89 	steps: 4022.00
Episode 252	Average Score: 14.05 	steps: 4052.00
Episode 253	Average Score: 14.22 	steps: 4089.00
Episode 254	Average Score: 14.30 	steps: 4110.00
Episode 255	Average Score: 14.25 	steps: 4113.00
Episode 256	Average Score: 14.29 	steps: 4120.00
Episode 257	Average Score: 14.29 	steps: 4132.00
Episode 258	Average Score: 14.23 	steps: 4146.00
Episode 259	Average Score: 13.88 	steps: 4153.00
Episode 260	Average Score: 13.90 	steps: 4159.00
Episode 261	Average Score: 13.66 	steps: 4165.00
Episode 262	Average Score: 13.52 	steps: 4167.00
Episode 263	Average Score: 13.51 	steps: 4173.00
Episode 264	Average Score: 13.50 	steps: 4186.00
Episode 265	Average Score: 13.50 	steps: 4192.00
Episode 266	Average Score: 13.68 	steps: 4242.00
Episode 267	Average Score: 13.46 	steps: 4247.00
Episode 268	Average Score: 13.16 	steps: 4250.00
Episode 269	Average Score: 13.36 	steps: 4300.00
Episode 270	Average Score: 13.23 	steps: 4306.00
Episode 271	Average Score: 13.05 	steps: 4313.00
Episode 272	Average Score: 13.06 	steps: 4322.00
Episode 273	Average Score: 13.40 	steps: 4372.00
Episode 274	Average Score: 13.61 	steps: 4422.00
Episode 275	Average Score: 13.61 	steps: 4429.00
Episode 276	Average Score: 13.63 	steps: 4435.00
Episode 277	Average Score: 13.85 	steps: 4477.00
Episode 278	Average Score: 13.85 	steps: 4480.00
Episode 279	Average Score: 13.90 	steps: 4496.00
Episode 280	Average Score: 14.14 	steps: 4546.00
Episode 281	Average Score: 14.26 	steps: 4570.00
Episode 282	Average Score: 14.24 	steps: 4573.00
