created virtual environment CPython3.7.9.final.0-64 in 6184ms
  creator CPython3Posix(dest=/localscratch/fabdolla.29154437.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: pandas in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: pygame in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: numpy in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.29154437.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
Directory  34  already exists
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 5.51 	steps: 8.00
Episode 2	Average Score: 3.78 	steps: 12.00
Episode 3	Average Score: 9.19 	steps: 39.00
Episode 4	Average Score: 9.96 	steps: 58.00
Episode 5	Average Score: 8.67 	steps: 65.00
Episode 6	Average Score: 8.97 	steps: 81.00
Episode 7	Average Score: 7.89 	steps: 84.00
Episode 8	Average Score: 7.74 	steps: 95.00
Episode 9	Average Score: 6.96 	steps: 97.00
Episode 10	Average Score: 6.70 	steps: 104.00
Episode 11	Average Score: 7.10 	steps: 117.00
Episode 12	Average Score: 7.15 	steps: 129.00
Episode 13	Average Score: 8.69 	steps: 168.00
Episode 14	Average Score: 8.27 	steps: 173.00
Episode 15	Average Score: 7.90 	steps: 178.00
Episode 16	Average Score: 8.18 	steps: 197.00
Episode 17	Average Score: 7.74 	steps: 199.00
Episode 18	Average Score: 7.67 	steps: 209.00
Episode 19	Average Score: 7.66 	steps: 218.00
Episode 20	Average Score: 7.71 	steps: 228.00
Episode 21	Average Score: 7.60 	steps: 236.00
Episode 22	Average Score: 7.65 	steps: 248.00
Episode 23	Average Score: 7.45 	steps: 252.00
Episode 24	Average Score: 7.52 	steps: 265.00
Episode 25	Average Score: 7.27 	steps: 268.00
Episode 26	Average Score: 7.09 	steps: 272.00
Episode 27	Average Score: 6.86 	steps: 274.00
Episode 28	Average Score: 6.80 	steps: 283.00
Episode 29	Average Score: 6.63 	steps: 286.00
Episode 30	Average Score: 7.10 	steps: 314.00
Episode 31	Average Score: 7.05 	steps: 323.00
Episode 32	Average Score: 6.94 	steps: 328.00
Episode 33	Average Score: 6.80 	steps: 332.00
Episode 34	Average Score: 7.19 	steps: 357.00
Episode 35	Average Score: 7.16 	steps: 366.00
Episode 36	Average Score: 7.04 	steps: 370.00
Episode 37	Average Score: 6.95 	steps: 376.00
Episode 38	Average Score: 6.85 	steps: 380.00
Episode 39	Average Score: 6.96 	steps: 397.00
Episode 40	Average Score: 6.99 	steps: 409.00
Episode 41	Average Score: 6.99 	steps: 420.00
Episode 42	Average Score: 6.88 	steps: 424.00
Episode 43	Average Score: 6.81 	steps: 430.00
Episode 44	Average Score: 6.69 	steps: 433.00
Episode 45	Average Score: 6.68 	steps: 444.00
Episode 46	Average Score: 6.67 	steps: 452.00
Episode 47	Average Score: 6.67 	steps: 461.00
Episode 48	Average Score: 6.56 	steps: 464.00
Episode 49	Average Score: 6.76 	steps: 483.00
Episode 50	Average Score: 6.69 	steps: 488.00
Episode 51	Average Score: 6.71 	steps: 498.00
Episode 52	Average Score: 6.61 	steps: 501.00
Episode 53	Average Score: 6.60 	steps: 510.00
Episode 54	Average Score: 6.50 	steps: 513.00
Episode 55	Average Score: 6.46 	steps: 520.00
Episode 56	Average Score: 6.41 	steps: 525.00
Episode 57	Average Score: 6.51 	steps: 544.00
Episode 58	Average Score: 6.61 	steps: 565.00
Episode 59	Average Score: 6.60 	steps: 572.00
Episode 60	Average Score: 6.55 	steps: 577.00
Episode 61	Average Score: 6.48 	steps: 580.00
Episode 62	Average Score: 6.66 	steps: 606.00
Episode 63	Average Score: 6.73 	steps: 619.00
Episode 64	Average Score: 6.73 	steps: 630.00
Episode 65	Average Score: 6.72 	steps: 640.00
Episode 66	Average Score: 6.72 	steps: 649.00
Episode 67	Average Score: 6.68 	steps: 655.00
Episode 68	Average Score: 6.70 	steps: 665.00
Episode 69	Average Score: 6.64 	steps: 669.00
Episode 70	Average Score: 6.59 	steps: 674.00
Episode 71	Average Score: 6.67 	steps: 691.00
Episode 72	Average Score: 6.61 	steps: 695.00
Episode 73	Average Score: 6.71 	steps: 715.00
Episode 74	Average Score: 6.68 	steps: 721.00
Episode 75	Average Score: 6.64 	steps: 727.00
Episode 76	Average Score: 6.59 	steps: 733.00
Episode 77	Average Score: 6.55 	steps: 739.00
Episode 78	Average Score: 6.47 	steps: 741.00
Episode 79	Average Score: 6.45 	steps: 748.00
Episode 80	Average Score: 6.50 	steps: 761.00
Episode 81	Average Score: 6.48 	steps: 768.00
Episode 82	Average Score: 6.44 	steps: 773.00
Episode 83	Average Score: 6.45 	steps: 785.00
Episode 84	Average Score: 6.43 	steps: 793.00
Episode 85	Average Score: 6.42 	steps: 800.00
Episode 86	Average Score: 6.50 	steps: 817.00
Episode 87	Average Score: 6.48 	steps: 826.00
Episode 88	Average Score: 6.52 	steps: 837.00
Episode 89	Average Score: 6.64 	steps: 860.00
Episode 90	Average Score: 6.63 	steps: 870.00
Episode 91	Average Score: 6.67 	steps: 883.00
Episode 92	Average Score: 6.62 	steps: 886.00
Episode 93	Average Score: 6.67 	steps: 898.00
Episode 94	Average Score: 6.64 	steps: 904.00
Episode 95	Average Score: 6.58 	steps: 907.00
Episode 96	Average Score: 6.53 	steps: 910.00
Episode 97	Average Score: 6.48 	steps: 912.00
Episode 98	Average Score: 6.44 	steps: 917.00
Episode 99	Average Score: 6.45 	steps: 926.00
Episode 100	Average Score: 6.55 	steps: 947.00
Episode 100	Average Score: 6.55 	steps: 947.00

Episode 101	Average Score: 6.62 	steps: 961.00
Episode 102	Average Score: 6.70 	steps: 972.00
Episode 103	Average Score: 6.55 	steps: 981.00
Episode 104	Average Score: 6.48 	steps: 987.00
Episode 105	Average Score: 6.52 	steps: 996.00
Episode 106	Average Score: 6.45 	steps: 1001.00
Episode 107	Average Score: 6.46 	steps: 1006.00
Episode 108	Average Score: 6.59 	steps: 1029.00
Episode 109	Average Score: 6.64 	steps: 1037.00
Episode 110	Average Score: 6.66 	steps: 1046.00
Episode 111	Average Score: 6.61 	steps: 1055.00
Episode 112	Average Score: 6.56 	steps: 1059.00
Episode 113	Average Score: 6.32 	steps: 1064.00
Episode 114	Average Score: 6.38 	steps: 1075.00
Episode 115	Average Score: 6.38 	steps: 1079.00
Episode 116	Average Score: 6.32 	steps: 1090.00
Episode 117	Average Score: 6.48 	steps: 1114.00
Episode 118	Average Score: 6.48 	steps: 1121.00
Episode 119	Average Score: 6.45 	steps: 1129.00
Episode 120	Average Score: 6.45 	steps: 1143.00
Episode 121	Average Score: 6.48 	steps: 1155.00
Episode 122	Average Score: 6.81 	steps: 1205.00
Episode 123	Average Score: 6.95 	steps: 1232.00
Episode 124	Average Score: 6.86 	steps: 1234.00
Episode 125	Average Score: 6.87 	steps: 1237.00
Episode 126	Average Score: 6.93 	steps: 1246.00
Episode 127	Average Score: 6.94 	steps: 1249.00
Episode 128	Average Score: 6.92 	steps: 1254.00
Episode 129	Average Score: 6.97 	steps: 1262.00
Episode 130	Average Score: 6.78 	steps: 1266.00
Episode 131	Average Score: 6.77 	steps: 1272.00
Episode 132	Average Score: 6.79 	steps: 1281.00
Episode 133	Average Score: 6.78 	steps: 1285.00
Episode 134	Average Score: 6.61 	steps: 1289.00
Episode 135	Average Score: 6.57 	steps: 1293.00
Episode 136	Average Score: 6.60 	steps: 1303.00
Episode 137	Average Score: 6.62 	steps: 1310.00
Episode 138	Average Score: 6.62 	steps: 1316.00
Episode 139	Average Score: 6.59 	steps: 1327.00
Episode 140	Average Score: 6.64 	steps: 1347.00
Episode 141	Average Score: 6.67 	steps: 1358.00
Episode 142	Average Score: 6.69 	steps: 1366.00
Episode 143	Average Score: 6.72 	steps: 1376.00
Episode 144	Average Score: 6.89 	steps: 1404.00
Episode 145	Average Score: 6.88 	steps: 1412.00
Episode 146	Average Score: 6.98 	steps: 1438.00
Episode 147	Average Score: 6.94 	steps: 1441.00
Episode 148	Average Score: 7.00 	steps: 1450.00
Episode 149	Average Score: 6.89 	steps: 1457.00
Episode 150	Average Score: 6.88 	steps: 1462.00
Episode 151	Average Score: 6.97 	steps: 1484.00
Episode 152	Average Score: 7.15 	steps: 1508.00
Episode 153	Average Score: 7.17 	steps: 1519.00
Episode 154	Average Score: 7.24 	steps: 1530.00
Episode 155	Average Score: 7.24 	steps: 1538.00
Episode 156	Average Score: 7.27 	steps: 1547.00
Episode 157	Average Score: 7.22 	steps: 1556.00
Episode 158	Average Score: 7.11 	steps: 1559.00
Episode 159	Average Score: 7.06 	steps: 1562.00
Episode 160	Average Score: 7.06 	steps: 1569.00
Episode 161	Average Score: 7.13 	steps: 1580.00
Episode 162	Average Score: 7.02 	steps: 1588.00
Episode 163	Average Score: 6.93 	steps: 1593.00
Episode 164	Average Score: 7.01 	steps: 1613.00
Episode 165	Average Score: 7.02 	steps: 1623.00
Episode 166	Average Score: 7.02 	steps: 1632.00
Episode 167	Average Score: 7.00 	steps: 1636.00
Episode 168	Average Score: 6.95 	steps: 1642.00
Episode 169	Average Score: 7.01 	steps: 1651.00
Episode 170	Average Score: 7.08 	steps: 1664.00
Episode 171	Average Score: 7.03 	steps: 1673.00
Episode 172	Average Score: 7.13 	steps: 1690.00
Episode 173	Average Score: 7.06 	steps: 1700.00
Episode 174	Average Score: 7.34 	steps: 1736.00
Episode 175	Average Score: 7.38 	steps: 1746.00
Episode 176	Average Score: 7.37 	steps: 1749.00
Episode 177	Average Score: 7.36 	steps: 1753.00
Episode 178	Average Score: 7.55 	steps: 1775.00
Episode 179	Average Score: 7.60 	steps: 1790.00
Episode 180	Average Score: 7.65 	steps: 1814.00
Episode 181	Average Score: 7.78 	steps: 1834.00
Episode 182	Average Score: 7.88 	steps: 1856.00
Episode 183	Average Score: 7.88 	steps: 1864.00
Episode 184	Average Score: 7.86 	steps: 1868.00
Episode 185	Average Score: 8.03 	steps: 1904.00
Episode 186	Average Score: 7.96 	steps: 1912.00
Episode 187	Average Score: 8.01 	steps: 1928.00
Episode 188	Average Score: 7.97 	steps: 1938.00
Episode 189	Average Score: 7.87 	steps: 1948.00
Episode 190	Average Score: 7.83 	steps: 1951.00
Episode 191	Average Score: 7.78 	steps: 1961.00
Episode 192	Average Score: 7.97 	steps: 1987.00
Episode 193	Average Score: 7.98 	steps: 2000.00
Episode 194	Average Score: 8.02 	steps: 2011.00
Episode 195	Average Score: 8.19 	steps: 2036.00
Episode 196	Average Score: 8.41 	steps: 2064.00
Episode 197	Average Score: 8.55 	steps: 2086.00
Episode 198	Average Score: 8.67 	steps: 2108.00
Episode 199	Average Score: 8.68 	steps: 2120.00
Episode 200	Average Score: 8.61 	steps: 2135.00
Episode 200	Average Score: 8.61 	steps: 2135.00

Episode 201	Average Score: 8.51 	steps: 2141.00
Episode 202	Average Score: 8.53 	steps: 2155.00
Episode 203	Average Score: 8.62 	steps: 2172.00
Episode 204	Average Score: 8.75 	steps: 2195.00
Episode 205	Average Score: 8.86 	steps: 2222.00
Episode 206	Average Score: 8.95 	steps: 2237.00
Episode 207	Average Score: 9.05 	steps: 2254.00
Episode 208	Average Score: 8.93 	steps: 2266.00
Episode 209	Average Score: 8.94 	steps: 2275.00
Episode 210	Average Score: 8.92 	steps: 2284.00
Episode 211	Average Score: 8.88 	steps: 2287.00
Episode 212	Average Score: 9.02 	steps: 2310.00
Episode 213	Average Score: 9.04 	steps: 2318.00
Episode 214	Average Score: 9.00 	steps: 2323.00
Episode 215	Average Score: 9.00 	steps: 2328.00
Episode 216	Average Score: 9.02 	steps: 2338.00
Episode 217	Average Score: 8.89 	steps: 2343.00
Episode 218	Average Score: 8.96 	steps: 2363.00
Episode 219	Average Score: 9.13 	steps: 2396.00
Episode 220	Average Score: 9.30 	steps: 2433.00
Episode 221	Average Score: 9.28 	steps: 2446.00
Episode 222	Average Score: 8.89 	steps: 2449.00
Episode 223	Average Score: 9.00 	steps: 2483.00
Episode 224	Average Score: 9.04 	steps: 2491.00
Episode 225	Average Score: 9.37 	steps: 2541.00
Episode 226	Average Score: 9.40 	steps: 2554.00
Episode 227	Average Score: 9.62 	steps: 2589.00
Episode 228	Average Score: 9.67 	steps: 2605.00
Episode 229	Average Score: 9.81 	steps: 2629.00
Episode 230	Average Score: 10.04 	steps: 2664.00
Episode 231	Average Score: 10.09 	steps: 2675.00
Episode 232	Average Score: 10.09 	steps: 2683.00
Episode 233	Average Score: 10.09 	steps: 2686.00
Episode 234	Average Score: 10.16 	steps: 2697.00
Episode 235	Average Score: 10.48 	steps: 2735.00
Episode 236	Average Score: 10.50 	steps: 2747.00
Episode 237	Average Score: 10.53 	steps: 2761.00
Episode 238	Average Score: 10.55 	steps: 2767.00
Episode 239	Average Score: 10.50 	steps: 2771.00
Episode 240	Average Score: 10.57 	steps: 2800.00
Episode 241	Average Score: 10.55 	steps: 2811.00
Episode 242	Average Score: 10.52 	steps: 2814.00
Episode 243	Average Score: 10.49 	steps: 2820.00
Episode 244	Average Score: 10.34 	steps: 2827.00
Episode 245	Average Score: 10.36 	steps: 2840.00
Episode 246	Average Score: 10.24 	steps: 2845.00
Episode 247	Average Score: 10.33 	steps: 2860.00
Episode 248	Average Score: 10.31 	steps: 2867.00
Episode 249	Average Score: 10.47 	steps: 2894.00
Episode 250	Average Score: 10.54 	steps: 2905.00
Episode 251	Average Score: 10.50 	steps: 2925.00
Episode 252	Average Score: 10.41 	steps: 2939.00
Episode 253	Average Score: 10.38 	steps: 2947.00
Episode 254	Average Score: 10.46 	steps: 2964.00
Episode 255	Average Score: 10.44 	steps: 2969.00
Episode 256	Average Score: 10.45 	steps: 2980.00
Episode 257	Average Score: 10.59 	steps: 3007.00
Episode 258	Average Score: 10.81 	steps: 3045.00
Episode 259	Average Score: 10.98 	steps: 3066.00
Episode 260	Average Score: 11.31 	steps: 3116.00
Episode 261	Average Score: 11.38 	steps: 3136.00
Episode 262	Average Score: 11.34 	steps: 3140.00
Episode 263	Average Score: 11.37 	steps: 3147.00
Episode 264	Average Score: 11.48 	steps: 3177.00
Episode 265	Average Score: 11.47 	steps: 3185.00
Episode 266	Average Score: 11.44 	steps: 3190.00
Episode 267	Average Score: 11.53 	steps: 3203.00
Episode 268	Average Score: 11.69 	steps: 3226.00
Episode 269	Average Score: 11.90 	steps: 3267.00
Episode 270	Average Score: 11.83 	steps: 3272.00
Episode 271	Average Score: 11.87 	steps: 3287.00
Episode 272	Average Score: 11.79 	steps: 3296.00
Episode 273	Average Score: 11.90 	steps: 3326.00
Episode 274	Average Score: 11.76 	steps: 3353.00
Episode 275	Average Score: 11.78 	steps: 3367.00
Episode 276	Average Score: 12.01 	steps: 3400.00
Episode 277	Average Score: 12.06 	steps: 3412.00
Episode 278	Average Score: 12.07 	steps: 3433.00
Episode 279	Average Score: 12.13 	steps: 3455.00
Episode 280	Average Score: 12.06 	steps: 3466.00
Episode 281	Average Score: 11.91 	steps: 3469.00
Episode 282	Average Score: 11.96 	steps: 3495.00
Episode 283	Average Score: 11.92 	steps: 3499.00
Episode 284	Average Score: 11.95 	steps: 3509.00
Episode 285	Average Score: 11.88 	steps: 3535.00
Episode 286	Average Score: 12.15 	steps: 3574.00
