created virtual environment CPython3.7.9.final.0-64 in 19166ms
  creator CPython3Posix(dest=/localscratch/fabdolla.29154439.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: numpy in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: pygame in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: gym in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: pandas in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.29154439.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
Directory  36  already exists
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 9.33 	steps: 16.00
Episode 2	Average Score: 6.73 	steps: 21.00
Episode 3	Average Score: 7.02 	steps: 32.00
Episode 4	Average Score: 5.90 	steps: 37.00
Episode 5	Average Score: 9.30 	steps: 70.00
Episode 6	Average Score: 10.09 	steps: 88.00
Episode 7	Average Score: 10.44 	steps: 103.00
Episode 8	Average Score: 9.93 	steps: 112.00
Episode 9	Average Score: 9.94 	steps: 126.00
Episode 10	Average Score: 12.40 	steps: 176.00
Episode 11	Average Score: 12.06 	steps: 186.00
Episode 12	Average Score: 11.29 	steps: 191.00
Episode 13	Average Score: 11.24 	steps: 205.00
Episode 14	Average Score: 10.74 	steps: 211.00
Episode 15	Average Score: 10.27 	steps: 217.00
Episode 16	Average Score: 9.83 	steps: 223.00
Episode 17	Average Score: 9.38 	steps: 226.00
Episode 18	Average Score: 9.26 	steps: 235.00
Episode 19	Average Score: 8.94 	steps: 239.00
Episode 20	Average Score: 8.54 	steps: 241.00
Episode 21	Average Score: 8.46 	steps: 250.00
Episode 22	Average Score: 9.17 	steps: 281.00
Episode 23	Average Score: 9.23 	steps: 295.00
Episode 24	Average Score: 8.98 	steps: 299.00
Episode 25	Average Score: 8.71 	steps: 303.00
Episode 26	Average Score: 8.48 	steps: 307.00
Episode 27	Average Score: 8.29 	steps: 313.00
Episode 28	Average Score: 8.28 	steps: 325.00
Episode 29	Average Score: 8.17 	steps: 332.00
Episode 30	Average Score: 8.01 	steps: 336.00
Episode 31	Average Score: 7.84 	steps: 340.00
Episode 32	Average Score: 7.80 	steps: 350.00
Episode 33	Average Score: 7.61 	steps: 353.00
Episode 34	Average Score: 7.93 	steps: 379.00
Episode 35	Average Score: 8.48 	steps: 415.00
Episode 36	Average Score: 8.40 	steps: 425.00
Episode 37	Average Score: 8.27 	steps: 430.00
Episode 38	Average Score: 8.17 	steps: 437.00
Episode 39	Average Score: 8.03 	steps: 441.00
Episode 40	Average Score: 7.99 	steps: 450.00
Episode 41	Average Score: 7.95 	steps: 460.00
Episode 42	Average Score: 8.13 	steps: 484.00
Episode 43	Average Score: 8.01 	steps: 488.00
Episode 44	Average Score: 7.98 	steps: 499.00
Episode 45	Average Score: 8.11 	steps: 518.00
Episode 46	Average Score: 8.04 	steps: 525.00
Episode 47	Average Score: 7.97 	steps: 531.00
Episode 48	Average Score: 7.88 	steps: 537.00
Episode 49	Average Score: 8.01 	steps: 555.00
Episode 50	Average Score: 7.92 	steps: 562.00
Episode 51	Average Score: 7.81 	steps: 565.00
Episode 52	Average Score: 8.18 	steps: 608.00
Episode 53	Average Score: 8.08 	steps: 612.00
Episode 54	Average Score: 7.99 	steps: 617.00
Episode 55	Average Score: 7.88 	steps: 620.00
Episode 56	Average Score: 7.80 	steps: 624.00
Episode 57	Average Score: 7.77 	steps: 631.00
Episode 58	Average Score: 7.73 	steps: 640.00
Episode 59	Average Score: 7.65 	steps: 645.00
Episode 60	Average Score: 7.54 	steps: 648.00
Episode 61	Average Score: 7.46 	steps: 651.00
Episode 62	Average Score: 7.67 	steps: 679.00
Episode 63	Average Score: 7.79 	steps: 697.00
Episode 64	Average Score: 7.91 	steps: 720.00
Episode 65	Average Score: 7.82 	steps: 723.00
Episode 66	Average Score: 7.73 	steps: 726.00
Episode 67	Average Score: 7.68 	steps: 732.00
Episode 68	Average Score: 7.68 	steps: 745.00
Episode 69	Average Score: 7.63 	steps: 753.00
Episode 70	Average Score: 7.87 	steps: 791.00
Episode 71	Average Score: 8.01 	steps: 813.00
Episode 72	Average Score: 7.96 	steps: 819.00
Episode 73	Average Score: 7.87 	steps: 823.00
Episode 74	Average Score: 7.79 	steps: 826.00
Episode 75	Average Score: 7.75 	steps: 835.00
Episode 76	Average Score: 7.68 	steps: 839.00
Episode 77	Average Score: 7.64 	steps: 844.00
Episode 78	Average Score: 7.67 	steps: 857.00
Episode 79	Average Score: 7.59 	steps: 860.00
Episode 80	Average Score: 7.58 	steps: 870.00
Episode 81	Average Score: 7.68 	steps: 889.00
Episode 82	Average Score: 7.72 	steps: 906.00
Episode 83	Average Score: 7.69 	steps: 914.00
Episode 84	Average Score: 7.74 	steps: 935.00
Episode 85	Average Score: 7.68 	steps: 939.00
Episode 86	Average Score: 7.78 	steps: 965.00
Episode 87	Average Score: 7.73 	steps: 970.00
Episode 88	Average Score: 7.69 	steps: 976.00
Episode 89	Average Score: 7.74 	steps: 996.00
Episode 90	Average Score: 7.84 	steps: 1023.00
Episode 91	Average Score: 7.88 	steps: 1036.00
Episode 92	Average Score: 7.86 	steps: 1044.00
Episode 93	Average Score: 7.93 	steps: 1064.00
Episode 94	Average Score: 7.97 	steps: 1081.00
Episode 95	Average Score: 7.99 	steps: 1097.00
Episode 96	Average Score: 8.22 	steps: 1147.00
Episode 97	Average Score: 8.20 	steps: 1155.00
Episode 98	Average Score: 8.28 	steps: 1175.00
Episode 99	Average Score: 8.29 	steps: 1186.00
Episode 100	Average Score: 8.32 	steps: 1204.00
Episode 100	Average Score: 8.32 	steps: 1204.00

Episode 101	Average Score: 8.32 	steps: 1215.00
Episode 102	Average Score: 8.29 	steps: 1218.00
Episode 103	Average Score: 8.59 	steps: 1268.00
Episode 104	Average Score: 8.64 	steps: 1278.00
Episode 105	Average Score: 8.44 	steps: 1285.00
Episode 106	Average Score: 8.33 	steps: 1289.00
Episode 107	Average Score: 8.23 	steps: 1294.00
Episode 108	Average Score: 8.22 	steps: 1301.00
Episode 109	Average Score: 8.18 	steps: 1310.00
Episode 110	Average Score: 7.88 	steps: 1316.00
Episode 111	Average Score: 8.03 	steps: 1348.00
Episode 112	Average Score: 8.08 	steps: 1357.00
Episode 113	Average Score: 8.00 	steps: 1361.00
Episode 114	Average Score: 8.27 	steps: 1397.00
Episode 115	Average Score: 8.29 	steps: 1405.00
Episode 116	Average Score: 8.37 	steps: 1419.00
Episode 117	Average Score: 8.48 	steps: 1434.00
Episode 118	Average Score: 8.43 	steps: 1439.00
Episode 119	Average Score: 8.50 	steps: 1451.00
Episode 120	Average Score: 8.51 	steps: 1455.00
Episode 121	Average Score: 8.49 	steps: 1461.00
Episode 122	Average Score: 8.28 	steps: 1466.00
Episode 123	Average Score: 8.27 	steps: 1479.00
Episode 124	Average Score: 8.32 	steps: 1493.00
Episode 125	Average Score: 8.33 	steps: 1499.00
Episode 126	Average Score: 8.33 	steps: 1503.00
Episode 127	Average Score: 8.34 	steps: 1509.00
Episode 128	Average Score: 8.34 	steps: 1519.00
Episode 129	Average Score: 8.55 	steps: 1558.00
Episode 130	Average Score: 8.64 	steps: 1572.00
Episode 131	Average Score: 8.74 	steps: 1588.00
Episode 132	Average Score: 8.79 	steps: 1605.00
Episode 133	Average Score: 8.81 	steps: 1611.00
Episode 134	Average Score: 8.67 	steps: 1618.00
Episode 135	Average Score: 8.46 	steps: 1625.00
Episode 136	Average Score: 8.42 	steps: 1627.00
Episode 137	Average Score: 8.56 	steps: 1649.00
Episode 138	Average Score: 8.54 	steps: 1653.00
Episode 139	Average Score: 8.57 	steps: 1662.00
Episode 140	Average Score: 8.56 	steps: 1669.00
Episode 141	Average Score: 8.59 	steps: 1679.00
Episode 142	Average Score: 8.64 	steps: 1706.00
Episode 143	Average Score: 8.87 	steps: 1743.00
Episode 144	Average Score: 9.15 	steps: 1785.00
Episode 145	Average Score: 9.11 	steps: 1798.00
Episode 146	Average Score: 9.17 	steps: 1810.00
Episode 147	Average Score: 9.15 	steps: 1815.00
Episode 148	Average Score: 9.13 	steps: 1818.00
Episode 149	Average Score: 9.03 	steps: 1825.00
Episode 150	Average Score: 9.14 	steps: 1843.00
Episode 151	Average Score: 9.19 	steps: 1853.00
Episode 152	Average Score: 8.95 	steps: 1857.00
Episode 153	Average Score: 8.95 	steps: 1861.00
Episode 154	Average Score: 8.97 	steps: 1867.00
Episode 155	Average Score: 9.06 	steps: 1883.00
Episode 156	Average Score: 9.04 	steps: 1885.00
Episode 157	Average Score: 9.09 	steps: 1902.00
Episode 158	Average Score: 9.29 	steps: 1936.00
Episode 159	Average Score: 9.36 	steps: 1950.00
Episode 160	Average Score: 9.36 	steps: 1953.00
Episode 161	Average Score: 9.54 	steps: 1984.00
Episode 162	Average Score: 9.60 	steps: 2021.00
Episode 163	Average Score: 9.48 	steps: 2026.00
Episode 164	Average Score: 9.39 	steps: 2034.00
Episode 165	Average Score: 9.42 	steps: 2041.00
Episode 166	Average Score: 9.47 	steps: 2051.00
Episode 167	Average Score: 9.80 	steps: 2101.00
Episode 168	Average Score: 9.90 	steps: 2131.00
Episode 169	Average Score: 10.22 	steps: 2178.00
Episode 170	Average Score: 10.16 	steps: 2200.00
Episode 171	Average Score: 10.03 	steps: 2206.00
Episode 172	Average Score: 10.39 	steps: 2256.00
Episode 173	Average Score: 10.41 	steps: 2263.00
Episode 174	Average Score: 10.43 	steps: 2270.00
Episode 175	Average Score: 10.44 	steps: 2280.00
Episode 176	Average Score: 10.49 	steps: 2292.00
Episode 177	Average Score: 10.47 	steps: 2296.00
Episode 178	Average Score: 10.40 	steps: 2299.00
Episode 179	Average Score: 10.52 	steps: 2318.00
Episode 180	Average Score: 10.50 	steps: 2326.00
Episode 181	Average Score: 10.39 	steps: 2333.00
Episode 182	Average Score: 10.34 	steps: 2343.00
Episode 183	Average Score: 10.34 	steps: 2351.00
Episode 184	Average Score: 10.24 	steps: 2354.00
Episode 185	Average Score: 10.24 	steps: 2358.00
Episode 186	Average Score: 10.48 	steps: 2408.00
Episode 187	Average Score: 10.45 	steps: 2411.00
Episode 188	Average Score: 10.49 	steps: 2420.00
Episode 189	Average Score: 10.40 	steps: 2426.00
Episode 190	Average Score: 10.38 	steps: 2443.00
Episode 191	Average Score: 10.42 	steps: 2461.00
Episode 192	Average Score: 10.39 	steps: 2464.00
Episode 193	Average Score: 10.27 	steps: 2469.00
Episode 194	Average Score: 10.20 	steps: 2477.00
Episode 195	Average Score: 10.34 	steps: 2513.00
Episode 196	Average Score: 10.23 	steps: 2536.00
Episode 197	Average Score: 10.21 	steps: 2542.00
Episode 198	Average Score: 10.26 	steps: 2575.00
Episode 199	Average Score: 10.20 	steps: 2579.00
Episode 200	Average Score: 10.16 	steps: 2590.00
Episode 200	Average Score: 10.16 	steps: 2590.00

Episode 201	Average Score: 10.10 	steps: 2596.00
Episode 202	Average Score: 10.12 	steps: 2601.00
Episode 203	Average Score: 9.79 	steps: 2609.00
Episode 204	Average Score: 9.81 	steps: 2622.00
Episode 205	Average Score: 9.79 	steps: 2625.00
Episode 206	Average Score: 9.84 	steps: 2640.00
Episode 207	Average Score: 9.97 	steps: 2660.00
Episode 208	Average Score: 9.94 	steps: 2665.00
Episode 209	Average Score: 10.01 	steps: 2681.00
Episode 210	Average Score: 10.02 	steps: 2689.00
Episode 211	Average Score: 9.94 	steps: 2714.00
Episode 212	Average Score: 9.91 	steps: 2720.00
Episode 213	Average Score: 9.92 	steps: 2727.00
Episode 214	Average Score: 9.68 	steps: 2736.00
Episode 215	Average Score: 9.70 	steps: 2749.00
Episode 216	Average Score: 9.63 	steps: 2756.00
Episode 217	Average Score: 9.52 	steps: 2759.00
Episode 218	Average Score: 9.72 	steps: 2790.00
Episode 219	Average Score: 9.78 	steps: 2809.00
Episode 220	Average Score: 9.86 	steps: 2825.00
Episode 221	Average Score: 9.83 	steps: 2828.00
Episode 222	Average Score: 9.82 	steps: 2832.00
Episode 223	Average Score: 9.77 	steps: 2838.00
Episode 224	Average Score: 10.01 	steps: 2876.00
Episode 225	Average Score: 9.99 	steps: 2879.00
Episode 226	Average Score: 10.07 	steps: 2892.00
Episode 227	Average Score: 10.09 	steps: 2899.00
Episode 228	Average Score: 10.03 	steps: 2904.00
Episode 229	Average Score: 10.12 	steps: 2947.00
Episode 230	Average Score: 10.03 	steps: 2954.00
Episode 231	Average Score: 10.23 	steps: 2999.00
Episode 232	Average Score: 10.31 	steps: 3025.00
Episode 233	Average Score: 10.45 	steps: 3052.00
Episode 234	Average Score: 10.45 	steps: 3058.00
Episode 235	Average Score: 10.50 	steps: 3070.00
Episode 236	Average Score: 10.83 	steps: 3120.00
Episode 237	Average Score: 10.75 	steps: 3136.00
Episode 238	Average Score: 10.84 	steps: 3153.00
Episode 239	Average Score: 10.80 	steps: 3156.00
Episode 240	Average Score: 11.14 	steps: 3206.00
Episode 241	Average Score: 11.17 	steps: 3225.00
Episode 242	Average Score: 11.06 	steps: 3243.00
Episode 243	Average Score: 10.82 	steps: 3246.00
Episode 244	Average Score: 10.62 	steps: 3271.00
Episode 245	Average Score: 10.71 	steps: 3297.00
Episode 246	Average Score: 10.78 	steps: 3320.00
Episode 247	Average Score: 10.78 	steps: 3324.00
Episode 248	Average Score: 10.90 	steps: 3346.00
Episode 249	Average Score: 10.91 	steps: 3352.00
Episode 250	Average Score: 10.82 	steps: 3361.00
Episode 251	Average Score: 10.83 	steps: 3371.00
Episode 252	Average Score: 10.87 	steps: 3382.00
Episode 253	Average Score: 11.00 	steps: 3408.00
Episode 254	Average Score: 11.05 	steps: 3422.00
Episode 255	Average Score: 11.14 	steps: 3447.00
Episode 256	Average Score: 11.15 	steps: 3451.00
Episode 257	Average Score: 11.23 	steps: 3472.00
Episode 258	Average Score: 11.11 	steps: 3492.00
Episode 259	Average Score: 11.09 	steps: 3502.00
Episode 260	Average Score: 11.16 	steps: 3518.00
Episode 261	Average Score: 11.04 	steps: 3530.00
Episode 262	Average Score: 10.84 	steps: 3538.00
Episode 263	Average Score: 10.92 	steps: 3555.00
Episode 264	Average Score: 10.87 	steps: 3558.00
Episode 265	Average Score: 10.84 	steps: 3563.00
Episode 266	Average Score: 11.04 	steps: 3596.00
Episode 267	Average Score: 11.08 	steps: 3646.00
Episode 268	Average Score: 11.05 	steps: 3665.00
Episode 269	Average Score: 10.91 	steps: 3693.00
Episode 270	Average Score: 10.84 	steps: 3713.00
Episode 271	Average Score: 10.98 	steps: 3739.00
Episode 272	Average Score: 10.91 	steps: 3789.00
Episode 273	Average Score: 10.88 	steps: 3792.00
Episode 274	Average Score: 11.01 	steps: 3815.00
Episode 275	Average Score: 11.00 	steps: 3822.00
Episode 276	Average Score: 10.96 	steps: 3829.00
Episode 277	Average Score: 10.94 	steps: 3831.00
Episode 278	Average Score: 10.99 	steps: 3841.00
Episode 279	Average Score: 10.94 	steps: 3857.00
Episode 280	Average Score: 11.04 	steps: 3879.00
Episode 281	Average Score: 11.08 	steps: 3890.00
Episode 282	Average Score: 11.34 	steps: 3940.00
Episode 283	Average Score: 11.33 	steps: 3946.00
Episode 284	Average Score: 11.31 	steps: 3948.00
Episode 285	Average Score: 11.44 	steps: 3970.00
