created virtual environment CPython3.7.9.final.0-64 in 6788ms
  creator CPython3Posix(dest=/localscratch/fabdolla.28934997.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: pygame in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: gym in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: numpy in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: pandas in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.28934997.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 5.40 	steps: 9.00
Episode 2	Average Score: 3.46 	steps: 12.00
Episode 3	Average Score: 3.35 	steps: 16.00
Episode 4	Average Score: 5.66 	steps: 32.00
Episode 5	Average Score: 6.36 	steps: 43.00
Episode 6	Average Score: 7.05 	steps: 58.00
Episode 7	Average Score: 8.83 	steps: 80.00
Episode 8	Average Score: 8.87 	steps: 92.00
Episode 9	Average Score: 11.52 	steps: 133.00
Episode 10	Average Score: 11.73 	steps: 151.00
Episode 11	Average Score: 11.17 	steps: 160.00
Episode 12	Average Score: 10.46 	steps: 164.00
Episode 13	Average Score: 9.84 	steps: 168.00
Episode 14	Average Score: 9.86 	steps: 182.00
Episode 15	Average Score: 10.39 	steps: 201.00
Episode 16	Average Score: 9.84 	steps: 204.00
Episode 17	Average Score: 9.35 	steps: 207.00
Episode 18	Average Score: 9.07 	steps: 214.00
Episode 19	Average Score: 8.75 	steps: 219.00
Episode 20	Average Score: 8.66 	steps: 228.00
Episode 21	Average Score: 9.76 	steps: 274.00
Episode 22	Average Score: 9.97 	steps: 292.00
Episode 23	Average Score: 9.93 	steps: 302.00
Episode 24	Average Score: 9.59 	steps: 305.00
Episode 25	Average Score: 9.40 	steps: 312.00
Episode 26	Average Score: 9.21 	steps: 319.00
Episode 27	Average Score: 9.09 	steps: 327.00
Episode 28	Average Score: 8.86 	steps: 332.00
Episode 29	Average Score: 8.65 	steps: 337.00
Episode 30	Average Score: 8.48 	steps: 343.00
Episode 31	Average Score: 8.27 	steps: 346.00
Episode 32	Average Score: 8.17 	steps: 354.00
Episode 33	Average Score: 8.04 	steps: 361.00
Episode 34	Average Score: 8.07 	steps: 375.00
Episode 35	Average Score: 7.90 	steps: 378.00
Episode 36	Average Score: 8.16 	steps: 404.00
Episode 37	Average Score: 8.14 	steps: 415.00
Episode 38	Average Score: 8.00 	steps: 419.00
Episode 39	Average Score: 7.89 	steps: 424.00
Episode 40	Average Score: 7.92 	steps: 436.00
Episode 41	Average Score: 7.77 	steps: 439.00
Episode 42	Average Score: 7.72 	steps: 448.00
Episode 43	Average Score: 7.82 	steps: 467.00
Episode 44	Average Score: 7.73 	steps: 474.00
Episode 45	Average Score: 7.65 	steps: 480.00
Episode 46	Average Score: 7.52 	steps: 483.00
Episode 47	Average Score: 7.39 	steps: 486.00
Episode 48	Average Score: 7.57 	steps: 504.00
Episode 49	Average Score: 7.55 	steps: 512.00
Episode 50	Average Score: 7.57 	steps: 527.00
Episode 51	Average Score: 7.48 	steps: 531.00
Episode 52	Average Score: 7.61 	steps: 550.00
Episode 53	Average Score: 7.59 	steps: 561.00
Episode 54	Average Score: 7.58 	steps: 571.00
Episode 55	Average Score: 7.59 	steps: 581.00
Episode 56	Average Score: 7.48 	steps: 584.00
Episode 57	Average Score: 7.75 	steps: 622.00
Episode 58	Average Score: 7.66 	steps: 627.00
Episode 59	Average Score: 7.73 	steps: 646.00
Episode 60	Average Score: 8.17 	steps: 685.00
Episode 61	Average Score: 8.27 	steps: 705.00
Episode 62	Average Score: 8.18 	steps: 710.00
Episode 63	Average Score: 8.38 	steps: 742.00
Episode 64	Average Score: 8.34 	steps: 751.00
Episode 65	Average Score: 8.75 	steps: 795.00
Episode 66	Average Score: 8.65 	steps: 798.00
Episode 67	Average Score: 8.76 	steps: 819.00
Episode 68	Average Score: 8.68 	steps: 825.00
Episode 69	Average Score: 8.59 	steps: 829.00
Episode 70	Average Score: 8.50 	steps: 833.00
Episode 71	Average Score: 8.41 	steps: 837.00
Episode 72	Average Score: 8.35 	steps: 842.00
Episode 73	Average Score: 8.28 	steps: 846.00
Episode 74	Average Score: 8.19 	steps: 849.00
Episode 75	Average Score: 8.18 	steps: 861.00
Episode 76	Average Score: 8.13 	steps: 867.00
Episode 77	Average Score: 8.08 	steps: 874.00
Episode 78	Average Score: 8.07 	steps: 887.00
Episode 79	Average Score: 8.24 	steps: 915.00
Episode 80	Average Score: 8.16 	steps: 918.00
Episode 81	Average Score: 8.10 	steps: 923.00
Episode 82	Average Score: 8.04 	steps: 930.00
Episode 83	Average Score: 7.96 	steps: 933.00
Episode 84	Average Score: 8.01 	steps: 947.00
Episode 85	Average Score: 8.00 	steps: 958.00
Episode 86	Average Score: 8.07 	steps: 974.00
Episode 87	Average Score: 8.05 	steps: 984.00
Episode 88	Average Score: 7.98 	steps: 988.00
Episode 89	Average Score: 8.25 	steps: 1031.00
Episode 90	Average Score: 8.24 	steps: 1041.00
Episode 91	Average Score: 8.55 	steps: 1086.00
Episode 92	Average Score: 8.86 	steps: 1129.00
Episode 93	Average Score: 8.80 	steps: 1135.00
Episode 94	Average Score: 8.82 	steps: 1151.00
Episode 95	Average Score: 8.83 	steps: 1165.00
Episode 96	Average Score: 8.77 	steps: 1171.00
Episode 97	Average Score: 8.73 	steps: 1178.00
Episode 98	Average Score: 8.67 	steps: 1183.00
Episode 99	Average Score: 8.60 	steps: 1186.00
Episode 100	Average Score: 8.67 	steps: 1207.00
Episode 100	Average Score: 8.67 	steps: 1207.00

Episode 101	Average Score: 8.65 	steps: 1213.00
Episode 102	Average Score: 8.73 	steps: 1225.00
Episode 103	Average Score: 8.76 	steps: 1234.00
Episode 104	Average Score: 8.67 	steps: 1239.00
Episode 105	Average Score: 8.64 	steps: 1248.00
Episode 106	Average Score: 8.65 	steps: 1265.00
Episode 107	Average Score: 8.75 	steps: 1305.00
Episode 108	Average Score: 8.74 	steps: 1317.00
Episode 109	Average Score: 8.51 	steps: 1332.00
Episode 110	Average Score: 8.65 	steps: 1375.00
Episode 111	Average Score: 8.66 	steps: 1384.00
Episode 112	Average Score: 8.67 	steps: 1388.00
Episode 113	Average Score: 8.71 	steps: 1398.00
Episode 114	Average Score: 8.64 	steps: 1403.00
Episode 115	Average Score: 8.74 	steps: 1436.00
Episode 116	Average Score: 8.81 	steps: 1450.00
Episode 117	Average Score: 8.95 	steps: 1471.00
Episode 118	Average Score: 8.94 	steps: 1476.00
Episode 119	Average Score: 9.01 	steps: 1490.00
Episode 120	Average Score: 9.12 	steps: 1511.00
Episode 121	Average Score: 9.08 	steps: 1546.00
Episode 122	Average Score: 9.11 	steps: 1569.00
Episode 123	Average Score: 9.03 	steps: 1571.00
Episode 124	Average Score: 9.08 	steps: 1582.00
Episode 125	Average Score: 9.09 	steps: 1590.00
Episode 126	Average Score: 9.14 	steps: 1603.00
Episode 127	Average Score: 9.09 	steps: 1606.00
Episode 128	Average Score: 9.10 	steps: 1610.00
Episode 129	Average Score: 9.08 	steps: 1612.00
Episode 130	Average Score: 9.13 	steps: 1622.00
Episode 131	Average Score: 9.16 	steps: 1629.00
Episode 132	Average Score: 9.20 	steps: 1642.00
Episode 133	Average Score: 9.25 	steps: 1655.00
Episode 134	Average Score: 9.27 	steps: 1670.00
Episode 135	Average Score: 9.31 	steps: 1678.00
Episode 136	Average Score: 9.29 	steps: 1695.00
Episode 137	Average Score: 9.37 	steps: 1714.00
Episode 138	Average Score: 9.44 	steps: 1725.00
Episode 139	Average Score: 9.43 	steps: 1730.00
Episode 140	Average Score: 9.42 	steps: 1741.00
Episode 141	Average Score: 9.46 	steps: 1751.00
Episode 142	Average Score: 9.43 	steps: 1755.00
Episode 143	Average Score: 9.39 	steps: 1766.00
Episode 144	Average Score: 9.38 	steps: 1772.00
Episode 145	Average Score: 9.37 	steps: 1778.00
Episode 146	Average Score: 9.44 	steps: 1789.00
Episode 147	Average Score: 9.75 	steps: 1829.00
Episode 148	Average Score: 9.68 	steps: 1841.00
Episode 149	Average Score: 9.73 	steps: 1854.00
Episode 150	Average Score: 9.66 	steps: 1857.00
Episode 151	Average Score: 9.67 	steps: 1864.00
Episode 152	Average Score: 9.55 	steps: 1867.00
Episode 153	Average Score: 9.57 	steps: 1880.00
Episode 154	Average Score: 9.53 	steps: 1885.00
Episode 155	Average Score: 9.48 	steps: 1890.00
Episode 156	Average Score: 9.53 	steps: 1898.00
Episode 157	Average Score: 9.73 	steps: 1948.00
Episode 158	Average Score: 9.82 	steps: 1964.00
Episode 159	Average Score: 9.87 	steps: 1989.00
Episode 160	Average Score: 9.61 	steps: 2000.00
Episode 161	Average Score: 9.47 	steps: 2002.00
Episode 162	Average Score: 9.47 	steps: 2005.00
Episode 163	Average Score: 9.33 	steps: 2018.00
Episode 164	Average Score: 9.38 	steps: 2031.00
Episode 165	Average Score: 9.32 	steps: 2073.00
Episode 166	Average Score: 9.32 	steps: 2077.00
Episode 167	Average Score: 9.22 	steps: 2085.00
Episode 168	Average Score: 9.21 	steps: 2090.00
Episode 169	Average Score: 9.53 	steps: 2137.00
Episode 170	Average Score: 9.53 	steps: 2142.00
Episode 171	Average Score: 9.53 	steps: 2145.00
Episode 172	Average Score: 9.58 	steps: 2159.00
Episode 173	Average Score: 9.68 	steps: 2175.00
Episode 174	Average Score: 9.84 	steps: 2200.00
Episode 175	Average Score: 9.80 	steps: 2204.00
Episode 176	Average Score: 10.11 	steps: 2254.00
Episode 177	Average Score: 10.09 	steps: 2258.00
Episode 178	Average Score: 10.04 	steps: 2262.00
Episode 179	Average Score: 9.86 	steps: 2266.00
Episode 180	Average Score: 9.88 	steps: 2271.00
Episode 181	Average Score: 9.89 	steps: 2278.00
Episode 182	Average Score: 10.26 	steps: 2328.00
Episode 183	Average Score: 10.31 	steps: 2338.00
Episode 184	Average Score: 10.38 	steps: 2360.00
Episode 185	Average Score: 10.31 	steps: 2362.00
Episode 186	Average Score: 10.29 	steps: 2377.00
Episode 187	Average Score: 10.36 	steps: 2397.00
Episode 188	Average Score: 10.68 	steps: 2447.00
Episode 189	Average Score: 10.39 	steps: 2451.00
Episode 190	Average Score: 10.35 	steps: 2457.00
Episode 191	Average Score: 10.02 	steps: 2463.00
Episode 192	Average Score: 9.70 	steps: 2469.00
Episode 193	Average Score: 9.83 	steps: 2492.00
Episode 194	Average Score: 9.96 	steps: 2531.00
Episode 195	Average Score: 10.02 	steps: 2549.00
Episode 196	Average Score: 10.02 	steps: 2553.00
Episode 197	Average Score: 10.05 	steps: 2563.00
Episode 198	Average Score: 10.04 	steps: 2566.00
Episode 199	Average Score: 10.21 	steps: 2595.00
Episode 200	Average Score: 10.14 	steps: 2608.00
Episode 200	Average Score: 10.14 	steps: 2608.00

Episode 201	Average Score: 10.22 	steps: 2623.00
Episode 202	Average Score: 10.30 	steps: 2646.00
Episode 203	Average Score: 10.40 	steps: 2664.00
Episode 204	Average Score: 10.45 	steps: 2674.00
Episode 205	Average Score: 10.50 	steps: 2688.00
Episode 206	Average Score: 10.55 	steps: 2707.00
Episode 207	Average Score: 10.56 	steps: 2757.00
Episode 208	Average Score: 10.50 	steps: 2761.00
Episode 209	Average Score: 10.48 	steps: 2772.00
Episode 210	Average Score: 10.30 	steps: 2787.00
Episode 211	Average Score: 10.27 	steps: 2792.00
Episode 212	Average Score: 10.32 	steps: 2801.00
Episode 213	Average Score: 10.34 	steps: 2812.00
Episode 214	Average Score: 10.33 	steps: 2815.00
Episode 215	Average Score: 10.08 	steps: 2819.00
Episode 216	Average Score: 10.27 	steps: 2856.00
Episode 217	Average Score: 10.24 	steps: 2873.00
Episode 218	Average Score: 10.23 	steps: 2876.00
Episode 219	Average Score: 10.18 	steps: 2883.00
Episode 220	Average Score: 10.19 	steps: 2904.00
Episode 221	Average Score: 10.03 	steps: 2917.00
Episode 222	Average Score: 10.10 	steps: 2946.00
Episode 223	Average Score: 10.11 	steps: 2949.00
Episode 224	Average Score: 10.16 	steps: 2966.00
Episode 225	Average Score: 10.52 	steps: 3016.00
Episode 226	Average Score: 10.63 	steps: 3045.00
Episode 227	Average Score: 10.65 	steps: 3050.00
Episode 228	Average Score: 10.71 	steps: 3060.00
Episode 229	Average Score: 10.80 	steps: 3072.00
Episode 230	Average Score: 10.76 	steps: 3078.00
Episode 231	Average Score: 10.96 	steps: 3106.00
Episode 232	Average Score: 10.93 	steps: 3118.00
Episode 233	Average Score: 10.97 	steps: 3136.00
Episode 234	Average Score: 10.96 	steps: 3154.00
Episode 235	Average Score: 10.93 	steps: 3160.00
Episode 236	Average Score: 10.84 	steps: 3168.00
Episode 237	Average Score: 11.05 	steps: 3218.00
Episode 238	Average Score: 10.99 	steps: 3225.00
Episode 239	Average Score: 11.39 	steps: 3275.00
Episode 240	Average Score: 11.39 	steps: 3289.00
Episode 241	Average Score: 11.36 	steps: 3292.00
Episode 242	Average Score: 11.53 	steps: 3318.00
Episode 243	Average Score: 11.49 	steps: 3323.00
Episode 244	Average Score: 11.48 	steps: 3327.00
Episode 245	Average Score: 11.47 	steps: 3330.00
Episode 246	Average Score: 11.43 	steps: 3335.00
Episode 247	Average Score: 11.36 	steps: 3369.00
Episode 248	Average Score: 11.35 	steps: 3379.00
Episode 249	Average Score: 11.28 	steps: 3384.00
Episode 250	Average Score: 11.37 	steps: 3396.00
Episode 251	Average Score: 11.36 	steps: 3401.00
Episode 252	Average Score: 11.39 	steps: 3409.00
Episode 253	Average Score: 11.37 	steps: 3417.00
Episode 254	Average Score: 11.40 	steps: 3424.00
Episode 255	Average Score: 11.38 	steps: 3427.00
Episode 256	Average Score: 11.34 	steps: 3431.00
Episode 257	Average Score: 10.93 	steps: 3435.00
Episode 258	Average Score: 10.87 	steps: 3444.00
Episode 259	Average Score: 10.73 	steps: 3451.00
Episode 260	Average Score: 10.71 	steps: 3457.00
Episode 261	Average Score: 10.76 	steps: 3467.00
Episode 262	Average Score: 11.04 	steps: 3510.00
Episode 263	Average Score: 10.99 	steps: 3513.00
Episode 264	Average Score: 10.90 	steps: 3516.00
Episode 265	Average Score: 10.74 	steps: 3534.00
Episode 266	Average Score: 10.91 	steps: 3567.00
Episode 267	Average Score: 10.91 	steps: 3576.00
Episode 268	Average Score: 11.17 	steps: 3620.00
Episode 269	Average Score: 11.25 	steps: 3670.00
Episode 270	Average Score: 11.30 	steps: 3684.00
Episode 271	Average Score: 11.51 	steps: 3714.00
Episode 272	Average Score: 11.42 	steps: 3717.00
Episode 273	Average Score: 11.33 	steps: 3722.00
Episode 274	Average Score: 11.50 	steps: 3772.00
Episode 275	Average Score: 11.57 	steps: 3783.00
Episode 276	Average Score: 11.30 	steps: 3798.00
Episode 277	Average Score: 11.37 	steps: 3815.00
Episode 278	Average Score: 11.43 	steps: 3829.00
Episode 279	Average Score: 11.47 	steps: 3841.00
Episode 280	Average Score: 11.45 	steps: 3846.00
Episode 281	Average Score: 11.52 	steps: 3863.00
Episode 282	Average Score: 11.13 	steps: 3866.00
Episode 283	Average Score: 11.12 	steps: 3874.00
