created virtual environment CPython3.7.9.final.0-64 in 23298ms
  creator CPython3Posix(dest=/localscratch/fabdolla.29154441.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: pandas in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: numpy in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: pygame in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.29154441.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
Directory  38  already exists
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 12.58 	steps: 16.00
Episode 2	Average Score: 22.32 	steps: 66.00
Episode 3	Average Score: 18.41 	steps: 81.00
Episode 4	Average Score: 15.55 	steps: 90.00
Episode 5	Average Score: 15.73 	steps: 113.00
Episode 6	Average Score: 13.82 	steps: 118.00
Episode 7	Average Score: 12.94 	steps: 131.00
Episode 8	Average Score: 12.87 	steps: 151.00
Episode 9	Average Score: 12.02 	steps: 159.00
Episode 10	Average Score: 11.23 	steps: 165.00
Episode 11	Average Score: 10.45 	steps: 170.00
Episode 12	Average Score: 9.96 	steps: 176.00
Episode 13	Average Score: 10.16 	steps: 196.00
Episode 14	Average Score: 9.72 	steps: 201.00
Episode 15	Average Score: 10.04 	steps: 222.00
Episode 16	Average Score: 10.52 	steps: 245.00
Episode 17	Average Score: 10.16 	steps: 253.00
Episode 18	Average Score: 9.79 	steps: 260.00
Episode 19	Average Score: 9.47 	steps: 265.00
Episode 20	Average Score: 9.61 	steps: 281.00
Episode 21	Average Score: 9.62 	steps: 293.00
Episode 22	Average Score: 9.98 	steps: 313.00
Episode 23	Average Score: 10.14 	steps: 331.00
Episode 24	Average Score: 9.94 	steps: 337.00
Episode 25	Average Score: 9.95 	steps: 353.00
Episode 26	Average Score: 9.77 	steps: 360.00
Episode 27	Average Score: 9.63 	steps: 368.00
Episode 28	Average Score: 9.45 	steps: 374.00
Episode 29	Average Score: 9.30 	steps: 380.00
Episode 30	Average Score: 9.13 	steps: 386.00
Episode 31	Average Score: 9.35 	steps: 406.00
Episode 32	Average Score: 9.12 	steps: 409.00
Episode 33	Average Score: 8.94 	steps: 413.00
Episode 34	Average Score: 8.87 	steps: 422.00
Episode 35	Average Score: 9.48 	steps: 465.00
Episode 36	Average Score: 9.30 	steps: 469.00
Episode 37	Average Score: 9.11 	steps: 473.00
Episode 38	Average Score: 8.99 	steps: 479.00
Episode 39	Average Score: 8.83 	steps: 483.00
Episode 40	Average Score: 8.72 	steps: 488.00
Episode 41	Average Score: 8.75 	steps: 500.00
Episode 42	Average Score: 8.67 	steps: 507.00
Episode 43	Average Score: 8.52 	steps: 510.00
Episode 44	Average Score: 8.36 	steps: 513.00
Episode 45	Average Score: 8.39 	steps: 526.00
Episode 46	Average Score: 8.24 	steps: 529.00
Episode 47	Average Score: 8.90 	steps: 579.00
Episode 48	Average Score: 8.86 	steps: 588.00
Episode 49	Average Score: 8.87 	steps: 600.00
Episode 50	Average Score: 8.75 	steps: 604.00
Episode 51	Average Score: 8.60 	steps: 606.00
Episode 52	Average Score: 8.70 	steps: 622.00
Episode 53	Average Score: 8.57 	steps: 625.00
Episode 54	Average Score: 8.48 	steps: 630.00
Episode 55	Average Score: 8.44 	steps: 637.00
Episode 56	Average Score: 8.41 	steps: 645.00
Episode 57	Average Score: 8.28 	steps: 647.00
Episode 58	Average Score: 8.20 	steps: 653.00
Episode 59	Average Score: 8.16 	steps: 660.00
Episode 60	Average Score: 8.11 	steps: 667.00
Episode 61	Average Score: 8.07 	steps: 675.00
Episode 62	Average Score: 8.09 	steps: 687.00
Episode 63	Average Score: 8.30 	steps: 715.00
Episode 64	Average Score: 8.19 	steps: 718.00
Episode 65	Average Score: 8.18 	steps: 727.00
Episode 66	Average Score: 8.15 	steps: 738.00
Episode 67	Average Score: 8.04 	steps: 740.00
Episode 68	Average Score: 8.01 	steps: 747.00
Episode 69	Average Score: 7.95 	steps: 753.00
Episode 70	Average Score: 7.88 	steps: 759.00
Episode 71	Average Score: 7.84 	steps: 766.00
Episode 72	Average Score: 7.86 	steps: 781.00
Episode 73	Average Score: 7.81 	steps: 786.00
Episode 74	Average Score: 7.73 	steps: 789.00
Episode 75	Average Score: 7.65 	steps: 792.00
Episode 76	Average Score: 7.60 	steps: 797.00
Episode 77	Average Score: 7.69 	steps: 815.00
Episode 78	Average Score: 7.67 	steps: 822.00
Episode 79	Average Score: 7.62 	steps: 826.00
Episode 80	Average Score: 7.57 	steps: 833.00
Episode 81	Average Score: 7.62 	steps: 846.00
Episode 82	Average Score: 7.61 	steps: 855.00
Episode 83	Average Score: 7.56 	steps: 861.00
Episode 84	Average Score: 7.48 	steps: 863.00
Episode 85	Average Score: 7.44 	steps: 868.00
Episode 86	Average Score: 7.43 	steps: 876.00
Episode 87	Average Score: 7.37 	steps: 879.00
Episode 88	Average Score: 7.31 	steps: 882.00
Episode 89	Average Score: 7.36 	steps: 898.00
Episode 90	Average Score: 7.54 	steps: 930.00
Episode 91	Average Score: 7.48 	steps: 933.00
Episode 92	Average Score: 7.44 	steps: 938.00
Episode 93	Average Score: 7.45 	steps: 951.00
Episode 94	Average Score: 7.46 	steps: 961.00
Episode 95	Average Score: 7.43 	steps: 969.00
Episode 96	Average Score: 7.39 	steps: 975.00
Episode 97	Average Score: 7.35 	steps: 980.00
Episode 98	Average Score: 7.35 	steps: 988.00
Episode 99	Average Score: 7.34 	steps: 997.00
Episode 100	Average Score: 7.30 	steps: 1002.00
Episode 100	Average Score: 7.30 	steps: 1002.00

Episode 101	Average Score: 7.21 	steps: 1007.00
Episode 102	Average Score: 6.93 	steps: 1012.00
Episode 103	Average Score: 6.87 	steps: 1018.00
Episode 104	Average Score: 6.87 	steps: 1030.00
Episode 105	Average Score: 6.75 	steps: 1036.00
Episode 106	Average Score: 6.76 	steps: 1043.00
Episode 107	Average Score: 7.06 	steps: 1093.00
Episode 108	Average Score: 6.98 	steps: 1098.00
Episode 109	Average Score: 6.97 	steps: 1103.00
Episode 110	Average Score: 7.01 	steps: 1114.00
Episode 111	Average Score: 7.04 	steps: 1121.00
Episode 112	Average Score: 7.04 	steps: 1127.00
Episode 113	Average Score: 7.07 	steps: 1149.00
Episode 114	Average Score: 7.06 	steps: 1153.00
Episode 115	Average Score: 7.02 	steps: 1169.00
Episode 116	Average Score: 6.87 	steps: 1173.00
Episode 117	Average Score: 6.92 	steps: 1185.00
Episode 118	Average Score: 6.91 	steps: 1191.00
Episode 119	Average Score: 6.97 	steps: 1201.00
Episode 120	Average Score: 6.94 	steps: 1212.00
Episode 121	Average Score: 6.88 	steps: 1218.00
Episode 122	Average Score: 6.89 	steps: 1240.00
Episode 123	Average Score: 6.77 	steps: 1243.00
Episode 124	Average Score: 6.77 	steps: 1250.00
Episode 125	Average Score: 6.70 	steps: 1256.00
Episode 126	Average Score: 6.69 	steps: 1261.00
Episode 127	Average Score: 6.67 	steps: 1267.00
Episode 128	Average Score: 6.69 	steps: 1275.00
Episode 129	Average Score: 6.69 	steps: 1281.00
Episode 130	Average Score: 6.66 	steps: 1284.00
Episode 131	Average Score: 6.56 	steps: 1291.00
Episode 132	Average Score: 6.62 	steps: 1300.00
Episode 133	Average Score: 6.74 	steps: 1325.00
Episode 134	Average Score: 6.75 	steps: 1334.00
Episode 135	Average Score: 6.54 	steps: 1345.00
Episode 136	Average Score: 6.61 	steps: 1362.00
Episode 137	Average Score: 6.61 	steps: 1365.00
Episode 138	Average Score: 6.72 	steps: 1383.00
Episode 139	Average Score: 6.71 	steps: 1387.00
Episode 140	Average Score: 6.70 	steps: 1391.00
Episode 141	Average Score: 6.61 	steps: 1393.00
Episode 142	Average Score: 6.59 	steps: 1399.00
Episode 143	Average Score: 6.74 	steps: 1419.00
Episode 144	Average Score: 6.92 	steps: 1446.00
Episode 145	Average Score: 6.89 	steps: 1454.00
Episode 146	Average Score: 7.23 	steps: 1504.00
Episode 147	Average Score: 6.87 	steps: 1509.00
Episode 148	Average Score: 6.87 	steps: 1519.00
Episode 149	Average Score: 6.94 	steps: 1541.00
Episode 150	Average Score: 7.03 	steps: 1555.00
Episode 151	Average Score: 7.07 	steps: 1561.00
Episode 152	Average Score: 6.97 	steps: 1566.00
Episode 153	Average Score: 7.16 	steps: 1590.00
Episode 154	Average Score: 7.19 	steps: 1597.00
Episode 155	Average Score: 7.14 	steps: 1599.00
Episode 156	Average Score: 7.13 	steps: 1609.00
Episode 157	Average Score: 7.14 	steps: 1612.00
Episode 158	Average Score: 7.14 	steps: 1616.00
Episode 159	Average Score: 7.10 	steps: 1619.00
Episode 160	Average Score: 7.07 	steps: 1623.00
Episode 161	Average Score: 7.05 	steps: 1629.00
Episode 162	Average Score: 6.98 	steps: 1633.00
Episode 163	Average Score: 6.82 	steps: 1640.00
Episode 164	Average Score: 6.85 	steps: 1646.00
Episode 165	Average Score: 6.96 	steps: 1669.00
Episode 166	Average Score: 6.97 	steps: 1679.00
Episode 167	Average Score: 7.06 	steps: 1690.00
Episode 168	Average Score: 7.02 	steps: 1693.00
Episode 169	Average Score: 7.12 	steps: 1712.00
Episode 170	Average Score: 7.27 	steps: 1739.00
Episode 171	Average Score: 7.27 	steps: 1746.00
Episode 172	Average Score: 7.29 	steps: 1759.00
Episode 173	Average Score: 7.30 	steps: 1768.00
Episode 174	Average Score: 7.48 	steps: 1792.00
Episode 175	Average Score: 7.54 	steps: 1801.00
Episode 176	Average Score: 7.91 	steps: 1851.00
Episode 177	Average Score: 7.82 	steps: 1859.00
Episode 178	Average Score: 7.81 	steps: 1865.00
Episode 179	Average Score: 8.01 	steps: 1901.00
Episode 180	Average Score: 7.98 	steps: 1904.00
Episode 181	Average Score: 8.00 	steps: 1918.00
Episode 182	Average Score: 7.94 	steps: 1920.00
Episode 183	Average Score: 7.94 	steps: 1925.00
Episode 184	Average Score: 8.00 	steps: 1936.00
Episode 185	Average Score: 7.98 	steps: 1939.00
Episode 186	Average Score: 8.24 	steps: 1982.00
Episode 187	Average Score: 8.29 	steps: 1990.00
Episode 188	Average Score: 8.33 	steps: 1997.00
Episode 189	Average Score: 8.22 	steps: 1999.00
Episode 190	Average Score: 8.18 	steps: 2021.00
Episode 191	Average Score: 8.17 	steps: 2023.00
Episode 192	Average Score: 8.46 	steps: 2064.00
Episode 193	Average Score: 8.40 	steps: 2067.00
Episode 194	Average Score: 8.41 	steps: 2078.00
Episode 195	Average Score: 8.41 	steps: 2084.00
Episode 196	Average Score: 8.42 	steps: 2089.00
Episode 197	Average Score: 8.39 	steps: 2091.00
Episode 198	Average Score: 8.35 	steps: 2096.00
Episode 199	Average Score: 8.33 	steps: 2104.00
Episode 200	Average Score: 8.32 	steps: 2107.00
Episode 200	Average Score: 8.32 	steps: 2107.00

Episode 201	Average Score: 8.40 	steps: 2121.00
Episode 202	Average Score: 8.41 	steps: 2128.00
Episode 203	Average Score: 8.40 	steps: 2131.00
Episode 204	Average Score: 8.46 	steps: 2153.00
Episode 205	Average Score: 8.45 	steps: 2158.00
Episode 206	Average Score: 8.71 	steps: 2204.00
Episode 207	Average Score: 8.36 	steps: 2211.00
Episode 208	Average Score: 8.67 	steps: 2248.00
Episode 209	Average Score: 8.66 	steps: 2252.00
Episode 210	Average Score: 8.59 	steps: 2255.00
Episode 211	Average Score: 8.58 	steps: 2260.00
Episode 212	Average Score: 8.68 	steps: 2284.00
Episode 213	Average Score: 8.92 	steps: 2334.00
Episode 214	Average Score: 8.92 	steps: 2337.00
Episode 215	Average Score: 8.96 	steps: 2354.00
Episode 216	Average Score: 9.00 	steps: 2362.00
Episode 217	Average Score: 9.06 	steps: 2380.00
Episode 218	Average Score: 9.09 	steps: 2389.00
Episode 219	Average Score: 9.34 	steps: 2439.00
Episode 220	Average Score: 9.26 	steps: 2443.00
Episode 221	Average Score: 9.27 	steps: 2452.00
Episode 222	Average Score: 9.24 	steps: 2469.00
Episode 223	Average Score: 9.25 	steps: 2473.00
Episode 224	Average Score: 9.28 	steps: 2483.00
Episode 225	Average Score: 9.28 	steps: 2487.00
Episode 226	Average Score: 9.33 	steps: 2498.00
Episode 227	Average Score: 9.31 	steps: 2502.00
Episode 228	Average Score: 9.29 	steps: 2507.00
Episode 229	Average Score: 9.30 	steps: 2514.00
Episode 230	Average Score: 9.50 	steps: 2546.00
Episode 231	Average Score: 9.49 	steps: 2552.00
Episode 232	Average Score: 9.43 	steps: 2555.00
Episode 233	Average Score: 9.41 	steps: 2574.00
Episode 234	Average Score: 9.35 	steps: 2578.00
Episode 235	Average Score: 9.36 	steps: 2589.00
Episode 236	Average Score: 9.29 	steps: 2593.00
Episode 237	Average Score: 9.30 	steps: 2598.00
Episode 238	Average Score: 9.20 	steps: 2604.00
Episode 239	Average Score: 9.21 	steps: 2609.00
Episode 240	Average Score: 9.34 	steps: 2625.00
Episode 241	Average Score: 9.58 	steps: 2664.00
Episode 242	Average Score: 9.57 	steps: 2667.00
Episode 243	Average Score: 9.46 	steps: 2675.00
Episode 244	Average Score: 9.70 	steps: 2725.00
Episode 245	Average Score: 9.67 	steps: 2730.00
Episode 246	Average Score: 9.35 	steps: 2734.00
Episode 247	Average Score: 9.43 	steps: 2746.00
Episode 248	Average Score: 9.44 	steps: 2755.00
Episode 249	Average Score: 9.55 	steps: 2793.00
Episode 250	Average Score: 9.50 	steps: 2804.00
Episode 251	Average Score: 9.48 	steps: 2808.00
Episode 252	Average Score: 9.54 	steps: 2819.00
Episode 253	Average Score: 9.41 	steps: 2828.00
Episode 254	Average Score: 9.39 	steps: 2834.00
Episode 255	Average Score: 9.50 	steps: 2847.00
Episode 256	Average Score: 9.47 	steps: 2854.00
Episode 257	Average Score: 9.48 	steps: 2858.00
Episode 258	Average Score: 9.49 	steps: 2864.00
Episode 259	Average Score: 9.52 	steps: 2870.00
Episode 260	Average Score: 9.55 	steps: 2882.00
Episode 261	Average Score: 9.59 	steps: 2891.00
Episode 262	Average Score: 9.66 	steps: 2902.00
Episode 263	Average Score: 9.69 	steps: 2911.00
Episode 264	Average Score: 9.77 	steps: 2925.00
Episode 265	Average Score: 9.70 	steps: 2938.00
Episode 266	Average Score: 9.70 	steps: 2946.00
Episode 267	Average Score: 9.87 	steps: 2981.00
Episode 268	Average Score: 9.87 	steps: 2984.00
Episode 269	Average Score: 9.84 	steps: 2996.00
Episode 270	Average Score: 9.78 	steps: 3009.00
Episode 271	Average Score: 9.75 	steps: 3013.00
Episode 272	Average Score: 10.01 	steps: 3063.00
Episode 273	Average Score: 10.15 	steps: 3085.00
Episode 274	Average Score: 10.02 	steps: 3093.00
Episode 275	Average Score: 10.27 	steps: 3140.00
Episode 276	Average Score: 9.95 	steps: 3149.00
Episode 277	Average Score: 10.05 	steps: 3173.00
Episode 278	Average Score: 10.08 	steps: 3182.00
Episode 279	Average Score: 9.86 	steps: 3184.00
Episode 280	Average Score: 10.20 	steps: 3232.00
Episode 281	Average Score: 10.13 	steps: 3241.00
Episode 282	Average Score: 10.21 	steps: 3258.00
Episode 283	Average Score: 10.42 	steps: 3297.00
Episode 284	Average Score: 10.49 	steps: 3314.00
Episode 285	Average Score: 10.55 	steps: 3323.00
Episode 286	Average Score: 10.40 	steps: 3342.00
