created virtual environment CPython3.7.9.final.0-64 in 17291ms
  creator CPython3Posix(dest=/localscratch/fabdolla.28935027.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: numpy in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: pygame in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: pandas in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.28935027.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 7.30 	steps: 11.00
Episode 2	Average Score: 6.43 	steps: 20.00
Episode 3	Average Score: 9.73 	steps: 40.00
Episode 4	Average Score: 8.85 	steps: 50.00
Episode 5	Average Score: 8.92 	steps: 63.00
Episode 6	Average Score: 10.77 	steps: 87.00
Episode 7	Average Score: 10.31 	steps: 96.00
Episode 8	Average Score: 9.39 	steps: 100.00
Episode 9	Average Score: 9.07 	steps: 108.00
Episode 10	Average Score: 9.31 	steps: 126.00
Episode 11	Average Score: 8.90 	steps: 132.00
Episode 12	Average Score: 9.29 	steps: 150.00
Episode 13	Average Score: 8.74 	steps: 154.00
Episode 14	Average Score: 8.34 	steps: 159.00
Episode 15	Average Score: 8.55 	steps: 177.00
Episode 16	Average Score: 8.88 	steps: 193.00
Episode 17	Average Score: 10.26 	steps: 234.00
Episode 18	Average Score: 10.17 	steps: 248.00
Episode 19	Average Score: 9.71 	steps: 251.00
Episode 20	Average Score: 9.46 	steps: 258.00
Episode 21	Average Score: 9.29 	steps: 269.00
Episode 22	Average Score: 8.95 	steps: 272.00
Episode 23	Average Score: 8.74 	steps: 277.00
Episode 24	Average Score: 8.63 	steps: 285.00
Episode 25	Average Score: 8.37 	steps: 288.00
Episode 26	Average Score: 8.13 	steps: 291.00
Episode 27	Average Score: 8.24 	steps: 305.00
Episode 28	Average Score: 8.23 	steps: 319.00
Episode 29	Average Score: 9.29 	steps: 369.00
Episode 30	Average Score: 9.36 	steps: 383.00
Episode 31	Average Score: 9.15 	steps: 387.00
Episode 32	Average Score: 8.96 	steps: 391.00
Episode 33	Average Score: 9.18 	steps: 412.00
Episode 34	Average Score: 8.94 	steps: 415.00
Episode 35	Average Score: 9.19 	steps: 440.00
Episode 36	Average Score: 9.03 	steps: 444.00
Episode 37	Average Score: 8.97 	steps: 454.00
Episode 38	Average Score: 8.79 	steps: 457.00
Episode 39	Average Score: 8.63 	steps: 462.00
Episode 40	Average Score: 8.52 	steps: 468.00
Episode 41	Average Score: 8.40 	steps: 474.00
Episode 42	Average Score: 8.30 	steps: 480.00
Episode 43	Average Score: 8.23 	steps: 487.00
Episode 44	Average Score: 8.08 	steps: 490.00
Episode 45	Average Score: 8.09 	steps: 501.00
Episode 46	Average Score: 8.04 	steps: 509.00
Episode 47	Average Score: 7.91 	steps: 512.00
Episode 48	Average Score: 7.99 	steps: 531.00
Episode 49	Average Score: 7.86 	steps: 534.00
Episode 50	Average Score: 7.94 	steps: 547.00
Episode 51	Average Score: 7.83 	steps: 550.00
Episode 52	Average Score: 7.78 	steps: 556.00
Episode 53	Average Score: 7.77 	steps: 568.00
Episode 54	Average Score: 8.01 	steps: 594.00
Episode 55	Average Score: 8.11 	steps: 611.00
Episode 56	Average Score: 8.08 	steps: 619.00
Episode 57	Average Score: 7.96 	steps: 621.00
Episode 58	Average Score: 7.90 	steps: 627.00
Episode 59	Average Score: 7.85 	steps: 634.00
Episode 60	Average Score: 7.76 	steps: 637.00
Episode 61	Average Score: 7.73 	steps: 647.00
Episode 62	Average Score: 8.15 	steps: 689.00
Episode 63	Average Score: 8.13 	steps: 701.00
Episode 64	Average Score: 8.22 	steps: 719.00
Episode 65	Average Score: 8.41 	steps: 746.00
Episode 66	Average Score: 8.48 	steps: 764.00
Episode 67	Average Score: 8.50 	steps: 776.00
Episode 68	Average Score: 8.45 	steps: 784.00
Episode 69	Average Score: 8.35 	steps: 787.00
Episode 70	Average Score: 8.33 	steps: 798.00
Episode 71	Average Score: 8.28 	steps: 805.00
Episode 72	Average Score: 8.21 	steps: 809.00
Episode 73	Average Score: 8.12 	steps: 813.00
Episode 74	Average Score: 8.11 	steps: 823.00
Episode 75	Average Score: 8.10 	steps: 833.00
Episode 76	Average Score: 8.05 	steps: 840.00
Episode 77	Average Score: 8.09 	steps: 855.00
Episode 78	Average Score: 8.04 	steps: 861.00
Episode 79	Average Score: 7.98 	steps: 866.00
Episode 80	Average Score: 7.92 	steps: 871.00
Episode 81	Average Score: 8.30 	steps: 921.00
Episode 82	Average Score: 8.24 	steps: 927.00
Episode 83	Average Score: 8.25 	steps: 938.00
Episode 84	Average Score: 8.48 	steps: 973.00
Episode 85	Average Score: 8.47 	steps: 984.00
Episode 86	Average Score: 8.47 	steps: 994.00
Episode 87	Average Score: 8.40 	steps: 997.00
Episode 88	Average Score: 8.35 	steps: 1004.00
Episode 89	Average Score: 8.32 	steps: 1014.00
Episode 90	Average Score: 8.31 	steps: 1022.00
Episode 91	Average Score: 8.27 	steps: 1029.00
Episode 92	Average Score: 8.24 	steps: 1037.00
Episode 93	Average Score: 8.28 	steps: 1052.00
Episode 94	Average Score: 8.47 	steps: 1092.00
Episode 95	Average Score: 8.44 	steps: 1099.00
Episode 96	Average Score: 8.40 	steps: 1107.00
Episode 97	Average Score: 8.35 	steps: 1112.00
Episode 98	Average Score: 8.28 	steps: 1115.00
Episode 99	Average Score: 8.25 	steps: 1124.00
Episode 100	Average Score: 8.19 	steps: 1127.00
Episode 100	Average Score: 8.19 	steps: 1127.00

Episode 101	Average Score: 8.47 	steps: 1177.00
Episode 102	Average Score: 8.48 	steps: 1187.00
Episode 103	Average Score: 8.35 	steps: 1191.00
Episode 104	Average Score: 8.30 	steps: 1194.00
Episode 105	Average Score: 8.25 	steps: 1200.00
Episode 106	Average Score: 8.12 	steps: 1210.00
Episode 107	Average Score: 8.33 	steps: 1242.00
Episode 108	Average Score: 8.38 	steps: 1255.00
Episode 109	Average Score: 8.36 	steps: 1261.00
Episode 110	Average Score: 8.29 	steps: 1268.00
Episode 111	Average Score: 8.26 	steps: 1270.00
Episode 112	Average Score: 8.17 	steps: 1276.00
Episode 113	Average Score: 8.19 	steps: 1283.00
Episode 114	Average Score: 8.18 	steps: 1286.00
Episode 115	Average Score: 8.12 	steps: 1294.00
Episode 116	Average Score: 8.08 	steps: 1306.00
Episode 117	Average Score: 7.92 	steps: 1327.00
Episode 118	Average Score: 7.97 	steps: 1345.00
Episode 119	Average Score: 8.06 	steps: 1359.00
Episode 120	Average Score: 8.11 	steps: 1370.00
Episode 121	Average Score: 8.07 	steps: 1373.00
Episode 122	Average Score: 8.40 	steps: 1417.00
Episode 123	Average Score: 8.43 	steps: 1428.00
Episode 124	Average Score: 8.73 	steps: 1474.00
Episode 125	Average Score: 8.83 	steps: 1493.00
Episode 126	Average Score: 8.88 	steps: 1504.00
Episode 127	Average Score: 8.83 	steps: 1512.00
Episode 128	Average Score: 8.86 	steps: 1529.00
Episode 129	Average Score: 8.50 	steps: 1533.00
Episode 130	Average Score: 8.44 	steps: 1541.00
Episode 131	Average Score: 8.50 	steps: 1552.00
Episode 132	Average Score: 8.51 	steps: 1558.00
Episode 133	Average Score: 8.56 	steps: 1587.00
Episode 134	Average Score: 8.60 	steps: 1594.00
Episode 135	Average Score: 8.47 	steps: 1601.00
Episode 136	Average Score: 8.55 	steps: 1613.00
Episode 137	Average Score: 8.62 	steps: 1633.00
Episode 138	Average Score: 8.70 	steps: 1647.00
Episode 139	Average Score: 8.71 	steps: 1652.00
Episode 140	Average Score: 8.74 	steps: 1660.00
Episode 141	Average Score: 8.72 	steps: 1663.00
Episode 142	Average Score: 8.86 	steps: 1686.00
Episode 143	Average Score: 8.88 	steps: 1695.00
Episode 144	Average Score: 9.25 	steps: 1745.00
Episode 145	Average Score: 9.25 	steps: 1759.00
Episode 146	Average Score: 9.23 	steps: 1764.00
Episode 147	Average Score: 9.26 	steps: 1770.00
Episode 148	Average Score: 9.49 	steps: 1810.00
Episode 149	Average Score: 9.61 	steps: 1829.00
Episode 150	Average Score: 9.55 	steps: 1837.00
Episode 151	Average Score: 9.54 	steps: 1840.00
Episode 152	Average Score: 9.53 	steps: 1847.00
Episode 153	Average Score: 9.56 	steps: 1860.00
Episode 154	Average Score: 9.45 	steps: 1870.00
Episode 155	Average Score: 9.33 	steps: 1872.00
Episode 156	Average Score: 9.51 	steps: 1901.00
Episode 157	Average Score: 9.64 	steps: 1920.00
Episode 158	Average Score: 9.84 	steps: 1948.00
Episode 159	Average Score: 9.89 	steps: 1960.00
Episode 160	Average Score: 9.90 	steps: 1965.00
Episode 161	Average Score: 9.92 	steps: 1974.00
Episode 162	Average Score: 9.99 	steps: 2024.00
Episode 163	Average Score: 10.06 	steps: 2043.00
Episode 164	Average Score: 9.95 	steps: 2048.00
Episode 165	Average Score: 9.77 	steps: 2053.00
Episode 166	Average Score: 9.69 	steps: 2061.00
Episode 167	Average Score: 9.85 	steps: 2094.00
Episode 168	Average Score: 9.85 	steps: 2100.00
Episode 169	Average Score: 9.98 	steps: 2121.00
Episode 170	Average Score: 9.93 	steps: 2124.00
Episode 171	Average Score: 9.93 	steps: 2130.00
Episode 172	Average Score: 9.93 	steps: 2135.00
Episode 173	Average Score: 9.96 	steps: 2142.00
Episode 174	Average Score: 10.09 	steps: 2168.00
Episode 175	Average Score: 10.09 	steps: 2179.00
Episode 176	Average Score: 10.08 	steps: 2182.00
Episode 177	Average Score: 10.00 	steps: 2187.00
Episode 178	Average Score: 10.12 	steps: 2208.00
Episode 179	Average Score: 10.20 	steps: 2223.00
Episode 180	Average Score: 10.23 	steps: 2232.00
Episode 181	Average Score: 9.92 	steps: 2241.00
Episode 182	Average Score: 9.92 	steps: 2245.00
Episode 183	Average Score: 10.27 	steps: 2295.00
Episode 184	Average Score: 10.00 	steps: 2298.00
Episode 185	Average Score: 9.95 	steps: 2301.00
Episode 186	Average Score: 9.93 	steps: 2310.00
Episode 187	Average Score: 10.01 	steps: 2322.00
Episode 188	Average Score: 10.00 	steps: 2327.00
Episode 189	Average Score: 10.02 	steps: 2336.00
Episode 190	Average Score: 9.98 	steps: 2340.00
Episode 191	Average Score: 10.21 	steps: 2375.00
Episode 192	Average Score: 10.18 	steps: 2380.00
Episode 193	Average Score: 10.09 	steps: 2384.00
Episode 194	Average Score: 9.85 	steps: 2387.00
Episode 195	Average Score: 9.83 	steps: 2391.00
Episode 196	Average Score: 9.86 	steps: 2400.00
Episode 197	Average Score: 9.84 	steps: 2402.00
Episode 198	Average Score: 9.90 	steps: 2413.00
Episode 199	Average Score: 9.86 	steps: 2416.00
Episode 200	Average Score: 9.87 	steps: 2420.00
Episode 200	Average Score: 9.87 	steps: 2420.00

Episode 201	Average Score: 9.54 	steps: 2423.00
Episode 202	Average Score: 9.51 	steps: 2430.00
Episode 203	Average Score: 9.49 	steps: 2432.00
Episode 204	Average Score: 9.87 	steps: 2482.00
Episode 205	Average Score: 9.91 	steps: 2494.00
Episode 206	Average Score: 9.85 	steps: 2497.00
Episode 207	Average Score: 9.72 	steps: 2518.00
Episode 208	Average Score: 9.76 	steps: 2538.00
Episode 209	Average Score: 9.78 	steps: 2547.00
Episode 210	Average Score: 9.86 	steps: 2563.00
Episode 211	Average Score: 9.92 	steps: 2573.00
Episode 212	Average Score: 9.91 	steps: 2578.00
Episode 213	Average Score: 10.06 	steps: 2601.00
Episode 214	Average Score: 10.12 	steps: 2610.00
Episode 215	Average Score: 10.11 	steps: 2617.00
Episode 216	Average Score: 10.03 	steps: 2621.00
Episode 217	Average Score: 9.91 	steps: 2627.00
Episode 218	Average Score: 9.82 	steps: 2636.00
Episode 219	Average Score: 9.77 	steps: 2642.00
Episode 220	Average Score: 9.71 	steps: 2648.00
Episode 221	Average Score: 9.75 	steps: 2657.00
Episode 222	Average Score: 9.79 	steps: 2703.00
Episode 223	Average Score: 9.75 	steps: 2706.00
Episode 224	Average Score: 9.46 	steps: 2716.00
Episode 225	Average Score: 9.36 	steps: 2721.00
Episode 226	Average Score: 9.45 	steps: 2743.00
Episode 227	Average Score: 9.46 	steps: 2752.00
Episode 228	Average Score: 9.43 	steps: 2761.00
Episode 229	Average Score: 9.53 	steps: 2777.00
Episode 230	Average Score: 9.52 	steps: 2782.00
Episode 231	Average Score: 9.52 	steps: 2794.00
Episode 232	Average Score: 9.50 	steps: 2796.00
Episode 233	Average Score: 9.38 	steps: 2807.00
Episode 234	Average Score: 9.75 	steps: 2857.00
Episode 235	Average Score: 9.77 	steps: 2865.00
Episode 236	Average Score: 9.80 	steps: 2885.00
Episode 237	Average Score: 9.69 	steps: 2889.00
Episode 238	Average Score: 9.59 	steps: 2891.00
Episode 239	Average Score: 9.60 	steps: 2896.00
Episode 240	Average Score: 9.74 	steps: 2926.00
Episode 241	Average Score: 9.92 	steps: 2955.00
Episode 242	Average Score: 9.77 	steps: 2959.00
Episode 243	Average Score: 9.79 	steps: 2970.00
Episode 244	Average Score: 9.44 	steps: 2975.00
Episode 245	Average Score: 9.40 	steps: 2984.00
Episode 246	Average Score: 9.51 	steps: 3002.00
Episode 247	Average Score: 9.50 	steps: 3007.00
Episode 248	Average Score: 9.53 	steps: 3057.00
Episode 249	Average Score: 9.44 	steps: 3063.00
Episode 250	Average Score: 9.47 	steps: 3073.00
Episode 251	Average Score: 9.49 	steps: 3077.00
Episode 252	Average Score: 9.47 	steps: 3081.00
Episode 253	Average Score: 9.61 	steps: 3109.00
Episode 254	Average Score: 9.55 	steps: 3112.00
Episode 255	Average Score: 9.56 	steps: 3118.00
Episode 256	Average Score: 9.38 	steps: 3126.00
Episode 257	Average Score: 9.30 	steps: 3134.00
Episode 258	Average Score: 9.19 	steps: 3150.00
Episode 259	Average Score: 9.12 	steps: 3154.00
Episode 260	Average Score: 9.15 	steps: 3164.00
Episode 261	Average Score: 9.24 	steps: 3185.00
Episode 262	Average Score: 8.85 	steps: 3188.00
Episode 263	Average Score: 8.78 	steps: 3199.00
Episode 264	Average Score: 9.19 	steps: 3249.00
Episode 265	Average Score: 9.18 	steps: 3252.00
Episode 266	Average Score: 9.17 	steps: 3258.00
Episode 267	Average Score: 9.01 	steps: 3274.00
Episode 268	Average Score: 9.00 	steps: 3281.00
Episode 269	Average Score: 8.92 	steps: 3290.00
Episode 270	Average Score: 8.98 	steps: 3298.00
Episode 271	Average Score: 8.99 	steps: 3305.00
Episode 272	Average Score: 8.97 	steps: 3308.00
Episode 273	Average Score: 9.02 	steps: 3319.00
Episode 274	Average Score: 8.92 	steps: 3333.00
Episode 275	Average Score: 9.25 	steps: 3383.00
Episode 276	Average Score: 9.27 	steps: 3389.00
Episode 277	Average Score: 9.40 	steps: 3408.00
Episode 278	Average Score: 9.30 	steps: 3416.00
Episode 279	Average Score: 9.32 	steps: 3436.00
Episode 280	Average Score: 9.28 	steps: 3438.00
Episode 281	Average Score: 9.23 	steps: 3442.00
Episode 282	Average Score: 9.33 	steps: 3461.00
Episode 283	Average Score: 8.98 	steps: 3471.00
