created virtual environment CPython3.7.9.final.0-64 in 17369ms
  creator CPython3Posix(dest=/localscratch/fabdolla.29154442.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: pygame in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: numpy in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: pandas in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.29154442.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
Directory  39  already exists
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 1.34 	steps: 2.00
Episode 2	Average Score: 2.22 	steps: 6.00
Episode 3	Average Score: 7.49 	steps: 31.00
Episode 4	Average Score: 8.00 	steps: 47.00
Episode 5	Average Score: 6.75 	steps: 50.00
Episode 6	Average Score: 8.70 	steps: 74.00
Episode 7	Average Score: 8.21 	steps: 83.00
Episode 8	Average Score: 7.41 	steps: 86.00
Episode 9	Average Score: 7.33 	steps: 96.00
Episode 10	Average Score: 7.33 	steps: 108.00
Episode 11	Average Score: 6.89 	steps: 112.00
Episode 12	Average Score: 6.39 	steps: 114.00
Episode 13	Average Score: 6.48 	steps: 123.00
Episode 14	Average Score: 6.42 	steps: 131.00
Episode 15	Average Score: 6.48 	steps: 140.00
Episode 16	Average Score: 7.48 	steps: 171.00
Episode 17	Average Score: 8.39 	steps: 201.00
Episode 18	Average Score: 8.11 	steps: 205.00
Episode 19	Average Score: 7.84 	steps: 209.00
Episode 20	Average Score: 7.55 	steps: 212.00
Episode 21	Average Score: 7.85 	steps: 232.00
Episode 22	Average Score: 7.73 	steps: 240.00
Episode 23	Average Score: 7.53 	steps: 245.00
Episode 24	Average Score: 8.51 	steps: 286.00
Episode 25	Average Score: 8.51 	steps: 300.00
Episode 26	Average Score: 8.27 	steps: 304.00
Episode 27	Average Score: 8.06 	steps: 308.00
Episode 28	Average Score: 7.82 	steps: 311.00
Episode 29	Average Score: 7.63 	steps: 314.00
Episode 30	Average Score: 7.70 	steps: 326.00
Episode 31	Average Score: 7.60 	steps: 333.00
Episode 32	Average Score: 8.42 	steps: 379.00
Episode 33	Average Score: 8.31 	steps: 385.00
Episode 34	Average Score: 8.14 	steps: 389.00
Episode 35	Average Score: 7.95 	steps: 392.00
Episode 36	Average Score: 7.96 	steps: 402.00
Episode 37	Average Score: 7.89 	steps: 410.00
Episode 38	Average Score: 7.73 	steps: 414.00
Episode 39	Average Score: 7.92 	steps: 431.00
Episode 40	Average Score: 7.79 	steps: 435.00
Episode 41	Average Score: 7.96 	steps: 454.00
Episode 42	Average Score: 7.93 	steps: 464.00
Episode 43	Average Score: 7.87 	steps: 473.00
Episode 44	Average Score: 8.18 	steps: 502.00
Episode 45	Average Score: 8.26 	steps: 516.00
Episode 46	Average Score: 8.27 	steps: 528.00
Episode 47	Average Score: 8.18 	steps: 533.00
Episode 48	Average Score: 8.23 	steps: 545.00
Episode 49	Average Score: 8.44 	steps: 566.00
Episode 50	Average Score: 8.74 	steps: 606.00
Episode 51	Average Score: 8.77 	steps: 623.00
Episode 52	Average Score: 8.81 	steps: 639.00
Episode 53	Average Score: 8.68 	steps: 643.00
Episode 54	Average Score: 8.60 	steps: 648.00
Episode 55	Average Score: 8.53 	steps: 656.00
Episode 56	Average Score: 8.51 	steps: 665.00
Episode 57	Average Score: 8.56 	steps: 679.00
Episode 58	Average Score: 8.46 	steps: 682.00
Episode 59	Average Score: 8.43 	steps: 692.00
Episode 60	Average Score: 8.95 	steps: 742.00
Episode 61	Average Score: 9.30 	steps: 779.00
Episode 62	Average Score: 9.22 	steps: 784.00
Episode 63	Average Score: 9.15 	steps: 791.00
Episode 64	Average Score: 9.08 	steps: 796.00
Episode 65	Average Score: 9.01 	steps: 802.00
Episode 66	Average Score: 8.89 	steps: 804.00
Episode 67	Average Score: 8.80 	steps: 809.00
Episode 68	Average Score: 8.86 	steps: 827.00
Episode 69	Average Score: 9.30 	steps: 877.00
Episode 70	Average Score: 9.24 	steps: 884.00
Episode 71	Average Score: 9.17 	steps: 891.00
Episode 72	Average Score: 9.12 	steps: 898.00
Episode 73	Average Score: 9.37 	steps: 930.00
Episode 74	Average Score: 9.30 	steps: 937.00
Episode 75	Average Score: 9.19 	steps: 940.00
Episode 76	Average Score: 9.23 	steps: 958.00
Episode 77	Average Score: 9.15 	steps: 962.00
Episode 78	Average Score: 9.06 	steps: 965.00
Episode 79	Average Score: 9.03 	steps: 975.00
Episode 80	Average Score: 8.98 	steps: 984.00
Episode 81	Average Score: 8.89 	steps: 987.00
Episode 82	Average Score: 8.80 	steps: 990.00
Episode 83	Average Score: 8.92 	steps: 1016.00
Episode 84	Average Score: 8.84 	steps: 1020.00
Episode 85	Average Score: 8.79 	steps: 1027.00
Episode 86	Average Score: 8.88 	steps: 1048.00
Episode 87	Average Score: 9.27 	steps: 1098.00
Episode 88	Average Score: 9.19 	steps: 1101.00
Episode 89	Average Score: 9.12 	steps: 1105.00
Episode 90	Average Score: 9.03 	steps: 1108.00
Episode 91	Average Score: 9.01 	steps: 1118.00
Episode 92	Average Score: 8.94 	steps: 1124.00
Episode 93	Average Score: 8.87 	steps: 1127.00
Episode 94	Average Score: 9.20 	steps: 1176.00
Episode 95	Average Score: 9.14 	steps: 1182.00
Episode 96	Average Score: 9.08 	steps: 1186.00
Episode 97	Average Score: 9.04 	steps: 1194.00
Episode 98	Average Score: 8.99 	steps: 1199.00
Episode 99	Average Score: 8.98 	steps: 1212.00
Episode 100	Average Score: 9.29 	steps: 1262.00
Episode 100	Average Score: 9.29 	steps: 1262.00

Episode 101	Average Score: 9.32 	steps: 1267.00
Episode 102	Average Score: 9.38 	steps: 1283.00
Episode 103	Average Score: 9.31 	steps: 1299.00
Episode 104	Average Score: 9.36 	steps: 1316.00
Episode 105	Average Score: 9.50 	steps: 1340.00
Episode 106	Average Score: 9.68 	steps: 1390.00
Episode 107	Average Score: 9.79 	steps: 1418.00
Episode 108	Average Score: 10.15 	steps: 1468.00
Episode 109	Average Score: 10.16 	steps: 1477.00
Episode 110	Average Score: 10.13 	steps: 1483.00
Episode 111	Average Score: 10.12 	steps: 1487.00
Episode 112	Average Score: 10.17 	steps: 1493.00
Episode 113	Average Score: 10.13 	steps: 1501.00
Episode 114	Average Score: 10.10 	steps: 1504.00
Episode 115	Average Score: 10.05 	steps: 1507.00
Episode 116	Average Score: 9.84 	steps: 1509.00
Episode 117	Average Score: 9.63 	steps: 1513.00
Episode 118	Average Score: 9.75 	steps: 1532.00
Episode 119	Average Score: 9.77 	steps: 1539.00
Episode 120	Average Score: 9.85 	steps: 1551.00
Episode 121	Average Score: 9.72 	steps: 1553.00
Episode 122	Average Score: 9.72 	steps: 1560.00
Episode 123	Average Score: 9.74 	steps: 1569.00
Episode 124	Average Score: 9.45 	steps: 1572.00
Episode 125	Average Score: 9.37 	steps: 1574.00
Episode 126	Average Score: 9.38 	steps: 1578.00
Episode 127	Average Score: 9.50 	steps: 1599.00
Episode 128	Average Score: 9.59 	steps: 1617.00
Episode 129	Average Score: 9.61 	steps: 1624.00
Episode 130	Average Score: 9.56 	steps: 1630.00
Episode 131	Average Score: 9.58 	steps: 1638.00
Episode 132	Average Score: 9.31 	steps: 1646.00
Episode 133	Average Score: 9.29 	steps: 1649.00
Episode 134	Average Score: 9.35 	steps: 1660.00
Episode 135	Average Score: 9.68 	steps: 1710.00
Episode 136	Average Score: 9.72 	steps: 1724.00
Episode 137	Average Score: 9.70 	steps: 1729.00
Episode 138	Average Score: 9.71 	steps: 1733.00
Episode 139	Average Score: 9.71 	steps: 1753.00
Episode 140	Average Score: 9.79 	steps: 1765.00
Episode 141	Average Score: 9.65 	steps: 1768.00
Episode 142	Average Score: 9.61 	steps: 1771.00
Episode 143	Average Score: 9.56 	steps: 1773.00
Episode 144	Average Score: 9.37 	steps: 1776.00
Episode 145	Average Score: 9.27 	steps: 1780.00
Episode 146	Average Score: 9.27 	steps: 1790.00
Episode 147	Average Score: 9.41 	steps: 1815.00
Episode 148	Average Score: 9.53 	steps: 1847.00
Episode 149	Average Score: 9.42 	steps: 1861.00
Episode 150	Average Score: 9.23 	steps: 1868.00
Episode 151	Average Score: 9.17 	steps: 1874.00
Episode 152	Average Score: 9.10 	steps: 1880.00
Episode 153	Average Score: 9.13 	steps: 1886.00
Episode 154	Average Score: 9.48 	steps: 1936.00
Episode 155	Average Score: 9.44 	steps: 1938.00
Episode 156	Average Score: 9.39 	steps: 1941.00
Episode 157	Average Score: 9.28 	steps: 1944.00
Episode 158	Average Score: 9.57 	steps: 1980.00
Episode 159	Average Score: 9.91 	steps: 2030.00
Episode 160	Average Score: 9.54 	steps: 2035.00
Episode 161	Average Score: 9.36 	steps: 2053.00
Episode 162	Average Score: 9.72 	steps: 2103.00
Episode 163	Average Score: 10.06 	steps: 2153.00
Episode 164	Average Score: 10.06 	steps: 2158.00
Episode 165	Average Score: 10.13 	steps: 2174.00
Episode 166	Average Score: 10.15 	steps: 2179.00
Episode 167	Average Score: 10.17 	steps: 2188.00
Episode 168	Average Score: 10.11 	steps: 2196.00
Episode 169	Average Score: 9.78 	steps: 2205.00
Episode 170	Average Score: 9.75 	steps: 2209.00
Episode 171	Average Score: 9.89 	steps: 2238.00
Episode 172	Average Score: 9.86 	steps: 2243.00
Episode 173	Average Score: 9.61 	steps: 2247.00
Episode 174	Average Score: 9.62 	steps: 2256.00
Episode 175	Average Score: 9.63 	steps: 2259.00
Episode 176	Average Score: 9.54 	steps: 2263.00
Episode 177	Average Score: 9.56 	steps: 2269.00
Episode 178	Average Score: 9.89 	steps: 2319.00
Episode 179	Average Score: 10.00 	steps: 2343.00
Episode 180	Average Score: 10.01 	steps: 2353.00
Episode 181	Average Score: 10.03 	steps: 2358.00
Episode 182	Average Score: 10.07 	steps: 2364.00
Episode 183	Average Score: 9.89 	steps: 2366.00
Episode 184	Average Score: 9.89 	steps: 2369.00
Episode 185	Average Score: 9.86 	steps: 2373.00
Episode 186	Average Score: 9.87 	steps: 2395.00
Episode 187	Average Score: 9.62 	steps: 2420.00
Episode 188	Average Score: 9.67 	steps: 2430.00
Episode 189	Average Score: 9.69 	steps: 2436.00
Episode 190	Average Score: 9.70 	steps: 2440.00
Episode 191	Average Score: 9.71 	steps: 2449.00
Episode 192	Average Score: 9.78 	steps: 2464.00
Episode 193	Average Score: 9.79 	steps: 2469.00
Episode 194	Average Score: 9.41 	steps: 2472.00
Episode 195	Average Score: 9.40 	steps: 2476.00
Episode 196	Average Score: 9.44 	steps: 2487.00
Episode 197	Average Score: 9.73 	steps: 2537.00
Episode 198	Average Score: 9.83 	steps: 2554.00
Episode 199	Average Score: 9.80 	steps: 2560.00
Episode 200	Average Score: 9.42 	steps: 2563.00
Episode 200	Average Score: 9.42 	steps: 2563.00

Episode 201	Average Score: 9.53 	steps: 2581.00
Episode 202	Average Score: 9.53 	steps: 2591.00
Episode 203	Average Score: 9.50 	steps: 2605.00
Episode 204	Average Score: 9.41 	steps: 2613.00
Episode 205	Average Score: 9.46 	steps: 2641.00
Episode 206	Average Score: 9.28 	steps: 2663.00
Episode 207	Average Score: 9.14 	steps: 2667.00
Episode 208	Average Score: 8.87 	steps: 2686.00
Episode 209	Average Score: 8.86 	steps: 2696.00
Episode 210	Average Score: 8.89 	steps: 2708.00
Episode 211	Average Score: 8.98 	steps: 2723.00
Episode 212	Average Score: 9.19 	steps: 2763.00
Episode 213	Average Score: 9.43 	steps: 2804.00
Episode 214	Average Score: 9.44 	steps: 2810.00
Episode 215	Average Score: 9.59 	steps: 2831.00
Episode 216	Average Score: 9.60 	steps: 2836.00
Episode 217	Average Score: 9.61 	steps: 2841.00
Episode 218	Average Score: 9.66 	steps: 2863.00
Episode 219	Average Score: 9.94 	steps: 2903.00
Episode 220	Average Score: 9.85 	steps: 2905.00
Episode 221	Average Score: 10.04 	steps: 2932.00
Episode 222	Average Score: 10.42 	steps: 2982.00
Episode 223	Average Score: 10.75 	steps: 3027.00
Episode 224	Average Score: 10.87 	steps: 3044.00
Episode 225	Average Score: 10.89 	steps: 3050.00
Episode 226	Average Score: 10.91 	steps: 3058.00
Episode 227	Average Score: 10.82 	steps: 3065.00
Episode 228	Average Score: 10.84 	steps: 3083.00
Episode 229	Average Score: 11.10 	steps: 3117.00
Episode 230	Average Score: 11.21 	steps: 3137.00
Episode 231	Average Score: 11.21 	steps: 3144.00
Episode 232	Average Score: 11.20 	steps: 3155.00
Episode 233	Average Score: 11.22 	steps: 3160.00
Episode 234	Average Score: 11.23 	steps: 3171.00
Episode 235	Average Score: 11.29 	steps: 3221.00
Episode 236	Average Score: 11.25 	steps: 3232.00
Episode 237	Average Score: 11.28 	steps: 3239.00
Episode 238	Average Score: 11.32 	steps: 3251.00
Episode 239	Average Score: 11.20 	steps: 3256.00
Episode 240	Average Score: 11.14 	steps: 3262.00
Episode 241	Average Score: 11.21 	steps: 3272.00
Episode 242	Average Score: 11.23 	steps: 3280.00
Episode 243	Average Score: 11.40 	steps: 3300.00
Episode 244	Average Score: 11.45 	steps: 3309.00
Episode 245	Average Score: 11.57 	steps: 3328.00
Episode 246	Average Score: 11.55 	steps: 3339.00
Episode 247	Average Score: 11.42 	steps: 3346.00
Episode 248	Average Score: 11.22 	steps: 3348.00
Episode 249	Average Score: 11.52 	steps: 3398.00
Episode 250	Average Score: 11.88 	steps: 3445.00
Episode 251	Average Score: 11.89 	steps: 3451.00
Episode 252	Average Score: 12.25 	steps: 3501.00
Episode 253	Average Score: 12.56 	steps: 3551.00
Episode 254	Average Score: 12.21 	steps: 3555.00
Episode 255	Average Score: 12.23 	steps: 3560.00
Episode 256	Average Score: 12.27 	steps: 3570.00
Episode 257	Average Score: 12.34 	steps: 3584.00
Episode 258	Average Score: 12.40 	steps: 3634.00
Episode 259	Average Score: 12.43 	steps: 3684.00
Episode 260	Average Score: 12.43 	steps: 3688.00
Episode 261	Average Score: 12.41 	steps: 3704.00
Episode 262	Average Score: 12.10 	steps: 3718.00
Episode 263	Average Score: 11.74 	steps: 3725.00
Episode 264	Average Score: 11.73 	steps: 3731.00
Episode 265	Average Score: 11.71 	steps: 3744.00
Episode 266	Average Score: 11.90 	steps: 3777.00
Episode 267	Average Score: 12.21 	steps: 3825.00
Episode 268	Average Score: 12.27 	steps: 3842.00
Episode 269	Average Score: 12.36 	steps: 3867.00
Episode 270	Average Score: 12.69 	steps: 3917.00
Episode 271	Average Score: 12.89 	steps: 3966.00
Episode 272	Average Score: 13.17 	steps: 4016.00
Episode 273	Average Score: 13.17 	steps: 4019.00
Episode 274	Average Score: 13.50 	steps: 4066.00
Episode 275	Average Score: 13.88 	steps: 4116.00
Episode 276	Average Score: 13.90 	steps: 4125.00
Episode 277	Average Score: 13.88 	steps: 4130.00
Episode 278	Average Score: 13.57 	steps: 4137.00
Episode 279	Average Score: 13.59 	steps: 4159.00
Episode 280	Average Score: 13.93 	steps: 4209.00
Episode 281	Average Score: 13.95 	steps: 4217.00
Episode 282	Average Score: 14.30 	steps: 4267.00
Episode 283	Average Score: 14.34 	steps: 4273.00
Episode 284	Average Score: 14.51 	steps: 4299.00
Episode 285	Average Score: 14.58 	steps: 4310.00
