created virtual environment CPython3.7.9.final.0-64 in 3302ms
  creator CPython3Posix(dest=/localscratch/fabdolla.28935034.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: gym in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: pandas in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: numpy in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: pygame in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.28935034.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 13.36 	steps: 20.00
Episode 2	Average Score: 23.29 	steps: 70.00
Episode 3	Average Score: 19.77 	steps: 85.00
Episode 4	Average Score: 15.51 	steps: 90.00
Episode 5	Average Score: 13.39 	steps: 96.00
Episode 6	Average Score: 12.76 	steps: 108.00
Episode 7	Average Score: 14.08 	steps: 141.00
Episode 8	Average Score: 13.61 	steps: 154.00
Episode 9	Average Score: 12.73 	steps: 163.00
Episode 10	Average Score: 12.60 	steps: 181.00
Episode 11	Average Score: 11.73 	steps: 185.00
Episode 12	Average Score: 11.55 	steps: 199.00
Episode 13	Average Score: 11.69 	steps: 219.00
Episode 14	Average Score: 11.07 	steps: 223.00
Episode 15	Average Score: 10.47 	steps: 227.00
Episode 16	Average Score: 9.92 	steps: 230.00
Episode 17	Average Score: 9.53 	steps: 236.00
Episode 18	Average Score: 9.12 	steps: 240.00
Episode 19	Average Score: 9.43 	steps: 263.00
Episode 20	Average Score: 9.23 	steps: 270.00
Episode 21	Average Score: 9.01 	steps: 276.00
Episode 22	Average Score: 8.75 	steps: 281.00
Episode 23	Average Score: 8.51 	steps: 286.00
Episode 24	Average Score: 8.52 	steps: 299.00
Episode 25	Average Score: 8.26 	steps: 302.00
Episode 26	Average Score: 8.68 	steps: 327.00
Episode 27	Average Score: 8.60 	steps: 336.00
Episode 28	Average Score: 8.47 	steps: 343.00
Episode 29	Average Score: 8.25 	steps: 346.00
Episode 30	Average Score: 8.17 	steps: 354.00
Episode 31	Average Score: 8.10 	steps: 364.00
Episode 32	Average Score: 7.90 	steps: 367.00
Episode 33	Average Score: 7.77 	steps: 373.00
Episode 34	Average Score: 7.62 	steps: 378.00
Episode 35	Average Score: 7.48 	steps: 382.00
Episode 36	Average Score: 7.31 	steps: 385.00
Episode 37	Average Score: 7.24 	steps: 391.00
Episode 38	Average Score: 7.28 	steps: 404.00
Episode 39	Average Score: 7.29 	steps: 415.00
Episode 40	Average Score: 7.31 	steps: 427.00
Episode 41	Average Score: 7.24 	steps: 433.00
Episode 42	Average Score: 7.16 	steps: 440.00
Episode 43	Average Score: 7.19 	steps: 452.00
Episode 44	Average Score: 7.17 	steps: 461.00
Episode 45	Average Score: 7.06 	steps: 465.00
Episode 46	Average Score: 7.14 	steps: 484.00
Episode 47	Average Score: 7.20 	steps: 497.00
Episode 48	Average Score: 7.22 	steps: 509.00
Episode 49	Average Score: 7.28 	steps: 524.00
Episode 50	Average Score: 7.17 	steps: 527.00
Episode 51	Average Score: 7.29 	steps: 546.00
Episode 52	Average Score: 7.19 	steps: 549.00
Episode 53	Average Score: 7.17 	steps: 558.00
Episode 54	Average Score: 7.11 	steps: 564.00
Episode 55	Average Score: 7.08 	steps: 574.00
Episode 56	Average Score: 7.01 	steps: 578.00
Episode 57	Average Score: 7.02 	steps: 588.00
Episode 58	Average Score: 7.06 	steps: 599.00
Episode 59	Average Score: 7.07 	steps: 612.00
Episode 60	Average Score: 7.17 	steps: 629.00
Episode 61	Average Score: 7.36 	steps: 656.00
Episode 62	Average Score: 7.29 	steps: 661.00
Episode 63	Average Score: 7.50 	steps: 685.00
Episode 64	Average Score: 7.46 	steps: 694.00
Episode 65	Average Score: 7.51 	steps: 706.00
Episode 66	Average Score: 7.83 	steps: 748.00
Episode 67	Average Score: 7.93 	steps: 769.00
Episode 68	Average Score: 7.89 	steps: 777.00
Episode 69	Average Score: 7.90 	steps: 790.00
Episode 70	Average Score: 7.85 	steps: 798.00
Episode 71	Average Score: 7.98 	steps: 818.00
Episode 72	Average Score: 7.96 	steps: 827.00
Episode 73	Average Score: 8.06 	steps: 846.00
Episode 74	Average Score: 8.03 	steps: 854.00
Episode 75	Average Score: 8.17 	steps: 878.00
Episode 76	Average Score: 8.21 	steps: 892.00
Episode 77	Average Score: 8.51 	steps: 929.00
Episode 78	Average Score: 8.88 	steps: 974.00
Episode 79	Average Score: 8.80 	steps: 977.00
Episode 80	Average Score: 8.75 	steps: 985.00
Episode 81	Average Score: 8.70 	steps: 993.00
Episode 82	Average Score: 9.02 	steps: 1043.00
Episode 83	Average Score: 9.13 	steps: 1065.00
Episode 84	Average Score: 9.10 	steps: 1074.00
Episode 85	Average Score: 9.12 	steps: 1087.00
Episode 86	Average Score: 9.04 	steps: 1092.00
Episode 87	Average Score: 8.96 	steps: 1096.00
Episode 88	Average Score: 8.95 	steps: 1108.00
Episode 89	Average Score: 8.88 	steps: 1114.00
Episode 90	Average Score: 8.84 	steps: 1122.00
Episode 91	Average Score: 8.98 	steps: 1151.00
Episode 92	Average Score: 9.26 	steps: 1201.00
Episode 93	Average Score: 9.28 	steps: 1218.00
Episode 94	Average Score: 9.21 	steps: 1222.00
Episode 95	Average Score: 9.21 	steps: 1233.00
Episode 96	Average Score: 9.30 	steps: 1260.00
Episode 97	Average Score: 9.25 	steps: 1267.00
Episode 98	Average Score: 9.17 	steps: 1270.00
Episode 99	Average Score: 9.11 	steps: 1275.00
Episode 100	Average Score: 9.10 	steps: 1284.00
Episode 100	Average Score: 9.10 	steps: 1284.00

Episode 101	Average Score: 9.03 	steps: 1295.00
Episode 102	Average Score: 8.76 	steps: 1304.00
Episode 103	Average Score: 8.66 	steps: 1309.00
Episode 104	Average Score: 8.86 	steps: 1335.00
Episode 105	Average Score: 8.94 	steps: 1353.00
Episode 106	Average Score: 8.88 	steps: 1357.00
Episode 107	Average Score: 8.79 	steps: 1373.00
Episode 108	Average Score: 8.78 	steps: 1384.00
Episode 109	Average Score: 8.77 	steps: 1393.00
Episode 110	Average Score: 8.72 	steps: 1404.00
Episode 111	Average Score: 8.71 	steps: 1408.00
Episode 112	Average Score: 8.67 	steps: 1418.00
Episode 113	Average Score: 8.60 	steps: 1426.00
Episode 114	Average Score: 8.72 	steps: 1446.00
Episode 115	Average Score: 8.76 	steps: 1456.00
Episode 116	Average Score: 8.99 	steps: 1489.00
Episode 117	Average Score: 9.41 	steps: 1539.00
Episode 118	Average Score: 9.43 	steps: 1545.00
Episode 119	Average Score: 9.33 	steps: 1551.00
Episode 120	Average Score: 9.32 	steps: 1558.00
Episode 121	Average Score: 9.43 	steps: 1578.00
Episode 122	Average Score: 9.44 	steps: 1587.00
Episode 123	Average Score: 9.49 	steps: 1597.00
Episode 124	Average Score: 9.49 	steps: 1609.00
Episode 125	Average Score: 9.53 	steps: 1618.00
Episode 126	Average Score: 9.51 	steps: 1642.00
Episode 127	Average Score: 9.48 	steps: 1648.00
Episode 128	Average Score: 9.60 	steps: 1675.00
Episode 129	Average Score: 9.64 	steps: 1683.00
Episode 130	Average Score: 9.60 	steps: 1686.00
Episode 131	Average Score: 9.58 	steps: 1692.00
Episode 132	Average Score: 9.65 	steps: 1706.00
Episode 133	Average Score: 9.62 	steps: 1709.00
Episode 134	Average Score: 9.68 	steps: 1722.00
Episode 135	Average Score: 9.69 	steps: 1730.00
Episode 136	Average Score: 9.88 	steps: 1752.00
Episode 137	Average Score: 9.90 	steps: 1761.00
Episode 138	Average Score: 9.84 	steps: 1765.00
Episode 139	Average Score: 9.92 	steps: 1783.00
Episode 140	Average Score: 9.90 	steps: 1793.00
Episode 141	Average Score: 9.94 	steps: 1806.00
Episode 142	Average Score: 9.94 	steps: 1812.00
Episode 143	Average Score: 9.95 	steps: 1824.00
Episode 144	Average Score: 10.13 	steps: 1854.00
Episode 145	Average Score: 10.14 	steps: 1859.00
Episode 146	Average Score: 10.12 	steps: 1873.00
Episode 147	Average Score: 10.14 	steps: 1888.00
Episode 148	Average Score: 10.21 	steps: 1907.00
Episode 149	Average Score: 10.14 	steps: 1911.00
Episode 150	Average Score: 10.15 	steps: 1915.00
Episode 151	Average Score: 10.08 	steps: 1922.00
Episode 152	Average Score: 10.12 	steps: 1931.00
Episode 153	Average Score: 10.11 	steps: 1937.00
Episode 154	Average Score: 10.09 	steps: 1940.00
Episode 155	Average Score: 10.06 	steps: 1945.00
Episode 156	Average Score: 10.14 	steps: 1961.00
Episode 157	Average Score: 10.14 	steps: 1970.00
Episode 158	Average Score: 10.21 	steps: 1994.00
Episode 159	Average Score: 10.19 	steps: 2002.00
Episode 160	Average Score: 10.09 	steps: 2006.00
Episode 161	Average Score: 10.03 	steps: 2020.00
Episode 162	Average Score: 10.13 	steps: 2039.00
Episode 163	Average Score: 9.98 	steps: 2047.00
Episode 164	Average Score: 10.03 	steps: 2058.00
Episode 165	Average Score: 9.97 	steps: 2067.00
Episode 166	Average Score: 9.75 	steps: 2075.00
Episode 167	Average Score: 9.62 	steps: 2078.00
Episode 168	Average Score: 9.60 	steps: 2084.00
Episode 169	Average Score: 9.67 	steps: 2103.00
Episode 170	Average Score: 9.66 	steps: 2108.00
Episode 171	Average Score: 9.53 	steps: 2112.00
Episode 172	Average Score: 9.51 	steps: 2118.00
Episode 173	Average Score: 9.38 	steps: 2121.00
Episode 174	Average Score: 9.39 	steps: 2129.00
Episode 175	Average Score: 9.23 	steps: 2134.00
Episode 176	Average Score: 9.32 	steps: 2158.00
Episode 177	Average Score: 9.04 	steps: 2161.00
Episode 178	Average Score: 8.68 	steps: 2165.00
Episode 179	Average Score: 8.78 	steps: 2181.00
Episode 180	Average Score: 8.81 	steps: 2191.00
Episode 181	Average Score: 8.92 	steps: 2211.00
Episode 182	Average Score: 8.62 	steps: 2219.00
Episode 183	Average Score: 8.84 	steps: 2269.00
Episode 184	Average Score: 8.80 	steps: 2273.00
Episode 185	Average Score: 8.74 	steps: 2280.00
Episode 186	Average Score: 8.76 	steps: 2286.00
Episode 187	Average Score: 8.90 	steps: 2303.00
Episode 188	Average Score: 8.84 	steps: 2305.00
Episode 189	Average Score: 8.84 	steps: 2310.00
Episode 190	Average Score: 8.82 	steps: 2314.00
Episode 191	Average Score: 8.71 	steps: 2328.00
Episode 192	Average Score: 8.42 	steps: 2334.00
Episode 193	Average Score: 8.41 	steps: 2346.00
Episode 194	Average Score: 8.42 	steps: 2351.00
Episode 195	Average Score: 8.43 	steps: 2364.00
Episode 196	Average Score: 8.51 	steps: 2403.00
Episode 197	Average Score: 8.48 	steps: 2407.00
Episode 198	Average Score: 8.57 	steps: 2422.00
Episode 199	Average Score: 8.56 	steps: 2426.00
Episode 200	Average Score: 8.92 	steps: 2476.00
Episode 200	Average Score: 8.92 	steps: 2476.00

Episode 201	Average Score: 8.95 	steps: 2487.00
Episode 202	Average Score: 8.96 	steps: 2500.00
Episode 203	Average Score: 8.96 	steps: 2506.00
Episode 204	Average Score: 8.83 	steps: 2517.00
Episode 205	Average Score: 8.82 	steps: 2532.00
Episode 206	Average Score: 8.88 	steps: 2544.00
Episode 207	Average Score: 8.78 	steps: 2549.00
Episode 208	Average Score: 8.71 	steps: 2553.00
Episode 209	Average Score: 8.74 	steps: 2562.00
Episode 210	Average Score: 8.75 	steps: 2571.00
Episode 211	Average Score: 8.89 	steps: 2591.00
Episode 212	Average Score: 8.93 	steps: 2604.00
Episode 213	Average Score: 9.22 	steps: 2654.00
Episode 214	Average Score: 9.41 	steps: 2693.00
Episode 215	Average Score: 9.44 	steps: 2703.00
Episode 216	Average Score: 9.23 	steps: 2709.00
Episode 217	Average Score: 8.90 	steps: 2724.00
Episode 218	Average Score: 9.14 	steps: 2759.00
Episode 219	Average Score: 9.43 	steps: 2799.00
Episode 220	Average Score: 9.53 	steps: 2815.00
Episode 221	Average Score: 9.42 	steps: 2821.00
Episode 222	Average Score: 9.78 	steps: 2871.00
Episode 223	Average Score: 9.85 	steps: 2888.00
Episode 224	Average Score: 10.17 	steps: 2938.00
Episode 225	Average Score: 10.13 	steps: 2941.00
Episode 226	Average Score: 10.03 	steps: 2950.00
Episode 227	Average Score: 10.05 	steps: 2958.00
Episode 228	Average Score: 9.90 	steps: 2961.00
Episode 229	Average Score: 9.89 	steps: 2968.00
Episode 230	Average Score: 9.92 	steps: 2976.00
Episode 231	Average Score: 10.30 	steps: 3026.00
Episode 232	Average Score: 10.23 	steps: 3029.00
Episode 233	Average Score: 10.58 	steps: 3076.00
Episode 234	Average Score: 10.78 	steps: 3111.00
Episode 235	Average Score: 11.03 	steps: 3151.00
Episode 236	Average Score: 10.96 	steps: 3168.00
Episode 237	Average Score: 10.91 	steps: 3171.00
Episode 238	Average Score: 10.92 	steps: 3175.00
Episode 239	Average Score: 10.84 	steps: 3190.00
Episode 240	Average Score: 10.79 	steps: 3194.00
Episode 241	Average Score: 10.76 	steps: 3201.00
Episode 242	Average Score: 11.10 	steps: 3251.00
Episode 243	Average Score: 11.20 	steps: 3279.00
Episode 244	Average Score: 11.33 	steps: 3329.00
Episode 245	Average Score: 11.44 	steps: 3348.00
Episode 246	Average Score: 11.44 	steps: 3359.00
Episode 247	Average Score: 11.42 	steps: 3370.00
Episode 248	Average Score: 11.35 	steps: 3380.00
Episode 249	Average Score: 11.38 	steps: 3390.00
Episode 250	Average Score: 11.41 	steps: 3397.00
Episode 251	Average Score: 11.57 	steps: 3430.00
Episode 252	Average Score: 11.54 	steps: 3433.00
Episode 253	Average Score: 11.57 	steps: 3443.00
Episode 254	Average Score: 11.66 	steps: 3457.00
Episode 255	Average Score: 11.75 	steps: 3471.00
Episode 256	Average Score: 12.04 	steps: 3517.00
Episode 257	Average Score: 12.29 	steps: 3567.00
Episode 258	Average Score: 12.51 	steps: 3611.00
Episode 259	Average Score: 12.47 	steps: 3614.00
Episode 260	Average Score: 12.48 	steps: 3623.00
Episode 261	Average Score: 12.72 	steps: 3673.00
Episode 262	Average Score: 12.62 	steps: 3678.00
Episode 263	Average Score: 12.63 	steps: 3687.00
Episode 264	Average Score: 12.54 	steps: 3690.00
Episode 265	Average Score: 12.54 	steps: 3698.00
Episode 266	Average Score: 12.79 	steps: 3744.00
Episode 267	Average Score: 12.88 	steps: 3757.00
Episode 268	Average Score: 12.98 	steps: 3779.00
Episode 269	Average Score: 12.89 	steps: 3787.00
Episode 270	Average Score: 13.00 	steps: 3804.00
Episode 271	Average Score: 12.99 	steps: 3807.00
Episode 272	Average Score: 13.30 	steps: 3857.00
Episode 273	Average Score: 13.70 	steps: 3907.00
Episode 274	Average Score: 13.71 	steps: 3918.00
Episode 275	Average Score: 13.81 	steps: 3933.00
Episode 276	Average Score: 13.64 	steps: 3941.00
Episode 277	Average Score: 13.97 	steps: 3991.00
Episode 278	Average Score: 14.17 	steps: 4022.00
Episode 279	Average Score: 14.35 	steps: 4060.00
Episode 280	Average Score: 14.39 	steps: 4077.00
Episode 281	Average Score: 14.56 	steps: 4115.00
Episode 282	Average Score: 14.55 	steps: 4121.00
