created virtual environment CPython3.7.9.final.0-64 in 2040ms
  creator CPython3Posix(dest=/localscratch/fabdolla.29154447.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: pygame in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: pandas in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: numpy in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.29154447.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
Directory  44  already exists
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 14.27 	steps: 18.00
Episode 2	Average Score: 8.22 	steps: 21.00
Episode 3	Average Score: 8.74 	steps: 34.00
Episode 4	Average Score: 6.87 	steps: 37.00
Episode 5	Average Score: 6.45 	steps: 43.00
Episode 6	Average Score: 5.68 	steps: 46.00
Episode 7	Average Score: 6.09 	steps: 60.00
Episode 8	Average Score: 5.88 	steps: 67.00
Episode 9	Average Score: 5.76 	steps: 73.00
Episode 10	Average Score: 6.09 	steps: 85.00
Episode 11	Average Score: 5.65 	steps: 87.00
Episode 12	Average Score: 5.65 	steps: 96.00
Episode 13	Average Score: 5.87 	steps: 107.00
Episode 14	Average Score: 6.36 	steps: 123.00
Episode 15	Average Score: 7.63 	steps: 156.00
Episode 16	Average Score: 7.49 	steps: 164.00
Episode 17	Average Score: 7.30 	steps: 169.00
Episode 18	Average Score: 6.99 	steps: 172.00
Episode 19	Average Score: 6.77 	steps: 177.00
Episode 20	Average Score: 6.86 	steps: 188.00
Episode 21	Average Score: 6.74 	steps: 195.00
Episode 22	Average Score: 6.82 	steps: 207.00
Episode 23	Average Score: 6.80 	steps: 217.00
Episode 24	Average Score: 7.13 	steps: 236.00
Episode 25	Average Score: 6.90 	steps: 239.00
Episode 26	Average Score: 6.98 	steps: 251.00
Episode 27	Average Score: 7.70 	steps: 285.00
Episode 28	Average Score: 7.96 	steps: 301.00
Episode 29	Average Score: 7.83 	steps: 308.00
Episode 30	Average Score: 7.72 	steps: 315.00
Episode 31	Average Score: 7.58 	steps: 320.00
Episode 32	Average Score: 7.50 	steps: 327.00
Episode 33	Average Score: 7.32 	steps: 330.00
Episode 34	Average Score: 7.33 	steps: 343.00
Episode 35	Average Score: 7.28 	steps: 352.00
Episode 36	Average Score: 7.14 	steps: 355.00
Episode 37	Average Score: 7.05 	steps: 361.00
Episode 38	Average Score: 6.96 	steps: 367.00
Episode 39	Average Score: 6.95 	steps: 375.00
Episode 40	Average Score: 6.87 	steps: 381.00
Episode 41	Average Score: 6.90 	steps: 392.00
Episode 42	Average Score: 6.88 	steps: 399.00
Episode 43	Average Score: 6.78 	steps: 404.00
Episode 44	Average Score: 6.66 	steps: 407.00
Episode 45	Average Score: 6.58 	steps: 411.00
Episode 46	Average Score: 6.62 	steps: 422.00
Episode 47	Average Score: 6.74 	steps: 440.00
Episode 48	Average Score: 6.81 	steps: 452.00
Episode 49	Average Score: 6.90 	steps: 467.00
Episode 50	Average Score: 6.94 	steps: 478.00
Episode 51	Average Score: 6.85 	steps: 482.00
Episode 52	Average Score: 6.93 	steps: 498.00
Episode 53	Average Score: 6.84 	steps: 502.00
Episode 54	Average Score: 6.76 	steps: 507.00
Episode 55	Average Score: 6.71 	steps: 514.00
Episode 56	Average Score: 6.69 	steps: 521.00
Episode 57	Average Score: 6.59 	steps: 523.00
Episode 58	Average Score: 6.63 	steps: 535.00
Episode 59	Average Score: 6.54 	steps: 538.00
Episode 60	Average Score: 6.53 	steps: 545.00
Episode 61	Average Score: 6.47 	steps: 549.00
Episode 62	Average Score: 6.43 	steps: 556.00
Episode 63	Average Score: 6.38 	steps: 560.00
Episode 64	Average Score: 6.40 	steps: 572.00
Episode 65	Average Score: 6.50 	steps: 591.00
Episode 66	Average Score: 6.64 	steps: 611.00
Episode 67	Average Score: 6.60 	steps: 616.00
Episode 68	Average Score: 6.55 	steps: 621.00
Episode 69	Average Score: 6.49 	steps: 625.00
Episode 70	Average Score: 6.43 	steps: 628.00
Episode 71	Average Score: 6.44 	steps: 636.00
Episode 72	Average Score: 6.37 	steps: 639.00
Episode 73	Average Score: 6.34 	steps: 644.00
Episode 74	Average Score: 6.30 	steps: 649.00
Episode 75	Average Score: 6.37 	steps: 662.00
Episode 76	Average Score: 6.34 	steps: 669.00
Episode 77	Average Score: 6.28 	steps: 672.00
Episode 78	Average Score: 6.59 	steps: 715.00
Episode 79	Average Score: 6.59 	steps: 725.00
Episode 80	Average Score: 6.56 	steps: 732.00
Episode 81	Average Score: 6.53 	steps: 740.00
Episode 82	Average Score: 6.48 	steps: 744.00
Episode 83	Average Score: 6.41 	steps: 746.00
Episode 84	Average Score: 6.38 	steps: 751.00
Episode 85	Average Score: 6.49 	steps: 770.00
Episode 86	Average Score: 6.47 	steps: 779.00
Episode 87	Average Score: 6.61 	steps: 805.00
Episode 88	Average Score: 6.55 	steps: 808.00
Episode 89	Average Score: 6.53 	steps: 814.00
Episode 90	Average Score: 6.58 	steps: 828.00
Episode 91	Average Score: 6.54 	steps: 833.00
Episode 92	Average Score: 6.49 	steps: 836.00
Episode 93	Average Score: 6.72 	steps: 872.00
Episode 94	Average Score: 6.72 	steps: 881.00
Episode 95	Average Score: 6.74 	steps: 893.00
Episode 96	Average Score: 6.69 	steps: 896.00
Episode 97	Average Score: 6.74 	steps: 910.00
Episode 98	Average Score: 6.95 	steps: 950.00
Episode 99	Average Score: 7.03 	steps: 970.00
Episode 100	Average Score: 7.11 	steps: 987.00
Episode 100	Average Score: 7.11 	steps: 987.00

Episode 101	Average Score: 7.00 	steps: 991.00
Episode 102	Average Score: 7.05 	steps: 1000.00
Episode 103	Average Score: 6.98 	steps: 1005.00
Episode 104	Average Score: 7.08 	steps: 1019.00
Episode 105	Average Score: 7.07 	steps: 1026.00
Episode 106	Average Score: 7.08 	steps: 1030.00
Episode 107	Average Score: 7.05 	steps: 1039.00
Episode 108	Average Score: 7.07 	steps: 1047.00
Episode 109	Average Score: 7.07 	steps: 1055.00
Episode 110	Average Score: 7.03 	steps: 1062.00
Episode 111	Average Score: 7.04 	steps: 1066.00
Episode 112	Average Score: 7.03 	steps: 1073.00
Episode 113	Average Score: 7.02 	steps: 1083.00
Episode 114	Average Score: 6.98 	steps: 1096.00
Episode 115	Average Score: 6.76 	steps: 1101.00
Episode 116	Average Score: 6.95 	steps: 1131.00
Episode 117	Average Score: 6.98 	steps: 1142.00
Episode 118	Average Score: 7.15 	steps: 1171.00
Episode 119	Average Score: 7.19 	steps: 1181.00
Episode 120	Average Score: 7.20 	steps: 1194.00
Episode 121	Average Score: 7.48 	steps: 1236.00
Episode 122	Average Score: 7.47 	steps: 1246.00
Episode 123	Average Score: 7.51 	steps: 1260.00
Episode 124	Average Score: 7.56 	steps: 1282.00
Episode 125	Average Score: 7.59 	steps: 1288.00
Episode 126	Average Score: 7.55 	steps: 1294.00
Episode 127	Average Score: 7.63 	steps: 1344.00
Episode 128	Average Score: 7.70 	steps: 1372.00
Episode 129	Average Score: 7.74 	steps: 1381.00
Episode 130	Average Score: 8.04 	steps: 1431.00
Episode 131	Average Score: 8.03 	steps: 1435.00
Episode 132	Average Score: 8.00 	steps: 1439.00
Episode 133	Average Score: 8.19 	steps: 1466.00
Episode 134	Average Score: 8.27 	steps: 1483.00
Episode 135	Average Score: 8.53 	steps: 1533.00
Episode 136	Average Score: 8.56 	steps: 1542.00
Episode 137	Average Score: 8.57 	steps: 1549.00
Episode 138	Average Score: 8.56 	steps: 1553.00
Episode 139	Average Score: 8.63 	steps: 1572.00
Episode 140	Average Score: 8.63 	steps: 1578.00
Episode 141	Average Score: 8.59 	steps: 1583.00
Episode 142	Average Score: 8.70 	steps: 1603.00
Episode 143	Average Score: 8.71 	steps: 1609.00
Episode 144	Average Score: 8.73 	steps: 1616.00
Episode 145	Average Score: 8.71 	steps: 1618.00
Episode 146	Average Score: 8.65 	steps: 1623.00
Episode 147	Average Score: 8.60 	steps: 1633.00
Episode 148	Average Score: 8.66 	steps: 1650.00
Episode 149	Average Score: 8.59 	steps: 1659.00
Episode 150	Average Score: 8.60 	steps: 1671.00
Episode 151	Average Score: 8.64 	steps: 1678.00
Episode 152	Average Score: 8.81 	steps: 1725.00
Episode 153	Average Score: 8.81 	steps: 1729.00
Episode 154	Average Score: 9.07 	steps: 1765.00
Episode 155	Average Score: 9.08 	steps: 1772.00
Episode 156	Average Score: 9.13 	steps: 1787.00
Episode 157	Average Score: 9.19 	steps: 1797.00
Episode 158	Average Score: 9.20 	steps: 1812.00
Episode 159	Average Score: 9.27 	steps: 1822.00
Episode 160	Average Score: 9.35 	steps: 1841.00
Episode 161	Average Score: 9.37 	steps: 1849.00
Episode 162	Average Score: 9.69 	steps: 1899.00
Episode 163	Average Score: 9.72 	steps: 1908.00
Episode 164	Average Score: 9.67 	steps: 1911.00
Episode 165	Average Score: 9.72 	steps: 1932.00
Episode 166	Average Score: 9.60 	steps: 1937.00
Episode 167	Average Score: 9.74 	steps: 1961.00
Episode 168	Average Score: 9.75 	steps: 1967.00
Episode 169	Average Score: 9.79 	steps: 1977.00
Episode 170	Average Score: 9.87 	steps: 1988.00
Episode 171	Average Score: 9.92 	steps: 2008.00
Episode 172	Average Score: 9.99 	steps: 2019.00
Episode 173	Average Score: 10.02 	steps: 2029.00
Episode 174	Average Score: 10.07 	steps: 2041.00
Episode 175	Average Score: 9.97 	steps: 2045.00
Episode 176	Average Score: 10.14 	steps: 2071.00
Episode 177	Average Score: 10.17 	steps: 2077.00
Episode 178	Average Score: 9.90 	steps: 2084.00
Episode 179	Average Score: 10.08 	steps: 2115.00
Episode 180	Average Score: 10.09 	steps: 2124.00
Episode 181	Average Score: 10.15 	steps: 2139.00
Episode 182	Average Score: 10.24 	steps: 2159.00
Episode 183	Average Score: 10.30 	steps: 2167.00
Episode 184	Average Score: 10.30 	steps: 2173.00
Episode 185	Average Score: 10.17 	steps: 2178.00
Episode 186	Average Score: 10.13 	steps: 2180.00
Episode 187	Average Score: 10.11 	steps: 2206.00
Episode 188	Average Score: 10.15 	steps: 2214.00
Episode 189	Average Score: 10.31 	steps: 2238.00
Episode 190	Average Score: 10.40 	steps: 2262.00
Episode 191	Average Score: 10.39 	steps: 2265.00
Episode 192	Average Score: 10.58 	steps: 2293.00
Episode 193	Average Score: 10.44 	steps: 2316.00
Episode 194	Average Score: 10.45 	steps: 2326.00
Episode 195	Average Score: 10.40 	steps: 2332.00
Episode 196	Average Score: 10.45 	steps: 2343.00
Episode 197	Average Score: 10.42 	steps: 2356.00
Episode 198	Average Score: 10.19 	steps: 2361.00
Episode 199	Average Score: 10.14 	steps: 2373.00
Episode 200	Average Score: 10.38 	steps: 2417.00
Episode 200	Average Score: 10.38 	steps: 2417.00

Episode 201	Average Score: 10.53 	steps: 2438.00
Episode 202	Average Score: 10.49 	steps: 2444.00
Episode 203	Average Score: 10.55 	steps: 2460.00
Episode 204	Average Score: 10.70 	steps: 2491.00
Episode 205	Average Score: 10.81 	steps: 2509.00
Episode 206	Average Score: 10.84 	steps: 2519.00
Episode 207	Average Score: 10.82 	steps: 2524.00
Episode 208	Average Score: 10.85 	steps: 2534.00
Episode 209	Average Score: 11.09 	steps: 2568.00
Episode 210	Average Score: 11.06 	steps: 2571.00
Episode 211	Average Score: 11.08 	steps: 2577.00
Episode 212	Average Score: 11.12 	steps: 2587.00
Episode 213	Average Score: 11.33 	steps: 2622.00
Episode 214	Average Score: 11.56 	steps: 2672.00
Episode 215	Average Score: 11.60 	steps: 2683.00
Episode 216	Average Score: 11.39 	steps: 2687.00
Episode 217	Average Score: 11.51 	steps: 2712.00
Episode 218	Average Score: 11.35 	steps: 2715.00
Episode 219	Average Score: 11.36 	steps: 2730.00
Episode 220	Average Score: 11.42 	steps: 2750.00
Episode 221	Average Score: 11.14 	steps: 2755.00
Episode 222	Average Score: 11.12 	steps: 2762.00
Episode 223	Average Score: 11.02 	steps: 2764.00
Episode 224	Average Score: 10.86 	steps: 2768.00
Episode 225	Average Score: 11.06 	steps: 2803.00
Episode 226	Average Score: 11.13 	steps: 2819.00
Episode 227	Average Score: 10.80 	steps: 2822.00
Episode 228	Average Score: 10.70 	steps: 2836.00
Episode 229	Average Score: 10.78 	steps: 2854.00
Episode 230	Average Score: 10.87 	steps: 2904.00
Episode 231	Average Score: 11.14 	steps: 2947.00
Episode 232	Average Score: 11.22 	steps: 2960.00
Episode 233	Average Score: 11.06 	steps: 2964.00
Episode 234	Average Score: 10.94 	steps: 2970.00
Episode 235	Average Score: 10.96 	steps: 3020.00
Episode 236	Average Score: 11.14 	steps: 3048.00
Episode 237	Average Score: 11.14 	steps: 3055.00
Episode 238	Average Score: 11.31 	steps: 3079.00
Episode 239	Average Score: 11.23 	steps: 3086.00
Episode 240	Average Score: 11.28 	steps: 3098.00
Episode 241	Average Score: 11.64 	steps: 3148.00
Episode 242	Average Score: 11.87 	steps: 3198.00
Episode 243	Average Score: 12.17 	steps: 3248.00
Episode 244	Average Score: 12.18 	steps: 3254.00
Episode 245	Average Score: 12.25 	steps: 3264.00
Episode 246	Average Score: 12.53 	steps: 3301.00
Episode 247	Average Score: 12.84 	steps: 3351.00
Episode 248	Average Score: 13.11 	steps: 3401.00
Episode 249	Average Score: 13.37 	steps: 3438.00
Episode 250	Average Score: 13.48 	steps: 3463.00
Episode 251	Average Score: 13.77 	steps: 3513.00
Episode 252	Average Score: 13.75 	steps: 3543.00
Episode 253	Average Score: 13.79 	steps: 3554.00
Episode 254	Average Score: 13.56 	steps: 3562.00
Episode 255	Average Score: 13.95 	steps: 3612.00
Episode 256	Average Score: 14.13 	steps: 3646.00
Episode 257	Average Score: 14.18 	steps: 3660.00
Episode 258	Average Score: 14.12 	steps: 3665.00
Episode 259	Average Score: 14.20 	steps: 3684.00
Episode 260	Average Score: 14.13 	steps: 3695.00
Episode 261	Average Score: 14.10 	steps: 3698.00
Episode 262	Average Score: 13.90 	steps: 3716.00
Episode 263	Average Score: 14.22 	steps: 3766.00
Episode 264	Average Score: 14.31 	steps: 3780.00
Episode 265	Average Score: 14.24 	steps: 3796.00
Episode 266	Average Score: 14.25 	steps: 3802.00
Episode 267	Average Score: 14.14 	steps: 3811.00
Episode 268	Average Score: 14.40 	steps: 3859.00
Episode 269	Average Score: 14.46 	steps: 3874.00
Episode 270	Average Score: 14.43 	steps: 3886.00
Episode 271	Average Score: 14.34 	steps: 3891.00
Episode 272	Average Score: 14.31 	steps: 3901.00
Episode 273	Average Score: 14.65 	steps: 3951.00
Episode 274	Average Score: 14.90 	steps: 3989.00
Episode 275	Average Score: 15.24 	steps: 4039.00
Episode 276	Average Score: 15.38 	steps: 4089.00
Episode 277	Average Score: 15.41 	steps: 4098.00
Episode 278	Average Score: 15.51 	steps: 4117.00
Episode 279	Average Score: 15.46 	steps: 4147.00
Episode 280	Average Score: 15.71 	steps: 4180.00
Episode 281	Average Score: 15.71 	steps: 4196.00
Episode 282	Average Score: 15.95 	steps: 4246.00
Episode 283	Average Score: 16.10 	steps: 4273.00
Episode 284	Average Score: 16.28 	steps: 4306.00
Episode 285	Average Score: 16.32 	steps: 4319.00
Episode 286	Average Score: 16.59 	steps: 4354.00
