created virtual environment CPython3.7.9.final.0-64 in 26460ms
  creator CPython3Posix(dest=/localscratch/fabdolla.29154448.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: pandas in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: numpy in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: pygame in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.29154448.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
Directory  45  already exists
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 8.10 	steps: 10.00
Episode 2	Average Score: 7.69 	steps: 19.00
Episode 3	Average Score: 7.05 	steps: 27.00
Episode 4	Average Score: 6.65 	steps: 35.00
Episode 5	Average Score: 5.48 	steps: 37.00
Episode 6	Average Score: 5.99 	steps: 47.00
Episode 7	Average Score: 5.87 	steps: 55.00
Episode 8	Average Score: 6.45 	steps: 70.00
Episode 9	Average Score: 6.06 	steps: 75.00
Episode 10	Average Score: 5.59 	steps: 78.00
Episode 11	Average Score: 5.23 	steps: 81.00
Episode 12	Average Score: 5.16 	steps: 87.00
Episode 13	Average Score: 5.22 	steps: 97.00
Episode 14	Average Score: 5.08 	steps: 101.00
Episode 15	Average Score: 4.89 	steps: 104.00
Episode 16	Average Score: 4.82 	steps: 110.00
Episode 17	Average Score: 5.56 	steps: 133.00
Episode 18	Average Score: 5.49 	steps: 139.00
Episode 19	Average Score: 5.32 	steps: 142.00
Episode 20	Average Score: 5.42 	steps: 155.00
Episode 21	Average Score: 5.54 	steps: 164.00
Episode 22	Average Score: 5.77 	steps: 176.00
Episode 23	Average Score: 6.22 	steps: 195.00
Episode 24	Average Score: 6.06 	steps: 199.00
Episode 25	Average Score: 6.20 	steps: 211.00
Episode 26	Average Score: 6.06 	steps: 215.00
Episode 27	Average Score: 7.00 	steps: 257.00
Episode 28	Average Score: 7.05 	steps: 270.00
Episode 29	Average Score: 7.81 	steps: 309.00
Episode 30	Average Score: 7.60 	steps: 312.00
Episode 31	Average Score: 7.58 	steps: 321.00
Episode 32	Average Score: 7.56 	steps: 331.00
Episode 33	Average Score: 7.58 	steps: 343.00
Episode 34	Average Score: 8.03 	steps: 372.00
Episode 35	Average Score: 7.95 	steps: 378.00
Episode 36	Average Score: 7.81 	steps: 382.00
Episode 37	Average Score: 7.82 	steps: 396.00
Episode 38	Average Score: 8.54 	steps: 446.00
Episode 39	Average Score: 8.42 	steps: 452.00
Episode 40	Average Score: 8.41 	steps: 464.00
Episode 41	Average Score: 8.66 	steps: 486.00
Episode 42	Average Score: 8.63 	steps: 497.00
Episode 43	Average Score: 8.67 	steps: 513.00
Episode 44	Average Score: 8.55 	steps: 518.00
Episode 45	Average Score: 8.47 	steps: 524.00
Episode 46	Average Score: 8.62 	steps: 548.00
Episode 47	Average Score: 9.02 	steps: 584.00
Episode 48	Average Score: 8.97 	steps: 594.00
Episode 49	Average Score: 8.83 	steps: 597.00
Episode 50	Average Score: 8.71 	steps: 602.00
Episode 51	Average Score: 8.70 	steps: 614.00
Episode 52	Average Score: 8.70 	steps: 627.00
Episode 53	Average Score: 8.56 	steps: 629.00
Episode 54	Average Score: 8.61 	steps: 642.00
Episode 55	Average Score: 8.90 	steps: 675.00
Episode 56	Average Score: 8.89 	steps: 688.00
Episode 57	Average Score: 9.11 	steps: 716.00
Episode 58	Average Score: 9.01 	steps: 721.00
Episode 59	Average Score: 9.16 	steps: 747.00
Episode 60	Average Score: 9.35 	steps: 775.00
Episode 61	Average Score: 9.39 	steps: 790.00
Episode 62	Average Score: 9.30 	steps: 795.00
Episode 63	Average Score: 9.51 	steps: 825.00
Episode 64	Average Score: 9.50 	steps: 835.00
Episode 65	Average Score: 9.39 	steps: 839.00
Episode 66	Average Score: 9.40 	steps: 851.00
Episode 67	Average Score: 9.29 	steps: 854.00
Episode 68	Average Score: 9.18 	steps: 856.00
Episode 69	Average Score: 9.12 	steps: 863.00
Episode 70	Average Score: 9.09 	steps: 874.00
Episode 71	Average Score: 9.06 	steps: 883.00
Episode 72	Average Score: 9.39 	steps: 920.00
Episode 73	Average Score: 9.78 	steps: 970.00
Episode 74	Average Score: 9.93 	steps: 994.00
Episode 75	Average Score: 9.83 	steps: 998.00
Episode 76	Average Score: 9.90 	steps: 1016.00
Episode 77	Average Score: 9.80 	steps: 1020.00
Episode 78	Average Score: 9.70 	steps: 1023.00
Episode 79	Average Score: 9.62 	steps: 1028.00
Episode 80	Average Score: 9.58 	steps: 1036.00
Episode 81	Average Score: 9.54 	steps: 1044.00
Episode 82	Average Score: 9.86 	steps: 1094.00
Episode 83	Average Score: 9.77 	steps: 1097.00
Episode 84	Average Score: 10.14 	steps: 1144.00
Episode 85	Average Score: 10.05 	steps: 1149.00
Episode 86	Average Score: 9.97 	steps: 1154.00
Episode 87	Average Score: 9.90 	steps: 1159.00
Episode 88	Average Score: 9.84 	steps: 1167.00
Episode 89	Average Score: 9.84 	steps: 1180.00
Episode 90	Average Score: 9.80 	steps: 1189.00
Episode 91	Average Score: 9.73 	steps: 1194.00
Episode 92	Average Score: 9.65 	steps: 1197.00
Episode 93	Average Score: 9.67 	steps: 1214.00
Episode 94	Average Score: 9.79 	steps: 1244.00
Episode 95	Average Score: 9.74 	steps: 1250.00
Episode 96	Average Score: 9.70 	steps: 1260.00
Episode 97	Average Score: 9.76 	steps: 1282.00
Episode 98	Average Score: 10.01 	steps: 1327.00
Episode 99	Average Score: 9.98 	steps: 1338.00
Episode 100	Average Score: 9.94 	steps: 1345.00
Episode 100	Average Score: 9.94 	steps: 1345.00

Episode 101	Average Score: 10.00 	steps: 1363.00
Episode 102	Average Score: 9.98 	steps: 1372.00
Episode 103	Average Score: 10.00 	steps: 1384.00
Episode 104	Average Score: 9.97 	steps: 1388.00
Episode 105	Average Score: 10.04 	steps: 1398.00
Episode 106	Average Score: 10.06 	steps: 1411.00
Episode 107	Average Score: 10.09 	steps: 1422.00
Episode 108	Average Score: 10.00 	steps: 1425.00
Episode 109	Average Score: 9.99 	steps: 1428.00
Episode 110	Average Score: 10.01 	steps: 1435.00
Episode 111	Average Score: 10.13 	steps: 1457.00
Episode 112	Average Score: 10.14 	steps: 1466.00
Episode 113	Average Score: 10.14 	steps: 1476.00
Episode 114	Average Score: 10.44 	steps: 1517.00
Episode 115	Average Score: 10.46 	steps: 1526.00
Episode 116	Average Score: 10.56 	steps: 1547.00
Episode 117	Average Score: 10.43 	steps: 1553.00
Episode 118	Average Score: 10.40 	steps: 1557.00
Episode 119	Average Score: 10.65 	steps: 1592.00
Episode 120	Average Score: 10.65 	steps: 1600.00
Episode 121	Average Score: 10.57 	steps: 1602.00
Episode 122	Average Score: 10.55 	steps: 1613.00
Episode 123	Average Score: 10.48 	steps: 1628.00
Episode 124	Average Score: 10.49 	steps: 1632.00
Episode 125	Average Score: 10.49 	steps: 1647.00
Episode 126	Average Score: 10.52 	steps: 1654.00
Episode 127	Average Score: 10.31 	steps: 1665.00
Episode 128	Average Score: 10.28 	steps: 1673.00
Episode 129	Average Score: 10.13 	steps: 1697.00
Episode 130	Average Score: 10.15 	steps: 1701.00
Episode 131	Average Score: 10.44 	steps: 1751.00
Episode 132	Average Score: 10.38 	steps: 1754.00
Episode 133	Average Score: 10.39 	steps: 1764.00
Episode 134	Average Score: 10.48 	steps: 1804.00
Episode 135	Average Score: 10.46 	steps: 1809.00
Episode 136	Average Score: 10.46 	steps: 1814.00
Episode 137	Average Score: 10.70 	steps: 1855.00
Episode 138	Average Score: 10.44 	steps: 1869.00
Episode 139	Average Score: 10.44 	steps: 1876.00
Episode 140	Average Score: 10.44 	steps: 1886.00
Episode 141	Average Score: 10.31 	steps: 1892.00
Episode 142	Average Score: 10.58 	steps: 1942.00
Episode 143	Average Score: 10.91 	steps: 1992.00
Episode 144	Average Score: 10.97 	steps: 2003.00
Episode 145	Average Score: 11.10 	steps: 2032.00
Episode 146	Average Score: 11.00 	steps: 2039.00
Episode 147	Average Score: 10.77 	steps: 2044.00
Episode 148	Average Score: 10.75 	steps: 2050.00
Episode 149	Average Score: 10.78 	steps: 2060.00
Episode 150	Average Score: 10.77 	steps: 2063.00
Episode 151	Average Score: 11.07 	steps: 2113.00
Episode 152	Average Score: 11.01 	steps: 2116.00
Episode 153	Average Score: 11.05 	steps: 2126.00
Episode 154	Average Score: 11.01 	steps: 2137.00
Episode 155	Average Score: 10.86 	steps: 2150.00
Episode 156	Average Score: 11.07 	steps: 2182.00
Episode 157	Average Score: 10.93 	steps: 2192.00
Episode 158	Average Score: 10.97 	steps: 2201.00
Episode 159	Average Score: 10.93 	steps: 2217.00
Episode 160	Average Score: 10.79 	steps: 2225.00
Episode 161	Average Score: 11.11 	steps: 2275.00
Episode 162	Average Score: 11.10 	steps: 2278.00
Episode 163	Average Score: 10.92 	steps: 2286.00
Episode 164	Average Score: 10.86 	steps: 2290.00
Episode 165	Average Score: 10.92 	steps: 2302.00
Episode 166	Average Score: 11.14 	steps: 2352.00
Episode 167	Average Score: 11.23 	steps: 2370.00
Episode 168	Average Score: 11.24 	steps: 2373.00
Episode 169	Average Score: 11.62 	steps: 2423.00
Episode 170	Average Score: 11.58 	steps: 2427.00
Episode 171	Average Score: 11.67 	steps: 2451.00
Episode 172	Average Score: 11.72 	steps: 2501.00
Episode 173	Average Score: 11.37 	steps: 2505.00
Episode 174	Average Score: 11.30 	steps: 2524.00
Episode 175	Average Score: 11.31 	steps: 2528.00
Episode 176	Average Score: 11.21 	steps: 2538.00
Episode 177	Average Score: 11.29 	steps: 2551.00
Episode 178	Average Score: 11.46 	steps: 2574.00
Episode 179	Average Score: 11.73 	steps: 2616.00
Episode 180	Average Score: 11.70 	steps: 2622.00
Episode 181	Average Score: 11.65 	steps: 2627.00
Episode 182	Average Score: 11.69 	steps: 2677.00
Episode 183	Average Score: 11.71 	steps: 2684.00
Episode 184	Average Score: 11.67 	steps: 2734.00
Episode 185	Average Score: 11.68 	steps: 2739.00
Episode 186	Average Score: 11.69 	steps: 2747.00
Episode 187	Average Score: 12.03 	steps: 2797.00
Episode 188	Average Score: 12.07 	steps: 2810.00
Episode 189	Average Score: 12.25 	steps: 2845.00
Episode 190	Average Score: 12.50 	steps: 2888.00
Episode 191	Average Score: 12.51 	steps: 2895.00
Episode 192	Average Score: 12.52 	steps: 2899.00
Episode 193	Average Score: 12.78 	steps: 2949.00
Episode 194	Average Score: 12.85 	steps: 2982.00
Episode 195	Average Score: 13.00 	steps: 3006.00
Episode 196	Average Score: 13.30 	steps: 3056.00
Episode 197	Average Score: 13.28 	steps: 3072.00
Episode 198	Average Score: 12.96 	steps: 3075.00
Episode 199	Average Score: 12.90 	steps: 3078.00
Episode 200	Average Score: 12.92 	steps: 3088.00
Episode 200	Average Score: 12.92 	steps: 3088.00

Episode 201	Average Score: 12.89 	steps: 3100.00
Episode 202	Average Score: 13.26 	steps: 3150.00
Episode 203	Average Score: 13.24 	steps: 3157.00
Episode 204	Average Score: 13.45 	steps: 3196.00
Episode 205	Average Score: 13.40 	steps: 3199.00
Episode 206	Average Score: 13.31 	steps: 3202.00
Episode 207	Average Score: 13.29 	steps: 3210.00
Episode 208	Average Score: 13.30 	steps: 3213.00
Episode 209	Average Score: 13.43 	steps: 3234.00
Episode 210	Average Score: 13.40 	steps: 3237.00
Episode 211	Average Score: 13.33 	steps: 3245.00
Episode 212	Average Score: 13.30 	steps: 3249.00
Episode 213	Average Score: 13.30 	steps: 3258.00
Episode 214	Average Score: 12.99 	steps: 3261.00
Episode 215	Average Score: 13.34 	steps: 3311.00
Episode 216	Average Score: 13.31 	steps: 3323.00
Episode 217	Average Score: 13.56 	steps: 3361.00
Episode 218	Average Score: 13.58 	steps: 3367.00
Episode 219	Average Score: 13.72 	steps: 3414.00
Episode 220	Average Score: 13.78 	steps: 3428.00
Episode 221	Average Score: 14.18 	steps: 3478.00
Episode 222	Average Score: 14.34 	steps: 3507.00
Episode 223	Average Score: 14.40 	steps: 3526.00
Episode 224	Average Score: 14.40 	steps: 3530.00
Episode 225	Average Score: 14.33 	steps: 3534.00
Episode 226	Average Score: 14.54 	steps: 3566.00
Episode 227	Average Score: 14.59 	steps: 3586.00
Episode 228	Average Score: 14.67 	steps: 3606.00
Episode 229	Average Score: 14.95 	steps: 3656.00
Episode 230	Average Score: 15.10 	steps: 3683.00
Episode 231	Average Score: 14.82 	steps: 3696.00
Episode 232	Average Score: 14.96 	steps: 3716.00
Episode 233	Average Score: 14.95 	steps: 3725.00
Episode 234	Average Score: 14.79 	steps: 3747.00
Episode 235	Average Score: 14.80 	steps: 3752.00
Episode 236	Average Score: 15.14 	steps: 3802.00
Episode 237	Average Score: 14.84 	steps: 3804.00
Episode 238	Average Score: 14.96 	steps: 3831.00
Episode 239	Average Score: 15.04 	steps: 3846.00
Episode 240	Average Score: 15.16 	steps: 3870.00
Episode 241	Average Score: 15.23 	steps: 3886.00
Episode 242	Average Score: 14.91 	steps: 3890.00
Episode 243	Average Score: 14.51 	steps: 3894.00
Episode 244	Average Score: 14.46 	steps: 3900.00
Episode 245	Average Score: 14.54 	steps: 3940.00
Episode 246	Average Score: 14.51 	steps: 3943.00
Episode 247	Average Score: 14.53 	steps: 3953.00
Episode 248	Average Score: 14.51 	steps: 3957.00
Episode 249	Average Score: 14.85 	steps: 4004.00
Episode 250	Average Score: 15.16 	steps: 4046.00
Episode 251	Average Score: 14.80 	steps: 4051.00
Episode 252	Average Score: 14.83 	steps: 4060.00
Episode 253	Average Score: 14.86 	steps: 4070.00
Episode 254	Average Score: 14.84 	steps: 4077.00
Episode 255	Average Score: 15.09 	steps: 4127.00
Episode 256	Average Score: 14.83 	steps: 4131.00
Episode 257	Average Score: 15.05 	steps: 4177.00
Episode 258	Average Score: 15.19 	steps: 4202.00
Episode 259	Average Score: 15.10 	steps: 4208.00
Episode 260	Average Score: 15.05 	steps: 4211.00
Episode 261	Average Score: 14.67 	steps: 4218.00
Episode 262	Average Score: 14.69 	steps: 4224.00
Episode 263	Average Score: 14.73 	steps: 4236.00
Episode 264	Average Score: 14.78 	steps: 4247.00
Episode 265	Average Score: 14.80 	steps: 4260.00
Episode 266	Average Score: 14.50 	steps: 4264.00
Episode 267	Average Score: 14.71 	steps: 4310.00
Episode 268	Average Score: 14.88 	steps: 4335.00
Episode 269	Average Score: 14.84 	steps: 4385.00
Episode 270	Average Score: 14.89 	steps: 4394.00
Episode 271	Average Score: 14.79 	steps: 4402.00
Episode 272	Average Score: 14.62 	steps: 4429.00
Episode 273	Average Score: 15.01 	steps: 4479.00
Episode 274	Average Score: 15.08 	steps: 4514.00
Episode 275	Average Score: 15.08 	steps: 4519.00
Episode 276	Average Score: 15.15 	steps: 4536.00
Episode 277	Average Score: 15.47 	steps: 4586.00
Episode 278	Average Score: 15.47 	steps: 4607.00
Episode 279	Average Score: 15.33 	steps: 4630.00
Episode 280	Average Score: 15.68 	steps: 4676.00
Episode 281	Average Score: 16.05 	steps: 4726.00
Episode 282	Average Score: 15.72 	steps: 4736.00
Episode 283	Average Score: 15.86 	steps: 4758.00
Episode 284	Average Score: 15.86 	steps: 4808.00
Episode 285	Average Score: 15.88 	steps: 4818.00
