created virtual environment CPython3.7.9.final.0-64 in 6582ms
  creator CPython3Posix(dest=/localscratch/fabdolla.29154450.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: pygame in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: pandas in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: numpy in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.29154450.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
Directory  47  already exists
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 12.65 	steps: 17.00
Episode 2	Average Score: 8.91 	steps: 23.00
Episode 3	Average Score: 8.54 	steps: 34.00
Episode 4	Average Score: 13.65 	steps: 78.00
Episode 5	Average Score: 13.82 	steps: 100.00
Episode 6	Average Score: 12.15 	steps: 106.00
Episode 7	Average Score: 11.33 	steps: 115.00
Episode 8	Average Score: 10.15 	steps: 118.00
Episode 9	Average Score: 9.82 	steps: 126.00
Episode 10	Average Score: 9.52 	steps: 136.00
Episode 11	Average Score: 10.76 	steps: 165.00
Episode 12	Average Score: 10.59 	steps: 176.00
Episode 13	Average Score: 10.01 	steps: 181.00
Episode 14	Average Score: 9.96 	steps: 192.00
Episode 15	Average Score: 10.45 	steps: 215.00
Episode 16	Average Score: 9.99 	steps: 219.00
Episode 17	Average Score: 10.28 	steps: 241.00
Episode 18	Average Score: 11.03 	steps: 271.00
Episode 19	Average Score: 11.18 	steps: 287.00
Episode 20	Average Score: 11.26 	steps: 304.00
Episode 21	Average Score: 10.80 	steps: 307.00
Episode 22	Average Score: 10.79 	steps: 319.00
Episode 23	Average Score: 10.45 	steps: 324.00
Episode 24	Average Score: 10.51 	steps: 342.00
Episode 25	Average Score: 10.19 	steps: 346.00
Episode 26	Average Score: 9.93 	steps: 351.00
Episode 27	Average Score: 9.71 	steps: 357.00
Episode 28	Average Score: 10.00 	steps: 379.00
Episode 29	Average Score: 9.95 	steps: 392.00
Episode 30	Average Score: 10.07 	steps: 410.00
Episode 31	Average Score: 10.29 	steps: 435.00
Episode 32	Average Score: 10.01 	steps: 437.00
Episode 33	Average Score: 9.86 	steps: 443.00
Episode 34	Average Score: 9.65 	steps: 447.00
Episode 35	Average Score: 9.47 	steps: 452.00
Episode 36	Average Score: 9.49 	steps: 467.00
Episode 37	Average Score: 9.32 	steps: 472.00
Episode 38	Average Score: 9.58 	steps: 501.00
Episode 39	Average Score: 9.54 	steps: 512.00
Episode 40	Average Score: 9.46 	steps: 520.00
Episode 41	Average Score: 9.28 	steps: 524.00
Episode 42	Average Score: 9.31 	steps: 542.00
Episode 43	Average Score: 9.24 	steps: 551.00
Episode 44	Average Score: 9.62 	steps: 584.00
Episode 45	Average Score: 9.70 	steps: 599.00
Episode 46	Average Score: 9.65 	steps: 610.00
Episode 47	Average Score: 9.51 	steps: 614.00
Episode 48	Average Score: 9.37 	steps: 618.00
Episode 49	Average Score: 9.31 	steps: 625.00
Episode 50	Average Score: 9.21 	steps: 631.00
Episode 51	Average Score: 9.20 	steps: 642.00
Episode 52	Average Score: 9.07 	steps: 646.00
Episode 53	Average Score: 9.29 	steps: 671.00
Episode 54	Average Score: 9.19 	steps: 676.00
Episode 55	Average Score: 9.08 	steps: 681.00
Episode 56	Average Score: 8.97 	steps: 686.00
Episode 57	Average Score: 8.84 	steps: 689.00
Episode 58	Average Score: 8.87 	steps: 704.00
Episode 59	Average Score: 8.77 	steps: 708.00
Episode 60	Average Score: 8.64 	steps: 711.00
Episode 61	Average Score: 8.57 	steps: 717.00
Episode 62	Average Score: 8.47 	steps: 721.00
Episode 63	Average Score: 8.72 	steps: 754.00
Episode 64	Average Score: 8.64 	steps: 761.00
Episode 65	Average Score: 8.90 	steps: 799.00
Episode 66	Average Score: 9.00 	steps: 821.00
Episode 67	Average Score: 9.22 	steps: 855.00
Episode 68	Average Score: 9.19 	steps: 864.00
Episode 69	Average Score: 9.53 	steps: 907.00
Episode 70	Average Score: 9.48 	steps: 914.00
Episode 71	Average Score: 9.47 	steps: 929.00
Episode 72	Average Score: 9.39 	steps: 935.00
Episode 73	Average Score: 9.36 	steps: 943.00
Episode 74	Average Score: 9.29 	steps: 948.00
Episode 75	Average Score: 9.34 	steps: 969.00
Episode 76	Average Score: 9.38 	steps: 988.00
Episode 77	Average Score: 9.29 	steps: 992.00
Episode 78	Average Score: 9.20 	steps: 997.00
Episode 79	Average Score: 9.16 	steps: 1004.00
Episode 80	Average Score: 9.11 	steps: 1012.00
Episode 81	Average Score: 9.14 	steps: 1028.00
Episode 82	Average Score: 9.27 	steps: 1054.00
Episode 83	Average Score: 9.36 	steps: 1078.00
Episode 84	Average Score: 9.33 	steps: 1087.00
Episode 85	Average Score: 9.34 	steps: 1100.00
Episode 86	Average Score: 9.28 	steps: 1106.00
Episode 87	Average Score: 9.20 	steps: 1110.00
Episode 88	Average Score: 9.14 	steps: 1114.00
Episode 89	Average Score: 9.45 	steps: 1164.00
Episode 90	Average Score: 9.38 	steps: 1169.00
Episode 91	Average Score: 9.30 	steps: 1172.00
Episode 92	Average Score: 9.36 	steps: 1191.00
Episode 93	Average Score: 9.28 	steps: 1194.00
Episode 94	Average Score: 9.48 	steps: 1231.00
Episode 95	Average Score: 9.40 	steps: 1235.00
Episode 96	Average Score: 9.33 	steps: 1240.00
Episode 97	Average Score: 9.32 	steps: 1255.00
Episode 98	Average Score: 9.26 	steps: 1260.00
Episode 99	Average Score: 9.25 	steps: 1272.00
Episode 100	Average Score: 9.27 	steps: 1286.00
Episode 100	Average Score: 9.27 	steps: 1286.00

Episode 101	Average Score: 9.18 	steps: 1292.00
Episode 102	Average Score: 9.16 	steps: 1299.00
Episode 103	Average Score: 9.18 	steps: 1311.00
Episode 104	Average Score: 8.95 	steps: 1318.00
Episode 105	Average Score: 8.89 	steps: 1333.00
Episode 106	Average Score: 8.98 	steps: 1351.00
Episode 107	Average Score: 8.99 	steps: 1362.00
Episode 108	Average Score: 9.00 	steps: 1365.00
Episode 109	Average Score: 8.99 	steps: 1373.00
Episode 110	Average Score: 9.11 	steps: 1400.00
Episode 111	Average Score: 9.07 	steps: 1434.00
Episode 112	Average Score: 9.02 	steps: 1441.00
Episode 113	Average Score: 9.03 	steps: 1447.00
Episode 114	Average Score: 9.00 	steps: 1458.00
Episode 115	Average Score: 8.85 	steps: 1463.00
Episode 116	Average Score: 8.94 	steps: 1482.00
Episode 117	Average Score: 8.81 	steps: 1485.00
Episode 118	Average Score: 8.60 	steps: 1490.00
Episode 119	Average Score: 8.80 	steps: 1540.00
Episode 120	Average Score: 8.69 	steps: 1543.00
Episode 121	Average Score: 8.87 	steps: 1565.00
Episode 122	Average Score: 8.79 	steps: 1569.00
Episode 123	Average Score: 8.84 	steps: 1581.00
Episode 124	Average Score: 8.81 	steps: 1597.00
Episode 125	Average Score: 8.87 	steps: 1607.00
Episode 126	Average Score: 8.93 	steps: 1621.00
Episode 127	Average Score: 9.06 	steps: 1647.00
Episode 128	Average Score: 8.91 	steps: 1651.00
Episode 129	Average Score: 8.96 	steps: 1667.00
Episode 130	Average Score: 9.21 	steps: 1717.00
Episode 131	Average Score: 9.15 	steps: 1731.00
Episode 132	Average Score: 9.18 	steps: 1737.00
Episode 133	Average Score: 9.31 	steps: 1760.00
Episode 134	Average Score: 9.40 	steps: 1776.00
Episode 135	Average Score: 9.38 	steps: 1778.00
Episode 136	Average Score: 9.31 	steps: 1783.00
Episode 137	Average Score: 9.30 	steps: 1786.00
Episode 138	Average Score: 9.15 	steps: 1793.00
Episode 139	Average Score: 9.20 	steps: 1807.00
Episode 140	Average Score: 9.20 	steps: 1814.00
Episode 141	Average Score: 9.28 	steps: 1829.00
Episode 142	Average Score: 9.50 	steps: 1879.00
Episode 143	Average Score: 9.55 	steps: 1897.00
Episode 144	Average Score: 9.31 	steps: 1901.00
Episode 145	Average Score: 9.53 	steps: 1947.00
Episode 146	Average Score: 9.47 	steps: 1950.00
Episode 147	Average Score: 9.46 	steps: 1953.00
Episode 148	Average Score: 9.56 	steps: 1968.00
Episode 149	Average Score: 9.52 	steps: 1971.00
Episode 150	Average Score: 9.80 	steps: 2021.00
Episode 151	Average Score: 9.77 	steps: 2030.00
Episode 152	Average Score: 9.76 	steps: 2033.00
Episode 153	Average Score: 9.61 	steps: 2040.00
Episode 154	Average Score: 9.91 	steps: 2090.00
Episode 155	Average Score: 9.90 	steps: 2093.00
Episode 156	Average Score: 9.88 	steps: 2096.00
Episode 157	Average Score: 9.99 	steps: 2111.00
Episode 158	Average Score: 10.02 	steps: 2128.00
Episode 159	Average Score: 10.01 	steps: 2130.00
Episode 160	Average Score: 10.35 	steps: 2179.00
Episode 161	Average Score: 10.34 	steps: 2184.00
Episode 162	Average Score: 10.38 	steps: 2191.00
Episode 163	Average Score: 10.18 	steps: 2197.00
Episode 164	Average Score: 10.18 	steps: 2202.00
Episode 165	Average Score: 9.99 	steps: 2210.00
Episode 166	Average Score: 9.93 	steps: 2221.00
Episode 167	Average Score: 9.91 	steps: 2252.00
Episode 168	Average Score: 9.92 	steps: 2263.00
Episode 169	Average Score: 9.71 	steps: 2279.00
Episode 170	Average Score: 9.71 	steps: 2288.00
Episode 171	Average Score: 9.65 	steps: 2294.00
Episode 172	Average Score: 9.65 	steps: 2300.00
Episode 173	Average Score: 9.68 	steps: 2312.00
Episode 174	Average Score: 9.68 	steps: 2320.00
Episode 175	Average Score: 9.58 	steps: 2326.00
Episode 176	Average Score: 9.47 	steps: 2328.00
Episode 177	Average Score: 9.47 	steps: 2331.00
Episode 178	Average Score: 9.50 	steps: 2340.00
Episode 179	Average Score: 9.69 	steps: 2368.00
Episode 180	Average Score: 9.68 	steps: 2374.00
Episode 181	Average Score: 9.59 	steps: 2377.00
Episode 182	Average Score: 9.73 	steps: 2417.00
Episode 183	Average Score: 9.65 	steps: 2429.00
Episode 184	Average Score: 9.95 	steps: 2479.00
Episode 185	Average Score: 10.21 	steps: 2525.00
Episode 186	Average Score: 10.58 	steps: 2575.00
Episode 187	Average Score: 10.57 	steps: 2578.00
Episode 188	Average Score: 10.94 	steps: 2628.00
Episode 189	Average Score: 10.62 	steps: 2636.00
Episode 190	Average Score: 10.82 	steps: 2668.00
Episode 191	Average Score: 10.85 	steps: 2676.00
Episode 192	Average Score: 11.11 	steps: 2726.00
Episode 193	Average Score: 11.12 	steps: 2730.00
Episode 194	Average Score: 11.01 	steps: 2755.00
Episode 195	Average Score: 11.08 	steps: 2769.00
Episode 196	Average Score: 11.47 	steps: 2819.00
Episode 197	Average Score: 11.42 	steps: 2824.00
Episode 198	Average Score: 11.44 	steps: 2833.00
Episode 199	Average Score: 11.37 	steps: 2837.00
Episode 200	Average Score: 11.30 	steps: 2842.00
Episode 200	Average Score: 11.30 	steps: 2842.00

Episode 201	Average Score: 11.32 	steps: 2847.00
Episode 202	Average Score: 11.44 	steps: 2870.00
Episode 203	Average Score: 11.50 	steps: 2890.00
Episode 204	Average Score: 11.51 	steps: 2898.00
Episode 205	Average Score: 11.81 	steps: 2948.00
Episode 206	Average Score: 12.05 	steps: 2998.00
Episode 207	Average Score: 12.00 	steps: 3002.00
Episode 208	Average Score: 12.41 	steps: 3052.00
Episode 209	Average Score: 12.67 	steps: 3093.00
Episode 210	Average Score: 12.50 	steps: 3096.00
Episode 211	Average Score: 12.64 	steps: 3138.00
Episode 212	Average Score: 12.63 	steps: 3143.00
Episode 213	Average Score: 13.04 	steps: 3193.00
Episode 214	Average Score: 13.04 	steps: 3206.00
Episode 215	Average Score: 13.08 	steps: 3214.00
Episode 216	Average Score: 13.18 	steps: 3240.00
Episode 217	Average Score: 13.27 	steps: 3252.00
Episode 218	Average Score: 13.27 	steps: 3256.00
Episode 219	Average Score: 13.31 	steps: 3302.00
Episode 220	Average Score: 13.32 	steps: 3305.00
Episode 221	Average Score: 13.14 	steps: 3309.00
Episode 222	Average Score: 13.13 	steps: 3312.00
Episode 223	Average Score: 13.09 	steps: 3318.00
Episode 224	Average Score: 13.09 	steps: 3329.00
Episode 225	Average Score: 13.05 	steps: 3337.00
Episode 226	Average Score: 13.06 	steps: 3354.00
Episode 227	Average Score: 12.94 	steps: 3360.00
Episode 228	Average Score: 12.94 	steps: 3364.00
Episode 229	Average Score: 13.15 	steps: 3413.00
Episode 230	Average Score: 12.78 	steps: 3416.00
Episode 231	Average Score: 13.03 	steps: 3466.00
Episode 232	Average Score: 13.20 	steps: 3499.00
Episode 233	Average Score: 13.07 	steps: 3506.00
Episode 234	Average Score: 13.30 	steps: 3548.00
Episode 235	Average Score: 13.54 	steps: 3588.00
Episode 236	Average Score: 13.57 	steps: 3595.00
Episode 237	Average Score: 13.73 	steps: 3621.00
Episode 238	Average Score: 13.71 	steps: 3625.00
Episode 239	Average Score: 13.61 	steps: 3629.00
Episode 240	Average Score: 13.74 	steps: 3658.00
Episode 241	Average Score: 13.67 	steps: 3663.00
Episode 242	Average Score: 13.37 	steps: 3667.00
Episode 243	Average Score: 13.36 	steps: 3682.00
Episode 244	Average Score: 13.36 	steps: 3685.00
Episode 245	Average Score: 13.03 	steps: 3689.00
Episode 246	Average Score: 13.44 	steps: 3739.00
Episode 247	Average Score: 13.52 	steps: 3750.00
Episode 248	Average Score: 13.50 	steps: 3763.00
Episode 249	Average Score: 13.79 	steps: 3813.00
Episode 250	Average Score: 13.52 	steps: 3819.00
Episode 251	Average Score: 13.49 	steps: 3824.00
Episode 252	Average Score: 13.64 	steps: 3844.00
Episode 253	Average Score: 13.61 	steps: 3848.00
Episode 254	Average Score: 13.44 	steps: 3876.00
Episode 255	Average Score: 13.45 	steps: 3881.00
Episode 256	Average Score: 13.48 	steps: 3887.00
Episode 257	Average Score: 13.78 	steps: 3937.00
Episode 258	Average Score: 13.81 	steps: 3956.00
Episode 259	Average Score: 14.21 	steps: 4006.00
Episode 260	Average Score: 14.01 	steps: 4026.00
Episode 261	Average Score: 14.41 	steps: 4076.00
Episode 262	Average Score: 14.41 	steps: 4085.00
Episode 263	Average Score: 14.78 	steps: 4133.00
Episode 264	Average Score: 14.95 	steps: 4158.00
Episode 265	Average Score: 15.09 	steps: 4191.00
Episode 266	Average Score: 15.34 	steps: 4241.00
Episode 267	Average Score: 15.25 	steps: 4263.00
Episode 268	Average Score: 15.47 	steps: 4306.00
Episode 269	Average Score: 15.78 	steps: 4356.00
Episode 270	Average Score: 16.15 	steps: 4406.00
Episode 271	Average Score: 16.56 	steps: 4456.00
Episode 272	Average Score: 16.62 	steps: 4467.00
Episode 273	Average Score: 16.76 	steps: 4502.00
Episode 274	Average Score: 16.93 	steps: 4531.00
Episode 275	Average Score: 16.94 	steps: 4538.00
Episode 276	Average Score: 17.22 	steps: 4575.00
Episode 277	Average Score: 17.43 	steps: 4610.00
Episode 278	Average Score: 17.43 	steps: 4617.00
Episode 279	Average Score: 17.23 	steps: 4623.00
Episode 280	Average Score: 17.19 	steps: 4626.00
Episode 281	Average Score: 17.49 	steps: 4662.00
Episode 282	Average Score: 17.36 	steps: 4688.00
Episode 283	Average Score: 17.43 	steps: 4707.00
Episode 284	Average Score: 17.09 	steps: 4710.00
Episode 285	Average Score: 16.82 	steps: 4721.00
