created virtual environment CPython3.7.9.final.0-64 in 24850ms
  creator CPython3Posix(dest=/localscratch/fabdolla.29154451.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: numpy in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: pygame in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: pandas in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.29154451.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
Directory  48  already exists
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 3.18 	steps: 4.00
Episode 2	Average Score: 3.00 	steps: 8.00
Episode 3	Average Score: 2.34 	steps: 10.00
Episode 4	Average Score: 3.29 	steps: 19.00
Episode 5	Average Score: 3.52 	steps: 25.00
Episode 6	Average Score: 8.36 	steps: 75.00
Episode 7	Average Score: 7.89 	steps: 81.00
Episode 8	Average Score: 8.24 	steps: 94.00
Episode 9	Average Score: 8.65 	steps: 108.00
Episode 10	Average Score: 8.10 	steps: 113.00
Episode 11	Average Score: 8.75 	steps: 135.00
Episode 12	Average Score: 8.30 	steps: 140.00
Episode 13	Average Score: 8.33 	steps: 151.00
Episode 14	Average Score: 7.87 	steps: 154.00
Episode 15	Average Score: 8.10 	steps: 170.00
Episode 16	Average Score: 7.67 	steps: 173.00
Episode 17	Average Score: 7.30 	steps: 176.00
Episode 18	Average Score: 7.11 	steps: 182.00
Episode 19	Average Score: 7.60 	steps: 200.00
Episode 20	Average Score: 9.11 	steps: 250.00
Episode 21	Average Score: 10.45 	steps: 300.00
Episode 22	Average Score: 10.25 	steps: 309.00
Episode 23	Average Score: 9.88 	steps: 312.00
Episode 24	Average Score: 9.84 	steps: 323.00
Episode 25	Average Score: 9.56 	steps: 328.00
Episode 26	Average Score: 9.61 	steps: 342.00
Episode 27	Average Score: 9.48 	steps: 350.00
Episode 28	Average Score: 10.34 	steps: 394.00
Episode 29	Average Score: 10.08 	steps: 398.00
Episode 30	Average Score: 9.89 	steps: 404.00
Episode 31	Average Score: 9.66 	steps: 409.00
Episode 32	Average Score: 9.84 	steps: 426.00
Episode 33	Average Score: 9.89 	steps: 442.00
Episode 34	Average Score: 9.85 	steps: 452.00
Episode 35	Average Score: 9.82 	steps: 465.00
Episode 36	Average Score: 9.74 	steps: 477.00
Episode 37	Average Score: 9.62 	steps: 483.00
Episode 38	Average Score: 9.49 	steps: 489.00
Episode 39	Average Score: 9.42 	steps: 500.00
Episode 40	Average Score: 9.22 	steps: 503.00
Episode 41	Average Score: 9.09 	steps: 509.00
Episode 42	Average Score: 8.95 	steps: 513.00
Episode 43	Average Score: 8.86 	steps: 521.00
Episode 44	Average Score: 8.81 	steps: 531.00
Episode 45	Average Score: 8.64 	steps: 533.00
Episode 46	Average Score: 8.56 	steps: 542.00
Episode 47	Average Score: 8.46 	steps: 548.00
Episode 48	Average Score: 8.34 	steps: 552.00
Episode 49	Average Score: 8.25 	steps: 557.00
Episode 50	Average Score: 8.34 	steps: 576.00
Episode 51	Average Score: 8.22 	steps: 580.00
Episode 52	Average Score: 8.11 	steps: 585.00
Episode 53	Average Score: 8.35 	steps: 609.00
Episode 54	Average Score: 8.38 	steps: 621.00
Episode 55	Average Score: 8.36 	steps: 633.00
Episode 56	Average Score: 8.34 	steps: 642.00
Episode 57	Average Score: 8.24 	steps: 646.00
Episode 58	Average Score: 8.16 	steps: 651.00
Episode 59	Average Score: 8.12 	steps: 659.00
Episode 60	Average Score: 8.06 	steps: 667.00
Episode 61	Average Score: 8.00 	steps: 674.00
Episode 62	Average Score: 8.42 	steps: 724.00
Episode 63	Average Score: 8.36 	steps: 730.00
Episode 64	Average Score: 8.45 	steps: 749.00
Episode 65	Average Score: 8.47 	steps: 764.00
Episode 66	Average Score: 8.47 	steps: 774.00
Episode 67	Average Score: 8.46 	steps: 783.00
Episode 68	Average Score: 8.44 	steps: 792.00
Episode 69	Average Score: 8.40 	steps: 800.00
Episode 70	Average Score: 8.33 	steps: 805.00
Episode 71	Average Score: 8.55 	steps: 834.00
Episode 72	Average Score: 8.47 	steps: 839.00
Episode 73	Average Score: 8.41 	steps: 846.00
Episode 74	Average Score: 8.34 	steps: 850.00
Episode 75	Average Score: 8.30 	steps: 859.00
Episode 76	Average Score: 8.43 	steps: 882.00
Episode 77	Average Score: 8.60 	steps: 913.00
Episode 78	Average Score: 8.52 	steps: 917.00
Episode 79	Average Score: 8.46 	steps: 923.00
Episode 80	Average Score: 8.38 	steps: 926.00
Episode 81	Average Score: 8.30 	steps: 930.00
Episode 82	Average Score: 8.31 	steps: 942.00
Episode 83	Average Score: 8.36 	steps: 957.00
Episode 84	Average Score: 8.29 	steps: 962.00
Episode 85	Average Score: 8.23 	steps: 966.00
Episode 86	Average Score: 8.21 	steps: 977.00
Episode 87	Average Score: 8.29 	steps: 996.00
Episode 88	Average Score: 8.43 	steps: 1023.00
Episode 89	Average Score: 8.36 	steps: 1026.00
Episode 90	Average Score: 8.49 	steps: 1054.00
Episode 91	Average Score: 8.43 	steps: 1058.00
Episode 92	Average Score: 8.40 	steps: 1067.00
Episode 93	Average Score: 8.61 	steps: 1107.00
Episode 94	Average Score: 8.54 	steps: 1110.00
Episode 95	Average Score: 8.55 	steps: 1123.00
Episode 96	Average Score: 8.49 	steps: 1127.00
Episode 97	Average Score: 8.43 	steps: 1131.00
Episode 98	Average Score: 8.40 	steps: 1140.00
Episode 99	Average Score: 8.34 	steps: 1143.00
Episode 100	Average Score: 8.30 	steps: 1148.00
Episode 100	Average Score: 8.30 	steps: 1148.00

Episode 101	Average Score: 8.31 	steps: 1154.00
Episode 102	Average Score: 8.41 	steps: 1173.00
Episode 103	Average Score: 8.42 	steps: 1176.00
Episode 104	Average Score: 8.39 	steps: 1180.00
Episode 105	Average Score: 8.38 	steps: 1186.00
Episode 106	Average Score: 8.10 	steps: 1193.00
Episode 107	Average Score: 8.17 	steps: 1208.00
Episode 108	Average Score: 8.13 	steps: 1219.00
Episode 109	Average Score: 8.02 	steps: 1221.00
Episode 110	Average Score: 8.18 	steps: 1247.00
Episode 111	Average Score: 8.05 	steps: 1253.00
Episode 112	Average Score: 8.07 	steps: 1260.00
Episode 113	Average Score: 8.04 	steps: 1269.00
Episode 114	Average Score: 8.05 	steps: 1274.00
Episode 115	Average Score: 7.97 	steps: 1279.00
Episode 116	Average Score: 7.97 	steps: 1282.00
Episode 117	Average Score: 7.99 	steps: 1286.00
Episode 118	Average Score: 8.00 	steps: 1292.00
Episode 119	Average Score: 7.88 	steps: 1298.00
Episode 120	Average Score: 7.81 	steps: 1336.00
Episode 121	Average Score: 7.51 	steps: 1344.00
Episode 122	Average Score: 7.52 	steps: 1353.00
Episode 123	Average Score: 7.63 	steps: 1372.00
Episode 124	Average Score: 7.55 	steps: 1374.00
Episode 125	Average Score: 7.55 	steps: 1377.00
Episode 126	Average Score: 7.55 	steps: 1394.00
Episode 127	Average Score: 7.53 	steps: 1403.00
Episode 128	Average Score: 7.35 	steps: 1421.00
Episode 129	Average Score: 7.36 	steps: 1427.00
Episode 130	Average Score: 7.35 	steps: 1431.00
Episode 131	Average Score: 7.35 	steps: 1437.00
Episode 132	Average Score: 7.23 	steps: 1441.00
Episode 133	Average Score: 7.16 	steps: 1447.00
Episode 134	Average Score: 7.20 	steps: 1461.00
Episode 135	Average Score: 7.21 	steps: 1473.00
Episode 136	Average Score: 7.21 	steps: 1487.00
Episode 137	Average Score: 7.31 	steps: 1504.00
Episode 138	Average Score: 7.36 	steps: 1515.00
Episode 139	Average Score: 7.32 	steps: 1520.00
Episode 140	Average Score: 7.38 	steps: 1529.00
Episode 141	Average Score: 7.39 	steps: 1536.00
Episode 142	Average Score: 7.41 	steps: 1542.00
Episode 143	Average Score: 7.42 	steps: 1552.00
Episode 144	Average Score: 7.37 	steps: 1556.00
Episode 145	Average Score: 7.44 	steps: 1566.00
Episode 146	Average Score: 7.46 	steps: 1575.00
Episode 147	Average Score: 7.65 	steps: 1601.00
Episode 148	Average Score: 7.67 	steps: 1608.00
Episode 149	Average Score: 7.65 	steps: 1612.00
Episode 150	Average Score: 7.93 	steps: 1662.00
Episode 151	Average Score: 7.97 	steps: 1672.00
Episode 152	Average Score: 8.00 	steps: 1682.00
Episode 153	Average Score: 7.82 	steps: 1686.00
Episode 154	Average Score: 7.85 	steps: 1705.00
Episode 155	Average Score: 7.84 	steps: 1713.00
Episode 156	Average Score: 7.80 	steps: 1718.00
Episode 157	Average Score: 7.83 	steps: 1727.00
Episode 158	Average Score: 7.86 	steps: 1737.00
Episode 159	Average Score: 7.83 	steps: 1742.00
Episode 160	Average Score: 7.99 	steps: 1765.00
Episode 161	Average Score: 7.99 	steps: 1772.00
Episode 162	Average Score: 7.70 	steps: 1779.00
Episode 163	Average Score: 8.03 	steps: 1829.00
Episode 164	Average Score: 8.01 	steps: 1848.00
Episode 165	Average Score: 7.94 	steps: 1853.00
Episode 166	Average Score: 8.09 	steps: 1883.00
Episode 167	Average Score: 8.19 	steps: 1908.00
Episode 168	Average Score: 8.21 	steps: 1923.00
Episode 169	Average Score: 8.20 	steps: 1929.00
Episode 170	Average Score: 8.23 	steps: 1937.00
Episode 171	Average Score: 8.01 	steps: 1940.00
Episode 172	Average Score: 8.05 	steps: 1951.00
Episode 173	Average Score: 8.02 	steps: 1955.00
Episode 174	Average Score: 8.01 	steps: 1958.00
Episode 175	Average Score: 8.08 	steps: 1973.00
Episode 176	Average Score: 7.95 	steps: 1979.00
Episode 177	Average Score: 7.75 	steps: 1982.00
Episode 178	Average Score: 7.76 	steps: 1987.00
Episode 179	Average Score: 7.75 	steps: 1992.00
Episode 180	Average Score: 8.02 	steps: 2036.00
Episode 181	Average Score: 8.08 	steps: 2046.00
Episode 182	Average Score: 8.03 	steps: 2053.00
Episode 183	Average Score: 7.98 	steps: 2062.00
Episode 184	Average Score: 8.18 	steps: 2092.00
Episode 185	Average Score: 8.22 	steps: 2101.00
Episode 186	Average Score: 8.25 	steps: 2117.00
Episode 187	Average Score: 8.16 	steps: 2127.00
Episode 188	Average Score: 8.02 	steps: 2135.00
Episode 189	Average Score: 8.04 	steps: 2141.00
Episode 190	Average Score: 7.86 	steps: 2145.00
Episode 191	Average Score: 7.90 	steps: 2153.00
Episode 192	Average Score: 7.88 	steps: 2159.00
Episode 193	Average Score: 7.63 	steps: 2163.00
Episode 194	Average Score: 7.70 	steps: 2178.00
Episode 195	Average Score: 7.64 	steps: 2184.00
Episode 196	Average Score: 7.65 	steps: 2189.00
Episode 197	Average Score: 8.01 	steps: 2239.00
Episode 198	Average Score: 8.15 	steps: 2260.00
Episode 199	Average Score: 8.31 	steps: 2281.00
Episode 200	Average Score: 8.28 	steps: 2283.00
Episode 200	Average Score: 8.28 	steps: 2283.00

Episode 201	Average Score: 8.29 	steps: 2289.00
Episode 202	Average Score: 8.27 	steps: 2309.00
Episode 203	Average Score: 8.30 	steps: 2314.00
Episode 204	Average Score: 8.32 	steps: 2320.00
Episode 205	Average Score: 8.63 	steps: 2370.00
Episode 206	Average Score: 8.67 	steps: 2380.00
Episode 207	Average Score: 8.67 	steps: 2395.00
Episode 208	Average Score: 8.66 	steps: 2400.00
Episode 209	Average Score: 9.03 	steps: 2450.00
Episode 210	Average Score: 8.94 	steps: 2466.00
Episode 211	Average Score: 9.09 	steps: 2487.00
Episode 212	Average Score: 9.07 	steps: 2493.00
Episode 213	Average Score: 9.06 	steps: 2498.00
Episode 214	Average Score: 9.07 	steps: 2503.00
Episode 215	Average Score: 9.05 	steps: 2505.00
Episode 216	Average Score: 9.16 	steps: 2521.00
Episode 217	Average Score: 9.24 	steps: 2533.00
Episode 218	Average Score: 9.26 	steps: 2544.00
Episode 219	Average Score: 9.32 	steps: 2557.00
Episode 220	Average Score: 9.09 	steps: 2566.00
Episode 221	Average Score: 9.07 	steps: 2572.00
Episode 222	Average Score: 9.12 	steps: 2589.00
Episode 223	Average Score: 9.04 	steps: 2596.00
Episode 224	Average Score: 9.05 	steps: 2599.00
Episode 225	Average Score: 9.08 	steps: 2605.00
Episode 226	Average Score: 9.07 	steps: 2622.00
Episode 227	Average Score: 9.17 	steps: 2639.00
Episode 228	Average Score: 9.04 	steps: 2642.00
Episode 229	Average Score: 9.07 	steps: 2651.00
Episode 230	Average Score: 9.06 	steps: 2654.00
Episode 231	Average Score: 9.34 	steps: 2704.00
Episode 232	Average Score: 9.47 	steps: 2723.00
Episode 233	Average Score: 9.48 	steps: 2732.00
Episode 234	Average Score: 9.37 	steps: 2735.00
Episode 235	Average Score: 9.38 	steps: 2747.00
Episode 236	Average Score: 9.39 	steps: 2761.00
Episode 237	Average Score: 9.35 	steps: 2772.00
Episode 238	Average Score: 9.32 	steps: 2780.00
Episode 239	Average Score: 9.55 	steps: 2816.00
Episode 240	Average Score: 9.54 	steps: 2823.00
Episode 241	Average Score: 9.58 	steps: 2836.00
Episode 242	Average Score: 9.62 	steps: 2846.00
Episode 243	Average Score: 9.59 	steps: 2853.00
Episode 244	Average Score: 9.69 	steps: 2870.00
Episode 245	Average Score: 9.68 	steps: 2877.00
Episode 246	Average Score: 9.66 	steps: 2885.00
Episode 247	Average Score: 9.54 	steps: 2896.00
Episode 248	Average Score: 9.58 	steps: 2909.00
Episode 249	Average Score: 9.60 	steps: 2914.00
Episode 250	Average Score: 9.21 	steps: 2917.00
Episode 251	Average Score: 9.20 	steps: 2925.00
Episode 252	Average Score: 9.45 	steps: 2975.00
Episode 253	Average Score: 9.77 	steps: 3025.00
Episode 254	Average Score: 9.79 	steps: 3043.00
Episode 255	Average Score: 10.02 	steps: 3080.00
Episode 256	Average Score: 10.20 	steps: 3106.00
Episode 257	Average Score: 10.48 	steps: 3156.00
Episode 258	Average Score: 10.47 	steps: 3164.00
Episode 259	Average Score: 10.65 	steps: 3191.00
Episode 260	Average Score: 10.61 	steps: 3213.00
Episode 261	Average Score: 10.82 	steps: 3242.00
Episode 262	Average Score: 10.77 	steps: 3244.00
Episode 263	Average Score: 10.77 	steps: 3294.00
Episode 264	Average Score: 10.67 	steps: 3297.00
Episode 265	Average Score: 10.67 	steps: 3303.00
Episode 266	Average Score: 10.68 	steps: 3330.00
Episode 267	Average Score: 10.54 	steps: 3335.00
Episode 268	Average Score: 10.45 	steps: 3338.00
Episode 269	Average Score: 10.44 	steps: 3343.00
Episode 270	Average Score: 10.50 	steps: 3358.00
Episode 271	Average Score: 10.52 	steps: 3364.00
Episode 272	Average Score: 10.47 	steps: 3367.00
Episode 273	Average Score: 10.89 	steps: 3417.00
Episode 274	Average Score: 10.92 	steps: 3425.00
Episode 275	Average Score: 10.93 	steps: 3443.00
Episode 276	Average Score: 10.93 	steps: 3451.00
Episode 277	Average Score: 10.96 	steps: 3456.00
Episode 278	Average Score: 11.00 	steps: 3466.00
Episode 279	Average Score: 10.99 	steps: 3469.00
Episode 280	Average Score: 10.80 	steps: 3485.00
Episode 281	Average Score: 10.74 	steps: 3489.00
Episode 282	Average Score: 10.73 	steps: 3494.00
Episode 283	Average Score: 10.71 	steps: 3500.00
Episode 284	Average Score: 10.53 	steps: 3508.00
Episode 285	Average Score: 10.65 	steps: 3530.00
