created virtual environment CPython3.7.9.final.0-64 in 5145ms
  creator CPython3Posix(dest=/localscratch/fabdolla.28935052.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: gym in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: pandas in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: numpy in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: pygame in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.28935052.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 2.34 	steps: 3.00
Episode 2	Average Score: 6.46 	steps: 18.00
Episode 3	Average Score: 6.61 	steps: 26.00
Episode 4	Average Score: 6.21 	steps: 34.00
Episode 5	Average Score: 5.27 	steps: 37.00
Episode 6	Average Score: 5.46 	steps: 46.00
Episode 7	Average Score: 5.22 	steps: 52.00
Episode 8	Average Score: 6.37 	steps: 72.00
Episode 9	Average Score: 5.86 	steps: 75.00
Episode 10	Average Score: 7.08 	steps: 96.00
Episode 11	Average Score: 6.98 	steps: 105.00
Episode 12	Average Score: 6.76 	steps: 112.00
Episode 13	Average Score: 6.59 	steps: 120.00
Episode 14	Average Score: 6.58 	steps: 129.00
Episode 15	Average Score: 8.58 	steps: 179.00
Episode 16	Average Score: 8.16 	steps: 182.00
Episode 17	Average Score: 8.33 	steps: 199.00
Episode 18	Average Score: 9.44 	steps: 234.00
Episode 19	Average Score: 9.13 	steps: 240.00
Episode 20	Average Score: 8.89 	steps: 247.00
Episode 21	Average Score: 10.23 	steps: 297.00
Episode 22	Average Score: 9.87 	steps: 302.00
Episode 23	Average Score: 9.88 	steps: 317.00
Episode 24	Average Score: 9.56 	steps: 320.00
Episode 25	Average Score: 9.58 	steps: 332.00
Episode 26	Average Score: 9.34 	steps: 338.00
Episode 27	Average Score: 9.21 	steps: 346.00
Episode 28	Average Score: 9.17 	steps: 356.00
Episode 29	Average Score: 9.06 	steps: 363.00
Episode 30	Average Score: 8.92 	steps: 370.00
Episode 31	Average Score: 8.74 	steps: 375.00
Episode 32	Average Score: 8.85 	steps: 391.00
Episode 33	Average Score: 8.78 	steps: 399.00
Episode 34	Average Score: 8.63 	steps: 404.00
Episode 35	Average Score: 8.57 	steps: 412.00
Episode 36	Average Score: 9.13 	steps: 454.00
Episode 37	Average Score: 8.92 	steps: 457.00
Episode 38	Average Score: 9.06 	steps: 474.00
Episode 39	Average Score: 8.88 	steps: 478.00
Episode 40	Average Score: 9.55 	steps: 528.00
Episode 41	Average Score: 9.49 	steps: 538.00
Episode 42	Average Score: 10.14 	steps: 588.00
Episode 43	Average Score: 10.21 	steps: 603.00
Episode 44	Average Score: 10.10 	steps: 611.00
Episode 45	Average Score: 9.94 	steps: 616.00
Episode 46	Average Score: 9.90 	steps: 628.00
Episode 47	Average Score: 9.88 	steps: 641.00
Episode 48	Average Score: 9.72 	steps: 645.00
Episode 49	Average Score: 9.60 	steps: 651.00
Episode 50	Average Score: 9.54 	steps: 662.00
Episode 51	Average Score: 9.42 	steps: 668.00
Episode 52	Average Score: 9.35 	steps: 677.00
Episode 53	Average Score: 9.24 	steps: 682.00
Episode 54	Average Score: 9.10 	steps: 685.00
Episode 55	Average Score: 9.09 	steps: 697.00
Episode 56	Average Score: 9.01 	steps: 703.00
Episode 57	Average Score: 9.36 	steps: 743.00
Episode 58	Average Score: 9.44 	steps: 763.00
Episode 59	Average Score: 9.45 	steps: 775.00
Episode 60	Average Score: 9.64 	steps: 807.00
Episode 61	Average Score: 9.72 	steps: 825.00
Episode 62	Average Score: 9.62 	steps: 831.00
Episode 63	Average Score: 9.49 	steps: 834.00
Episode 64	Average Score: 9.82 	steps: 884.00
Episode 65	Average Score: 9.71 	steps: 888.00
Episode 66	Average Score: 9.61 	steps: 892.00
Episode 67	Average Score: 9.92 	steps: 934.00
Episode 68	Average Score: 9.86 	steps: 940.00
Episode 69	Average Score: 9.83 	steps: 949.00
Episode 70	Average Score: 9.97 	steps: 974.00
Episode 71	Average Score: 9.98 	steps: 988.00
Episode 72	Average Score: 10.36 	steps: 1038.00
Episode 73	Average Score: 10.32 	steps: 1050.00
Episode 74	Average Score: 10.67 	steps: 1100.00
Episode 75	Average Score: 10.71 	steps: 1118.00
Episode 76	Average Score: 10.59 	steps: 1122.00
Episode 77	Average Score: 10.56 	steps: 1133.00
Episode 78	Average Score: 10.62 	steps: 1151.00
Episode 79	Average Score: 10.56 	steps: 1160.00
Episode 80	Average Score: 10.66 	steps: 1185.00
Episode 81	Average Score: 10.54 	steps: 1187.00
Episode 82	Average Score: 10.50 	steps: 1197.00
Episode 83	Average Score: 10.50 	steps: 1210.00
Episode 84	Average Score: 10.45 	steps: 1222.00
Episode 85	Average Score: 10.54 	steps: 1242.00
Episode 86	Average Score: 10.89 	steps: 1292.00
Episode 87	Average Score: 10.90 	steps: 1312.00
Episode 88	Average Score: 10.87 	steps: 1324.00
Episode 89	Average Score: 10.79 	steps: 1331.00
Episode 90	Average Score: 10.73 	steps: 1337.00
Episode 91	Average Score: 10.64 	steps: 1340.00
Episode 92	Average Score: 10.63 	steps: 1353.00
Episode 93	Average Score: 10.56 	steps: 1358.00
Episode 94	Average Score: 10.76 	steps: 1401.00
Episode 95	Average Score: 10.72 	steps: 1409.00
Episode 96	Average Score: 10.77 	steps: 1428.00
Episode 97	Average Score: 10.98 	steps: 1475.00
Episode 98	Average Score: 10.97 	steps: 1489.00
Episode 99	Average Score: 10.95 	steps: 1501.00
Episode 100	Average Score: 11.24 	steps: 1551.00
Episode 100	Average Score: 11.24 	steps: 1551.00

Episode 101	Average Score: 11.37 	steps: 1573.00
Episode 102	Average Score: 11.44 	steps: 1601.00
Episode 103	Average Score: 11.46 	steps: 1612.00
Episode 104	Average Score: 11.48 	steps: 1621.00
Episode 105	Average Score: 11.49 	steps: 1625.00
Episode 106	Average Score: 11.51 	steps: 1640.00
Episode 107	Average Score: 11.65 	steps: 1662.00
Episode 108	Average Score: 11.56 	steps: 1668.00
Episode 109	Average Score: 11.81 	steps: 1703.00
Episode 110	Average Score: 11.72 	steps: 1713.00
Episode 111	Average Score: 11.80 	steps: 1737.00
Episode 112	Average Score: 12.17 	steps: 1787.00
Episode 113	Average Score: 12.17 	steps: 1794.00
Episode 114	Average Score: 12.31 	steps: 1823.00
Episode 115	Average Score: 11.98 	steps: 1827.00
Episode 116	Average Score: 12.11 	steps: 1848.00
Episode 117	Average Score: 12.19 	steps: 1871.00
Episode 118	Average Score: 12.00 	steps: 1881.00
Episode 119	Average Score: 12.39 	steps: 1931.00
Episode 120	Average Score: 12.43 	steps: 1946.00
Episode 121	Average Score: 12.25 	steps: 1967.00
Episode 122	Average Score: 12.27 	steps: 1973.00
Episode 123	Average Score: 12.22 	steps: 1979.00
Episode 124	Average Score: 12.23 	steps: 1982.00
Episode 125	Average Score: 12.21 	steps: 1994.00
Episode 126	Average Score: 12.23 	steps: 2002.00
Episode 127	Average Score: 12.33 	steps: 2026.00
Episode 128	Average Score: 12.30 	steps: 2031.00
Episode 129	Average Score: 12.27 	steps: 2036.00
Episode 130	Average Score: 12.36 	steps: 2057.00
Episode 131	Average Score: 12.37 	steps: 2062.00
Episode 132	Average Score: 12.35 	steps: 2076.00
Episode 133	Average Score: 12.31 	steps: 2082.00
Episode 134	Average Score: 12.47 	steps: 2105.00
Episode 135	Average Score: 12.71 	steps: 2142.00
Episode 136	Average Score: 12.77 	steps: 2184.00
Episode 137	Average Score: 12.88 	steps: 2199.00
Episode 138	Average Score: 12.89 	steps: 2220.00
Episode 139	Average Score: 12.94 	steps: 2232.00
Episode 140	Average Score: 12.60 	steps: 2235.00
Episode 141	Average Score: 12.86 	steps: 2278.00
Episode 142	Average Score: 12.54 	steps: 2284.00
Episode 143	Average Score: 12.52 	steps: 2302.00
Episode 144	Average Score: 12.54 	steps: 2314.00
Episode 145	Average Score: 12.68 	steps: 2335.00
Episode 146	Average Score: 12.62 	steps: 2338.00
Episode 147	Average Score: 12.65 	steps: 2358.00
Episode 148	Average Score: 12.79 	steps: 2381.00
Episode 149	Average Score: 12.77 	steps: 2384.00
Episode 150	Average Score: 12.73 	steps: 2387.00
Episode 151	Average Score: 13.04 	steps: 2428.00
Episode 152	Average Score: 13.39 	steps: 2478.00
Episode 153	Average Score: 13.49 	steps: 2497.00
Episode 154	Average Score: 13.55 	steps: 2510.00
Episode 155	Average Score: 13.49 	steps: 2515.00
Episode 156	Average Score: 13.56 	steps: 2527.00
Episode 157	Average Score: 13.30 	steps: 2533.00
Episode 158	Average Score: 13.21 	steps: 2542.00
Episode 159	Average Score: 13.22 	steps: 2557.00
Episode 160	Average Score: 13.29 	steps: 2589.00
Episode 161	Average Score: 13.52 	steps: 2639.00
Episode 162	Average Score: 13.66 	steps: 2662.00
Episode 163	Average Score: 14.03 	steps: 2710.00
Episode 164	Average Score: 13.99 	steps: 2753.00
Episode 165	Average Score: 14.04 	steps: 2762.00
Episode 166	Average Score: 14.43 	steps: 2812.00
Episode 167	Average Score: 14.17 	steps: 2817.00
Episode 168	Average Score: 14.16 	steps: 2822.00
Episode 169	Average Score: 14.27 	steps: 2846.00
Episode 170	Average Score: 14.18 	steps: 2859.00
Episode 171	Average Score: 14.09 	steps: 2862.00
Episode 172	Average Score: 13.82 	steps: 2876.00
Episode 173	Average Score: 13.76 	steps: 2878.00
Episode 174	Average Score: 13.49 	steps: 2890.00
Episode 175	Average Score: 13.41 	steps: 2897.00
Episode 176	Average Score: 13.47 	steps: 2907.00
Episode 177	Average Score: 13.52 	steps: 2928.00
Episode 178	Average Score: 13.51 	steps: 2951.00
Episode 179	Average Score: 13.46 	steps: 2954.00
Episode 180	Average Score: 13.44 	steps: 2978.00
Episode 181	Average Score: 13.48 	steps: 2985.00
Episode 182	Average Score: 13.42 	steps: 2988.00
Episode 183	Average Score: 13.41 	steps: 3000.00
Episode 184	Average Score: 13.37 	steps: 3004.00
Episode 185	Average Score: 13.57 	steps: 3054.00
Episode 186	Average Score: 13.23 	steps: 3063.00
Episode 187	Average Score: 13.21 	steps: 3081.00
Episode 188	Average Score: 13.18 	steps: 3088.00
Episode 189	Average Score: 13.34 	steps: 3111.00
Episode 190	Average Score: 13.44 	steps: 3132.00
Episode 191	Average Score: 13.58 	steps: 3156.00
Episode 192	Average Score: 13.56 	steps: 3166.00
Episode 193	Average Score: 13.60 	steps: 3178.00
Episode 194	Average Score: 13.37 	steps: 3186.00
Episode 195	Average Score: 13.34 	steps: 3191.00
Episode 196	Average Score: 13.24 	steps: 3201.00
Episode 197	Average Score: 12.99 	steps: 3209.00
Episode 198	Average Score: 12.91 	steps: 3213.00
Episode 199	Average Score: 13.01 	steps: 3242.00
Episode 200	Average Score: 12.66 	steps: 3248.00
Episode 200	Average Score: 12.66 	steps: 3248.00

Episode 201	Average Score: 12.63 	steps: 3266.00
Episode 202	Average Score: 12.67 	steps: 3291.00
Episode 203	Average Score: 12.65 	steps: 3303.00
Episode 204	Average Score: 12.61 	steps: 3309.00
Episode 205	Average Score: 12.77 	steps: 3334.00
Episode 206	Average Score: 12.77 	steps: 3348.00
Episode 207	Average Score: 12.61 	steps: 3351.00
Episode 208	Average Score: 12.94 	steps: 3401.00
Episode 209	Average Score: 13.07 	steps: 3451.00
Episode 210	Average Score: 13.31 	steps: 3498.00
Episode 211	Average Score: 13.21 	steps: 3503.00
Episode 212	Average Score: 12.84 	steps: 3510.00
Episode 213	Average Score: 12.81 	steps: 3513.00
Episode 214	Average Score: 12.68 	steps: 3524.00
Episode 215	Average Score: 12.97 	steps: 3574.00
Episode 216	Average Score: 12.90 	steps: 3589.00
Episode 217	Average Score: 12.72 	steps: 3591.00
Episode 218	Average Score: 12.99 	steps: 3641.00
Episode 219	Average Score: 12.69 	steps: 3664.00
Episode 220	Average Score: 12.62 	steps: 3667.00
Episode 221	Average Score: 12.46 	steps: 3670.00
Episode 222	Average Score: 12.47 	steps: 3677.00
Episode 223	Average Score: 12.62 	steps: 3704.00
Episode 224	Average Score: 12.73 	steps: 3721.00
Episode 225	Average Score: 12.74 	steps: 3733.00
Episode 226	Average Score: 12.74 	steps: 3740.00
Episode 227	Average Score: 12.64 	steps: 3750.00
Episode 228	Average Score: 12.71 	steps: 3766.00
Episode 229	Average Score: 12.69 	steps: 3769.00
Episode 230	Average Score: 12.91 	steps: 3819.00
Episode 231	Average Score: 13.16 	steps: 3851.00
Episode 232	Average Score: 13.16 	steps: 3862.00
Episode 233	Average Score: 13.18 	steps: 3869.00
Episode 234	Average Score: 13.35 	steps: 3913.00
Episode 235	Average Score: 13.35 	steps: 3963.00
Episode 236	Average Score: 13.18 	steps: 3983.00
Episode 237	Average Score: 13.10 	steps: 3988.00
Episode 238	Average Score: 13.04 	steps: 4004.00
Episode 239	Average Score: 13.04 	steps: 4015.00
Episode 240	Average Score: 13.08 	steps: 4022.00
Episode 241	Average Score: 13.09 	steps: 4072.00
Episode 242	Average Score: 13.22 	steps: 4099.00
Episode 243	Average Score: 13.37 	steps: 4136.00
Episode 244	Average Score: 13.71 	steps: 4186.00
Episode 245	Average Score: 13.58 	steps: 4193.00
Episode 246	Average Score: 13.61 	steps: 4199.00
Episode 247	Average Score: 13.60 	steps: 4219.00
Episode 248	Average Score: 13.48 	steps: 4224.00
Episode 249	Average Score: 13.55 	steps: 4240.00
Episode 250	Average Score: 13.57 	steps: 4247.00
Episode 251	Average Score: 13.24 	steps: 4250.00
Episode 252	Average Score: 12.85 	steps: 4254.00
Episode 253	Average Score: 12.73 	steps: 4257.00
Episode 254	Average Score: 12.72 	steps: 4268.00
Episode 255	Average Score: 12.80 	steps: 4280.00
Episode 256	Average Score: 12.75 	steps: 4287.00
Episode 257	Average Score: 12.75 	steps: 4295.00
Episode 258	Average Score: 12.75 	steps: 4302.00
Episode 259	Average Score: 12.78 	steps: 4328.00
Episode 260	Average Score: 12.53 	steps: 4331.00
Episode 261	Average Score: 12.33 	steps: 4356.00
Episode 262	Average Score: 12.34 	steps: 4386.00
Episode 263	Average Score: 12.10 	steps: 4406.00
Episode 264	Average Score: 11.96 	steps: 4427.00
Episode 265	Average Score: 12.25 	steps: 4477.00
Episode 266	Average Score: 11.87 	steps: 4483.00
Episode 267	Average Score: 11.96 	steps: 4505.00
Episode 268	Average Score: 12.08 	steps: 4531.00
Episode 269	Average Score: 11.97 	steps: 4541.00
Episode 270	Average Score: 12.10 	steps: 4577.00
Episode 271	Average Score: 12.35 	steps: 4609.00
Episode 272	Average Score: 12.68 	steps: 4659.00
Episode 273	Average Score: 12.80 	steps: 4676.00
Episode 274	Average Score: 12.88 	steps: 4697.00
Episode 275	Average Score: 12.85 	steps: 4701.00
Episode 276	Average Score: 13.14 	steps: 4751.00
Episode 277	Average Score: 13.19 	steps: 4780.00
Episode 278	Average Score: 13.15 	steps: 4797.00
Episode 279	Average Score: 13.17 	steps: 4801.00
Episode 280	Average Score: 13.12 	steps: 4814.00
Episode 281	Average Score: 13.10 	steps: 4817.00
Episode 282	Average Score: 13.41 	steps: 4863.00
