created virtual environment CPython3.7.9.final.0-64 in 5368ms
  creator CPython3Posix(dest=/localscratch/fabdolla.28935113.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: pygame in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: gym in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: pandas in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: numpy in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.28935113.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 10.39 	steps: 17.00
Episode 2	Average Score: 9.52 	steps: 32.00
Episode 3	Average Score: 6.84 	steps: 35.00
Episode 4	Average Score: 5.51 	steps: 38.00
Episode 5	Average Score: 4.86 	steps: 42.00
Episode 6	Average Score: 6.31 	steps: 58.00
Episode 7	Average Score: 5.70 	steps: 62.00
Episode 8	Average Score: 5.59 	steps: 68.00
Episode 9	Average Score: 5.27 	steps: 72.00
Episode 10	Average Score: 6.48 	steps: 96.00
Episode 11	Average Score: 7.36 	steps: 118.00
Episode 12	Average Score: 8.42 	steps: 144.00
Episode 13	Average Score: 8.15 	steps: 150.00
Episode 14	Average Score: 8.04 	steps: 159.00
Episode 15	Average Score: 8.71 	steps: 182.00
Episode 16	Average Score: 8.29 	steps: 186.00
Episode 17	Average Score: 8.00 	steps: 190.00
Episode 18	Average Score: 9.50 	steps: 235.00
Episode 19	Average Score: 9.55 	steps: 247.00
Episode 20	Average Score: 9.31 	steps: 256.00
Episode 21	Average Score: 9.21 	steps: 266.00
Episode 22	Average Score: 9.41 	steps: 282.00
Episode 23	Average Score: 10.05 	steps: 311.00
Episode 24	Average Score: 10.46 	steps: 337.00
Episode 25	Average Score: 10.28 	steps: 344.00
Episode 26	Average Score: 10.23 	steps: 354.00
Episode 27	Average Score: 10.02 	steps: 360.00
Episode 28	Average Score: 9.75 	steps: 364.00
Episode 29	Average Score: 9.49 	steps: 368.00
Episode 30	Average Score: 9.39 	steps: 379.00
Episode 31	Average Score: 9.58 	steps: 398.00
Episode 32	Average Score: 9.39 	steps: 403.00
Episode 33	Average Score: 9.24 	steps: 411.00
Episode 34	Average Score: 9.01 	steps: 414.00
Episode 35	Average Score: 9.03 	steps: 426.00
Episode 36	Average Score: 8.85 	steps: 430.00
Episode 37	Average Score: 8.84 	steps: 440.00
Episode 38	Average Score: 8.73 	steps: 448.00
Episode 39	Average Score: 8.55 	steps: 452.00
Episode 40	Average Score: 8.67 	steps: 471.00
Episode 41	Average Score: 8.68 	steps: 482.00
Episode 42	Average Score: 8.53 	steps: 485.00
Episode 43	Average Score: 8.54 	steps: 497.00
Episode 44	Average Score: 8.38 	steps: 499.00
Episode 45	Average Score: 8.23 	steps: 502.00
Episode 46	Average Score: 8.18 	steps: 511.00
Episode 47	Average Score: 8.13 	steps: 518.00
Episode 48	Average Score: 8.00 	steps: 522.00
Episode 49	Average Score: 7.95 	steps: 531.00
Episode 50	Average Score: 8.03 	steps: 546.00
Episode 51	Average Score: 7.93 	steps: 550.00
Episode 52	Average Score: 7.82 	steps: 553.00
Episode 53	Average Score: 7.87 	steps: 566.00
Episode 54	Average Score: 7.85 	steps: 577.00
Episode 55	Average Score: 7.82 	steps: 587.00
Episode 56	Average Score: 7.75 	steps: 593.00
Episode 57	Average Score: 7.95 	steps: 618.00
Episode 58	Average Score: 8.00 	steps: 633.00
Episode 59	Average Score: 8.17 	steps: 654.00
Episode 60	Average Score: 8.09 	steps: 659.00
Episode 61	Average Score: 8.01 	steps: 665.00
Episode 62	Average Score: 7.98 	steps: 673.00
Episode 63	Average Score: 7.89 	steps: 677.00
Episode 64	Average Score: 8.17 	steps: 709.00
Episode 65	Average Score: 8.19 	steps: 720.00
Episode 66	Average Score: 8.35 	steps: 749.00
Episode 67	Average Score: 8.30 	steps: 757.00
Episode 68	Average Score: 8.25 	steps: 764.00
Episode 69	Average Score: 8.20 	steps: 771.00
Episode 70	Average Score: 8.34 	steps: 798.00
Episode 71	Average Score: 8.74 	steps: 847.00
Episode 72	Average Score: 8.64 	steps: 850.00
Episode 73	Average Score: 8.58 	steps: 856.00
Episode 74	Average Score: 8.52 	steps: 862.00
Episode 75	Average Score: 8.61 	steps: 879.00
Episode 76	Average Score: 8.56 	steps: 885.00
Episode 77	Average Score: 8.53 	steps: 892.00
Episode 78	Average Score: 8.59 	steps: 907.00
Episode 79	Average Score: 8.52 	steps: 913.00
Episode 80	Average Score: 8.51 	steps: 925.00
Episode 81	Average Score: 8.42 	steps: 928.00
Episode 82	Average Score: 8.52 	steps: 951.00
Episode 83	Average Score: 8.54 	steps: 967.00
Episode 84	Average Score: 8.45 	steps: 970.00
Episode 85	Average Score: 8.40 	steps: 977.00
Episode 86	Average Score: 8.37 	steps: 988.00
Episode 87	Average Score: 8.46 	steps: 1009.00
Episode 88	Average Score: 8.39 	steps: 1012.00
Episode 89	Average Score: 8.35 	steps: 1020.00
Episode 90	Average Score: 8.28 	steps: 1023.00
Episode 91	Average Score: 8.30 	steps: 1035.00
Episode 92	Average Score: 8.31 	steps: 1048.00
Episode 93	Average Score: 8.27 	steps: 1056.00
Episode 94	Average Score: 8.22 	steps: 1062.00
Episode 95	Average Score: 8.23 	steps: 1073.00
Episode 96	Average Score: 8.35 	steps: 1097.00
Episode 97	Average Score: 8.31 	steps: 1104.00
Episode 98	Average Score: 8.28 	steps: 1110.00
Episode 99	Average Score: 8.30 	steps: 1123.00
Episode 100	Average Score: 8.24 	steps: 1127.00
Episode 100	Average Score: 8.24 	steps: 1127.00

Episode 101	Average Score: 8.16 	steps: 1132.00
Episode 102	Average Score: 8.10 	steps: 1136.00
Episode 103	Average Score: 8.14 	steps: 1145.00
Episode 104	Average Score: 8.18 	steps: 1153.00
Episode 105	Average Score: 8.22 	steps: 1161.00
Episode 106	Average Score: 8.11 	steps: 1167.00
Episode 107	Average Score: 8.16 	steps: 1176.00
Episode 108	Average Score: 8.17 	steps: 1186.00
Episode 109	Average Score: 8.20 	steps: 1192.00
Episode 110	Average Score: 8.38 	steps: 1240.00
Episode 111	Average Score: 8.33 	steps: 1253.00
Episode 112	Average Score: 8.18 	steps: 1261.00
Episode 113	Average Score: 8.15 	steps: 1264.00
Episode 114	Average Score: 8.10 	steps: 1268.00
Episode 115	Average Score: 8.14 	steps: 1302.00
Episode 116	Average Score: 8.16 	steps: 1307.00
Episode 117	Average Score: 8.27 	steps: 1330.00
Episode 118	Average Score: 7.98 	steps: 1338.00
Episode 119	Average Score: 7.93 	steps: 1346.00
Episode 120	Average Score: 7.96 	steps: 1355.00
Episode 121	Average Score: 7.90 	steps: 1357.00
Episode 122	Average Score: 7.80 	steps: 1362.00
Episode 123	Average Score: 7.63 	steps: 1374.00
Episode 124	Average Score: 7.72 	steps: 1406.00
Episode 125	Average Score: 7.76 	steps: 1418.00
Episode 126	Average Score: 7.69 	steps: 1422.00
Episode 127	Average Score: 7.82 	steps: 1446.00
Episode 128	Average Score: 8.16 	steps: 1496.00
Episode 129	Average Score: 8.16 	steps: 1499.00
Episode 130	Average Score: 8.16 	steps: 1508.00
Episode 131	Average Score: 8.03 	steps: 1513.00
Episode 132	Average Score: 8.02 	steps: 1517.00
Episode 133	Average Score: 8.13 	steps: 1539.00
Episode 134	Average Score: 8.17 	steps: 1546.00
Episode 135	Average Score: 8.45 	steps: 1594.00
Episode 136	Average Score: 8.52 	steps: 1605.00
Episode 137	Average Score: 8.45 	steps: 1608.00
Episode 138	Average Score: 8.49 	steps: 1618.00
Episode 139	Average Score: 8.55 	steps: 1627.00
Episode 140	Average Score: 8.64 	steps: 1656.00
Episode 141	Average Score: 8.69 	steps: 1673.00
Episode 142	Average Score: 8.92 	steps: 1706.00
Episode 143	Average Score: 8.86 	steps: 1710.00
Episode 144	Average Score: 8.87 	steps: 1714.00
Episode 145	Average Score: 8.93 	steps: 1726.00
Episode 146	Average Score: 8.91 	steps: 1732.00
Episode 147	Average Score: 8.89 	steps: 1737.00
Episode 148	Average Score: 8.95 	steps: 1748.00
Episode 149	Average Score: 9.13 	steps: 1779.00
Episode 150	Average Score: 9.04 	steps: 1784.00
Episode 151	Average Score: 9.06 	steps: 1789.00
Episode 152	Average Score: 9.10 	steps: 1799.00
Episode 153	Average Score: 9.00 	steps: 1802.00
Episode 154	Average Score: 8.99 	steps: 1809.00
Episode 155	Average Score: 8.96 	steps: 1813.00
Episode 156	Average Score: 8.94 	steps: 1815.00
Episode 157	Average Score: 8.85 	steps: 1828.00
Episode 158	Average Score: 8.77 	steps: 1832.00
Episode 159	Average Score: 8.60 	steps: 1835.00
Episode 160	Average Score: 8.61 	steps: 1839.00
Episode 161	Average Score: 8.63 	steps: 1847.00
Episode 162	Average Score: 8.64 	steps: 1856.00
Episode 163	Average Score: 8.66 	steps: 1861.00
Episode 164	Average Score: 8.57 	steps: 1880.00
Episode 165	Average Score: 8.55 	steps: 1891.00
Episode 166	Average Score: 8.52 	steps: 1911.00
Episode 167	Average Score: 8.68 	steps: 1941.00
Episode 168	Average Score: 8.66 	steps: 1947.00
Episode 169	Average Score: 8.79 	steps: 1967.00
Episode 170	Average Score: 8.67 	steps: 1975.00
Episode 171	Average Score: 8.36 	steps: 1982.00
Episode 172	Average Score: 8.51 	steps: 2006.00
Episode 173	Average Score: 8.50 	steps: 2011.00
Episode 174	Average Score: 8.50 	steps: 2016.00
Episode 175	Average Score: 8.38 	steps: 2021.00
Episode 176	Average Score: 8.42 	steps: 2036.00
Episode 177	Average Score: 8.59 	steps: 2062.00
Episode 178	Average Score: 8.49 	steps: 2066.00
Episode 179	Average Score: 8.54 	steps: 2078.00
Episode 180	Average Score: 8.51 	steps: 2084.00
Episode 181	Average Score: 8.64 	steps: 2104.00
Episode 182	Average Score: 8.52 	steps: 2110.00
Episode 183	Average Score: 8.50 	steps: 2119.00
Episode 184	Average Score: 8.60 	steps: 2133.00
Episode 185	Average Score: 8.61 	steps: 2142.00
Episode 186	Average Score: 8.68 	steps: 2157.00
Episode 187	Average Score: 8.55 	steps: 2160.00
Episode 188	Average Score: 8.57 	steps: 2167.00
Episode 189	Average Score: 8.53 	steps: 2170.00
Episode 190	Average Score: 8.54 	steps: 2174.00
Episode 191	Average Score: 8.62 	steps: 2200.00
Episode 192	Average Score: 8.61 	steps: 2211.00
Episode 193	Average Score: 8.66 	steps: 2222.00
Episode 194	Average Score: 8.65 	steps: 2226.00
Episode 195	Average Score: 8.57 	steps: 2229.00
Episode 196	Average Score: 8.45 	steps: 2239.00
Episode 197	Average Score: 8.42 	steps: 2241.00
Episode 198	Average Score: 8.47 	steps: 2254.00
Episode 199	Average Score: 8.43 	steps: 2262.00
Episode 200	Average Score: 8.83 	steps: 2312.00
Episode 200	Average Score: 8.83 	steps: 2312.00

Episode 201	Average Score: 9.22 	steps: 2362.00
Episode 202	Average Score: 9.36 	steps: 2386.00
Episode 203	Average Score: 9.44 	steps: 2403.00
Episode 204	Average Score: 9.55 	steps: 2431.00
Episode 205	Average Score: 9.54 	steps: 2437.00
Episode 206	Average Score: 9.84 	steps: 2487.00
Episode 207	Average Score: 10.12 	steps: 2537.00
Episode 208	Average Score: 10.14 	steps: 2547.00
Episode 209	Average Score: 10.29 	steps: 2571.00
Episode 210	Average Score: 10.03 	steps: 2587.00
Episode 211	Average Score: 10.05 	steps: 2605.00
Episode 212	Average Score: 10.04 	steps: 2609.00
Episode 213	Average Score: 10.14 	steps: 2629.00
Episode 214	Average Score: 10.14 	steps: 2632.00
Episode 215	Average Score: 9.93 	steps: 2635.00
Episode 216	Average Score: 9.97 	steps: 2646.00
Episode 217	Average Score: 10.21 	steps: 2696.00
Episode 218	Average Score: 10.17 	steps: 2699.00
Episode 219	Average Score: 10.13 	steps: 2702.00
Episode 220	Average Score: 10.26 	steps: 2727.00
Episode 221	Average Score: 10.32 	steps: 2735.00
Episode 222	Average Score: 10.41 	steps: 2758.00
Episode 223	Average Score: 10.44 	steps: 2772.00
Episode 224	Average Score: 10.32 	steps: 2793.00
Episode 225	Average Score: 10.26 	steps: 2799.00
Episode 226	Average Score: 10.26 	steps: 2802.00
Episode 227	Average Score: 10.13 	steps: 2808.00
Episode 228	Average Score: 9.81 	steps: 2816.00
Episode 229	Average Score: 10.19 	steps: 2866.00
Episode 230	Average Score: 10.27 	steps: 2884.00
Episode 231	Average Score: 10.36 	steps: 2899.00
Episode 232	Average Score: 10.40 	steps: 2907.00
Episode 233	Average Score: 10.28 	steps: 2912.00
Episode 234	Average Score: 10.25 	steps: 2917.00
Episode 235	Average Score: 9.91 	steps: 2923.00
Episode 236	Average Score: 9.84 	steps: 2926.00
Episode 237	Average Score: 9.90 	steps: 2939.00
Episode 238	Average Score: 9.87 	steps: 2947.00
Episode 239	Average Score: 9.81 	steps: 2950.00
Episode 240	Average Score: 9.98 	steps: 3000.00
Episode 241	Average Score: 9.94 	steps: 3013.00
Episode 242	Average Score: 9.75 	steps: 3022.00
Episode 243	Average Score: 9.84 	steps: 3037.00
Episode 244	Average Score: 9.89 	steps: 3047.00
Episode 245	Average Score: 10.20 	steps: 3097.00
Episode 246	Average Score: 10.55 	steps: 3147.00
Episode 247	Average Score: 10.55 	steps: 3153.00
Episode 248	Average Score: 10.50 	steps: 3157.00
Episode 249	Average Score: 10.38 	steps: 3175.00
Episode 250	Average Score: 10.65 	steps: 3216.00
Episode 251	Average Score: 10.62 	steps: 3220.00
Episode 252	Average Score: 10.72 	steps: 3240.00
Episode 253	Average Score: 10.78 	steps: 3252.00
Episode 254	Average Score: 10.80 	steps: 3261.00
Episode 255	Average Score: 10.79 	steps: 3265.00
Episode 256	Average Score: 10.81 	steps: 3271.00
Episode 257	Average Score: 10.76 	steps: 3279.00
Episode 258	Average Score: 11.03 	steps: 3317.00
Episode 259	Average Score: 11.05 	steps: 3322.00
Episode 260	Average Score: 11.14 	steps: 3339.00
Episode 261	Average Score: 11.14 	steps: 3348.00
Episode 262	Average Score: 11.41 	steps: 3388.00
Episode 263	Average Score: 11.45 	steps: 3398.00
Episode 264	Average Score: 11.30 	steps: 3400.00
Episode 265	Average Score: 11.56 	steps: 3442.00
Episode 266	Average Score: 11.51 	steps: 3454.00
Episode 267	Average Score: 11.34 	steps: 3459.00
Episode 268	Average Score: 11.42 	steps: 3475.00
Episode 269	Average Score: 11.31 	steps: 3482.00
Episode 270	Average Score: 11.28 	steps: 3486.00
Episode 271	Average Score: 11.62 	steps: 3536.00
Episode 272	Average Score: 11.54 	steps: 3547.00
Episode 273	Average Score: 11.87 	steps: 3597.00
Episode 274	Average Score: 11.93 	steps: 3610.00
Episode 275	Average Score: 12.08 	steps: 3633.00
Episode 276	Average Score: 12.04 	steps: 3639.00
Episode 277	Average Score: 12.23 	steps: 3689.00
Episode 278	Average Score: 12.37 	steps: 3710.00
Episode 279	Average Score: 12.49 	steps: 3732.00
Episode 280	Average Score: 12.49 	steps: 3740.00
Episode 281	Average Score: 12.38 	steps: 3744.00
Episode 282	Average Score: 12.35 	steps: 3748.00
Episode 283	Average Score: 12.32 	steps: 3756.00
