created virtual environment CPython3.7.9.final.0-64 in 8248ms
  creator CPython3Posix(dest=/localscratch/fabdolla.28934880.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: gym in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: pandas in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: numpy in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: pygame in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.28934880.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 2.47 	steps: 4.00
Episode 2	Average Score: 3.13 	steps: 11.00
Episode 3	Average Score: 5.14 	steps: 23.00
Episode 4	Average Score: 4.39 	steps: 26.00
Episode 5	Average Score: 4.59 	steps: 33.00
Episode 6	Average Score: 4.61 	steps: 39.00
Episode 7	Average Score: 4.28 	steps: 43.00
Episode 8	Average Score: 4.61 	steps: 54.00
Episode 9	Average Score: 4.59 	steps: 61.00
Episode 10	Average Score: 4.68 	steps: 69.00
Episode 11	Average Score: 4.80 	steps: 76.00
Episode 12	Average Score: 4.71 	steps: 81.00
Episode 13	Average Score: 4.46 	steps: 84.00
Episode 14	Average Score: 4.25 	steps: 87.00
Episode 15	Average Score: 4.41 	steps: 97.00
Episode 16	Average Score: 4.26 	steps: 100.00
Episode 17	Average Score: 4.21 	steps: 105.00
Episode 18	Average Score: 4.17 	steps: 110.00
Episode 19	Average Score: 4.02 	steps: 113.00
Episode 20	Average Score: 4.03 	steps: 118.00
Episode 21	Average Score: 4.04 	steps: 125.00
Episode 22	Average Score: 4.32 	steps: 140.00
Episode 23	Average Score: 4.23 	steps: 144.00
Episode 24	Average Score: 4.16 	steps: 148.00
Episode 25	Average Score: 4.24 	steps: 156.00
Episode 26	Average Score: 4.39 	steps: 168.00
Episode 27	Average Score: 4.68 	steps: 188.00
Episode 28	Average Score: 5.02 	steps: 204.00
Episode 29	Average Score: 5.15 	steps: 216.00
Episode 30	Average Score: 5.34 	steps: 229.00
Episode 31	Average Score: 5.30 	steps: 236.00
Episode 32	Average Score: 5.23 	steps: 241.00
Episode 33	Average Score: 5.24 	steps: 248.00
Episode 34	Average Score: 5.20 	steps: 253.00
Episode 35	Average Score: 6.11 	steps: 303.00
Episode 36	Average Score: 6.12 	steps: 312.00
Episode 37	Average Score: 6.90 	steps: 362.00
Episode 38	Average Score: 6.82 	steps: 367.00
Episode 39	Average Score: 6.75 	steps: 373.00
Episode 40	Average Score: 6.79 	steps: 385.00
Episode 41	Average Score: 6.66 	steps: 388.00
Episode 42	Average Score: 6.59 	steps: 393.00
Episode 43	Average Score: 6.59 	steps: 401.00
Episode 44	Average Score: 6.49 	steps: 405.00
Episode 45	Average Score: 6.50 	steps: 414.00
Episode 46	Average Score: 6.42 	steps: 419.00
Episode 47	Average Score: 6.49 	steps: 432.00
Episode 48	Average Score: 6.50 	steps: 442.00
Episode 49	Average Score: 6.46 	steps: 449.00
Episode 50	Average Score: 6.39 	steps: 453.00
Episode 51	Average Score: 6.28 	steps: 455.00
Episode 52	Average Score: 6.18 	steps: 457.00
Episode 53	Average Score: 6.17 	steps: 464.00
Episode 54	Average Score: 6.73 	steps: 506.00
Episode 55	Average Score: 6.70 	steps: 514.00
Episode 56	Average Score: 6.81 	steps: 534.00
Episode 57	Average Score: 6.76 	steps: 539.00
Episode 58	Average Score: 6.82 	steps: 556.00
Episode 59	Average Score: 6.76 	steps: 561.00
Episode 60	Average Score: 7.04 	steps: 593.00
Episode 61	Average Score: 7.08 	steps: 605.00
Episode 62	Average Score: 7.11 	steps: 619.00
Episode 63	Average Score: 7.07 	steps: 625.00
Episode 64	Average Score: 7.00 	steps: 630.00
Episode 65	Average Score: 6.92 	steps: 634.00
Episode 66	Average Score: 6.88 	steps: 641.00
Episode 67	Average Score: 7.02 	steps: 665.00
Episode 68	Average Score: 6.97 	steps: 671.00
Episode 69	Average Score: 6.90 	steps: 675.00
Episode 70	Average Score: 6.87 	steps: 682.00
Episode 71	Average Score: 6.79 	steps: 685.00
Episode 72	Average Score: 6.74 	steps: 690.00
Episode 73	Average Score: 6.68 	steps: 695.00
Episode 74	Average Score: 7.09 	steps: 745.00
Episode 75	Average Score: 7.13 	steps: 757.00
Episode 76	Average Score: 7.16 	steps: 771.00
Episode 77	Average Score: 7.08 	steps: 774.00
Episode 78	Average Score: 7.21 	steps: 799.00
Episode 79	Average Score: 7.16 	steps: 804.00
Episode 80	Average Score: 7.10 	steps: 808.00
Episode 81	Average Score: 7.08 	steps: 816.00
Episode 82	Average Score: 7.03 	steps: 820.00
Episode 83	Average Score: 6.98 	steps: 825.00
Episode 84	Average Score: 6.97 	steps: 836.00
Episode 85	Average Score: 7.00 	steps: 851.00
Episode 86	Average Score: 7.01 	steps: 864.00
Episode 87	Average Score: 6.98 	steps: 872.00
Episode 88	Average Score: 6.96 	steps: 877.00
Episode 89	Average Score: 6.93 	steps: 883.00
Episode 90	Average Score: 6.87 	steps: 887.00
Episode 91	Average Score: 6.91 	steps: 899.00
Episode 92	Average Score: 6.87 	steps: 904.00
Episode 93	Average Score: 6.84 	steps: 909.00
Episode 94	Average Score: 6.91 	steps: 926.00
Episode 95	Average Score: 6.85 	steps: 928.00
Episode 96	Average Score: 6.80 	steps: 932.00
Episode 97	Average Score: 6.81 	steps: 945.00
Episode 98	Average Score: 6.79 	steps: 953.00
Episode 99	Average Score: 6.73 	steps: 956.00
Episode 100	Average Score: 6.75 	steps: 970.00
Episode 100	Average Score: 6.75 	steps: 970.00

Episode 101	Average Score: 6.81 	steps: 979.00
Episode 102	Average Score: 6.79 	steps: 984.00
Episode 103	Average Score: 6.76 	steps: 993.00
Episode 104	Average Score: 6.83 	steps: 1004.00
Episode 105	Average Score: 6.93 	steps: 1024.00
Episode 106	Average Score: 7.02 	steps: 1041.00
Episode 107	Average Score: 7.03 	steps: 1047.00
Episode 108	Average Score: 7.03 	steps: 1054.00
Episode 109	Average Score: 7.04 	steps: 1061.00
Episode 110	Average Score: 7.30 	steps: 1097.00
Episode 111	Average Score: 7.27 	steps: 1101.00
Episode 112	Average Score: 7.29 	steps: 1108.00
Episode 113	Average Score: 7.31 	steps: 1113.00
Episode 114	Average Score: 7.35 	steps: 1119.00
Episode 115	Average Score: 7.50 	steps: 1152.00
Episode 116	Average Score: 7.54 	steps: 1160.00
Episode 117	Average Score: 7.69 	steps: 1185.00
Episode 118	Average Score: 7.67 	steps: 1189.00
Episode 119	Average Score: 7.69 	steps: 1193.00
Episode 120	Average Score: 7.70 	steps: 1200.00
Episode 121	Average Score: 7.70 	steps: 1208.00
Episode 122	Average Score: 7.61 	steps: 1211.00
Episode 123	Average Score: 7.98 	steps: 1261.00
Episode 124	Average Score: 8.30 	steps: 1300.00
Episode 125	Average Score: 8.28 	steps: 1306.00
Episode 126	Average Score: 8.24 	steps: 1313.00
Episode 127	Average Score: 8.30 	steps: 1338.00
Episode 128	Average Score: 8.46 	steps: 1374.00
Episode 129	Average Score: 8.50 	steps: 1390.00
Episode 130	Average Score: 8.58 	steps: 1411.00
Episode 131	Average Score: 8.63 	steps: 1421.00
Episode 132	Average Score: 8.71 	steps: 1436.00
Episode 133	Average Score: 8.72 	steps: 1445.00
Episode 134	Average Score: 8.96 	steps: 1479.00
Episode 135	Average Score: 8.65 	steps: 1487.00
Episode 136	Average Score: 8.64 	steps: 1494.00
Episode 137	Average Score: 8.33 	steps: 1499.00
Episode 138	Average Score: 8.40 	steps: 1518.00
Episode 139	Average Score: 8.42 	steps: 1525.00
Episode 140	Average Score: 8.54 	steps: 1547.00
Episode 141	Average Score: 8.63 	steps: 1560.00
Episode 142	Average Score: 8.72 	steps: 1577.00
Episode 143	Average Score: 8.88 	steps: 1609.00
Episode 144	Average Score: 8.92 	steps: 1616.00
Episode 145	Average Score: 8.96 	steps: 1630.00
Episode 146	Average Score: 9.04 	steps: 1647.00
Episode 147	Average Score: 8.99 	steps: 1653.00
Episode 148	Average Score: 8.97 	steps: 1661.00
Episode 149	Average Score: 8.99 	steps: 1671.00
Episode 150	Average Score: 9.01 	steps: 1680.00
Episode 151	Average Score: 9.23 	steps: 1706.00
Episode 152	Average Score: 9.42 	steps: 1739.00
Episode 153	Average Score: 9.51 	steps: 1758.00
Episode 154	Average Score: 9.17 	steps: 1764.00
Episode 155	Average Score: 9.29 	steps: 1785.00
Episode 156	Average Score: 9.18 	steps: 1788.00
Episode 157	Average Score: 9.24 	steps: 1799.00
Episode 158	Average Score: 9.16 	steps: 1803.00
Episode 159	Average Score: 9.16 	steps: 1807.00
Episode 160	Average Score: 9.18 	steps: 1839.00
Episode 161	Average Score: 9.14 	steps: 1846.00
Episode 162	Average Score: 9.12 	steps: 1853.00
Episode 163	Average Score: 9.17 	steps: 1865.00
Episode 164	Average Score: 9.21 	steps: 1873.00
Episode 165	Average Score: 9.26 	steps: 1882.00
Episode 166	Average Score: 9.24 	steps: 1885.00
Episode 167	Average Score: 9.28 	steps: 1907.00
Episode 168	Average Score: 9.29 	steps: 1915.00
Episode 169	Average Score: 9.35 	steps: 1924.00
Episode 170	Average Score: 9.33 	steps: 1929.00
Episode 171	Average Score: 9.34 	steps: 1932.00
Episode 172	Average Score: 9.37 	steps: 1939.00
Episode 173	Average Score: 9.37 	steps: 1943.00
Episode 174	Average Score: 9.04 	steps: 1948.00
Episode 175	Average Score: 8.97 	steps: 1952.00
Episode 176	Average Score: 8.97 	steps: 1965.00
Episode 177	Average Score: 8.97 	steps: 1967.00
Episode 178	Average Score: 8.90 	steps: 1981.00
Episode 179	Average Score: 8.95 	steps: 1994.00
Episode 180	Average Score: 9.01 	steps: 2004.00
Episode 181	Average Score: 9.06 	steps: 2015.00
Episode 182	Average Score: 9.19 	steps: 2041.00
Episode 183	Average Score: 9.35 	steps: 2062.00
Episode 184	Average Score: 9.46 	steps: 2084.00
Episode 185	Average Score: 9.38 	steps: 2087.00
Episode 186	Average Score: 9.37 	steps: 2096.00
Episode 187	Average Score: 9.60 	steps: 2134.00
Episode 188	Average Score: 9.61 	steps: 2140.00
Episode 189	Average Score: 9.59 	steps: 2143.00
Episode 190	Average Score: 9.62 	steps: 2149.00
Episode 191	Average Score: 9.56 	steps: 2158.00
Episode 192	Average Score: 9.58 	steps: 2165.00
Episode 193	Average Score: 9.94 	steps: 2214.00
Episode 194	Average Score: 9.85 	steps: 2221.00
Episode 195	Average Score: 10.06 	steps: 2248.00
Episode 196	Average Score: 10.10 	steps: 2255.00
Episode 197	Average Score: 10.08 	steps: 2264.00
Episode 198	Average Score: 10.23 	steps: 2293.00
Episode 199	Average Score: 10.26 	steps: 2302.00
Episode 200	Average Score: 10.56 	steps: 2352.00
Episode 200	Average Score: 10.56 	steps: 2352.00

Episode 201	Average Score: 10.53 	steps: 2357.00
Episode 202	Average Score: 10.62 	steps: 2370.00
Episode 203	Average Score: 10.58 	steps: 2373.00
Episode 204	Average Score: 10.52 	steps: 2379.00
Episode 205	Average Score: 10.70 	steps: 2416.00
Episode 206	Average Score: 10.61 	steps: 2421.00
Episode 207	Average Score: 10.64 	steps: 2430.00
Episode 208	Average Score: 10.90 	steps: 2478.00
Episode 209	Average Score: 10.86 	steps: 2483.00
Episode 210	Average Score: 10.73 	steps: 2512.00
Episode 211	Average Score: 10.81 	steps: 2528.00
Episode 212	Average Score: 10.77 	steps: 2531.00
Episode 213	Average Score: 10.76 	steps: 2537.00
Episode 214	Average Score: 10.84 	steps: 2553.00
Episode 215	Average Score: 10.63 	steps: 2555.00
Episode 216	Average Score: 10.59 	steps: 2559.00
Episode 217	Average Score: 10.50 	steps: 2569.00
Episode 218	Average Score: 10.59 	steps: 2584.00
Episode 219	Average Score: 10.62 	steps: 2591.00
Episode 220	Average Score: 10.58 	steps: 2594.00
Episode 221	Average Score: 10.86 	steps: 2638.00
Episode 222	Average Score: 10.87 	steps: 2642.00
Episode 223	Average Score: 10.53 	steps: 2649.00
Episode 224	Average Score: 10.30 	steps: 2664.00
Episode 225	Average Score: 10.57 	steps: 2709.00
Episode 226	Average Score: 10.59 	steps: 2717.00
Episode 227	Average Score: 10.44 	steps: 2721.00
Episode 228	Average Score: 10.59 	steps: 2771.00
Episode 229	Average Score: 10.49 	steps: 2776.00
Episode 230	Average Score: 10.39 	steps: 2786.00
Episode 231	Average Score: 10.50 	steps: 2814.00
Episode 232	Average Score: 10.42 	steps: 2818.00
Episode 233	Average Score: 10.41 	steps: 2824.00
Episode 234	Average Score: 10.27 	steps: 2840.00
Episode 235	Average Score: 10.34 	steps: 2857.00
Episode 236	Average Score: 10.39 	steps: 2873.00
Episode 237	Average Score: 10.75 	steps: 2923.00
Episode 238	Average Score: 10.66 	steps: 2927.00
Episode 239	Average Score: 10.62 	steps: 2931.00
Episode 240	Average Score: 10.45 	steps: 2935.00
Episode 241	Average Score: 10.50 	steps: 2951.00
Episode 242	Average Score: 10.45 	steps: 2962.00
Episode 243	Average Score: 10.27 	steps: 2967.00
Episode 244	Average Score: 10.55 	steps: 3006.00
Episode 245	Average Score: 10.48 	steps: 3012.00
Episode 246	Average Score: 10.49 	steps: 3028.00
Episode 247	Average Score: 10.49 	steps: 3036.00
Episode 248	Average Score: 10.50 	steps: 3043.00
Episode 249	Average Score: 10.50 	steps: 3051.00
Episode 250	Average Score: 10.47 	steps: 3055.00
Episode 251	Average Score: 10.33 	steps: 3065.00
Episode 252	Average Score: 10.16 	steps: 3069.00
Episode 253	Average Score: 10.08 	steps: 3079.00
Episode 254	Average Score: 10.10 	steps: 3086.00
Episode 255	Average Score: 9.95 	steps: 3089.00
Episode 256	Average Score: 9.95 	steps: 3092.00
Episode 257	Average Score: 9.89 	steps: 3100.00
Episode 258	Average Score: 9.93 	steps: 3110.00
Episode 259	Average Score: 9.93 	steps: 3113.00
Episode 260	Average Score: 9.70 	steps: 3117.00
Episode 261	Average Score: 9.75 	steps: 3133.00
Episode 262	Average Score: 9.81 	steps: 3148.00
Episode 263	Average Score: 9.81 	steps: 3158.00
Episode 264	Average Score: 9.76 	steps: 3162.00
Episode 265	Average Score: 9.83 	steps: 3179.00
Episode 266	Average Score: 9.92 	steps: 3195.00
Episode 267	Average Score: 9.78 	steps: 3201.00
Episode 268	Average Score: 9.75 	steps: 3204.00
Episode 269	Average Score: 9.80 	steps: 3220.00
Episode 270	Average Score: 10.04 	steps: 3253.00
Episode 271	Average Score: 10.05 	steps: 3260.00
Episode 272	Average Score: 10.14 	steps: 3279.00
Episode 273	Average Score: 10.37 	steps: 3310.00
Episode 274	Average Score: 10.36 	steps: 3314.00
Episode 275	Average Score: 10.46 	steps: 3328.00
Episode 276	Average Score: 10.55 	steps: 3349.00
Episode 277	Average Score: 10.59 	steps: 3355.00
Episode 278	Average Score: 10.65 	steps: 3374.00
Episode 279	Average Score: 10.62 	steps: 3379.00
Episode 280	Average Score: 10.91 	steps: 3423.00
Episode 281	Average Score: 10.87 	steps: 3430.00
Episode 282	Average Score: 11.06 	steps: 3480.00
Episode 283	Average Score: 11.10 	steps: 3507.00
