created virtual environment CPython3.7.9.final.0-64 in 6841ms
  creator CPython3Posix(dest=/localscratch/fabdolla.28934881.0/env, clear=False, global=False)
  seeder FromAppData(download=False, pip=latest, setuptools=latest, wheel=latest, via=copy, app_data_dir=/home/fabdolla/.local/share/virtualenv/seed-app-data/v1.0.1)
  activators BashActivator,CShellActivator,FishActivator,PowerShellActivator,PythonActivator,XonshActivator
Ignoring pip: markers 'python_version < "3"' don't match your environment
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Collecting pip
  Using cached pip-22.0.4-py3-none-any.whl (2.1 MB)
Installing collected packages: pip
  Attempting uninstall: pip
    Found existing installation: pip 20.0.2
    Uninstalling pip-20.0.2:
      Successfully uninstalled pip-20.0.2
Successfully installed pip-22.0.4
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cloudpickle-2.0.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/cycler-0.11.0+computecanada-py3-none-any.whl
Collecting gym==0.21.0
  Using cached gym-0.21.0-py3-none-any.whl
Collecting highway-env==1.4
  Using cached highway_env-1.4-py3-none-any.whl (97 kB)
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/importlib_metadata-4.8.1+computecanada-py3-none-any.whl
Collecting kiwisolver==1.3.2
  Using cached kiwisolver-1.3.2-cp37-cp37m-linux_x86_64.whl
Collecting matplotlib==3.4.3
  Using cached matplotlib-3.4.3-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pyparsing-3.0.4+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/python_dateutil-2.8.2+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/pytz-2021.3+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/six-1.16.0+computecanada-py2.py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/torch-1.10.0+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/typing_extensions-3.10.0.2+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic/zipp-3.6.0+computecanada-py3-none-any.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/numpy-1.21.4+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic/pygame-2.0.1+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/pandas-1.3.5+computecanada-cp37-cp37m-linux_x86_64.whl
Processing /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2/Pillow-8.4.0+computecanada-cp37-cp37m-linux_x86_64.whl
Installing collected packages: typing-extensions, pytz, pygame, zipp, torch, six, pyparsing, pillow, numpy, kiwisolver, cycler, cloudpickle, python-dateutil, importlib-metadata, pandas, matplotlib, gym, highway-env
Successfully installed cloudpickle-2.0.0+computecanada cycler-0.11.0+computecanada gym-0.21.0 highway-env-1.4 importlib-metadata-4.8.1+computecanada kiwisolver-1.3.2 matplotlib-3.4.3 numpy-1.21.4+computecanada pandas-1.3.5+computecanada pillow-8.4.0+computecanada pygame-2.0.1+computecanada pyparsing-3.0.4+computecanada python-dateutil-2.8.2+computecanada pytz-2021.3+computecanada six-1.16.0+computecanada torch-1.10.0+computecanada typing-extensions-3.10.0.2+computecanada zipp-3.6.0+computecanada
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: highway_env in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (1.4)
Requirement already satisfied: pandas in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from highway_env) (1.3.5+computecanada)
Requirement already satisfied: pygame in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from highway_env) (2.0.1+computecanada)
Requirement already satisfied: gym in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from highway_env) (0.21.0)
Requirement already satisfied: numpy in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from highway_env) (1.21.4+computecanada)
Requirement already satisfied: matplotlib in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from highway_env) (3.4.3)
Requirement already satisfied: importlib-metadata>=4.8.1 in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from gym->highway_env) (4.8.1+computecanada)
Requirement already satisfied: cloudpickle>=1.2.0 in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from gym->highway_env) (2.0.0+computecanada)
Requirement already satisfied: pillow>=6.2.0 in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (8.4.0+computecanada)
Requirement already satisfied: pyparsing>=2.2.1 in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (3.0.4+computecanada)
Requirement already satisfied: kiwisolver>=1.0.1 in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (1.3.2)
Requirement already satisfied: cycler>=0.10 in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (0.11.0+computecanada)
Requirement already satisfied: python-dateutil>=2.7 in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from matplotlib->highway_env) (2.8.2+computecanada)
Requirement already satisfied: pytz>=2017.3 in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from pandas->highway_env) (2021.3+computecanada)
Requirement already satisfied: typing-extensions>=3.6.4 in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.10.0.2+computecanada)
Requirement already satisfied: zipp>=0.5 in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from importlib-metadata>=4.8.1->gym->highway_env) (3.6.0+computecanada)
Requirement already satisfied: six>=1.5 in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from python-dateutil>=2.7->matplotlib->highway_env) (1.16.0+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: numpy in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (1.21.4+computecanada)
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: torch in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (1.10.0+computecanada)
Requirement already satisfied: typing-extensions in /localscratch/fabdolla.28934881.0/env/lib/python3.7/site-packages (from torch) (3.10.0.2+computecanada)
State shape:  (5, 5)
Number of actions:  5

Episode 1	Average Score: 0.92 	steps: 2.00
Episode 2	Average Score: 2.14 	steps: 7.00
Episode 3	Average Score: 4.84 	steps: 23.00
Episode 4	Average Score: 7.22 	steps: 42.00
Episode 5	Average Score: 8.57 	steps: 62.00
Episode 6	Average Score: 7.46 	steps: 65.00
Episode 7	Average Score: 6.81 	steps: 70.00
Episode 8	Average Score: 10.65 	steps: 120.00
Episode 9	Average Score: 9.92 	steps: 127.00
Episode 10	Average Score: 10.19 	steps: 142.00
Episode 11	Average Score: 10.05 	steps: 156.00
Episode 12	Average Score: 10.46 	steps: 176.00
Episode 13	Average Score: 10.91 	steps: 195.00
Episode 14	Average Score: 10.88 	steps: 209.00
Episode 15	Average Score: 11.28 	steps: 230.00
Episode 16	Average Score: 11.01 	steps: 241.00
Episode 17	Average Score: 10.93 	steps: 255.00
Episode 18	Average Score: 10.45 	steps: 259.00
Episode 19	Average Score: 10.09 	steps: 264.00
Episode 20	Average Score: 9.77 	steps: 269.00
Episode 21	Average Score: 9.53 	steps: 276.00
Episode 22	Average Score: 9.23 	steps: 280.00
Episode 23	Average Score: 9.04 	steps: 286.00
Episode 24	Average Score: 9.94 	steps: 323.00
Episode 25	Average Score: 9.62 	steps: 326.00
Episode 26	Average Score: 9.45 	steps: 333.00
Episode 27	Average Score: 9.34 	steps: 343.00
Episode 28	Average Score: 9.30 	steps: 357.00
Episode 29	Average Score: 9.09 	steps: 361.00
Episode 30	Average Score: 8.91 	steps: 366.00
Episode 31	Average Score: 8.71 	steps: 371.00
Episode 32	Average Score: 8.79 	steps: 385.00
Episode 33	Average Score: 8.60 	steps: 389.00
Episode 34	Average Score: 8.57 	steps: 399.00
Episode 35	Average Score: 8.56 	steps: 412.00
Episode 36	Average Score: 8.38 	steps: 416.00
Episode 37	Average Score: 8.30 	steps: 423.00
Episode 38	Average Score: 8.14 	steps: 426.00
Episode 39	Average Score: 8.06 	steps: 433.00
Episode 40	Average Score: 7.97 	steps: 439.00
Episode 41	Average Score: 7.82 	steps: 442.00
Episode 42	Average Score: 7.65 	steps: 444.00
Episode 43	Average Score: 7.54 	steps: 448.00
Episode 44	Average Score: 7.40 	steps: 451.00
Episode 45	Average Score: 7.35 	steps: 459.00
Episode 46	Average Score: 7.22 	steps: 461.00
Episode 47	Average Score: 7.14 	steps: 466.00
Episode 48	Average Score: 7.21 	steps: 482.00
Episode 49	Average Score: 7.25 	steps: 496.00
Episode 50	Average Score: 7.30 	steps: 507.00
Episode 51	Average Score: 7.21 	steps: 511.00
Episode 52	Average Score: 7.10 	steps: 514.00
Episode 53	Average Score: 7.14 	steps: 524.00
Episode 54	Average Score: 7.06 	steps: 529.00
Episode 55	Average Score: 7.04 	steps: 536.00
Episode 56	Average Score: 7.11 	steps: 550.00
Episode 57	Average Score: 7.00 	steps: 552.00
Episode 58	Average Score: 6.90 	steps: 555.00
Episode 59	Average Score: 6.84 	steps: 559.00
Episode 60	Average Score: 6.77 	steps: 563.00
Episode 61	Average Score: 6.69 	steps: 567.00
Episode 62	Average Score: 6.66 	steps: 575.00
Episode 63	Average Score: 6.66 	steps: 585.00
Episode 64	Average Score: 6.65 	steps: 592.00
Episode 65	Average Score: 7.08 	steps: 633.00
Episode 66	Average Score: 7.05 	steps: 642.00
Episode 67	Average Score: 7.05 	steps: 651.00
Episode 68	Average Score: 7.07 	steps: 662.00
Episode 69	Average Score: 7.09 	steps: 673.00
Episode 70	Average Score: 7.07 	steps: 680.00
Episode 71	Average Score: 7.27 	steps: 703.00
Episode 72	Average Score: 7.26 	steps: 712.00
Episode 73	Average Score: 7.22 	steps: 719.00
Episode 74	Average Score: 7.17 	steps: 725.00
Episode 75	Average Score: 7.16 	steps: 735.00
Episode 76	Average Score: 7.09 	steps: 738.00
Episode 77	Average Score: 7.05 	steps: 743.00
Episode 78	Average Score: 7.09 	steps: 757.00
Episode 79	Average Score: 7.03 	steps: 761.00
Episode 80	Average Score: 7.21 	steps: 792.00
Episode 81	Average Score: 7.17 	steps: 798.00
Episode 82	Average Score: 7.19 	steps: 809.00
Episode 83	Average Score: 7.15 	steps: 815.00
Episode 84	Average Score: 7.12 	steps: 821.00
Episode 85	Average Score: 7.09 	steps: 828.00
Episode 86	Average Score: 7.09 	steps: 839.00
Episode 87	Average Score: 7.04 	steps: 842.00
Episode 88	Average Score: 6.97 	steps: 844.00
Episode 89	Average Score: 6.91 	steps: 847.00
Episode 90	Average Score: 7.08 	steps: 876.00
Episode 91	Average Score: 7.03 	steps: 880.00
Episode 92	Average Score: 6.97 	steps: 882.00
Episode 93	Average Score: 6.94 	steps: 889.00
Episode 94	Average Score: 6.94 	steps: 899.00
Episode 95	Average Score: 6.91 	steps: 907.00
Episode 96	Average Score: 6.86 	steps: 911.00
Episode 97	Average Score: 6.83 	steps: 917.00
Episode 98	Average Score: 6.81 	steps: 923.00
Episode 99	Average Score: 6.78 	steps: 930.00
Episode 100	Average Score: 6.74 	steps: 935.00
Episode 100	Average Score: 6.74 	steps: 935.00

Episode 101	Average Score: 6.82 	steps: 948.00
Episode 102	Average Score: 6.83 	steps: 953.00
Episode 103	Average Score: 6.76 	steps: 959.00
Episode 104	Average Score: 6.63 	steps: 962.00
Episode 105	Average Score: 6.75 	steps: 1002.00
Episode 106	Average Score: 6.76 	steps: 1007.00
Episode 107	Average Score: 6.75 	steps: 1010.00
Episode 108	Average Score: 6.39 	steps: 1012.00
Episode 109	Average Score: 6.40 	steps: 1019.00
Episode 110	Average Score: 6.33 	steps: 1028.00
Episode 111	Average Score: 6.28 	steps: 1035.00
Episode 112	Average Score: 6.16 	steps: 1040.00
Episode 113	Average Score: 6.03 	steps: 1044.00
Episode 114	Average Score: 6.00 	steps: 1058.00
Episode 115	Average Score: 5.87 	steps: 1064.00
Episode 116	Average Score: 5.83 	steps: 1068.00
Episode 117	Average Score: 5.80 	steps: 1077.00
Episode 118	Average Score: 5.84 	steps: 1088.00
Episode 119	Average Score: 6.09 	steps: 1123.00
Episode 120	Average Score: 6.09 	steps: 1129.00
Episode 121	Average Score: 6.09 	steps: 1136.00
Episode 122	Average Score: 6.18 	steps: 1155.00
Episode 123	Average Score: 6.21 	steps: 1164.00
Episode 124	Average Score: 6.11 	steps: 1190.00
Episode 125	Average Score: 6.19 	steps: 1203.00
Episode 126	Average Score: 6.19 	steps: 1214.00
Episode 127	Average Score: 6.27 	steps: 1232.00
Episode 128	Average Score: 6.35 	steps: 1259.00
Episode 129	Average Score: 6.34 	steps: 1264.00
Episode 130	Average Score: 6.66 	steps: 1309.00
Episode 131	Average Score: 6.65 	steps: 1312.00
Episode 132	Average Score: 6.68 	steps: 1328.00
Episode 133	Average Score: 6.68 	steps: 1331.00
Episode 134	Average Score: 6.64 	steps: 1336.00
Episode 135	Average Score: 6.61 	steps: 1345.00
Episode 136	Average Score: 6.80 	steps: 1369.00
Episode 137	Average Score: 6.90 	steps: 1388.00
Episode 138	Average Score: 6.90 	steps: 1392.00
Episode 139	Average Score: 6.97 	steps: 1405.00
Episode 140	Average Score: 6.93 	steps: 1408.00
Episode 141	Average Score: 6.95 	steps: 1415.00
Episode 142	Average Score: 6.99 	steps: 1422.00
Episode 143	Average Score: 6.98 	steps: 1424.00
Episode 144	Average Score: 6.97 	steps: 1426.00
Episode 145	Average Score: 7.01 	steps: 1439.00
Episode 146	Average Score: 7.08 	steps: 1453.00
Episode 147	Average Score: 7.15 	steps: 1469.00
Episode 148	Average Score: 7.11 	steps: 1480.00
Episode 149	Average Score: 7.05 	steps: 1485.00
Episode 150	Average Score: 6.99 	steps: 1490.00
Episode 151	Average Score: 7.00 	steps: 1495.00
Episode 152	Average Score: 7.13 	steps: 1513.00
Episode 153	Average Score: 7.12 	steps: 1522.00
Episode 154	Average Score: 7.18 	steps: 1535.00
Episode 155	Average Score: 7.24 	steps: 1550.00
Episode 156	Average Score: 7.25 	steps: 1565.00
Episode 157	Average Score: 7.29 	steps: 1572.00
Episode 158	Average Score: 7.30 	steps: 1577.00
Episode 159	Average Score: 7.44 	steps: 1598.00
Episode 160	Average Score: 7.51 	steps: 1610.00
Episode 161	Average Score: 7.52 	steps: 1615.00
Episode 162	Average Score: 7.51 	steps: 1622.00
Episode 163	Average Score: 7.48 	steps: 1628.00
Episode 164	Average Score: 7.54 	steps: 1645.00
Episode 165	Average Score: 7.24 	steps: 1651.00
Episode 166	Average Score: 7.41 	steps: 1682.00
Episode 167	Average Score: 7.44 	steps: 1696.00
Episode 168	Average Score: 7.39 	steps: 1700.00
Episode 169	Average Score: 7.47 	steps: 1720.00
Episode 170	Average Score: 7.43 	steps: 1724.00
Episode 171	Average Score: 7.35 	steps: 1740.00
Episode 172	Average Score: 7.28 	steps: 1742.00
Episode 173	Average Score: 7.43 	steps: 1767.00
Episode 174	Average Score: 7.41 	steps: 1770.00
Episode 175	Average Score: 7.68 	steps: 1820.00
Episode 176	Average Score: 7.78 	steps: 1835.00
Episode 177	Average Score: 7.80 	steps: 1846.00
Episode 178	Average Score: 7.72 	steps: 1850.00
Episode 179	Average Score: 7.72 	steps: 1854.00
Episode 180	Average Score: 7.55 	steps: 1861.00
Episode 181	Average Score: 7.53 	steps: 1863.00
Episode 182	Average Score: 7.51 	steps: 1872.00
Episode 183	Average Score: 7.72 	steps: 1901.00
Episode 184	Average Score: 7.71 	steps: 1906.00
Episode 185	Average Score: 7.72 	steps: 1914.00
Episode 186	Average Score: 7.71 	steps: 1925.00
Episode 187	Average Score: 7.73 	steps: 1931.00
Episode 188	Average Score: 7.74 	steps: 1934.00
Episode 189	Average Score: 7.75 	steps: 1939.00
Episode 190	Average Score: 7.61 	steps: 1950.00
Episode 191	Average Score: 7.86 	steps: 1983.00
Episode 192	Average Score: 8.17 	steps: 2023.00
Episode 193	Average Score: 8.15 	steps: 2026.00
Episode 194	Average Score: 8.18 	steps: 2037.00
Episode 195	Average Score: 8.18 	steps: 2042.00
Episode 196	Average Score: 8.25 	steps: 2057.00
Episode 197	Average Score: 8.36 	steps: 2075.00
Episode 198	Average Score: 8.36 	steps: 2081.00
Episode 199	Average Score: 8.36 	steps: 2086.00
Episode 200	Average Score: 8.36 	steps: 2089.00
Episode 200	Average Score: 8.36 	steps: 2089.00

Episode 201	Average Score: 8.44 	steps: 2112.00
Episode 202	Average Score: 8.44 	steps: 2118.00
Episode 203	Average Score: 8.43 	steps: 2121.00
Episode 204	Average Score: 8.55 	steps: 2137.00
Episode 205	Average Score: 8.36 	steps: 2147.00
Episode 206	Average Score: 8.39 	steps: 2155.00
Episode 207	Average Score: 8.46 	steps: 2166.00
Episode 208	Average Score: 8.83 	steps: 2216.00
Episode 209	Average Score: 8.86 	steps: 2225.00
Episode 210	Average Score: 9.12 	steps: 2275.00
Episode 211	Average Score: 9.41 	steps: 2315.00
Episode 212	Average Score: 9.54 	steps: 2337.00
Episode 213	Average Score: 9.59 	steps: 2348.00
Episode 214	Average Score: 9.54 	steps: 2354.00
Episode 215	Average Score: 9.90 	steps: 2404.00
Episode 216	Average Score: 9.91 	steps: 2410.00
Episode 217	Average Score: 9.90 	steps: 2418.00
Episode 218	Average Score: 9.96 	steps: 2433.00
Episode 219	Average Score: 9.76 	steps: 2447.00
Episode 220	Average Score: 9.96 	steps: 2478.00
Episode 221	Average Score: 9.93 	steps: 2481.00
Episode 222	Average Score: 9.83 	steps: 2484.00
Episode 223	Average Score: 9.89 	steps: 2503.00
Episode 224	Average Score: 9.74 	steps: 2512.00
Episode 225	Average Score: 9.82 	steps: 2532.00
Episode 226	Average Score: 10.14 	steps: 2582.00
Episode 227	Average Score: 10.01 	steps: 2584.00
Episode 228	Average Score: 9.91 	steps: 2595.00
Episode 229	Average Score: 10.05 	steps: 2615.00
Episode 230	Average Score: 10.06 	steps: 2664.00
Episode 231	Average Score: 10.36 	steps: 2710.00
Episode 232	Average Score: 10.40 	steps: 2730.00
Episode 233	Average Score: 10.39 	steps: 2733.00
Episode 234	Average Score: 10.38 	steps: 2736.00
Episode 235	Average Score: 10.39 	steps: 2748.00
Episode 236	Average Score: 10.37 	steps: 2777.00
Episode 237	Average Score: 10.26 	steps: 2786.00
Episode 238	Average Score: 10.44 	steps: 2810.00
Episode 239	Average Score: 10.40 	steps: 2818.00
Episode 240	Average Score: 10.82 	steps: 2868.00
Episode 241	Average Score: 10.87 	steps: 2879.00
Episode 242	Average Score: 10.85 	steps: 2882.00
Episode 243	Average Score: 10.87 	steps: 2888.00
Episode 244	Average Score: 10.90 	steps: 2895.00
Episode 245	Average Score: 10.86 	steps: 2903.00
Episode 246	Average Score: 11.07 	steps: 2938.00
Episode 247	Average Score: 11.15 	steps: 2961.00
Episode 248	Average Score: 11.18 	steps: 2973.00
Episode 249	Average Score: 11.19 	steps: 2979.00
Episode 250	Average Score: 11.40 	steps: 3011.00
Episode 251	Average Score: 11.45 	steps: 3025.00
Episode 252	Average Score: 11.37 	steps: 3033.00
Episode 253	Average Score: 11.31 	steps: 3036.00
Episode 254	Average Score: 11.33 	steps: 3048.00
Episode 255	Average Score: 11.27 	steps: 3057.00
Episode 256	Average Score: 11.17 	steps: 3060.00
Episode 257	Average Score: 11.22 	steps: 3073.00
Episode 258	Average Score: 11.33 	steps: 3089.00
Episode 259	Average Score: 11.33 	steps: 3108.00
Episode 260	Average Score: 11.49 	steps: 3140.00
Episode 261	Average Score: 11.91 	steps: 3190.00
Episode 262	Average Score: 11.89 	steps: 3195.00
Episode 263	Average Score: 11.96 	steps: 3209.00
Episode 264	Average Score: 12.29 	steps: 3257.00
Episode 265	Average Score: 12.35 	steps: 3270.00
Episode 266	Average Score: 12.17 	steps: 3275.00
Episode 267	Average Score: 12.26 	steps: 3298.00
Episode 268	Average Score: 12.34 	steps: 3311.00
Episode 269	Average Score: 12.58 	steps: 3359.00
Episode 270	Average Score: 12.81 	steps: 3391.00
Episode 271	Average Score: 12.73 	steps: 3396.00
Episode 272	Average Score: 12.77 	steps: 3405.00
Episode 273	Average Score: 12.59 	steps: 3408.00
Episode 274	Average Score: 13.00 	steps: 3458.00
Episode 275	Average Score: 12.73 	steps: 3468.00
Episode 276	Average Score: 12.89 	steps: 3501.00
Episode 277	Average Score: 12.86 	steps: 3505.00
Episode 278	Average Score: 13.16 	steps: 3552.00
Episode 279	Average Score: 13.31 	steps: 3574.00
Episode 280	Average Score: 13.30 	steps: 3581.00
Episode 281	Average Score: 13.51 	steps: 3613.00
Episode 282	Average Score: 13.49 	steps: 3620.00
Episode 283	Average Score: 13.59 	steps: 3663.00
